timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769480891.5530965,SENT,766edbda-ebe9-4469-a258-733f347a1333,fac1ab66-1bb0-44b3-bdff-bb092f86a7d7,c3,DROP,2015,?,p3,
1769480891.5532393,CREATED,e60a0c3e-6578-42b7-8838-63332b3c73d8,3cfe71a5-67f5-445b-94b6-6055366c3897,c3,DROP,27,?,?,
1769480892.223469,SENT,0cb4bf37-ef58-443e-a446-9c579ccaa3e7,58ecda16-c33a-4d6e-908a-e0db07a10a43,c3,c2,3395,?,p3,
1769480892.2236214,CREATED,6edf91b3-7552-4aba-aea3-ce4d0956803d,5ad70ec9-d3ad-4562-a1f4-79ab27642b4e,c3,c2,27,?,?,surb={'id': '190bc3da-4253-4777-8634-10a001358446', 'route': ['p2', 'e3', 'i11', 'x2', 'p3', 'c3']}
1769480894.1870959,CREATED,74964628-03d5-4635-93e6-5e5ecfd2c7eb,a1b5a565-0dad-4275-9144-b2f8bb1d04d4,c3,c2,27,?,?,surb={'id': '8a2a94e0-0f0e-439d-b74f-9dd8350a126c', 'route': ['p2', 'e5', 'i12', 'x2', 'p3', 'c3']}
1769480894.304985,SENT,6e475268-dcc3-4201-a621-49a45d232ca6,0f3fe1c5-101a-48ed-bcf8-08debd380ba0,c3,c2,3379,?,p3,
1769480894.305163,CREATED,53d8658e-e1d1-4bef-b623-9a63b8d9564e,1f24a976-c2df-41c5-85cd-2223c6689472,c3,c2,27,?,?,surb={'id': '6faf0691-99f1-426a-a143-3b851ca249f0', 'route': ['p2', 'e3', 'i6', 'x6', 'p3', 'c3']}
1769480894.333784,SENT,0ad22d43-aa76-40e3-b2f0-05e83718e0c6,8cd6c4e7-982b-473b-bc79-3daccc12fdf8,c3,c2,3400,?,p3,
1769480894.333932,CREATED,e7fdb78e-f9d1-4fea-9e0f-ba8a9a1626f0,3edbe18d-f118-473b-9deb-b438fe885d3c,c3,c2,27,?,?,surb={'id': 'a39dc4e2-f0f1-45c4-9d05-ebf7cd7ae39d', 'route': ['p2', 'e2', 'i10', 'x2', 'p3', 'c3']}
1769480894.6318638,RECEIVED,1564adce-74df-48a5-9144-2d038c990932,e4880ddb-efdc-4e22-bdb1-c3f8353459b8,c2,c3,27,p3,?,surb={'id': '119a8e08-1e35-4937-8819-d39401eea7c5', 'route': ['p3', 'e5', 'i9', 'x5', 'p2', 'c2']}
1769480894.6484933,SENT,de21ecd1-114b-4dad-9654-fed707e73e08,fe1f90c1-e83e-461e-a171-7c1844bf0dde,c3,c2,3356,?,p3,
1769480894.6486502,CREATED,66df344d-a688-4cce-a36c-c4a06b5c3452,e04561e9-6b1f-4304-94e2-35694948da8f,c3,c2,26,?,?,surb={'id': 'a48ada25-c8d7-4159-b506-87c63ee9e103', 'route': ['p2', 'e9', 'i1', 'x7', 'p3', 'c3']}
1769480894.6562788,RECEIVED,ed17d0b2-11e2-485a-87d6-e922f458338d,62b0887a-3c1b-41c4-80f9-2bdf455b15d0,c2,c3,27,p3,?,surb={'id': 'c74afd74-ffe4-477b-b21c-740f8f41fcd5', 'route': ['p3', 'e12', 'i1', 'x5', 'p2', 'c2']}
1769480894.661811,SENT,090b94c3-9547-4de5-ba6e-9658932a6a36,2c29b964-08cb-46c1-bee2-12aa11c34045,c3,c2,3370,?,p3,
1769480894.6619565,CREATED,94e1205b-fee9-4cbe-b7d0-e34a5e80eccf,5c0fb9c7-3974-43e1-9a99-4adfbda94239,c3,c2,26,?,?,surb={'id': '529ab6cf-ec34-4fcf-85ec-db2c9b0e2340', 'route': ['p2', 'e11', 'i3', 'x5', 'p3', 'c3']}
1769480894.8704715,SENT,4635b90a-d7da-45cf-8511-ce31e200837c,3602291e-412c-463d-9faf-88d6b186f53d,c3,c2,3383,?,p3,
1769480894.8706245,CREATED,0dbade7a-c68a-4934-be44-09b59f1d9cea,ce272232-974b-402f-9627-553d584e3cf0,c3,c2,27,?,?,surb={'id': 'ecf57d9d-cd0d-4907-96b7-e516ce82a60c', 'route': ['p2', 'e7', 'i12', 'x3', 'p3', 'c3']}
1769480895.5151083,RECEIVED,75537b59-a597-4875-9b3e-692d3b5bf97b,535777ad-b789-4e66-a653-876007d4f8fb,c2,c3,27,p3,?,surb={'id': '2d8fb48d-aabb-48b2-b206-d2844e7b1146', 'route': ['p3', 'e10', 'i1', 'x3', 'p2', 'c2']}
1769480895.6221864,RECEIVED,19b5d0eb-8568-45f8-924c-be97ac320ff6,585ed658-7249-42aa-b2fb-3b242b71e19a,c2,c3,27,p3,?,surb={'id': '45a544f8-71a9-45e8-b703-169395a1f708', 'route': ['p3', 'e3', 'i3', 'x11', 'p2', 'c2']}
1769480895.6276317,SENT,311ddda3-0f6c-4ba6-961d-879d974473df,97582b07-73cc-4657-b42e-24c8f25a65c1,c3,c2,3393,?,p3,
1769480895.6277812,CREATED,2270e276-637b-49c3-8ad4-0e618be51221,a82fc341-592f-486c-a8eb-c7782a13e615,c3,c2,27,?,?,surb={'id': '6e0a1cf7-3f85-4594-a4de-c056aca62243', 'route': ['p2', 'e11', 'i3', 'x6', 'p3', 'c3']}
1769480895.9514108,RECEIVED,c8e76bb2-08ec-4b68-a162-16e8e2065826,81ba0d2d-5c27-4ffb-8f4a-f61342636c74,c2,c3,26,p3,?,surb={'id': '10ee659d-7769-42c9-93ec-f7fcab14d2fb', 'route': ['p3', 'e9', 'i8', 'x3', 'p2', 'c2']}
1769480895.9813337,RECEIVED,79eeebee-6f30-4ded-a807-2d96d082a28e,0ec4788d-8088-43dd-be8c-91f25f3feed2,c2,c3,26,p3,?,surb={'id': 'a3158d92-4338-433a-b7d1-9ad343a42c87', 'route': ['p3', 'e5', 'i11', 'x11', 'p2', 'c2']}
1769480896.6309714,SENT,57ebf477-777d-4c2b-ba46-9e19aebe8b8e,3dcad991-9d08-47fd-a7cb-0b824bf185d7,c3,c2,3378,?,p3,
1769480896.6311753,CREATED,1a4c82e7-1549-4263-932c-fd10e0cb66c6,4eb1eb7d-4aa6-4a57-9a95-3a1563b842ec,c3,c2,27,?,?,surb={'id': '66e347df-8c1f-45f1-b291-fad5182d635f', 'route': ['p2', 'e12', 'i8', 'x9', 'p3', 'c3']}
1769480896.7707517,SENT,582fefc8-a335-4b4e-be5d-76d08d932277,68935e94-6335-495a-89bf-039f0fae22fa,c3,c2,3383,?,p3,
1769480896.7710025,CREATED,a26613d2-2f99-44b0-87a2-62b63c755276,72412781-c8e4-4a9c-b212-d11c9960a4e1,c3,c2,27,?,?,surb={'id': 'afbdd97f-e251-4f0c-aba2-00984c3b1fe0', 'route': ['p2', 'e4', 'i9', 'x1', 'p3', 'c3']}
1769480896.8679183,SENT,f5fea16e-031e-44f9-b870-6f456dd4576c,e044350a-952b-49b6-a552-5a8dc572cb5d,c3,c2,3408,?,p3,
1769480896.86813,CREATED,0ed5665d-dbd2-4bcb-aa9e-595b23b71cc5,435a0a14-ce89-4b8b-9ee5-16b905c902c4,c3,c2,27,?,?,surb={'id': '29f52024-77a3-4a4a-9190-2568ecf08f50', 'route': ['p2', 'e9', 'i8', 'x11', 'p3', 'c3']}
1769480896.9939904,SENT,74c96d1a-8a1b-40d3-bfcb-a8602113fe43,ca858b69-5817-4220-94b0-c819aa1b7d88,c3,c2,3380,?,p3,
1769480896.994189,CREATED,b5fc5dbf-4b0e-45c2-a47d-28859240a109,d91e8220-9f6e-4172-9510-0a17fd5b022c,c3,c2,26,?,?,surb={'id': 'a3b58b0d-d2d4-4511-b0af-8bf19f07369b', 'route': ['p2', 'e10', 'i4', 'x5', 'p3', 'c3']}
1769480897.2103817,SENT,601a6766-1c5c-4ba1-a04d-4d8f41505a57,1ca57a1e-b5a9-44c0-8cc2-31407fb5e168,c3,c2,3388,?,p3,
1769480897.210526,CREATED,bf6216c1-03a3-4fb2-b288-7074f18a919b,48b7ef8d-d0e2-4002-ae69-ac58020991c0,c3,c2,27,?,?,surb={'id': 'a4e708d4-af96-4ed5-a63c-118283b91d28', 'route': ['p2', 'e11', 'i5', 'x5', 'p3', 'c3']}
1769480897.3944879,SENT,d99615d3-fcfd-407a-bbe2-795707149fb0,a780cff9-4780-40f5-9390-c5470f807aec,c3,c2,3400,?,p3,
1769480897.3946595,CREATED,3b9de6e8-e41e-46e5-97dc-934444debd09,867215fd-e400-414c-87f2-64712bd6507c,c3,c2,27,?,?,surb={'id': 'b2144a9c-98f7-4009-9524-e0c328aaa1a6', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769480897.4474626,RECEIVED,9e644e4d-c9ed-4039-a360-d5cc32df34f3,0854916b-bef8-425c-b3a0-ab53e7335ed1,c2,c3,26,p3,?,surb={'id': '578222ca-6044-4ca8-9cb6-9d5b80ac7adc', 'route': ['p3', 'e1', 'i4', 'x7', 'p2', 'c2']}
1769480897.605568,SENT,db0b0fe4-f67b-4a2b-8971-de0cf4a2108c,fd5aa710-752d-4dba-88cd-db6e31cd3ff9,c3,c2,3403,?,p3,
1769480897.6057277,CREATED,0df6e840-7007-411a-a577-31eaa1ae6228,487c0cce-a0b9-4b08-9752-f05864f25da7,c3,c2,27,?,?,surb={'id': '4b5e3651-61e0-4f0d-919a-d2574de439b2', 'route': ['p2', 'e3', 'i11', 'x3', 'p3', 'c3']}
1769480897.685659,SENT,8a18f7f0-2c2d-4263-a534-4b4c12392be1,921bc7bb-ffee-46a9-86c6-89900010566e,c3,c2,3384,?,p3,
1769480897.6858068,CREATED,e24fa87d-379c-48e1-8f4f-ca907e77b73d,948d412e-1c37-4aed-a5c6-1260b8e33b7c,c3,c2,27,?,?,surb={'id': 'a80a7616-1c79-478b-a57f-bda477668671', 'route': ['p2', 'e3', 'i3', 'x11', 'p3', 'c3']}
1769480897.7011762,RECEIVED,0ffcb5f4-fb29-49bb-8f80-ed1dfeacce87,56781572-7a9f-4c23-bfcf-2b44dd5276e5,c2,c3,27,p3,?,surb={'id': 'ae9229ab-1bf6-42d1-9946-3f1dd4d651a7', 'route': ['p3', 'e7', 'i5', 'x8', 'p2', 'c2']}
1769480897.805609,RECEIVED,015ada78-586e-47b1-96e9-bff0204592f8,cb893805-a545-46bf-84ad-9b2bec49f03e,c2,c3,26,p3,?,surb={'id': '0f2a4a79-a965-4da7-be19-c0fe435b5750', 'route': ['p3', 'e7', 'i7', 'x4', 'p2', 'c2']}
1769480898.072095,SENT,56e3bfea-ad67-4534-9462-7b1370202535,e148761d-f241-40f6-914a-4facc5f40ff4,c3,c2,3391,?,p3,
1769480898.0722508,CREATED,dad6df06-9bfb-4dc0-b5f6-3b5aee713b1a,4ce744c8-71e2-45db-8faa-30e4e72ba587,c3,c2,27,?,?,surb={'id': '776c8e1d-492c-475f-8632-654e06f4a0f5', 'route': ['p2', 'e12', 'i11', 'x7', 'p3', 'c3']}
1769480898.5320032,SENT,42487713-ca8e-4435-9c02-33b27d0a2d37,93837bdb-93c5-48ae-b4cb-8c63fe9df0f6,c3,c2,3379,?,p3,
1769480898.5321827,CREATED,f27888c6-87ec-4d19-8dcf-1b5193dfb2c0,dee6330b-28b1-4031-bfd2-87e2a4592ccc,c3,c2,27,?,?,surb={'id': '90fb5d62-28ec-43ff-96b0-54ba55b60bb4', 'route': ['p2', 'e3', 'i6', 'x12', 'p3', 'c3']}
1769480899.0311806,RECEIVED,47e9f4b4-7e8f-4e53-9771-abd808e06a34,43034672-56e8-48dd-b51b-dd670edf65a8,c2,c3,26,p3,?,surb={'id': '52c9d56d-0ddc-4773-85cc-fcb76daa7140', 'route': ['p3', 'e8', 'i5', 'x12', 'p2', 'c2']}
1769480899.2273579,RECEIVED,8f77baf7-3eba-4d5a-bd12-8ba752fcbdc0,05f7b9af-5685-4294-8414-3c037f5924c9,c2,c3,26,p3,?,surb={'id': '300ba2d2-5753-4140-983a-bcb25be3c36a', 'route': ['p3', 'e2', 'i10', 'x10', 'p2', 'c2']}
1769480899.4727004,RECEIVED,c38a83b4-3c94-47eb-9635-3ef844d8ce44,daa8b4fa-f1c0-4985-8b09-4c505054ed6c,c2,c3,27,p3,?,surb={'id': 'edffb632-c10d-49dc-91ae-38e4d043a3c6', 'route': ['p3', 'e6', 'i9', 'x11', 'p2', 'c2']}
1769480899.520667,SENT,9ebd071c-0c5f-4b01-96f4-34b2003b599f,c8e6ab92-650f-4d10-bc5a-1fb64a02d347,c3,c2,3400,?,p3,
1769480899.5208147,CREATED,2168698c-9312-4c18-8e10-0ad4c2f83b50,b8c85784-4b6a-4c58-9d83-5dd591b4db84,c3,c2,27,?,?,surb={'id': '53857cb2-3474-4171-b52d-0cc2fd3bceb3', 'route': ['p2', 'e5', 'i4', 'x12', 'p3', 'c3']}
1769480899.7386632,SENT,6ba888ee-4cad-4911-8edb-0656126f16e0,04314fe1-5ef9-445b-bb8a-b71b3b850072,c3,c2,3392,?,p3,
1769480899.7388086,CREATED,84fbad69-3d8a-4d4a-bb48-b945edc93208,e541ef1e-ee59-413e-99c0-9be90809903b,c3,c2,27,?,?,surb={'id': '97d66c7a-8f52-4595-9c10-66957f422cc7', 'route': ['p2', 'e8', 'i10', 'x11', 'p3', 'c3']}
1769480899.796788,RECEIVED,53e5d7ae-6c6b-4ef6-b80c-d3cc78f1628b,c59c66c9-2b8a-49f6-ad11-b0a781eac6dc,c2,c3,27,p3,?,surb={'id': '6b50c424-9ace-46a6-a693-6e6f5f8a75b0', 'route': ['p3', 'e8', 'i1', 'x11', 'p2', 'c2']}
1769480899.7979248,SENT,784f9011-5819-41d8-b051-0425d8d34ee3,d3fb2b64-2179-499e-aa4c-acdc251d95a4,c3,c2,3380,?,p3,
1769480899.7981052,CREATED,e078971e-edc9-49eb-bdd0-7e236545a3ab,bdfa8ef9-ad24-494e-bf5e-5fa251a86e10,c3,c2,26,?,?,surb={'id': '46f976ed-425e-4414-972f-a767b6e409e7', 'route': ['p2', 'e12', 'i9', 'x12', 'p3', 'c3']}
1769480899.8112543,SENT,9839c716-9b7a-4d5c-bdfb-d1fcb4710a17,db5c6d76-45ca-4f04-9d4a-ee5c7f3db1c0,c3,c2,3360,?,p3,
1769480899.8114069,CREATED,4456bbe4-083e-4a8f-944a-472fef0c07c1,1edd0083-a8fb-4a3c-9c56-7af4247d44b7,c3,c2,26,?,?,surb={'id': 'd291bd42-887e-4460-9633-725724b5a554', 'route': ['p2', 'e2', 'i7', 'x9', 'p3', 'c3']}
1769480899.899042,RECEIVED,30fd6405-ceab-4d32-9230-8e5877d01057,bd0a6e12-6cc6-4d42-90c7-4e56d25ffc74,c2,c3,27,p3,?,surb={'id': '66e53209-5208-4c09-82ad-b47fa7ebe5b1', 'route': ['p3', 'e11', 'i10', 'x4', 'p2', 'c2']}
1769480900.7718399,RECEIVED,e5982659-35bd-43c3-a203-11cf8868cd54,b2621c1b-ced7-4531-aeab-0cb75a55f284,c2,c3,27,p3,?,surb={'id': '2a78f15b-8d59-47b4-ae8c-965a603738e6', 'route': ['p3', 'e2', 'i7', 'x1', 'p2', 'c2']}
1769480901.0686288,RECEIVED,25036eb3-95b9-4a51-a9dd-6e4e3fbb09d4,14ba94c7-7fae-45ce-9495-0887dea20104,c2,c3,27,p3,?,surb={'id': '439a58e7-3d85-4f3b-8b82-78a86592ffc0', 'route': ['p3', 'e10', 'i10', 'x4', 'p2', 'c2']}
1769480901.1263103,RECEIVED,e82d7b87-924e-48b3-8069-a28cd619822f,9f6a93df-8403-4fb3-9479-56362bdfecc5,c2,c3,26,p3,?,surb={'id': 'f90dabb7-1ec8-49cc-9b85-7e9cd692d541', 'route': ['p3', 'e7', 'i8', 'x8', 'p2', 'c2']}
1769480901.163911,SENT,e3780c61-f074-41a7-b30f-229d46a7e912,28392dca-d529-40c9-9100-33a9954eff13,c3,c2,3393,?,p3,
1769480901.1640868,CREATED,3f7ea762-d877-4a0c-b789-3f612f662d83,cc85be43-a093-489b-aed6-64b68a1e1ba8,c3,c2,26,?,?,surb={'id': '7aaa38c0-6f4a-49f2-b48b-d6ecde0a1fbd', 'route': ['p2', 'e3', 'i2', 'x8', 'p3', 'c3']}
1769480901.3249266,RECEIVED,8fb16a72-0e2c-48e7-922b-bcb4a277e971,129e4ee7-80e2-4cc1-872b-851bb9672572,c2,c3,27,p3,?,surb={'id': '25172b91-ac71-439c-a46b-94cc13cb45f5', 'route': ['p3', 'e7', 'i12', 'x12', 'p2', 'c2']}
1769480901.5797842,RECEIVED,142ae433-9d69-4ed9-a894-919ac30599ff,100f7c32-ab78-483d-8b4f-93d7f51dbbbf,c2,c3,27,p3,?,surb={'id': '4cfad76f-3a2a-4842-8088-ede028672e34', 'route': ['p3', 'e5', 'i9', 'x4', 'p2', 'c2']}
1769480902.066306,RECEIVED,1b6f8dda-1853-4741-931e-86d48e384a74,79b045bd-f0b6-4456-b24f-defc2a6f86eb,c2,c3,26,p3,?,surb={'id': 'b2bc5085-c6cd-4439-82a1-0493250749fc', 'route': ['p3', 'e1', 'i5', 'x8', 'p2', 'c2']}
1769480902.2159884,RECEIVED,e4f06149-5f7c-463c-b5b0-c9e94381308a,6ec99042-1f7b-499d-b6d2-227ee401f66a,c2,c3,26,p3,?,surb={'id': '0136c88d-d6ba-4db4-8e18-3d36374e84ae', 'route': ['p3', 'e5', 'i1', 'x4', 'p2', 'c2']}
1769480902.3271434,SENT,bc9e8029-8b7f-4b16-8e04-c47fe2fdaef9,82fed369-b18a-42c5-8776-647ace215e5c,c3,c2,3389,?,p3,
1769480902.3272972,CREATED,48dc7639-d3b0-450a-af28-cfc3e894e54e,03f3e7d2-4cca-46fc-a9e9-82f884c1a4c7,c3,c2,26,?,?,surb={'id': 'b973e283-bc18-4689-a716-22233253c374', 'route': ['p2', 'e8', 'i5', 'x2', 'p3', 'c3']}
1769480902.554592,SENT,63d21cdf-7844-41f8-a176-9b60d1ed9f0b,833f44bf-1a67-4de4-bf1b-5e1307e9f78b,c3,c2,3393,?,p3,
1769480902.5547566,CREATED,9614d0ff-af06-4e25-af31-187cddaad42b,8865fb06-5e2e-49fd-989c-9bee317efb3b,c3,c2,27,?,?,surb={'id': '9131b7cd-1964-4bb4-b97a-91a08d4c7b1f', 'route': ['p2', 'e12', 'i10', 'x5', 'p3', 'c3']}
1769480902.5963645,SENT,ec6a2b8f-43ec-476f-aa5b-1b9190499347,a8234542-b6ff-443e-bc70-d1897ccef56a,c3,c2,3380,?,p3,
1769480902.5965102,CREATED,503032b5-ce4e-4161-b313-f0b12b0f1025,615b118b-b933-40e6-a36d-04c452b7292a,c3,c2,27,?,?,surb={'id': 'b647388e-0a44-4270-8688-58c452e4381e', 'route': ['p2', 'e11', 'i2', 'x9', 'p3', 'c3']}
1769480902.6348042,RECEIVED,667fdd6d-adff-4357-a349-631f7032d5d1,9b03de0a-9fab-4059-8d49-78adccae0875,c2,c3,27,p3,?,surb={'id': '764d7019-073b-4cb0-8b59-805e75303096', 'route': ['p3', 'e6', 'i5', 'x12', 'p2', 'c2']}
1769480902.8501778,SENT,f9ab1aaa-72a0-43fd-b3d7-377eaea3fc44,4a7a434d-c738-4d74-8677-e63cf9d1ed19,c3,c2,3377,?,p3,
1769480902.8503265,CREATED,32d1405f-9ab8-4387-80d5-fda9a84de159,90c9c1f5-72fa-4519-84ac-16cae6de54ea,c3,c2,27,?,?,surb={'id': '6c44af88-17d7-4504-b7f4-92cb903eeda4', 'route': ['p2', 'e2', 'i2', 'x1', 'p3', 'c3']}
1769480902.8899746,RECEIVED,2a0e6100-d991-4cef-963c-79e5a76a7c73,d650651c-d02a-4637-9e6e-ec09e0e08777,c2,c3,27,p3,?,surb={'id': 'c5f3d037-050d-4e0d-acec-a87ee129e09b', 'route': ['p3', 'e3', 'i8', 'x10', 'p2', 'c2']}
1769480903.093044,RECEIVED,b94d531b-ee18-4d6e-ab6f-94bd93b1a5a2,319dcd54-a36a-47e3-99dc-83353ec74ad5,c2,c3,27,p3,?,surb={'id': '6955992c-0d1c-42db-a572-34e9db2ef6d2', 'route': ['p3', 'e9', 'i3', 'x4', 'p2', 'c2']}
1769480903.5352106,RECEIVED,c39798a9-c26b-43f5-a1c6-b82d67939c63,836e2574-0aa8-4939-9f02-df986ca24c60,c2,c3,27,p3,?,surb={'id': 'faf91d9f-1702-4ed6-af55-be45f3420b96', 'route': ['p3', 'e6', 'i12', 'x10', 'p2', 'c2']}
1769480903.7679713,SENT,f5fdb252-cdfe-4716-872e-2e767362cd85,56eb540b-f0d0-4c6d-8d41-210ea9534269,c3,c2,3398,?,p3,
1769480903.768144,CREATED,db4b6ff6-a420-4a3d-b76d-5e24099ed6cc,4ce79c61-21c8-4d98-8b6d-6915dcd8aa3f,c3,c2,27,?,?,surb={'id': '7ed07b4e-94c3-4621-a07c-b83529bc1b81', 'route': ['p2', 'e5', 'i12', 'x11', 'p3', 'c3']}
1769480903.8148832,SENT,1aacf53f-6dcf-4605-88c8-13c2864d7364,c21f8043-1769-4975-9080-0e879edc1fea,c3,c2,3360,?,p3,
1769480903.8150318,CREATED,cc620d5b-b7f9-43ea-9bc6-92a0e49cb653,65e894f5-c4a0-4786-bb58-72aef1cbf701,c3,c2,27,?,?,surb={'id': '66bbf6f9-e377-4083-b9c7-4be840df5443', 'route': ['p2', 'e7', 'i12', 'x9', 'p3', 'c3']}
1769480903.8433685,SENT,b24ea855-b1d4-4c0c-9dee-ffa03363e6e2,d272c00e-5e5e-43e7-a5b4-ee4d4968cd1b,c3,c2,3384,?,p3,
1769480903.8435135,CREATED,f00642bc-e4bd-45f9-9ec2-c72945b9cada,b797d372-c578-43d1-825c-9469863b8e5b,c3,c2,27,?,?,surb={'id': '9977b534-f934-4a5f-a400-ef3884d4c55e', 'route': ['p2', 'e8', 'i7', 'x2', 'p3', 'c3']}
1769480904.0050359,SENT,20e980e3-58af-4213-8f68-8c5979e2d5cd,39500471-8f66-4779-8f3e-1a2a07e3b991,c3,c2,3387,?,p3,
1769480904.0052135,CREATED,5627785f-078f-4f4b-84d5-b9a6173b2f01,71d52972-e8c5-49ae-9d1c-bc6e89dfe597,c3,c2,27,?,?,surb={'id': 'f30d86a7-b76b-493d-b0b8-af9790e8f1ad', 'route': ['p2', 'e11', 'i3', 'x12', 'p3', 'c3']}
1769480904.0402834,SENT,79f67bdd-9296-4683-92c0-1a2c79b955c6,0204941d-2a27-4725-ab76-89075c65b824,c3,c2,3404,?,p3,
1769480904.0404437,CREATED,ef38fc9c-548f-48bd-b832-bb50790179ab,5b33d754-e559-4c53-8944-d265d35a887d,c3,c2,27,?,?,surb={'id': 'fc8bfe5a-06da-48f9-a537-40180e2e51c1', 'route': ['p2', 'e12', 'i10', 'x12', 'p3', 'c3']}
1769480904.129021,SENT,86c26cb9-aa10-478c-81ef-1c0832a2ebf0,f5c2af18-637d-434e-a69c-485f3e297346,c3,c2,3367,?,p3,
1769480904.1291175,CREATED,3edfcf66-0a0a-437a-9fdc-35475ef9edfd,ddf267a7-00a5-46a8-a44f-2e0f59b40f62,c3,c2,27,?,?,surb={'id': '63c2d08f-5337-42aa-823b-9a40a4f6addf', 'route': ['p2', 'e2', 'i4', 'x4', 'p3', 'c3']}
1769480904.313681,SENT,98b138e1-466b-4688-bdc2-423cbdf8a81e,a7031d64-c9db-4146-bdaf-219aac827990,c3,c2,3396,?,p3,
