timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769740519.497495,RECEIVED,83e63e9d-4aac-403e-8558-a8029c7114e6,76eac120-de94-4fd1-92e7-be393a828fff,c4,c2,27,p2,?,surb={'id': 'ee0998b3-a82f-4bc6-8b47-ebc48627feca', 'route': ['p2', 'e12', 'i1', 'x2', 'p1', 'c4']}
1769740519.6399531,RECEIVED,4100679d-4d7c-4e5c-a2b2-8a3b84b7296d,ca332869-4979-4c27-88ad-bff9c9c4cb65,c1,c2,27,p2,?,surb={'id': 'bdf6ae86-2879-4af7-af6b-f3e2addeeb85', 'route': ['p2', 'e1', 'i6', 'x10', 'p1', 'c1']}
1769740519.6863325,RECEIVED,4e20c2da-7d2d-4a76-a11f-c89cbe9a190e,cb2f3666-e718-4ad0-8fdc-3a7caddc6fae,c5,c2,27,p2,?,surb={'id': 'f253c40d-3496-4ac1-a79e-bc62f96d04f5', 'route': ['p2', 'e9', 'i12', 'x6', 'p2', 'c5']}
1769740519.6937573,SENT,40a9c37c-ed33-46f0-8514-275cb304b624,b87af6f5-cba7-4211-9f72-c8f35f46cb6b,c2,c1,3365,?,p2,
1769740519.693921,CREATED,ec389d3f-6f67-401f-a3a1-001cd285785e,65a48d14-7d99-4f3c-88f5-2acf59de0568,c2,c1,27,?,?,surb={'id': '3550b728-ca1f-421b-8ff8-05fd5204b1e6', 'route': ['p1', 'e7', 'i12', 'x3', 'p2', 'c2']}
1769740519.700745,RECEIVED,6cb2e7d8-2072-4569-a691-b63b098a5bc9,eb8fce07-f18b-4573-bac7-3cbf3ac3ff73,c1,c2,27,p2,?,surb={'id': '8dc5604a-d919-4659-8f0d-8e91cb41de60', 'route': ['p2', 'e5', 'i6', 'x12', 'p1', 'c1']}
1769740519.8084168,SENT,09688b22-0baa-4734-84d7-0c264e122038,793d18bf-ca46-4b7c-9486-905179ec28dc,c2,c1,3389,?,p2,
1769740519.8085637,CREATED,b10785f3-0cb4-420d-833f-4c8512d32cd2,65a48d14-7d99-4f3c-88f5-2acf59de0568,c2,c1,27,?,?,surb={'id': '3550b728-ca1f-421b-8ff8-05fd5204b1e6', 'route': ['p1', 'e7', 'i12', 'x3', 'p2', 'c2']}
1769740519.8583024,RECEIVED,e5ff42e5-bc78-4a4f-ab57-204e839cd4b7,8cceff05-383b-421c-ae62-0b81bfd1e66e,c3,c2,26,p2,?,surb={'id': '009cfaf8-bf20-4ef3-a8ae-862e06983161', 'route': ['p2', 'e2', 'i1', 'x2', 'p3', 'c3']}
1769740519.9914427,RECEIVED,dd491c0f-c0f6-4ad7-92f2-b170485b9472,8cceff05-383b-421c-ae62-0b81bfd1e66e,c3,c2,26,p2,?,surb={'id': '009cfaf8-bf20-4ef3-a8ae-862e06983161', 'route': ['p2', 'e2', 'i1', 'x2', 'p3', 'c3']}
1769740520.0646522,RECEIVED,6cd91769-e7e6-4936-8d3e-c9b6d0ffe6df,41227f3f-b7b4-4a22-8112-40b8a36ae6e1,c4,c2,27,p2,?,surb={'id': 'fd53d7d2-75e5-450e-b5aa-64dd30064713', 'route': ['p2', 'e9', 'i7', 'x5', 'p1', 'c4']}
1769740520.0903878,RECEIVED,36de2250-c580-4dff-b8c7-476cc5ee2c94,c2d7cf87-c8e1-4503-92d5-7d9f1624ed5b,c3,c2,26,p2,?,surb={'id': 'f3aaddfb-448b-41d2-b11b-11309893d81b', 'route': ['p2', 'e4', 'i5', 'x9', 'p3', 'c3']}
1769740520.1064918,RECEIVED,7f9ce5b6-d299-4129-a693-2b6df29afe98,16e97c6c-3098-4314-adad-20cdc5c9792e,c3,c2,25,p2,?,surb={'id': 'b28da346-2659-4219-a227-c937605a6a0e', 'route': ['p2', 'e9', 'i1', 'x3', 'p3', 'c3']}
1769740520.1706905,SENT,e2ca018b-de9f-452f-84fb-c0e3f2b47802,9d6167fc-cd22-47d6-b328-01c041cd6988,c2,c1,3372,?,p2,
1769740520.170823,CREATED,437cb8cf-824f-4808-a2fa-41d4ad9af27b,57aa0af1-9093-4240-ab41-1119f1a42de8,c2,c1,27,?,?,surb={'id': '13ea7faf-0979-409b-b28a-dc5e6de831c5', 'route': ['p1', 'e6', 'i3', 'x7', 'p2', 'c2']}
1769740520.1888855,SENT,d690f421-cf8b-40dd-9096-802adb55df16,a5888c19-e5d0-48cc-b1c1-a24655357264,c2,c1,3375,?,p2,
1769740520.18902,CREATED,b8468554-4a3d-47f0-b7f4-92e2670811f7,57aa0af1-9093-4240-ab41-1119f1a42de8,c2,c1,27,?,?,surb={'id': '13ea7faf-0979-409b-b28a-dc5e6de831c5', 'route': ['p1', 'e6', 'i3', 'x7', 'p2', 'c2']}
