timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453140.945832,CREATED,9fc53019-9f67-4a29-b81f-debc90b5202f,24a1eea9-c45e-42b9-9db8-bdfa19fd2a64,c4,c2,27,?,?,surb={'id': '683fc6c6-4ddd-453b-aa77-ea9fb83233f8', 'route': ['p2', 'e6', 'i6', 'x1', 'p1', 'c4']}
1769453141.2381282,SENT,d186f55c-db65-4748-8d29-bd70c6be9515,42cf18ce-db02-4b25-b53c-df84e7f8c13f,c4,c2,3384,?,p1,
1769453141.2382843,CREATED,d3846910-6e79-464d-acf8-f836e2c15c47,c9a50f32-427d-4ba3-8177-b897e67a4570,c4,c2,27,?,?,surb={'id': '71655153-6b0c-42b4-b6ce-87947105f5c2', 'route': ['p2', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453141.6289701,RECEIVED,a49a0506-1a5b-47db-96ab-aa98c494b710,67afcb3e-1f2a-45a4-abaa-8104c580bb0f,c5,c4,27,p1,?,surb={'id': '4f1489d8-98eb-45c2-a5a3-d6c4527afd3e', 'route': ['p1', 'e9', 'i3', 'x9', 'p2', 'c5']}
1769453141.6750362,RECEIVED,63a00653-2d46-42db-acf7-a576753efd0f,81a1319d-09f9-4962-a0d0-8ca2abb68d78,c5,c4,27,p1,?,surb={'id': '4498cad1-b4cf-42a3-a844-6bdf3a21352a', 'route': ['p1', 'e9', 'i3', 'x11', 'p2', 'c5']}
1769453141.9396737,RECEIVED,8e160db1-02cd-4cad-b539-a8036087c87c,552b3d85-8b71-4c7e-8e26-83dd9bd390ec,c5,c4,27,p1,?,surb={'id': 'dc7e2177-cb62-41cc-ab72-0952f65944ba', 'route': ['p1', 'e1', 'i4', 'x2', 'p2', 'c5']}
1769453142.1272023,SENT,6c6efe5b-ee5b-407a-842b-9297b8e86c0a,b9c9a2f2-949f-412b-8bd2-41c76463c531,c4,c2,3380,?,p1,
1769453142.1273391,CREATED,331b9a5e-934a-4cae-9b26-4df870f3eac6,c9a50f32-427d-4ba3-8177-b897e67a4570,c4,c2,27,?,?,surb={'id': '71655153-6b0c-42b4-b6ce-87947105f5c2', 'route': ['p2', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453142.1622684,RECEIVED,75d4ae17-db0c-4e56-8100-6211f0bc6856,25bb0828-1740-412b-bf85-f0c66d6eba94,c5,c4,27,p1,?,surb={'id': '99a8f120-57b8-4f23-b963-5bb0012ff79e', 'route': ['p1', 'e10', 'i7', 'x3', 'p2', 'c5']}
1769453142.45555,RECEIVED,79411583-4570-4900-8838-3aee3cdf03ba,a97869a1-e6fa-46fe-9bcd-8501477cdecb,c5,c4,27,p1,?,surb={'id': 'e5360997-b754-4d6e-87e5-458f3969dba5', 'route': ['p1', 'e8', 'i7', 'x10', 'p2', 'c5']}
1769453142.47097,RECEIVED,14fc15da-1d52-4e8a-ad4f-36cdb8c46ded,67afcb3e-1f2a-45a4-abaa-8104c580bb0f,c5,c4,27,p1,?,surb={'id': '4f1489d8-98eb-45c2-a5a3-d6c4527afd3e', 'route': ['p1', 'e9', 'i3', 'x9', 'p2', 'c5']}
1769453142.700607,SENT,f577d012-0dbb-4fde-8ae7-189d7e111c67,77c9ac18-1366-441f-aa37-bc3ef0cfc7cc,c4,c2,3372,?,p1,
1769453142.7008896,CREATED,29dd7083-b30e-43e4-a832-7e3c9300324f,01def6c6-6722-4568-b966-507cf26c5725,c4,c2,25,?,?,surb={'id': '1653a470-cf75-4ae9-ad30-d0efdb21628f', 'route': ['p2', 'e1', 'i5', 'x4', 'p1', 'c4']}
1769453142.705424,RECEIVED,3c3bfab8-4281-48fd-8753-55db97b8c83b,25bb0828-1740-412b-bf85-f0c66d6eba94,c5,c4,27,p1,?,surb={'id': '99a8f120-57b8-4f23-b963-5bb0012ff79e', 'route': ['p1', 'e10', 'i7', 'x3', 'p2', 'c5']}
1769453142.727224,SENT,78f01672-5616-4aab-b976-25dc981ea935,fe50045d-f1cc-4e03-9ae4-ba80d1e1dfce,c4,c2,3379,?,p1,
1769453142.7273571,CREATED,26e0cefa-9765-41e6-b5c2-f0af185cb00a,01def6c6-6722-4568-b966-507cf26c5725,c4,c2,25,?,?,surb={'id': '1653a470-cf75-4ae9-ad30-d0efdb21628f', 'route': ['p2', 'e1', 'i5', 'x4', 'p1', 'c4']}
1769453142.8873048,SENT,5433df28-20a1-4d9b-8f51-15ffb035fd13,c01bde81-ab68-47a1-9df8-ce43488eae4c,c4,c2,3369,?,p1,
1769453142.8874447,CREATED,fc25de45-8acb-497e-b284-4103333e659d,2fe3f1cc-c6b0-4b43-889c-7c4b75360e0a,c4,c2,27,?,?,surb={'id': 'c07986bd-7d60-475b-8b84-56ef61030921', 'route': ['p2', 'e9', 'i2', 'x1', 'p1', 'c4']}
1769453142.9258397,SENT,b7df4219-074b-4251-836f-8439034a5dfc,2a7b1b0b-6108-496f-a8d9-7ea4bdae95be,c4,c2,3383,?,p1,
1769453142.9259734,CREATED,cc06210e-deca-4e0d-b40e-3e8948685167,2fe3f1cc-c6b0-4b43-889c-7c4b75360e0a,c4,c2,27,?,?,surb={'id': 'c07986bd-7d60-475b-8b84-56ef61030921', 'route': ['p2', 'e9', 'i2', 'x1', 'p1', 'c4']}
1769453143.0509393,RECEIVED,e63abbb7-7cef-418d-9dfe-d4b2c16b8222,58a3629a-9440-4e0c-95aa-c4ef881db8f3,c5,c4,27,p1,?,surb={'id': 'a0af0910-cf16-4603-bc1e-e969293805b1', 'route': ['p1', 'e11', 'i6', 'x1', 'p2', 'c5']}
1769453143.3258395,RECEIVED,f6dbec02-d328-4d9e-97e5-e603dadb76ee,df2e61f0-b1bd-4794-81fd-d7d49c067fed,c5,c4,27,p1,?,surb={'id': 'b26e1314-43df-4540-91fc-49578a6b172b', 'route': ['p1', 'e10', 'i1', 'x4', 'p2', 'c5']}
1769453143.3597686,SENT,426a58b0-067f-472b-9a26-e4288b700bf8,08f19c33-956f-42a1-9648-f853d6f7c8e4,c4,c2,3384,?,p1,
1769453143.359933,CREATED,7a5710a8-44c7-4968-8e7d-56355d4d2ac7,8a3cbe4d-3b69-4523-aa25-b3390b6cfa3b,c4,c2,26,?,?,surb={'id': 'ba3398c8-fc02-428e-b930-5a3f3cc8a7dc', 'route': ['p2', 'e2', 'i8', 'x9', 'p1', 'c4']}
1769453143.8367486,RECEIVED,ff2a7e3f-b8b4-4819-adc9-9d1c3fc43031,81a1319d-09f9-4962-a0d0-8ca2abb68d78,c5,c4,27,p1,?,surb={'id': '4498cad1-b4cf-42a3-a844-6bdf3a21352a', 'route': ['p1', 'e9', 'i3', 'x11', 'p2', 'c5']}
1769453144.0353048,SENT,123acce4-ed8e-46b9-bdbf-381624785669,51a9f093-a37c-4a7a-bd36-871ad5e485a3,c4,c2,3383,?,p1,
1769453144.0354526,CREATED,38647b4e-19b5-4c5d-96fc-f5da63b212c8,8a3cbe4d-3b69-4523-aa25-b3390b6cfa3b,c4,c2,26,?,?,surb={'id': 'ba3398c8-fc02-428e-b930-5a3f3cc8a7dc', 'route': ['p2', 'e2', 'i8', 'x9', 'p1', 'c4']}
1769453144.1190844,SENT,efb230c7-fc2c-46fe-9d95-fb9d887da177,d0665eee-e5e2-4ebf-915a-7b18f4fdc2f9,c4,c2,3379,?,p1,
