timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453131.9586544,SENT,bbfc8c03-bc83-4e88-b0ab-1837619c029e,6e32d0fd-19c1-4dab-bc48-127af70bd725,c2,DROP,2027,?,p2,
1769453131.9587817,CREATED,92fa1fd9-3287-4cb8-ad30-15440e3cf37f,fee4490b-a509-48db-9afc-068148c30299,c2,DROP,26,?,?,
1769453132.2628706,SENT,39baa510-c4c6-41a4-a3e5-44c876fb1647,0c9a8e78-9f85-4a1e-8cdb-5a283852eb21,c2,c3,3365,?,p2,
1769453132.2630243,CREATED,cc5cdd68-48e0-4ce4-9044-cd025776a804,fb3d6c42-1aad-466e-874e-85e648c49bf8,c2,c3,26,?,?,surb={'id': 'b144f7b6-4d8b-452c-a4ef-9d39ec9aece5', 'route': ['p3', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769453133.766133,SENT,d560481b-ebe4-4c3a-86b3-040c38cf9338,a86d1602-4581-48a2-a0fb-08a4ea4007c8,c2,c3,3375,?,p2,
1769453133.7662828,CREATED,10a0c8a6-794a-43df-8a82-6e2c8e8f957a,94923c3a-fad5-4909-af73-119c0b6f4de4,c2,c3,27,?,?,surb={'id': 'f114e0a9-9f2c-46bd-9792-668f8ebfee47', 'route': ['p3', 'e1', 'i1', 'x2', 'p2', 'c2']}
1769453133.7837696,SENT,413108d7-a84e-473e-bc61-d17da0b56192,441f6698-f422-4f8d-86b6-26d675227bf5,c2,c3,3383,?,p2,
1769453133.7838972,CREATED,329a87ea-e82d-4cd6-839a-c08d4c78103f,94923c3a-fad5-4909-af73-119c0b6f4de4,c2,c3,27,?,?,surb={'id': 'f114e0a9-9f2c-46bd-9792-668f8ebfee47', 'route': ['p3', 'e1', 'i1', 'x2', 'p2', 'c2']}
1769453133.9870849,RECEIVED,c57ee533-b01d-4d28-913b-91539c806580,5f328693-65c4-44dd-bd60-7e4ee1bdabbe,c4,c2,27,p2,?,surb={'id': '2ab53ec5-54f9-48f4-8ff4-e2f25624fdc5', 'route': ['p2', 'e1', 'i8', 'x4', 'p1', 'c4']}
1769453134.159075,RECEIVED,3f35de4b-be25-420b-88d6-649e57b48e20,5f328693-65c4-44dd-bd60-7e4ee1bdabbe,c4,c2,27,p2,?,surb={'id': '2ab53ec5-54f9-48f4-8ff4-e2f25624fdc5', 'route': ['p2', 'e1', 'i8', 'x4', 'p1', 'c4']}
1769453134.645781,SENT,8785a85b-9a50-43ad-ba21-787f88107d64,ec799f3b-c289-4a37-b2f7-39ffad5c97ac,c2,c3,3375,?,p2,
1769453134.6459289,CREATED,32fc0646-aadd-4977-a413-93f27e3380e3,f520d560-65a6-470e-8b30-db6a5eedb62d,c2,c3,26,?,?,surb={'id': '651c73cf-a1ea-4bb5-a1b6-a864427f795d', 'route': ['p3', 'e11', 'i6', 'x9', 'p2', 'c2']}
1769453134.6734464,RECEIVED,a74fadfe-ec0a-4c52-8316-5e6fe87fc0dd,7be9a841-3197-41dc-8288-6d2dfff4bbdc,c4,c2,27,p2,?,surb={'id': '9d36f8d5-6c13-4e65-a75e-61005ed9e186', 'route': ['p2', 'e9', 'i6', 'x4', 'p1', 'c4']}
1769453135.0988834,RECEIVED,85f5eb7b-e98c-47d7-ac07-32dd75e5e856,4cdb87b0-6193-4492-8b43-7a55af105b2e,c4,c2,26,p2,?,surb={'id': '864e1544-c8e7-4c4f-98de-363a8d47f3f6', 'route': ['p2', 'e11', 'i2', 'x3', 'p1', 'c4']}
1769453135.1288612,SENT,c0657e5a-cd47-465e-9fbb-90263c72a5c8,8900d0e8-8bc5-420c-99c5-8b30df562a2f,c2,c3,3384,?,p2,
1769453135.1290076,CREATED,085d79db-2380-49c1-bc86-99a098a38cab,f520d560-65a6-470e-8b30-db6a5eedb62d,c2,c3,26,?,?,surb={'id': '651c73cf-a1ea-4bb5-a1b6-a864427f795d', 'route': ['p3', 'e11', 'i6', 'x9', 'p2', 'c2']}
1769453135.1782203,RECEIVED,21574035-7e5a-4416-b235-669d62a0ddeb,7be9a841-3197-41dc-8288-6d2dfff4bbdc,c4,c2,27,p2,?,surb={'id': '9d36f8d5-6c13-4e65-a75e-61005ed9e186', 'route': ['p2', 'e9', 'i6', 'x4', 'p1', 'c4']}
1769453135.2598226,SENT,ab73993b-6e83-4a7a-bcdc-8033a012dedd,3da3dab8-2440-41e6-8984-94da7ac49cff,c2,c3,3380,?,p2,
1769453135.2599695,CREATED,b365e1b3-0e26-47af-9fd3-0550e1f9102f,16c4909e-c343-4fa1-9f91-822184ca2619,c2,c3,26,?,?,surb={'id': '7e01f6c5-ca63-46e7-97fc-4ef2ba31cf5e', 'route': ['p3', 'e5', 'i10', 'x2', 'p2', 'c2']}
1769453135.542326,RECEIVED,fc2b3595-b8da-4734-872c-6881683aa555,606177de-ae20-48be-8d63-3c9fde669cce,c4,c2,27,p2,?,surb={'id': '79fed4ce-e0e4-4494-b2e5-64488b03f795', 'route': ['p2', 'e10', 'i4', 'x9', 'p1', 'c4']}
1769453135.5541224,RECEIVED,77472c58-64fb-4726-a6ee-8168c4d8d8dc,5e357068-d143-4819-947f-25cb9c4bfe0d,c4,c2,26,p2,?,surb={'id': '5258d790-139b-46b7-b329-c9cf381e52e4', 'route': ['p2', 'e8', 'i10', 'x5', 'p1', 'c4']}
1769453135.6576524,SENT,ea3939b9-95ef-4fa3-b77f-02fd7a54717a,d90b1326-0e39-4d7f-85d6-b24c72f9f269,c2,c3,3374,?,p2,
1769453135.6578126,CREATED,9d08b90f-4b46-4618-b10d-f16b508eece7,16c4909e-c343-4fa1-9f91-822184ca2619,c2,c3,26,?,?,surb={'id': '7e01f6c5-ca63-46e7-97fc-4ef2ba31cf5e', 'route': ['p3', 'e5', 'i10', 'x2', 'p2', 'c2']}
1769453136.0386071,SENT,6a6ba729-8596-4df2-93f5-625be8a64086,6951b5cc-0601-47eb-b64d-86da1dd47ec8,c2,c3,3378,?,p2,
1769453136.0387554,CREATED,77160e00-0d02-432a-a9de-a6d38bd069d2,94c6c81f-8547-4738-9589-1f63549bd8b9,c2,c3,27,?,?,surb={'id': '5b67efc4-b08f-4afe-aa87-2ce79ec3da75', 'route': ['p3', 'e9', 'i7', 'x3', 'p2', 'c2']}
1769453136.7324924,SENT,3e7451d2-8a82-4b43-ad0a-98e9ec6a3228,1e79ac0a-78f0-444a-a857-33dc864fa010,c2,c3,3359,?,p2,
1769453136.732654,CREATED,a230b406-0518-440a-b686-39b6e786eb9d,94c6c81f-8547-4738-9589-1f63549bd8b9,c2,c3,27,?,?,surb={'id': '5b67efc4-b08f-4afe-aa87-2ce79ec3da75', 'route': ['p3', 'e9', 'i7', 'x3', 'p2', 'c2']}
1769453136.770589,SENT,74565f58-b834-4621-a5b5-78235641d7b6,d815f76f-fb7b-4e02-94a7-bc5a3558d7bc,c2,c3,3390,?,p2,
1769453136.7707455,CREATED,e886b0b0-f045-4e6a-b93f-ef2771169d07,ed84a7f5-4627-418d-aa43-38ede20e61c3,c2,c3,27,?,?,surb={'id': '049ff6a3-eddf-48d1-b9a7-9d6380a425fa', 'route': ['p3', 'e4', 'i12', 'x7', 'p2', 'c2']}
1769453136.807638,SENT,f9bf13a2-4a5d-4b9d-8203-3faed5a932b8,7a9c133d-2cf9-44e0-b518-e0b362d1e9ff,c2,c3,3380,?,p2,
1769453136.8077848,CREATED,204a6546-846e-4515-8d9a-cfeabf79eb5e,ed84a7f5-4627-418d-aa43-38ede20e61c3,c2,c3,27,?,?,surb={'id': '049ff6a3-eddf-48d1-b9a7-9d6380a425fa', 'route': ['p3', 'e4', 'i12', 'x7', 'p2', 'c2']}
1769453137.016506,RECEIVED,a01706a4-09ac-49ec-b9f4-c86c4f6e5b82,5e357068-d143-4819-947f-25cb9c4bfe0d,c4,c2,26,p2,?,surb={'id': '5258d790-139b-46b7-b329-c9cf381e52e4', 'route': ['p2', 'e8', 'i10', 'x5', 'p1', 'c4']}
1769453137.100342,RECEIVED,b96c0646-d853-4d68-938f-ed7f34c9b5e5,ff6ae895-5ac5-458c-bd85-1aae1f02586a,c4,c2,26,p2,?,surb={'id': 'a73a947d-e651-4f77-b41d-e5ac1265a26e', 'route': ['p2', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769453137.1319883,RECEIVED,54fa2c32-8a82-4391-b326-6d7411de03a9,4cdb87b0-6193-4492-8b43-7a55af105b2e,c4,c2,26,p2,?,surb={'id': '864e1544-c8e7-4c4f-98de-363a8d47f3f6', 'route': ['p2', 'e11', 'i2', 'x3', 'p1', 'c4']}
1769453137.2379534,SENT,45cf470a-0db4-4b8e-9ef3-730477ca35c0,d483183b-245b-41f8-8b4f-3ec4204652e5,c2,c3,3373,?,p2,
1769453137.2381659,CREATED,fc970f5e-7f9e-462d-99a4-4b8b5f5b61f1,76482dcc-60e6-4c25-b66e-59b5e1ebf675,c2,c3,27,?,?,surb={'id': '1a2c065c-7982-40fa-ad45-9bb68bdb15ad', 'route': ['p3', 'e4', 'i12', 'x10', 'p2', 'c2']}
1769453137.2755978,SENT,9dd49ed9-88f8-427c-8080-27c5145e7974,25f87dfc-cf4a-402e-b486-8d365f2ee6e4,c2,c3,3399,?,p2,
1769453137.2757733,CREATED,70941cc2-19f7-491b-95ef-a867cf959e86,76482dcc-60e6-4c25-b66e-59b5e1ebf675,c2,c3,27,?,?,surb={'id': '1a2c065c-7982-40fa-ad45-9bb68bdb15ad', 'route': ['p3', 'e4', 'i12', 'x10', 'p2', 'c2']}
1769453137.4872432,SENT,39d5c880-36a8-4a41-905f-a76514e78abf,f069031e-4426-46ef-af00-a8ef07f61dbb,c2,c3,3379,?,p2,
1769453137.4873946,CREATED,4add1219-a33c-445d-b22a-f2dd961fb228,efef6e41-6f44-4e00-862c-442bdb268fb4,c2,c3,26,?,?,surb={'id': '49b0e243-4ac1-4ce1-ae0f-baf38811aa43', 'route': ['p3', 'e8', 'i12', 'x7', 'p2', 'c2']}
1769453138.0685601,SENT,60a9fc43-3c99-4cde-992e-a04c9ce0783d,9ab45304-1f75-4f95-9e2c-781235ad4591,c2,c3,3359,?,p2,
1769453138.0687127,CREATED,df0766b5-5d99-466d-a248-378f88e95236,efef6e41-6f44-4e00-862c-442bdb268fb4,c2,c3,26,?,?,surb={'id': '49b0e243-4ac1-4ce1-ae0f-baf38811aa43', 'route': ['p3', 'e8', 'i12', 'x7', 'p2', 'c2']}
1769453138.2816448,SENT,01c7b24e-011a-46dc-8858-50ad7f8ef4cd,2abe382d-0131-47d0-a92d-46a29112d151,c2,c3,3360,?,p2,
1769453138.281795,CREATED,144b3013-8287-4594-87bb-e9ae552199e4,1ba4a372-db16-4a8f-ba7c-d0e5c6626ba2,c2,c3,27,?,?,surb={'id': '06c9ee58-555a-44d6-a92e-27ee9b9243cb', 'route': ['p3', 'e2', 'i3', 'x11', 'p2', 'c2']}
1769453138.2924776,RECEIVED,759afb40-80b7-4493-ab44-9ff184707453,606177de-ae20-48be-8d63-3c9fde669cce,c4,c2,27,p2,?,surb={'id': '79fed4ce-e0e4-4494-b2e5-64488b03f795', 'route': ['p2', 'e10', 'i4', 'x9', 'p1', 'c4']}
1769453138.4814663,SENT,106060e6-d7da-476a-94f0-cd9b4bf7b911,2d9eddf9-029b-448f-be4c-d5e7c5b43d14,c2,c3,3394,?,p2,
1769453138.481615,CREATED,ebadb977-91a6-48a9-9a6a-71795accce34,1ba4a372-db16-4a8f-ba7c-d0e5c6626ba2,c2,c3,27,?,?,surb={'id': '06c9ee58-555a-44d6-a92e-27ee9b9243cb', 'route': ['p3', 'e2', 'i3', 'x11', 'p2', 'c2']}
1769453138.4923165,SENT,9365120b-617e-4cbf-a55f-1c67a87f6b82,5960b35a-4d3d-4f88-a2a8-72edd77cf76d,c2,c3,3399,?,p2,
1769453138.492476,CREATED,4b59174b-c4f5-46a9-a588-3f35b3ac746b,6ea43bd6-46f5-4f75-8ce6-0cab46e0001a,c2,c3,27,?,?,surb={'id': '81020a4d-ef87-4bc4-b1db-92151139be6d', 'route': ['p3', 'e7', 'i1', 'x12', 'p2', 'c2']}
1769453139.2263744,SENT,e256b4c3-4dc9-4ea8-a98d-463f35595a55,9357d8b9-87e6-408c-a634-f701d5606718,c2,c3,3392,?,p2,
1769453139.2266037,CREATED,bffe9fad-d6e1-4081-9bbc-ddb07d9adbc8,6ea43bd6-46f5-4f75-8ce6-0cab46e0001a,c2,c3,27,?,?,surb={'id': '81020a4d-ef87-4bc4-b1db-92151139be6d', 'route': ['p3', 'e7', 'i1', 'x12', 'p2', 'c2']}
1769453139.49004,SENT,d0246e7a-29eb-4e2f-b33c-45e4b6346417,840f51a4-8f36-4fea-9d0c-996bf619c3a6,c2,c3,3387,?,p2,
1769453139.490357,CREATED,705b9d94-977b-409e-97c5-f5da095df47a,3213ef91-00be-4e62-8a3d-4807bb83c06f,c2,c3,27,?,?,surb={'id': '833b1d6a-fdbf-404a-b65d-6815ba400eba', 'route': ['p3', 'e8', 'i10', 'x11', 'p2', 'c2']}
1769453140.1707468,SENT,b084c2a1-2f63-4271-b9f9-60c7c77ecbbf,80862dd4-8a6a-49f2-9c6e-da609dc4de82,c2,c3,3400,?,p2,
1769453140.1708946,CREATED,9a5544e7-4ed1-4d39-b9c4-4ec42334a54d,3213ef91-00be-4e62-8a3d-4807bb83c06f,c2,c3,27,?,?,surb={'id': '833b1d6a-fdbf-404a-b65d-6815ba400eba', 'route': ['p3', 'e8', 'i10', 'x11', 'p2', 'c2']}
1769453140.184605,SENT,8e3d18e0-c06d-4a01-bbf7-de899e2bb04b,b17df026-94ac-43e9-bbe7-344131961676,c2,c3,3364,?,p2,
1769453140.184752,CREATED,baabefb8-cb67-40c3-816a-32fd3fca5080,9667897b-d7ed-4ede-987e-5a39baa5dea6,c2,c3,27,?,?,surb={'id': 'c1404e2c-6ab1-46cf-aba0-a234ee6463f9', 'route': ['p3', 'e9', 'i5', 'x4', 'p2', 'c2']}
1769453140.587383,SENT,732e444a-296c-4411-9728-a04d689775dc,64956a63-015a-480c-9649-c51a4cf5c096,c2,c3,3385,?,p2,
1769453140.5875301,CREATED,e95bfe3c-820b-4a4f-ab18-1d63a3eb94c8,9667897b-d7ed-4ede-987e-5a39baa5dea6,c2,c3,27,?,?,surb={'id': 'c1404e2c-6ab1-46cf-aba0-a234ee6463f9', 'route': ['p3', 'e9', 'i5', 'x4', 'p2', 'c2']}
1769453140.74511,RECEIVED,68e51ba2-275f-4737-82f6-67c0723d32d4,c51e0396-5432-4368-84b9-d7843993e062,c4,c2,27,p2,?,surb={'id': '45dbfb2b-96e3-4dfb-9337-3c63130119cb', 'route': ['p2', 'e11', 'i3', 'x7', 'p1', 'c4']}
1769453140.9112644,SENT,f9e8b144-ec9a-44a8-a123-620a90c9b83f,7c9d845c-c06d-4b0a-b1b3-29e53dadc8bc,c2,c3,3360,?,p2,
1769453140.9114354,CREATED,1331fb3f-1e6f-4062-9021-9c55ea4465d1,7c9e3da2-46ea-4724-a87c-8072f999ef4f,c2,c3,26,?,?,surb={'id': '90986646-d75e-411d-a07c-f9a9787b4749', 'route': ['p3', 'e7', 'i7', 'x1', 'p2', 'c2']}
1769453140.922432,SENT,8db35d76-3260-46b7-864a-cf7a61e8ca66,5ccbdf77-d898-41d9-b9f2-9e67b66a9ab8,c2,c3,3388,?,p2,
1769453140.9225903,CREATED,37087a0e-a64c-4abc-b495-6d2e120437ae,7c9e3da2-46ea-4724-a87c-8072f999ef4f,c2,c3,26,?,?,surb={'id': '90986646-d75e-411d-a07c-f9a9787b4749', 'route': ['p3', 'e7', 'i7', 'x1', 'p2', 'c2']}
1769453140.9703395,SENT,e474fb83-2d43-48d5-8aa9-8c6ab0d70c71,a3839d6e-94de-4a1c-8244-c26f50264364,c2,c3,3404,?,p2,
1769453140.9704893,CREATED,1cbb1fd7-833a-41a2-b1ee-81d70808c420,dc45e5b5-1490-4a9e-9e88-1d95655fa473,c2,c3,27,?,?,surb={'id': '0d6720e8-9fc9-47a6-9465-d698a453d5a0', 'route': ['p3', 'e10', 'i11', 'x12', 'p2', 'c2']}
1769453141.1836917,SENT,07327b18-3446-4b02-89d1-1acf0dea41f8,c5823e7c-a0d2-4efa-9c6b-d8f46017d389,c2,c3,3393,?,p2,
1769453141.1838174,CREATED,ababb212-00d4-4582-81d3-f8bb1f557616,dc45e5b5-1490-4a9e-9e88-1d95655fa473,c2,c3,27,?,?,surb={'id': '0d6720e8-9fc9-47a6-9465-d698a453d5a0', 'route': ['p3', 'e10', 'i11', 'x12', 'p2', 'c2']}
1769453141.2173069,RECEIVED,6c4fb22e-44bc-499a-853f-6979d57f4fd4,76e31916-9a28-4bb4-aca2-da9c1e5466b3,c4,c2,26,p2,?,surb={'id': 'd5e7ab68-cc60-4b50-a97f-9d6f0c90fad3', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769453141.3079946,RECEIVED,9bad2dc6-88d5-4b66-b130-bf07caeecd06,ff6ae895-5ac5-458c-bd85-1aae1f02586a,c4,c2,26,p2,?,surb={'id': 'a73a947d-e651-4f77-b41d-e5ac1265a26e', 'route': ['p2', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769453141.3717623,RECEIVED,307280ff-315c-47c3-b7c7-f7be28fb6848,c51e0396-5432-4368-84b9-d7843993e062,c4,c2,27,p2,?,surb={'id': '45dbfb2b-96e3-4dfb-9337-3c63130119cb', 'route': ['p2', 'e11', 'i3', 'x7', 'p1', 'c4']}
1769453141.5574107,SENT,e07dc003-4f4e-4996-9435-e2f00d31d4f5,d696c001-891b-4db0-97f5-c6f06e16b9d1,c2,c3,3380,?,p2,
1769453141.5575626,CREATED,c0cae8c2-b59d-40a4-a584-26da7ed4818d,742bf4b1-c1b1-4ae7-806c-878bc50b776b,c2,c3,25,?,?,surb={'id': '9b6a9eca-19e8-40f7-974b-90c4c53a39e9', 'route': ['p3', 'e7', 'i11', 'x9', 'p2', 'c2']}
1769453141.5838497,SENT,6b631011-0efe-4509-889e-d33008db2b26,b932c844-c327-4091-a272-fc580f1fd62e,c2,c3,3381,?,p2,
1769453141.583998,CREATED,c1521d66-714d-4dc6-8ad5-64b83db5bfe1,742bf4b1-c1b1-4ae7-806c-878bc50b776b,c2,c3,25,?,?,surb={'id': '9b6a9eca-19e8-40f7-974b-90c4c53a39e9', 'route': ['p3', 'e7', 'i11', 'x9', 'p2', 'c2']}
1769453141.686883,RECEIVED,03f6d7c2-ec3d-43ff-974d-e467a47fa04d,76e31916-9a28-4bb4-aca2-da9c1e5466b3,c4,c2,26,p2,?,surb={'id': 'd5e7ab68-cc60-4b50-a97f-9d6f0c90fad3', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769453141.892171,RECEIVED,afd5a2bb-d6fb-4fbf-a89c-7556781c90e9,7f135d9f-dba9-4bf3-86d6-4033fc7775d6,c4,c2,27,p2,?,surb={'id': '70d7c585-153a-4e11-a74b-f55d28944efa', 'route': ['p2', 'e1', 'i8', 'x12', 'p1', 'c4']}
1769453141.962578,RECEIVED,3552fe51-d65c-4891-a301-8ef04cd15785,4dd4712e-7545-4b5a-8782-8bf96f005337,c4,c2,27,p2,?,surb={'id': 'ac7d7d84-66be-4a30-9cec-51b5f72f0486', 'route': ['p2', 'e2', 'i11', 'x3', 'p1', 'c4']}
1769453142.0153315,SENT,b64f551e-b803-4ceb-9210-15d8915e627e,2d65e096-ac00-478f-b852-df16cd1c96ff,c2,c3,3380,?,p2,
1769453142.0154529,CREATED,cea6eed6-4746-4b7d-ae00-00fcfd1978d1,bb428538-8f86-444a-b0c5-da832ed4f8da,c2,c3,26,?,?,surb={'id': 'b7eca6aa-7a6a-465a-9e8f-f1e546904153', 'route': ['p3', 'e3', 'i9', 'x4', 'p2', 'c2']}
1769453142.107188,SENT,c7545d09-a2e1-44bf-9f01-41bb9e5d0903,2df23262-c8bb-4013-ade9-b47c93015313,c2,c3,3384,?,p2,
1769453142.1073234,CREATED,7908250c-c008-4538-847c-cf8aedf88b7f,bb428538-8f86-444a-b0c5-da832ed4f8da,c2,c3,26,?,?,surb={'id': 'b7eca6aa-7a6a-465a-9e8f-f1e546904153', 'route': ['p3', 'e3', 'i9', 'x4', 'p2', 'c2']}
1769453142.2675457,SENT,211a8b0f-f0e8-4ee2-8873-49a0eee862f0,3aa27f79-ceff-4d55-b5a8-b10138150ade,c2,c3,3392,?,p2,
1769453142.2676766,CREATED,0afd76a4-cd6f-42bc-9691-fbaed408507c,862753f2-0002-4baa-901d-953b3f3e9271,c2,c3,27,?,?,surb={'id': 'd9230271-50be-4640-9749-be9a6e4fa69b', 'route': ['p3', 'e6', 'i2', 'x6', 'p2', 'c2']}
1769453142.3132005,RECEIVED,d3846910-6e79-464d-acf8-f836e2c15c47,c9a50f32-427d-4ba3-8177-b897e67a4570,c4,c2,27,p2,?,surb={'id': '71655153-6b0c-42b4-b6ce-87947105f5c2', 'route': ['p2', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453142.3286273,SENT,42183271-74df-435a-a9d9-04b362003bd5,97014ce7-ae5f-4c24-89a2-5112b4a6e44b,c2,c3,3383,?,p2,
1769453142.328726,CREATED,4a09aff2-9e6b-48dd-8623-c1875dff88bb,862753f2-0002-4baa-901d-953b3f3e9271,c2,c3,27,?,?,surb={'id': 'd9230271-50be-4640-9749-be9a6e4fa69b', 'route': ['p3', 'e6', 'i2', 'x6', 'p2', 'c2']}
1769453142.3339415,SENT,fcfef42f-d061-4840-86a6-ae04fd498763,3a3d67b1-d447-4205-8d75-97227c08ed00,c2,c3,3387,?,p2,
1769453142.3340333,CREATED,dac8d13b-9bc9-4092-af05-b99224d56706,ee00e903-9d5c-4158-8305-104900f0c680,c2,c3,27,?,?,surb={'id': 'fc79977a-ebfb-4e1b-82b2-0412b64a618a', 'route': ['p3', 'e3', 'i2', 'x6', 'p2', 'c2']}
1769453142.437263,SENT,92919956-1c18-469d-9dd4-e2fee8f56273,7b5b907d-65ab-46c3-8e2c-cc1773689402,c2,c3,3371,?,p2,
1769453142.4373388,CREATED,baca292a-3782-40b9-bf23-c1bcf3979d0f,ee00e903-9d5c-4158-8305-104900f0c680,c2,c3,27,?,?,surb={'id': 'fc79977a-ebfb-4e1b-82b2-0412b64a618a', 'route': ['p3', 'e3', 'i2', 'x6', 'p2', 'c2']}
1769453142.4983575,RECEIVED,9fc53019-9f67-4a29-b81f-debc90b5202f,24a1eea9-c45e-42b9-9db8-bdfa19fd2a64,c4,c2,27,p2,?,surb={'id': '683fc6c6-4ddd-453b-aa77-ea9fb83233f8', 'route': ['p2', 'e6', 'i6', 'x1', 'p1', 'c4']}
1769453142.5623844,RECEIVED,dda83240-4ba3-45e5-a94e-e5e294967c70,24a1eea9-c45e-42b9-9db8-bdfa19fd2a64,c4,c2,27,p2,?,surb={'id': '683fc6c6-4ddd-453b-aa77-ea9fb83233f8', 'route': ['p2', 'e6', 'i6', 'x1', 'p1', 'c4']}
1769453142.574287,SENT,4361787f-2a67-4e29-ad33-7b36e3130a64,6a4ebbfa-fe35-4142-a7e9-462dc31ea2c8,c2,c3,3376,?,p2,
1769453142.574419,CREATED,3bec1f0f-3708-412c-9bce-f8e11397dc59,f4d02d0a-acd7-4581-ac8e-48d101157901,c2,c3,27,?,?,surb={'id': '7feb3952-200d-474c-9d13-48fe7c46a733', 'route': ['p3', 'e7', 'i11', 'x1', 'p2', 'c2']}
1769453143.2039533,RECEIVED,b1bb43ea-ca67-4703-82f8-5b14ff41b0eb,4dd4712e-7545-4b5a-8782-8bf96f005337,c4,c2,27,p2,?,surb={'id': 'ac7d7d84-66be-4a30-9cec-51b5f72f0486', 'route': ['p2', 'e2', 'i11', 'x3', 'p1', 'c4']}
1769453143.352338,RECEIVED,18d99aaa-9db0-4a38-95b3-55a7dfea4bb0,7f135d9f-dba9-4bf3-86d6-4033fc7775d6,c4,c2,27,p2,?,surb={'id': '70d7c585-153a-4e11-a74b-f55d28944efa', 'route': ['p2', 'e1', 'i8', 'x12', 'p1', 'c4']}
1769453143.7886188,RECEIVED,cc06210e-deca-4e0d-b40e-3e8948685167,2fe3f1cc-c6b0-4b43-889c-7c4b75360e0a,c4,c2,27,p2,?,surb={'id': 'c07986bd-7d60-475b-8b84-56ef61030921', 'route': ['p2', 'e9', 'i2', 'x1', 'p1', 'c4']}
1769453143.81194,SENT,4045394e-5af8-4906-a543-b40f1cee25ef,f5933551-9ffc-4eaa-88b7-036b8a37f3fc,c2,c3,3379,?,p2,
