timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453145.1447587,CREATED,2c4f7f5f-99f6-4ce5-bcbe-3b58865aa01d,e7ec6e98-eb1c-40e6-870c-e022bc9abf1b,c1,c3,27,?,?,surb={'id': '612d00db-25c2-42a3-87bc-6378ea6c4c2e', 'route': ['p3', 'e4', 'i11', 'x12', 'p1', 'c1']}
1769453145.3937702,SENT,066ddee7-5c67-4b48-ab0c-dc0f0e0b0600,1f76a7c6-640a-4d5b-9631-b4d4a55e0712,c1,c3,3390,?,p1,
1769453145.3939164,CREATED,61bf8556-f923-40d0-940c-6b55b2b9588d,e7ec6e98-eb1c-40e6-870c-e022bc9abf1b,c1,c3,27,?,?,surb={'id': '612d00db-25c2-42a3-87bc-6378ea6c4c2e', 'route': ['p3', 'e4', 'i11', 'x12', 'p1', 'c1']}
1769453145.4238641,RECEIVED,60e6d742-d37a-40e5-b3a9-7fae0d7f86ad,1adfb337-c5b6-41d5-b913-360caa9b1967,c3,c1,26,p1,?,surb={'id': 'cbed4b8c-dc59-4280-bccf-92dc46993fee', 'route': ['p1', 'e4', 'i1', 'x8', 'p3', 'c3']}
1769453145.6978488,SENT,a4bfe1f6-a20a-423f-ad56-9aa3e3af11e1,ffad3cc7-7f2f-487a-a522-f243539f6576,c1,c3,3368,?,p1,
1769453145.6979976,CREATED,10d7f838-ca5e-4801-b76c-7de4ea2de514,0cb6c784-7dd9-4999-8b0b-ee81854d18d8,c1,c3,27,?,?,surb={'id': '82f78dfb-e5f4-40c1-80de-59eca65cb356', 'route': ['p3', 'e5', 'i11', 'x4', 'p1', 'c1']}
1769453145.752617,RECEIVED,599e411f-efc5-4b6e-ad46-8b5a493810c4,66dffed0-3f6b-424a-ae21-6a9d0316e318,c3,c1,26,p1,?,surb={'id': '7f391439-e93d-4a00-b2bf-3a884a90fe62', 'route': ['p1', 'e2', 'i6', 'x8', 'p3', 'c3']}
1769453145.8007712,SENT,c872748e-7bb0-45ba-8ce9-38aa0372b2f9,b1d80364-39d8-4c00-90e8-6fffdece19ce,c1,c3,3399,?,p1,
1769453145.8009193,CREATED,3796da7d-28f5-4fdf-a20e-138df26fb7c8,0cb6c784-7dd9-4999-8b0b-ee81854d18d8,c1,c3,27,?,?,surb={'id': '82f78dfb-e5f4-40c1-80de-59eca65cb356', 'route': ['p3', 'e5', 'i11', 'x4', 'p1', 'c1']}
1769453145.836082,SENT,aa542343-c6db-4ef3-9901-e12340b63066,4f20a5bc-1759-48fb-b5ee-8845da9cf13a,c1,c3,3375,?,p1,
