timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453140.6827307,CREATED,1af840de-8dab-4cdf-aca1-4553e228d07a,4fc1e207-b1f0-47db-a659-5a3ea63ea8b8,c3,c1,27,?,?,surb={'id': '5faf9b64-4139-40af-85fd-141228a94414', 'route': ['p1', 'e12', 'i8', 'x8', 'p3', 'c3']}
1769453140.7506409,SENT,ce71c162-228f-4c2b-bcd4-c081b1323201,5f346a3a-46da-489a-9cd7-ba5a974bde77,c3,c1,3375,?,p3,
1769453140.7507877,CREATED,bc4bedf8-49c4-4e35-8f60-e2aa0c892ea4,d98cbdae-4390-448b-be5a-3140fb33cb27,c3,c1,27,?,?,surb={'id': '47dcdd1b-7b9a-42f9-8f99-f751f02b4bf9', 'route': ['p1', 'e2', 'i7', 'x12', 'p3', 'c3']}
1769453140.7962334,RECEIVED,4add1219-a33c-445d-b22a-f2dd961fb228,efef6e41-6f44-4e00-862c-442bdb268fb4,c2,c3,26,p3,?,surb={'id': '49b0e243-4ac1-4ce1-ae0f-baf38811aa43', 'route': ['p3', 'e8', 'i12', 'x7', 'p2', 'c2']}
1769453141.0028365,RECEIVED,e886b0b0-f045-4e6a-b93f-ef2771169d07,ed84a7f5-4627-418d-aa43-38ede20e61c3,c2,c3,27,p3,?,surb={'id': '049ff6a3-eddf-48d1-b9a7-9d6380a425fa', 'route': ['p3', 'e4', 'i12', 'x7', 'p2', 'c2']}
1769453141.0584893,RECEIVED,70941cc2-19f7-491b-95ef-a867cf959e86,76482dcc-60e6-4c25-b66e-59b5e1ebf675,c2,c3,27,p3,?,surb={'id': '1a2c065c-7982-40fa-ad45-9bb68bdb15ad', 'route': ['p3', 'e4', 'i12', 'x10', 'p2', 'c2']}
1769453141.324249,RECEIVED,df0766b5-5d99-466d-a248-378f88e95236,efef6e41-6f44-4e00-862c-442bdb268fb4,c2,c3,26,p3,?,surb={'id': '49b0e243-4ac1-4ce1-ae0f-baf38811aa43', 'route': ['p3', 'e8', 'i12', 'x7', 'p2', 'c2']}
1769453141.9085662,RECEIVED,baabefb8-cb67-40c3-816a-32fd3fca5080,9667897b-d7ed-4ede-987e-5a39baa5dea6,c2,c3,27,p3,?,surb={'id': 'c1404e2c-6ab1-46cf-aba0-a234ee6463f9', 'route': ['p3', 'e9', 'i5', 'x4', 'p2', 'c2']}
1769453141.997894,RECEIVED,4b59174b-c4f5-46a9-a588-3f35b3ac746b,6ea43bd6-46f5-4f75-8ce6-0cab46e0001a,c2,c3,27,p3,?,surb={'id': '81020a4d-ef87-4bc4-b1db-92151139be6d', 'route': ['p3', 'e7', 'i1', 'x12', 'p2', 'c2']}
1769453142.2282968,RECEIVED,ebadb977-91a6-48a9-9a6a-71795accce34,1ba4a372-db16-4a8f-ba7c-d0e5c6626ba2,c2,c3,27,p3,?,surb={'id': '06c9ee58-555a-44d6-a92e-27ee9b9243cb', 'route': ['p3', 'e2', 'i3', 'x11', 'p2', 'c2']}
1769453142.2440119,SENT,48225c44-79b2-4092-8fdd-9404bfb83c33,b86e1272-91c7-410c-8a52-e7b26330fcb2,c3,c1,3388,?,p3,
1769453142.2452033,CREATED,37b85e8c-4356-4c0f-8577-908aafdc1098,d98cbdae-4390-448b-be5a-3140fb33cb27,c3,c1,27,?,?,surb={'id': '47dcdd1b-7b9a-42f9-8f99-f751f02b4bf9', 'route': ['p1', 'e2', 'i7', 'x12', 'p3', 'c3']}
1769453142.2676651,RECEIVED,1c0f4eab-50c2-4d0e-bb5d-2432e0e0d6a4,0726ca0a-2b09-4549-b567-3a40205b06e7,c1,c3,27,p3,?,surb={'id': '0fb5fcfe-0cde-4c10-9281-a5bf5d0b87af', 'route': ['p3', 'e4', 'i1', 'x3', 'p1', 'c1']}
1769453142.2891092,RECEIVED,bffe9fad-d6e1-4081-9bbc-ddb07d9adbc8,6ea43bd6-46f5-4f75-8ce6-0cab46e0001a,c2,c3,27,p3,?,surb={'id': '81020a4d-ef87-4bc4-b1db-92151139be6d', 'route': ['p3', 'e7', 'i1', 'x12', 'p2', 'c2']}
1769453142.3207989,SENT,08f5c6e9-4620-4236-b520-c950e660632f,36689f5c-f79d-49a4-a98b-e2919607459d,c3,c1,3355,?,p3,
1769453142.320927,CREATED,9977e727-a95a-4ee7-bb7b-502d59a90536,1adfb337-c5b6-41d5-b913-360caa9b1967,c3,c1,26,?,?,surb={'id': 'cbed4b8c-dc59-4280-bccf-92dc46993fee', 'route': ['p1', 'e4', 'i1', 'x8', 'p3', 'c3']}
1769453142.4272256,RECEIVED,9a5544e7-4ed1-4d39-b9c4-4ec42334a54d,3213ef91-00be-4e62-8a3d-4807bb83c06f,c2,c3,27,p3,?,surb={'id': '833b1d6a-fdbf-404a-b65d-6815ba400eba', 'route': ['p3', 'e8', 'i10', 'x11', 'p2', 'c2']}
1769453142.4404354,SENT,19499fb9-9a2e-45c4-a222-1c55f560a3fa,c9eca2bf-c797-484f-9a22-11d810f1db95,c3,c1,3364,?,p3,
1769453142.440508,CREATED,60e6d742-d37a-40e5-b3a9-7fae0d7f86ad,1adfb337-c5b6-41d5-b913-360caa9b1967,c3,c1,26,?,?,surb={'id': 'cbed4b8c-dc59-4280-bccf-92dc46993fee', 'route': ['p1', 'e4', 'i1', 'x8', 'p3', 'c3']}
1769453142.559551,RECEIVED,8c524b0f-24cb-47c9-89d4-9ebe52c20f8d,b845e49b-1dcf-432b-b0ab-258066eb69ab,c1,c3,26,p3,?,surb={'id': '9a867834-859d-4757-b018-cef6ab273686', 'route': ['p3', 'e10', 'i4', 'x11', 'p1', 'c1']}
1769453142.8394787,SENT,a4060d45-69c5-4a0d-886a-31482782121c,c7e22639-377b-4502-8f77-243add5a1cce,c3,c1,3376,?,p3,
1769453142.8396087,CREATED,974576ce-461f-4353-9e07-cebc2a5eb25e,b9b69a21-b096-4aa6-b218-6aed3353da03,c3,c1,27,?,?,surb={'id': '53fa62ab-0d16-43fb-8fb8-a02f55fd6ebf', 'route': ['p1', 'e2', 'i9', 'x6', 'p3', 'c3']}
1769453142.9846935,RECEIVED,37087a0e-a64c-4abc-b495-6d2e120437ae,7c9e3da2-46ea-4724-a87c-8072f999ef4f,c2,c3,26,p3,?,surb={'id': '90986646-d75e-411d-a07c-f9a9787b4749', 'route': ['p3', 'e7', 'i7', 'x1', 'p2', 'c2']}
1769453143.0592785,SENT,53bbba0f-9ab9-4bea-9615-95062681275d,94483557-26ca-474f-96f6-8775a9003d19,c3,c1,3379,?,p3,
1769453143.0594287,CREATED,2db02727-f8db-432f-869c-a59d5d444a66,b9b69a21-b096-4aa6-b218-6aed3353da03,c3,c1,27,?,?,surb={'id': '53fa62ab-0d16-43fb-8fb8-a02f55fd6ebf', 'route': ['p1', 'e2', 'i9', 'x6', 'p3', 'c3']}
