timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391342.9059803,SENT,ce0b2fb3-dfd7-4748-9a5a-86654c98a8c8,facea230-9a6c-41ec-a19f-eb2b54550f1d,c4,c5,3377,?,p1,
1769391342.9061847,CREATED,13e6cfa3-f711-4a66-a6f3-0fd09713fbcb,a4bd8d31-72f9-401b-b695-b03b48adb20f,c4,c5,27,?,?,surb={'id': '1aae81b7-bb65-42bd-bb3c-df49d24bc9ef', 'route': ['p2', 'e4', 'i2', 'x11', 'p1', 'c4']}
1769391342.9819274,RECEIVED,94b59650-1817-4a19-ba30-7d21998104f3,2107817b-3909-4438-b289-fd4ca69cfc9f,c5,c4,26,p1,?,surb={'id': '8569b786-1b0c-4d4e-a292-839671f6dd7c', 'route': ['p1', 'e6', 'i10', 'x4', 'p2', 'c5']}
1769391343.0167103,RECEIVED,43dc1012-bfa2-4a72-a527-f15aa925f249,45a685eb-c5ec-4d85-a527-26f36442db8b,c5,c4,27,p1,?,surb={'id': 'a379d591-3ffa-4108-a833-e76b63235381', 'route': ['p1', 'e8', 'i5', 'x4', 'p2', 'c5']}
1769391343.1150126,RECEIVED,8bc78f59-c5af-4a3e-9cec-e2f91730c473,3d304fb0-95c1-4b0f-a2fc-997cbe070e9a,c5,c4,27,p1,?,surb={'id': 'b7d52041-6d2d-456c-82ca-561c1e578670', 'route': ['p1', 'e8', 'i3', 'x1', 'p2', 'c5']}
1769391343.1304853,RECEIVED,762d0a3b-5aae-4fc9-884c-698c518504d7,a5c96a98-d5df-40bf-b5a2-81167e2a1062,c2,c4,27,p1,?,surb={'id': '77c2209d-3e95-4b82-b7fb-6bc7f68c27c7', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c2']}
1769391343.1902237,SENT,37c367da-b856-407f-abf4-90cafa08b35c,fb7f8a8b-9f54-4c45-9626-96ccf58b4da9,c4,c5,3384,?,p1,
1769391343.1903706,CREATED,98cb1488-7f9f-41a1-8676-03a36462edef,6d18fa59-0685-4ae9-9df0-bc66c2acf708,c4,c5,27,?,?,surb={'id': '7ec13a67-3baf-4ce4-a2ae-93be05e255d0', 'route': ['p2', 'e4', 'i1', 'x9', 'p1', 'c4']}
1769391343.4323974,SENT,19c7c43d-91a8-4fa9-910d-8ba45a30fa17,1cf41ca4-cdc7-466a-a4ef-c4e838263524,c4,c5,3392,?,p1,
1769391343.4325294,CREATED,58bd4a51-3d04-479f-978d-9dc3220056d7,fe1b4c6a-e892-4e82-83f8-de25f59c4100,c4,c5,26,?,?,surb={'id': 'd4a45215-c675-4680-957c-c863c59439aa', 'route': ['p2', 'e3', 'i1', 'x12', 'p1', 'c4']}
