timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741748.8216293,SENT,d3a8f162-6cde-42a6-b273-8c65b5cac35c,8418aabd-cf6b-4dd4-8a8a-52494bce095d,c1,DROP,2012,?,p1,
1769741748.8217554,CREATED,04da5b25-c5e4-4ce5-a90f-efb25218bf2b,7ea172be-46c4-4632-aa05-c7b1c13779b1,c1,DROP,27,?,?,
1769741749.8557415,SENT,19293c41-87ac-4903-bdd1-4f8da765ef8f,608df9c5-9f24-4067-884c-dfefeaa71418,c1,c2,3405,?,p1,
1769741749.8561485,CREATED,66a1df90-c847-45d4-a119-87f1a8e0861d,2c12d6ff-6074-456c-8fc7-3d80378f74b7,c1,c2,27,?,?,surb={'id': '5b3ff4ac-8319-40d7-91d2-a70061fa0e35', 'route': ['p2', 'e4', 'i7', 'x9', 'p1', 'c1']}
1769741752.0509503,SENT,83f85c62-606b-4bc5-bdea-8e96ce0a5e40,4386c799-6410-4c1d-b878-bf9ee07a603b,c1,c2,3384,?,p1,
1769741752.0511096,CREATED,30991ffd-5d36-405c-8b5c-d8d2c3aaaf51,5de77433-d822-4fdc-8dc0-880ff1beb024,c1,c2,26,?,?,surb={'id': '1e5ce80f-3aa5-4e46-868f-9ae7df9192f1', 'route': ['p2', 'e1', 'i8', 'x8', 'p1', 'c1']}
1769741752.364796,RECEIVED,cc1a0a6d-99bc-4eb7-a8e0-2466d5956d60,b53f08e6-11c4-426e-88d9-bee3afebf53a,c3,c1,27,p1,?,surb={'id': '6cf57ecd-83ef-4e19-9d1b-15d477aaa200', 'route': ['p1', 'e1', 'i2', 'x11', 'p3', 'c3']}
1769741752.7580273,SENT,c6b3e378-03b7-4139-bdda-329bf730ebaa,e1471c72-954b-479a-8026-24472077efd8,c1,c2,3376,?,p1,
1769741752.7582295,CREATED,684bdc10-cf90-452b-8618-78c998a673db,4bfd26f8-8166-4664-9c33-e0b76234fae3,c1,c2,27,?,?,surb={'id': '4ecbf548-b5f7-417e-b4b2-bc56fdf3b3b5', 'route': ['p2', 'e1', 'i2', 'x1', 'p1', 'c1']}
1769741752.9400792,SENT,f7486e6d-5f74-424d-80b6-0f569394f04a,9617294c-d0a5-4edb-b26b-ff1c13edaa45,c1,c2,3380,?,p1,
1769741752.9402132,CREATED,b9fb0065-551c-402b-a7ac-2c878c463d6e,b43984c0-5336-4856-a6bc-9ab327ddd73b,c1,c2,27,?,?,surb={'id': '11122f29-7a99-4c0c-9fe7-84dbea0881bb', 'route': ['p2', 'e6', 'i11', 'x12', 'p1', 'c1']}
1769741753.269334,RECEIVED,022f9233-0764-4bd4-914d-dc1802d4da3a,47f5ca50-c9cc-457e-824f-ed929fc5d7d1,c5,c1,27,p1,?,surb={'id': 'f98731cf-2960-4a71-81fc-c84a723808a7', 'route': ['p1', 'e1', 'i3', 'x8', 'p2', 'c5']}
1769741753.3550875,RECEIVED,0b38e8b1-daa3-488c-ba15-8fa599b48b67,6c78c533-4e43-4ffa-bfe3-f9a7f23b5b5c,c3,c1,25,p1,?,surb={'id': '69208693-39ea-4c91-a920-9fb194639cc3', 'route': ['p1', 'e10', 'i6', 'x3', 'p3', 'c3']}
1769741753.5648856,SENT,dc30d874-b50f-420e-9273-3133dba0df71,61917742-b6df-4ae9-97fb-7d0ca843e267,c1,c2,3375,?,p1,
1769741753.5650795,CREATED,a63fbda6-a8fd-4253-abf5-c0997661299d,b3e3f9a5-4984-4b06-a6a7-de7781e5506f,c1,c2,26,?,?,surb={'id': '3a17b43f-bd75-4951-88e7-6fe130ad47fb', 'route': ['p2', 'e3', 'i2', 'x2', 'p1', 'c1']}
1769741753.6966255,RECEIVED,61141f4d-7195-447b-94b3-36bc87dccc6f,2453d019-be28-4268-befd-edf01a450377,c5,c1,27,p1,?,surb={'id': '32ba27c4-7c5a-4bdc-afde-77c423711359', 'route': ['p1', 'e10', 'i2', 'x9', 'p2', 'c5']}
1769741753.7999961,RECEIVED,d2b2dd09-31f3-4575-b3c1-e1bbb3743bfd,1c7db54c-725d-41ea-b066-cfe3a31fea41,c5,c1,26,p1,?,surb={'id': '29fb41b7-d85a-4508-b1f9-aa073abebc53', 'route': ['p1', 'e9', 'i1', 'x8', 'p2', 'c5']}
1769741753.8431985,RECEIVED,252ffd8c-ff1b-4cc9-a9ac-f7b8d27d19c2,1614a68d-1ccd-451d-b796-40c59c778fd6,c5,c1,27,p1,?,surb={'id': '5907a8fe-5d79-46cd-b213-1c08bcde7df6', 'route': ['p1', 'e3', 'i5', 'x10', 'p2', 'c5']}
1769741753.949551,SENT,ec3a05f6-ce22-45a7-9a65-7227d738ccd2,6b61e4c3-bccc-4491-aa99-06ef77f05b93,c1,c2,3371,?,p1,
1769741753.9496856,CREATED,4b368113-e26b-436d-a35d-0f33bc014439,ba60302e-0694-4fa4-a455-2a1e453a6274,c1,c2,27,?,?,surb={'id': '336b4b71-56ec-420c-aa81-db8e50721772', 'route': ['p2', 'e6', 'i7', 'x11', 'p1', 'c1']}
1769741754.1529908,SENT,9fe6c5b2-aab5-4d41-a1d4-a1029f796487,4f5f17b0-ffdf-46c6-8d0e-0da59a17956f,c1,c2,3400,?,p1,
1769741754.1531718,CREATED,469551f1-3fca-4db9-936e-f38043b26ff4,9ba32fe4-16cb-405c-bcd3-adc549f5e42a,c1,c2,27,?,?,surb={'id': 'c765fcbd-308b-4294-9329-b82397f951d8', 'route': ['p2', 'e10', 'i2', 'x4', 'p1', 'c1']}
1769741754.3567019,RECEIVED,48bf55e8-c326-466b-8af9-d54dc03b78e4,f19e4537-2ec0-4c5b-a82e-e36094593075,c5,c1,27,p1,?,surb={'id': '2cb079cf-f87d-4ed9-8703-5903425100e4', 'route': ['p1', 'e11', 'i3', 'x2', 'p2', 'c5']}
1769741754.4642255,SENT,8100bdac-43d4-476e-a348-633cb64566ad,a25387da-6016-427d-98a6-e4d142000b93,c1,c2,3375,?,p1,
1769741754.4643724,CREATED,82d3e255-3c1d-41de-9d75-93929baeef67,7d16fdc6-fb3d-4b8c-8d19-1da1c60ceba0,c1,c2,27,?,?,surb={'id': 'a9855c82-4d7b-41bd-b041-b35e1bf72a70', 'route': ['p2', 'e7', 'i8', 'x5', 'p1', 'c1']}
1769741754.5742025,RECEIVED,41ec4b6a-0d1c-48ff-ae7b-2948279f5924,36e77f02-c03e-4f74-873e-8da0cc5efcaa,c3,c1,27,p1,?,surb={'id': '6979e6f9-3c02-4c61-b2d4-c82ed5c8677c', 'route': ['p1', 'e10', 'i9', 'x8', 'p3', 'c3']}
1769741754.6790073,RECEIVED,d0c87d7d-2180-4026-b857-adfea5196f8f,58be6e2e-7636-4a00-974f-080e268c8612,c3,c1,27,p1,?,surb={'id': '0a54fffa-d349-4cc5-8e04-51dca902923d', 'route': ['p1', 'e10', 'i12', 'x6', 'p3', 'c3']}
1769741754.6832082,RECEIVED,bc5ba7ad-6df0-4fc8-80c6-76a2f68ebc1f,ff5dfc05-11c1-4c68-a374-ee82377d4fa0,c5,c1,27,p1,?,surb={'id': '7b6c97f1-df38-4d38-89a5-60bde00ac849', 'route': ['p1', 'e8', 'i6', 'x2', 'p2', 'c5']}
1769741755.017476,RECEIVED,83021ee6-e905-417e-b521-e200e82c89ad,72742272-3182-49c4-bd7f-f9c7cc16d66b,c5,c1,27,p1,?,surb={'id': 'b35ab635-5253-4b1d-8a64-a68204f4ae23', 'route': ['p1', 'e11', 'i1', 'x3', 'p2', 'c5']}
1769741755.5557024,SENT,413b55dc-16b2-4997-bf6b-71d5e6fa7375,6e8fe865-abb9-4fe7-b321-c70283c47289,c1,c2,3374,?,p1,
1769741755.5558484,CREATED,7f186ac2-8819-44c2-8889-0940a5e77972,57de523d-6377-496b-bfe0-927f087a6a43,c1,c2,27,?,?,surb={'id': 'af09d978-0a2e-4e22-80f4-afdd2dc16249', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c1']}
1769741755.723567,RECEIVED,61f7d06e-987e-4be6-aa1e-d94d330dcf87,b1a225d5-67d8-45fa-9b95-05018ec9e626,c5,c1,27,p1,?,surb={'id': '3801b774-70aa-4955-bf66-c01582e70848', 'route': ['p1', 'e11', 'i8', 'x8', 'p2', 'c5']}
1769741755.7932851,SENT,2fb27d1e-9663-4518-b2de-71a6fd8ce741,5f91a758-4f8e-46da-8880-460e16ef4d0e,c1,c2,3387,?,p1,
1769741755.7934182,CREATED,e434d196-5e37-42d3-8b7b-e7907c1c36dc,0237fe24-4dc9-4bcc-b8a3-502c9c9cdd5c,c1,c2,26,?,?,surb={'id': 'cea2e11d-1e56-4815-abe4-cd67f259ff7c', 'route': ['p2', 'e4', 'i3', 'x11', 'p1', 'c1']}
1769741755.809106,RECEIVED,1597f102-fd8e-487b-8ca8-81a0188da17d,d081769a-56c7-4de5-b934-af03c7216659,c3,c1,26,p1,?,surb={'id': 'c4eb0098-8690-4b1e-b130-3392427b927d', 'route': ['p1', 'e12', 'i5', 'x10', 'p3', 'c3']}
1769741755.8778856,RECEIVED,4a32ab23-4e0c-4902-a867-448a5efc5de1,81bc7d4f-fcd7-40fd-bd71-213f529eb9e2,c3,c1,27,p1,?,surb={'id': 'c00498d5-0f0c-4f24-a147-7cdcc556c726', 'route': ['p1', 'e3', 'i5', 'x4', 'p3', 'c3']}
1769741755.885122,SENT,d713d00b-c1ca-4c3c-82bc-bead0872eb06,341afdee-e831-491b-b701-6b08c9a5d511,c1,c2,3360,?,p1,
1769741755.8852603,CREATED,a1873824-ebb9-4bfe-baf5-3a68e8bc3a3e,af93d10d-ac7a-4b6b-87f1-a1de3d34dde8,c1,c2,26,?,?,surb={'id': 'aadd0bc2-ddc7-4c0c-95fc-ed5bdc7b9bda', 'route': ['p2', 'e3', 'i12', 'x9', 'p1', 'c1']}
1769741756.0462468,SENT,f412447d-69d1-4cf1-a522-a07129642d39,583b8cbd-2b98-49db-a0e0-2f16ce094191,c1,c2,3380,?,p1,
1769741756.0463948,CREATED,d08a1f27-60b5-45b1-bc3c-9ff874d5bc0e,1093b0e6-d316-4fc5-bed1-c99757754991,c1,c2,27,?,?,surb={'id': 'e63f7b50-9d26-47f3-9ecf-a3b5f8723ef7', 'route': ['p2', 'e1', 'i4', 'x5', 'p1', 'c1']}
1769741756.1815712,RECEIVED,f36788f7-8c4b-40a6-b15c-8e1276ea8727,a069d3ca-8244-4142-93bf-0affc1669607,c5,c1,27,p1,?,surb={'id': '3d64b6fe-f7ce-4ebf-b0a8-b1df1b5d03e3', 'route': ['p1', 'e11', 'i8', 'x12', 'p2', 'c5']}
1769741756.4594903,RECEIVED,512cadd4-b1cc-428b-9b07-68ddf21a54b5,e2ca1805-9d04-48df-9b5e-10c3d5acc9cd,c5,c1,27,p1,?,surb={'id': 'b62d2319-9cca-4451-afd2-cab2a87d26c4', 'route': ['p1', 'e12', 'i2', 'x12', 'p2', 'c5']}
1769741756.7638385,SENT,6d1ed817-a6f2-468e-8da1-766cedef260a,34a30638-10b5-4506-b546-b2425cbd7847,c1,c2,3391,?,p1,
1769741756.763979,CREATED,8f86a2cb-e31c-4391-aa6b-718c88628a07,abd34747-d5b6-4c2b-ae1a-e127927354a7,c1,c2,27,?,?,surb={'id': '35472988-78bc-41c4-87ac-1c225c5acbf0', 'route': ['p2', 'e11', 'i3', 'x9', 'p1', 'c1']}
1769741756.8626325,SENT,ae9ce0ad-ea34-4bd2-8ba9-a8a6c6f34ba8,0a03b0a8-b2f4-4497-b2db-f1177a257158,c1,c2,3379,?,p1,
1769741756.8627558,CREATED,7e6fc0f4-3859-4d02-9e50-162f6ad93af6,2ed7e360-0f4e-430f-8876-3dfd306a86a3,c1,c2,27,?,?,surb={'id': '086d64b8-b37d-416e-9ac3-c59e505fc346', 'route': ['p2', 'e4', 'i3', 'x3', 'p1', 'c1']}
1769741756.963511,RECEIVED,c044874c-17a6-4ba2-91b1-f79de161b89c,a194b382-7370-4432-aca8-3f5971f1386a,c5,c1,27,p1,?,surb={'id': 'eb1c97be-b257-4adc-a34e-96aab0713ada', 'route': ['p1', 'e12', 'i4', 'x3', 'p2', 'c5']}
1769741757.011092,RECEIVED,d0b6608c-83e3-4c71-b39a-85abca2d4752,fefd5eb4-2e7e-4748-8cab-78cc8ad4ba0e,c3,c1,26,p1,?,surb={'id': 'dab818af-84c2-43b6-aaeb-929b22458dd1', 'route': ['p1', 'e10', 'i11', 'x4', 'p3', 'c3']}
1769741757.215352,RECEIVED,1474bc13-0824-4172-88ef-256280c56782,d650411e-2e5c-4bf4-a0c6-c8b1c4b26c74,c3,c1,26,p1,?,surb={'id': '81fcb5f7-b352-4846-8650-0651a3891a08', 'route': ['p1', 'e6', 'i1', 'x3', 'p3', 'c3']}
1769741757.2514844,RECEIVED,a9c2a51d-50d9-45d1-98ea-4dd50ccdd3eb,8403d837-6c90-4a29-85a6-4936905afad6,c5,c1,27,p1,?,surb={'id': '94f18cef-6254-45ed-9582-ab0bf763e199', 'route': ['p1', 'e2', 'i11', 'x5', 'p2', 'c5']}
1769741757.2714531,RECEIVED,c07bb696-05df-43f9-81b5-6e58de1aa317,bfd1fe09-a24f-4ee5-a267-e22714775029,c3,c1,27,p1,?,surb={'id': '53310c92-77d2-403b-b974-cfff6d7a2078', 'route': ['p1', 'e3', 'i5', 'x6', 'p3', 'c3']}
1769741757.3759468,RECEIVED,fbec3641-c41e-4f58-8f65-ccb2b72c8de3,587aa308-2cd5-4d91-a5d2-78c1cb361dbe,c3,c1,27,p1,?,surb={'id': '68cfa8ec-ebc4-49c4-9dc6-4b60c35dcc4e', 'route': ['p1', 'e12', 'i9', 'x11', 'p3', 'c3']}
1769741757.4548502,SENT,afbffe35-5956-4188-9e2b-b4e03b09d1ef,e26a729b-efeb-402e-ba06-9527706efbef,c1,c2,3399,?,p1,
1769741757.4549868,CREATED,83b16cd2-e24e-4da5-9472-7146a1bfe05c,1029c165-234c-4087-91fa-99c24224cda8,c1,c2,27,?,?,surb={'id': '18ce99f9-11a1-4504-b0ee-b2efc0897875', 'route': ['p2', 'e10', 'i5', 'x8', 'p1', 'c1']}
1769741757.4615247,RECEIVED,09a962c8-d315-4eb6-966d-0025e2665c72,5c594620-e336-409e-a94e-14e5e5591332,c3,c1,27,p1,?,surb={'id': '9c293c9e-c9ae-4f29-837d-857e8522f7ea', 'route': ['p1', 'e4', 'i9', 'x9', 'p3', 'c3']}
1769741757.5888233,SENT,137083ad-ad2e-49e0-be96-a417df0cda97,8b05a8e4-cbcf-47a5-a275-2867270fa493,c1,c2,3380,?,p1,
1769741757.588998,CREATED,243a4cc2-ded7-44a9-bbec-e8f3e4762f86,c479271e-6ba9-418b-afaa-777d91f04283,c1,c2,27,?,?,surb={'id': '40bf403a-0237-4b22-a1a2-8e9f2f1aca93', 'route': ['p2', 'e9', 'i2', 'x2', 'p1', 'c1']}
1769741757.6629136,SENT,79492a69-2ba6-4e87-b05b-1eeda48594da,2da52133-7894-489d-966a-9ae97d552f03,c1,c2,3379,?,p1,
1769741757.6634514,CREATED,b9152ac4-5ee4-46d2-bd90-ec464ac48bda,2f5b436b-d8d0-481d-b4d1-87b4f03642a8,c1,c2,27,?,?,surb={'id': '62f3a2f4-045b-48ed-89f6-7303fb9ba5d9', 'route': ['p2', 'e12', 'i7', 'x8', 'p1', 'c1']}
1769741757.6958356,RECEIVED,688fab5e-c816-4311-9485-650fc773fe55,1e5049db-080d-495e-9109-e92325feb8c1,c5,c1,27,p1,?,surb={'id': '06b40cd7-7a1f-4d4e-8f9f-4cde881c34ae', 'route': ['p1', 'e12', 'i11', 'x11', 'p2', 'c5']}
1769741757.7080827,RECEIVED,2e83c9a4-40d7-471a-b0be-6f1bb966e946,06c9b1d0-a51e-4a54-b58d-d7ed4491940f,c5,c1,26,p1,?,surb={'id': '11fe1716-ae7a-4c8a-99b7-c7c4815ad0b4', 'route': ['p1', 'e9', 'i12', 'x7', 'p2', 'c5']}
1769741757.723576,RECEIVED,31b6d566-59d2-40e5-8f4d-6085b90f4745,e1b9df71-0329-42aa-b32c-8e923d064ea2,c3,c1,27,p1,?,surb={'id': 'b9f0d678-b8cb-4b94-be20-49bf9bf37841', 'route': ['p1', 'e10', 'i9', 'x2', 'p3', 'c3']}
1769741757.8314903,RECEIVED,e97ecff4-dc76-4851-b6cf-5cf141945f4f,376cb7f7-4926-4b3f-b08f-abddd94d7546,c5,c1,27,p1,?,surb={'id': '30e5a7d4-6157-4ec0-8c4c-66da74389d29', 'route': ['p1', 'e1', 'i9', 'x1', 'p2', 'c5']}
1769741758.211753,SENT,ffccb0ac-9d69-48f6-a4d1-9204076ef2b9,d1958ac3-a26a-4d65-8d3b-95804550d055,c1,c2,3389,?,p1,
1769741758.2119005,CREATED,85fdf450-8e89-42a5-8ffb-6449c43c4f77,3440bde2-4fb5-420d-a416-a359202fbfdb,c1,c2,27,?,?,surb={'id': '02c44d53-795a-4d18-b7ca-8c78e69d0d28', 'route': ['p2', 'e10', 'i6', 'x4', 'p1', 'c1']}
1769741758.2806196,SENT,0a28edc9-1d55-410f-a96d-3246b968c853,77b38531-9097-48a2-93c7-ff6a55a8856c,c1,c2,3391,?,p1,
1769741758.2807682,CREATED,3aad9eb2-7c80-45aa-84b4-1fd91b7dd7d6,47e8f445-24a6-4531-a309-6060b26b6860,c1,c2,27,?,?,surb={'id': '07264504-dd7e-4f86-ae1f-c2d1b49718e4', 'route': ['p2', 'e10', 'i1', 'x5', 'p1', 'c1']}
1769741758.4262059,RECEIVED,fab41a44-a599-44c7-bc39-65be69105fb2,70fb31c2-5af6-44a5-843c-a9571aa10b63,c5,c1,27,p1,?,surb={'id': '6e24f6d8-12ac-47d6-aeee-4411a7f81438', 'route': ['p1', 'e3', 'i3', 'x8', 'p2', 'c5']}
1769741758.7281833,RECEIVED,5ab6ee7e-b2c3-4d7a-8153-190021519d93,522e4ac6-a16d-4b91-924a-490cd14315c9,c5,c1,27,p1,?,surb={'id': '23f100c1-697e-4aec-970b-1b4693d370dd', 'route': ['p1', 'e7', 'i5', 'x11', 'p2', 'c5']}
1769741759.0664957,RECEIVED,f2175c1e-403f-4dc8-ae76-b07605208994,4f8b9cad-1c1c-4a3f-a950-9681031e05cb,c3,c1,27,p1,?,surb={'id': 'bd6f6ede-4e73-423d-a514-cafc729147a0', 'route': ['p1', 'e12', 'i12', 'x6', 'p3', 'c3']}
1769741759.0891883,RECEIVED,1595dd9e-1ea3-46b3-b448-f33b5609973d,66c476b9-db87-4535-83c9-b9b8a69f7d98,c3,c1,27,p1,?,surb={'id': 'adafe92f-7702-499c-94ea-be7dbc00e577', 'route': ['p1', 'e2', 'i8', 'x3', 'p3', 'c3']}
1769741759.2182107,SENT,3cb98a1a-c786-4cb4-9d6f-cde28b4c2514,1dcfe758-b547-4163-9469-29d6a76d9a7e,c1,c2,3376,?,p1,
1769741759.218353,CREATED,8931fde0-7771-40dc-82a5-47c06e42938e,4d61804d-5f5d-4b11-9a09-3283c011e0df,c1,c2,27,?,?,surb={'id': '10d2c38c-8999-455f-9dd4-93562f165eb4', 'route': ['p2', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769741759.239184,RECEIVED,41cf37e9-1f0e-451b-b89f-b42db983a591,fc39f4c2-b354-4fcf-9909-11dbe39b3450,c3,c1,27,p1,?,surb={'id': '1b0fcfaf-168f-4679-a78b-0030724b1c0a', 'route': ['p1', 'e4', 'i11', 'x11', 'p3', 'c3']}
1769741759.2648501,RECEIVED,b43f7d7a-af7c-4f60-a1be-d8c7e092a612,c8c764e9-b89f-4b93-8e0c-6e84e2d6f765,c5,c1,26,p1,?,surb={'id': '124a21b8-7d2f-4d94-b0f4-60c1f2b6dd3b', 'route': ['p1', 'e7', 'i8', 'x7', 'p2', 'c5']}
1769741759.3633084,RECEIVED,e464184a-985f-4401-8df1-6ee3dc0d3e96,a16387f2-aa1c-46ab-9f7c-0bf67fb8f465,c3,c1,24,p1,?,surb={'id': '10536915-1cf5-4c64-ae41-2b8c4ee91aaf', 'route': ['p1', 'e11', 'i11', 'x12', 'p3', 'c3']}
1769741759.4646983,SENT,aa017dc1-fd88-4b0e-863f-4b5df338a79c,bcd5125c-8d23-4aea-a073-7485ef2257ee,c1,c2,3399,?,p1,
1769741759.4648304,CREATED,107eb00b-b70b-4d67-a60f-728765068aaf,7042846b-76ac-42f6-a5b9-9cd2186eff31,c1,c2,27,?,?,surb={'id': '404a9e1c-bb22-4602-8de7-8c2b90f39da7', 'route': ['p2', 'e7', 'i1', 'x12', 'p1', 'c1']}
1769741759.5926929,RECEIVED,049e41c3-8771-4a9e-b64a-cdb4c8cd6f08,1e760379-b014-4545-805f-e8a6ff2eabf3,c5,c1,26,p1,?,surb={'id': '8a039fd8-16eb-4efb-b332-ec338659659b', 'route': ['p1', 'e9', 'i10', 'x10', 'p2', 'c5']}
1769741759.851966,SENT,3b428a70-5ab0-4503-8adf-d31269194975,6373a1ae-5c15-4c36-b7a3-cce0e3796bd0,c1,c2,3376,?,p1,
1769741759.8521254,CREATED,26712f77-0da7-4e21-925b-cdec75a081be,e811daf6-9bb6-47fd-a90c-1d918f602e03,c1,c2,27,?,?,surb={'id': '2e140425-c91f-4bb6-a401-4c66c23a3c32', 'route': ['p2', 'e2', 'i2', 'x1', 'p1', 'c1']}
1769741760.048311,RECEIVED,6a25a016-f97f-40df-9d8a-f606ff0c8a41,d1183ab5-bdfa-4522-90e8-5f439f3c2d9e,c5,c1,27,p1,?,surb={'id': '546bf745-a897-4d8e-8855-307b20039967', 'route': ['p1', 'e3', 'i2', 'x1', 'p2', 'c5']}
1769741760.0736055,RECEIVED,49463214-dac9-4df0-a217-72521929e36a,7600768c-5601-4cd8-a663-9ab6ce12fcd8,c5,c1,26,p1,?,surb={'id': '21147394-3d5d-408e-b05d-dbbc534626d3', 'route': ['p1', 'e9', 'i7', 'x5', 'p2', 'c5']}
1769741760.1440086,RECEIVED,47b2d4b9-53f2-448a-94fa-58855834f8d9,d4d11370-4a6d-4416-9e94-0942cbc098be,c3,c1,27,p1,?,surb={'id': '4914cc60-c364-4089-a125-af1210494f97', 'route': ['p1', 'e4', 'i9', 'x11', 'p3', 'c3']}
1769741760.441444,SENT,3a4b7257-77cc-4874-a386-42c8f91efe6b,2f699eb5-882c-4655-8697-d0db7f3b92c5,c1,c2,3379,?,p1,
1769741760.4415932,CREATED,bdf12d3d-187c-49cd-aeef-194e9a2298db,d01aa6d7-2873-46ad-8fc0-0ef58b1faec2,c1,c2,26,?,?,surb={'id': '14be7917-9d73-4fac-bf5a-e09980d83e80', 'route': ['p2', 'e6', 'i7', 'x1', 'p1', 'c1']}
1769741760.531887,SENT,43345f36-56fb-4921-9a5f-090a833a4581,adc2b1bc-c7e4-4542-b3f2-38370da8df2c,c1,c2,3391,?,p1,
1769741760.5320747,CREATED,5946e8ec-0a2e-4622-ba0d-f1f9b5ae1e76,78b84a2b-3147-4efd-96bf-171be4f488f1,c1,c2,27,?,?,surb={'id': '83885558-a7dd-412c-b760-8e9e5ac2bef4', 'route': ['p2', 'e10', 'i6', 'x12', 'p1', 'c1']}
1769741760.8054469,SENT,2b480a38-e1f6-4695-9806-8695af238cf3,adf14138-0fc4-4ce4-9530-ca08fc9a36f5,c1,c2,3360,?,p1,
1769741760.8055794,CREATED,c9d25b64-4ac0-4943-928d-aa561f02bb63,e92994b4-8f7a-4747-b780-39a6f3ab1e39,c1,c2,26,?,?,surb={'id': '09933cc0-9627-43d0-a4ff-ba282bb7b8a9', 'route': ['p2', 'e3', 'i11', 'x6', 'p1', 'c1']}
1769741760.8167014,SENT,009b77ef-1412-4808-9577-ec3886dba8ef,e7279253-2e39-4ed9-91b1-f3ff85aae64d,c1,c2,3394,?,p1,
1769741760.8168378,CREATED,1e7f3a12-4772-42bb-88f6-bbfb4721eb33,84bf2998-f782-4fe6-803e-aa39c91fcf9e,c1,c2,27,?,?,surb={'id': 'e868d249-faa1-49a3-b8cc-5a804fab6427', 'route': ['p2', 'e7', 'i5', 'x11', 'p1', 'c1']}
1769741760.8242218,SENT,a9e62dea-4f1d-40d4-b7b8-0e99d83abbbc,db3eeefd-6159-4307-a79d-999aa436c578,c1,c2,3379,?,p1,
1769741760.8243544,CREATED,71344361-2a9e-4f52-a28f-c3426696c38c,8d19cd2a-8521-48b0-9ee4-f044b5237c4e,c1,c2,26,?,?,surb={'id': '027510c1-dd03-4418-a3c0-8af36dd6b89b', 'route': ['p2', 'e2', 'i7', 'x3', 'p1', 'c1']}
