timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741748.6634455,SENT,2121f219-761a-479d-9947-aacf76d0a135,cb1a3395-9f80-4239-9ee6-327685bf2900,c4,c5,3397,?,p1,
1769741748.6635988,CREATED,76a14c21-85df-4dc2-b2e6-ec8a0fa882a5,b24de779-f5c6-4664-904e-fa81fd8479f5,c4,c5,27,?,?,surb={'id': '6c69a9ee-f20a-4770-8b59-ee03ddacdac8', 'route': ['p2', 'e9', 'i12', 'x6', 'p1', 'c4']}
1769741751.0902338,CREATED,180487cf-2518-4f2e-aca9-a44c78167778,a47cff77-b943-4573-8f57-a13e1cde2f2f,c4,c5,27,?,?,surb={'id': 'ca0ebb05-8b27-489d-87f6-170e38371faf', 'route': ['p2', 'e8', 'i8', 'x7', 'p1', 'c4']}
1769741751.5327597,SENT,5e98ea6b-d657-4171-9f60-30c6131143fb,73bd930e-572b-43b4-9551-d719501dd4e3,c4,c5,3374,?,p1,
1769741751.532917,CREATED,4893712a-e209-4f4b-9a45-76ad6b2a0e15,3a5ce8e9-6bab-4b25-8a59-aa43bddc2a00,c4,c5,27,?,?,surb={'id': 'f47cbd9c-d9ec-42c4-8bb9-92350cba3992', 'route': ['p2', 'e6', 'i7', 'x11', 'p1', 'c4']}
1769741751.585133,RECEIVED,7f58f7f2-2066-4e77-a4d8-69f9d1638dc2,12db5875-d197-4a91-a1a6-64ecccca0d9e,c2,c4,27,p1,?,surb={'id': '1666150b-72fe-4a59-8b15-cc3b3da2ac5a', 'route': ['p1', 'e6', 'i11', 'x11', 'p2', 'c2']}
1769741751.903071,RECEIVED,e9caa2b7-0cb1-4866-a8b3-ae763c3663cd,7c94b659-ac16-41c7-aa69-9285bd8656e9,c2,c4,27,p1,?,surb={'id': '1b89c3c6-3252-4954-93c9-26a7be26308c', 'route': ['p1', 'e4', 'i11', 'x11', 'p2', 'c2']}
1769741751.91883,SENT,46476d71-79c6-47be-a119-f8cee57a2703,564dc44c-5730-419b-98d9-7a0e2264d7d8,c4,c5,3387,?,p1,
1769741751.9189606,CREATED,eb8b0984-8fdd-461f-90ef-9cb3654b8269,860f4540-0ef1-4b94-9f26-4ed0817a066b,c4,c5,27,?,?,surb={'id': '042cfc19-43a7-43f7-95a9-36d9225feded', 'route': ['p2', 'e9', 'i3', 'x7', 'p1', 'c4']}
1769741752.222704,RECEIVED,50cb1b80-7315-4986-a161-52cabb8af754,36136e04-7720-4e2a-90e2-1b06a150ea79,c2,c4,27,p1,?,surb={'id': '46b61f6c-c90b-45c9-87d1-d193fb053432', 'route': ['p1', 'e9', 'i12', 'x1', 'p2', 'c2']}
1769741752.6860697,SENT,cb976f1b-b435-463e-b1d9-cfd9ae8c17ca,747d52f9-3857-4bee-8900-0ac243d4aa10,c4,c5,3404,?,p1,
1769741752.686224,CREATED,052c7763-26f5-457c-8fa4-68efc6840663,2c30ce70-f443-4b5d-a392-1b9c787f5d26,c4,c5,27,?,?,surb={'id': '2b928f48-b0ad-46b0-b3e6-09be7773d979', 'route': ['p2', 'e12', 'i11', 'x12', 'p1', 'c4']}
1769741752.9569917,RECEIVED,2a6eaa08-8e3c-44be-b03d-18e4e9f362fe,56d50d3b-9b2a-4787-84a5-7391491621ed,c2,c4,26,p1,?,surb={'id': '66db7ec0-5135-448a-ad0a-47e27afe4287', 'route': ['p1', 'e6', 'i8', 'x11', 'p2', 'c2']}
1769741753.0108323,SENT,899e7dc5-b93e-42e5-8f78-d03cc46033b9,457c71df-33a6-41f3-b17b-296d76073841,c4,c5,3395,?,p1,
1769741753.0116808,CREATED,eaf606e3-9c7f-4f3a-9034-b9b97c2d8791,312cb6ea-0408-4db1-8752-9dd7b5574aec,c4,c5,27,?,?,surb={'id': '41c03a21-5dba-495f-97d1-765f53089bf7', 'route': ['p2', 'e1', 'i6', 'x11', 'p1', 'c4']}
1769741753.0719378,SENT,431e1d55-8774-4d5b-89ba-29eeeb44cb9f,f34adbc8-5298-4eef-bd1d-ac9314d9e827,c4,c5,3383,?,p1,
1769741753.07479,CREATED,f4e38955-cb32-450b-ae53-f4dbb53dfebd,708d6ff7-ee19-404c-bcb1-903b3c44139f,c4,c5,26,?,?,surb={'id': '47d3ce7f-e17f-45fd-b94a-96d066f6b82d', 'route': ['p2', 'e12', 'i9', 'x10', 'p1', 'c4']}
1769741753.1521313,SENT,4273829c-8f76-4796-863a-f05b284cd4e2,8c802bfd-45f2-40d4-8f17-63be6856dc55,c4,c5,3362,?,p1,
1769741753.1522634,CREATED,de1359ba-b1f2-4ed1-9143-faad90df393e,2e6b1e04-d00f-4533-8708-009fcb180958,c4,c5,27,?,?,surb={'id': '24ae5c13-f425-47ad-910f-e59e792b7e9d', 'route': ['p2', 'e7', 'i6', 'x8', 'p1', 'c4']}
1769741753.175783,SENT,15a071d5-f00b-4900-8158-121e290d5ff2,9f8a2dbb-259e-469c-99e1-0059f05d93c5,c4,c5,3392,?,p1,
1769741753.175917,CREATED,f02898d9-1ab6-476f-8dba-ce5eb6ec3f3f,204c6f64-c6d9-42a3-bfe0-055e97e2dd03,c4,c5,27,?,?,surb={'id': '67e65dbc-be01-421c-b71e-e88d562780dd', 'route': ['p2', 'e12', 'i8', 'x1', 'p1', 'c4']}
1769741753.18834,SENT,ef223568-1d92-4c86-94d6-aff6d138bed6,2bbba891-7854-4972-92e4-54dda3fd08ba,c4,c5,3400,?,p1,
1769741753.1884587,CREATED,20551d8d-49cb-411f-a1ee-cf3ac2000b56,71a54af9-04a2-440b-9112-ef63d6e8d161,c4,c5,27,?,?,surb={'id': 'd78cd02e-7741-4eac-99ee-c4b5bd241b2b', 'route': ['p2', 'e10', 'i11', 'x3', 'p1', 'c4']}
1769741753.2808435,SENT,2a312a6e-85da-462a-a76b-2bfaffb90732,84ae6ccc-a1d6-49a6-b880-1424f02f7360,c4,c5,3375,?,p1,
1769741753.280993,CREATED,3bafc69b-e54a-48af-b827-37752fda2a5c,4c6adda1-b70e-4b26-8c24-d85961311104,c4,c5,27,?,?,surb={'id': '2048a8e5-a242-4dbc-ba9d-912d701b9367', 'route': ['p2', 'e9', 'i2', 'x5', 'p1', 'c4']}
1769741753.5359926,SENT,0a4e03a2-2c26-4b9d-be09-bc0304ec4ae2,7c449631-666a-4b89-8280-ba7682e6423c,c4,c5,3399,?,p1,
1769741753.5362847,CREATED,2312adca-7835-4e56-b9c4-8003ba956433,58f48245-0035-443a-8c6c-cc88ba76ef8f,c4,c5,27,?,?,surb={'id': 'a5de17c6-0665-4044-b0cd-b7c98e083ecb', 'route': ['p2', 'e10', 'i9', 'x4', 'p1', 'c4']}
1769741753.6838272,RECEIVED,43f3a84c-2300-4ff1-9864-a1cec87d693f,46b7faca-d635-4d1a-95f4-9ba8df87bd8d,c2,c4,27,p1,?,surb={'id': 'e8418937-ebe7-40ac-8c7d-276637e10ef0', 'route': ['p1', 'e9', 'i6', 'x8', 'p2', 'c2']}
1769741753.7023287,SENT,2f0489fc-1282-4536-9b90-66ce7a1acd10,b9a9bdd5-5eb6-48ca-8585-73c0b07600a2,c4,c5,3388,?,p1,
1769741753.7024562,CREATED,00fadaf9-bd8f-42a1-9743-4443af53539e,56179a18-4e20-43a9-88d3-7faf68b82dc6,c4,c5,27,?,?,surb={'id': '3a7340d4-bd15-48f7-b9ee-cf5913f2c3d6', 'route': ['p2', 'e4', 'i6', 'x12', 'p1', 'c4']}
1769741753.8617024,RECEIVED,e00ee8fa-4c89-4931-bafc-ed01f7b4f318,89e0b258-0faf-4588-8f97-67c4ff9097da,c2,c4,27,p1,?,surb={'id': '9e80d060-f85c-4665-b3d2-04d2300dfab9', 'route': ['p1', 'e4', 'i2', 'x5', 'p2', 'c2']}
1769741753.903602,SENT,5b3ef0ac-182a-4e59-b86e-02a18518d3de,9a93c679-f735-486a-8f80-157457526404,c4,c5,3376,?,p1,
1769741753.9037323,CREATED,b3e1f321-72f3-4d53-a918-0715a8200ba5,a2d47506-d24b-43d6-9ecb-2b8b1df549b8,c4,c5,27,?,?,surb={'id': '1cc3164b-90b0-483a-a5bb-700fe4303ab6', 'route': ['p2', 'e2', 'i6', 'x4', 'p1', 'c4']}
1769741754.5643997,SENT,a8fe8902-b811-4c21-bb26-0db8d405fef4,4a67178c-07e1-45bc-ac0a-0e3643a0e2b4,c4,c5,3376,?,p1,
1769741754.564545,CREATED,a54f9927-0ce5-4086-9b22-c36e5e7006c7,8de36de0-db25-4787-a94f-eecfd7cd6f44,c4,c5,26,?,?,surb={'id': '2e74ab91-dcd7-4cbe-a496-58d21a08f950', 'route': ['p2', 'e6', 'i10', 'x1', 'p1', 'c4']}
1769741754.7813556,SENT,34517167-58cb-41ac-bf29-fe189fb1d2df,5548ec36-efbe-4e3a-9f0b-2e4e4655db7d,c4,c5,3375,?,p1,
1769741754.7814867,CREATED,6b363fa7-9d46-4aa0-bcb1-fbecda34c07f,8ec17932-48dd-4643-9a8b-b60bd30fb37e,c4,c5,27,?,?,surb={'id': 'eebba2a8-4635-423b-9755-822b7b3b0e32', 'route': ['p2', 'e3', 'i5', 'x3', 'p1', 'c4']}
1769741754.9999251,SENT,9923eda2-5724-4758-a1fd-c037c2aeb823,71cce746-0ab8-454e-bc38-9054401df06c,c4,c5,3375,?,p1,
1769741755.0001917,CREATED,ee6cd1d1-5482-4b53-ac9b-835cdf5ae8ef,a37b36d7-8c7f-42eb-a1fa-1d4ed797a37a,c4,c5,27,?,?,surb={'id': '1bcf06a0-dbc4-4dee-9858-06f472f585da', 'route': ['p2', 'e9', 'i5', 'x3', 'p1', 'c4']}
1769741755.046828,SENT,8d39ff85-f2cc-486f-9445-98e0dfe31f2b,722d51da-282f-463e-8e97-e685b0189439,c4,c5,3383,?,p1,
1769741755.0469663,CREATED,4ee96486-151c-4b8b-9f2c-fb225c320e60,cb8d8e1f-7463-4273-a83d-c6ed7359f94a,c4,c5,27,?,?,surb={'id': '0dacbfe1-67df-4fca-9c1c-74831468b391', 'route': ['p2', 'e1', 'i3', 'x5', 'p1', 'c4']}
1769741755.1655033,SENT,206f1b2e-71f8-4ae3-ae32-88e3b90e1fb7,988aee57-71c5-4abd-9bb5-bbb0eaba275f,c4,c5,3361,?,p1,
1769741755.1656504,CREATED,3036a8f6-da98-4238-ba2e-d84c4f0463e5,fef67b33-bc0d-4d53-80d7-943b0455262d,c4,c5,26,?,?,surb={'id': 'c4eb2582-8100-4d19-aa42-89471fd221ce', 'route': ['p2', 'e12', 'i8', 'x3', 'p1', 'c4']}
1769741755.778105,RECEIVED,d668a08f-018b-4e05-8d2a-05b3f9124d8d,56a4a1fe-b8d7-4139-af34-37b8dd109dd1,c2,c4,25,p1,?,surb={'id': 'c3707362-c154-46e5-9deb-a1263a088f9a', 'route': ['p1', 'e3', 'i7', 'x3', 'p2', 'c2']}
1769741755.999992,RECEIVED,6013b4a1-3d73-4dfc-b165-b541d2aacbac,6ad97197-cb4b-44d6-84fa-7c0d3826dd5e,c2,c4,27,p1,?,surb={'id': '06942282-b4b2-483b-9426-e45f09be1dad', 'route': ['p1', 'e5', 'i4', 'x6', 'p2', 'c2']}
1769741756.9377503,RECEIVED,15956abb-cabc-45fc-9091-273aaf2c5daa,d3d39c37-2ad6-4a6b-9c26-c82dea163105,c2,c4,27,p1,?,surb={'id': 'ee8cef8d-f709-4b95-855e-536dd15d1b9e', 'route': ['p1', 'e5', 'i8', 'x8', 'p2', 'c2']}
1769741757.1989145,SENT,11eb4dc4-199f-4c6f-8df5-8d767e66f8d2,54a3958c-6c4c-4708-9d7b-1e5eadf1f55c,c4,c5,3376,?,p1,
1769741757.1991715,CREATED,eb027d8f-a168-4607-b4ae-8cb351ae9f5b,ddd515da-d9fc-4872-a5ff-a45c42ff8862,c4,c5,26,?,?,surb={'id': '0aa8f7d7-93b3-4c8d-a147-d1b69afb2c64', 'route': ['p2', 'e4', 'i1', 'x10', 'p1', 'c4']}
1769741757.388839,SENT,181e0686-5e6d-4768-aae7-0b0087aa102e,1cb5f957-5e52-4975-a7d2-07cee4c377da,c4,c5,3375,?,p1,
1769741757.38897,CREATED,28ecb071-72ea-49ae-877d-4df5c091d441,cc1e8035-e6a6-4f30-80e3-243a79a8fde3,c4,c5,27,?,?,surb={'id': 'a3bbfe1b-e5eb-4d3f-a20c-645af2de6cd8', 'route': ['p2', 'e1', 'i4', 'x5', 'p1', 'c4']}
1769741757.4104888,SENT,19e22a6d-c70c-4528-8e5c-968e4cac5083,84cb7424-bb93-47c3-a934-3a7a56fe8067,c4,c5,3394,?,p1,
1769741757.4106245,CREATED,052cfa23-ec31-45f5-a0cc-84853307c164,55178c9d-c9ef-4ed4-80e0-85d446c6e42e,c4,c5,27,?,?,surb={'id': 'cb9c19f8-1525-4526-86bc-eb73e10fbb65', 'route': ['p2', 'e2', 'i12', 'x12', 'p1', 'c4']}
1769741757.5868733,RECEIVED,2d1f815c-64cb-487f-b850-224d07c17086,582f97ce-2db3-4680-90f9-0ddd3f829c93,c2,c4,27,p1,?,surb={'id': '97bee249-9d19-40d6-880c-3200b7024a97', 'route': ['p1', 'e10', 'i12', 'x6', 'p2', 'c2']}
1769741757.8635578,SENT,ae706719-daa9-47d9-82ab-c7be7a20968a,e826ba1f-58c0-401e-b84e-9d82004f537c,c4,c5,3372,?,p1,
1769741757.8636284,CREATED,63fc9189-61c5-4414-8678-91ba908b3775,65888164-b388-44e1-8907-ed16b156bb1a,c4,c5,27,?,?,surb={'id': '4bdcb8bf-3341-4130-9c58-2a20915a300a', 'route': ['p2', 'e2', 'i8', 'x7', 'p1', 'c4']}
1769741757.8681026,RECEIVED,2c65ea60-79eb-4876-af1f-6ee6e2331caa,c74a1e18-0d4e-46e3-bde4-7fde503d24ec,c2,c4,27,p1,?,surb={'id': '7c7e44a0-0890-4a68-a353-d4729443529a', 'route': ['p1', 'e5', 'i7', 'x3', 'p2', 'c2']}
1769741757.8879902,RECEIVED,a33c5db8-91be-4800-ab82-ae62ee7f8628,0e2609cf-426d-4b64-aaf7-7dbb931f2a0a,c2,c4,27,p1,?,surb={'id': 'ab644f7e-61f4-4a22-a9d0-2a89c2b1e813', 'route': ['p1', 'e9', 'i6', 'x3', 'p2', 'c2']}
1769741757.9335895,SENT,b3687363-bdf5-459f-8cb7-c7fc679315e6,86ff4497-c904-4cbc-860d-0dd4a3a65cbf,c4,c5,3388,?,p1,
1769741757.9337115,CREATED,1e1f0985-6e89-4ab8-9cda-cc6371e655c2,336d277c-4509-41a6-a1ce-caec8ed85beb,c4,c5,27,?,?,surb={'id': 'c6c8e86c-5bfa-4e73-b981-c2f4ccd7526b', 'route': ['p2', 'e8', 'i6', 'x9', 'p1', 'c4']}
1769741758.2010105,RECEIVED,06de3d97-47c7-4001-af98-b8b41663c5c8,2c925053-9725-4c24-a220-46070eeed4fb,c2,c4,25,p1,?,surb={'id': 'd04bce8d-0250-431d-ade8-5240aeee2757', 'route': ['p1', 'e1', 'i8', 'x8', 'p2', 'c2']}
1769741758.7454152,RECEIVED,69d316fa-2bbd-467b-a72d-0361596c57a9,91485288-43c3-499a-8483-c147640a1acf,c2,c4,27,p1,?,surb={'id': '21a508d6-eed5-4a5e-a96a-3825de644dea', 'route': ['p1', 'e1', 'i3', 'x12', 'p2', 'c2']}
1769741758.924079,SENT,7b879efc-c2bc-4494-a80f-799ba26df6d1,e8e137c3-511e-4423-b636-781fd99aa8c5,c4,c5,3387,?,p1,
1769741758.9242134,CREATED,4c0c81b1-5eed-49dd-b38c-cc7e0e74f6e9,15915c36-378f-4a34-9cc8-56512f1bf193,c4,c5,27,?,?,surb={'id': '55acfb43-e3ea-40ac-a753-b06554d918f1', 'route': ['p2', 'e9', 'i12', 'x11', 'p1', 'c4']}
1769741758.9491951,RECEIVED,7459a6eb-36e9-46c7-a699-01713f12cb2f,98783574-177c-4210-b125-6c9e76d66cf9,c2,c4,27,p1,?,surb={'id': 'ea88d641-7bcd-44ea-b186-b8028f5a7f74', 'route': ['p1', 'e12', 'i6', 'x6', 'p2', 'c2']}
1769741758.9654038,RECEIVED,62125456-45ea-49ae-a958-c4350c41845d,9fb33ac5-da21-4db1-9e7a-f40a7cf8ce51,c2,c4,27,p1,?,surb={'id': '7f0c4900-898a-4793-bbdf-b5e7fef67697', 'route': ['p1', 'e12', 'i9', 'x11', 'p2', 'c2']}
1769741759.0545528,RECEIVED,7b56f495-3cf4-491d-8c06-8f00a621d2c5,fc4c4032-5ab9-4dee-bf94-e9194ae4d8f7,c2,c4,27,p1,?,surb={'id': '5bcb0dd3-3862-401f-aaca-8de4bd53890f', 'route': ['p1', 'e7', 'i9', 'x3', 'p2', 'c2']}
1769741759.100986,RECEIVED,9e9121b5-43cf-49e0-8486-0c62ff2dff3f,02d40956-d2ac-4f4f-a43a-47c2cfaad755,c2,c4,27,p1,?,surb={'id': '0c655a53-a372-4b7f-824c-70928372a4f7', 'route': ['p1', 'e10', 'i5', 'x9', 'p2', 'c2']}
1769741759.3798268,RECEIVED,fe4da776-f039-48b1-802d-b57dee03de24,53f00951-47f3-42c3-8893-36316b825abf,c2,c4,27,p1,?,surb={'id': '98cc38d2-e552-4b4d-880a-e58267ec4050', 'route': ['p1', 'e1', 'i11', 'x12', 'p2', 'c2']}
1769741759.4049225,SENT,7226f190-11b1-4724-954e-b0dabe53152e,f1d7c258-cfa1-4e8a-871a-94c808573da8,c4,c5,3376,?,p1,
1769741759.4057405,CREATED,876533c7-fc10-444c-b430-790beb22c213,34a4345f-e066-4a1a-85a4-c81341859001,c4,c5,27,?,?,surb={'id': '187e54f0-024b-4fe9-8365-02b395bc402a', 'route': ['p2', 'e9', 'i1', 'x4', 'p1', 'c4']}
1769741759.944643,RECEIVED,65a4adfb-e760-4eb3-8bb6-33183a4c479a,5393eda0-7c85-45d8-bcdc-0da1000af2aa,c2,c4,27,p1,?,surb={'id': '9d9107cd-fd6e-4287-a080-ecd643384b53', 'route': ['p1', 'e12', 'i10', 'x12', 'p2', 'c2']}
1769741759.9739408,RECEIVED,733cb78a-098c-413b-87d6-97401ccd3431,a6d4e5bf-2325-4ddc-a03d-4839bafa6042,c2,c4,26,p1,?,surb={'id': '3278ec17-1918-42c6-bb7b-f94241cf2b98', 'route': ['p1', 'e10', 'i2', 'x5', 'p2', 'c2']}
1769741760.033497,RECEIVED,0c930d71-e231-4bb0-b500-4f1611c1d570,8e68662d-8d1d-430e-bc45-6c57d834e599,c2,c4,27,p1,?,surb={'id': '4de9b4ba-0a2e-47ed-bd30-ed3611e062b7', 'route': ['p1', 'e5', 'i3', 'x11', 'p2', 'c2']}
1769741760.1406696,SENT,a06a27c0-cab6-4784-8d08-f420319e9784,2348a86c-dc06-466f-95e8-440931a82c1b,c4,c5,3371,?,p1,
1769741760.1407866,CREATED,0dd29886-3edc-4744-afaa-7f77eef17597,3553828f-db78-4f23-85e5-9c81823a6241,c4,c5,27,?,?,surb={'id': 'dfae6f99-6a71-47f6-b2b7-ea8d412bdcb5', 'route': ['p2', 'e4', 'i6', 'x5', 'p1', 'c4']}
1769741760.4359486,RECEIVED,343867a2-aa41-45e9-9cd6-e56aea17fbf1,315bf927-df79-4ac8-9d92-21c4f133da95,c2,c4,26,p1,?,surb={'id': 'd042288d-62a2-4263-91e5-89176fa63d9d', 'route': ['p1', 'e7', 'i7', 'x1', 'p2', 'c2']}
1769741760.5787485,RECEIVED,edfb3421-33c7-463f-b61f-c9487bf03968,595a94d6-6e00-4cf1-b1b2-11f773e24334,c2,c4,27,p1,?,surb={'id': '724ae360-bd0d-4626-9ba5-553b466477f7', 'route': ['p1', 'e10', 'i7', 'x2', 'p2', 'c2']}
1769741760.6415825,SENT,8b16a83c-96cd-4254-84fb-c8a37b467f9b,532fba33-974d-4b88-8f88-4d90c7db3a10,c4,c5,3383,?,p1,
1769741760.641716,CREATED,0e2df88d-5065-4d70-8f23-bbfaf159839a,1c9e7b73-d8f2-45e3-b625-d5507cd164d2,c4,c5,27,?,?,surb={'id': 'e022f06b-6e63-4984-925e-8d5197bc2861', 'route': ['p2', 'e4', 'i2', 'x1', 'p1', 'c4']}
1769741760.6647587,SENT,ca28854b-d92c-43a6-98a8-43092c58773b,40120af7-df96-4d82-a9ff-af6ae7b87dc4,c4,c5,3372,?,p1,
1769741760.664892,CREATED,ee98e4c4-8849-47dc-9fc9-473898b6f40e,fb12526d-9ada-470c-a802-1b400b120ac7,c4,c5,27,?,?,surb={'id': '18b73682-eeb1-4934-82eb-58d64ec37517', 'route': ['p2', 'e3', 'i6', 'x10', 'p1', 'c4']}
1769741760.8597932,SENT,1929bd48-6931-4954-bf1b-569334f0d48b,be4a9228-60c8-4153-bed6-3496e5931dd3,c4,c5,3359,?,p1,
1769741760.8599226,CREATED,10cf6ffd-13b3-4f32-9f40-bdea3932b164,4974adac-ab2b-4074-b4bf-00fccf29ec0a,c4,c5,26,?,?,surb={'id': '645ae432-c313-45a9-ab1f-33bebf09528b', 'route': ['p2', 'e3', 'i4', 'x10', 'p1', 'c4']}
1769741760.8626242,RECEIVED,d1bea1b0-7bd0-45e6-aeba-99429d22a1e8,0d207203-164e-4b5f-8904-e326ff0c5d19,c2,c4,27,p1,?,surb={'id': '208da1dc-654a-4368-85b3-2e25f53fe934', 'route': ['p1', 'e9', 'i1', 'x12', 'p2', 'c2']}
1769741761.0619655,RECEIVED,1cdd45fa-f495-48f2-a6c0-cc8c999ae96d,2d18b9a9-7aba-4927-bba5-3be54ce3e6e9,c2,c4,27,p1,?,surb={'id': '72ecd1b0-2ae7-4a22-b452-5f6a22198648', 'route': ['p1', 'e1', 'i7', 'x1', 'p2', 'c2']}
1769741761.1128325,SENT,c86c8a8f-1fd3-4c67-a52a-1cea010886a5,1befe2b9-897b-4067-a3af-a5e6d9abedad,c4,c5,3376,?,p1,
1769741761.1129608,CREATED,1b64e4b3-f5a8-4707-a47a-2a9664b4d60f,ca655bf2-54db-4808-9556-34c1c6d5a4e3,c4,c5,27,?,?,surb={'id': '589509b1-be44-4fbc-86d2-b0f1f3c29c34', 'route': ['p2', 'e9', 'i8', 'x7', 'p1', 'c4']}
1769741761.375033,RECEIVED,f5a200a6-0f9e-48c5-b95f-ebc29cfb4e6c,4245fd38-6286-4d5b-a122-92ffc8fc22d4,c2,c4,27,p1,?,surb={'id': 'd601a9e0-10d9-45f1-b8f6-7cef515016a9', 'route': ['p1', 'e5', 'i7', 'x8', 'p2', 'c2']}
1769741761.5082254,SENT,04526f16-aea2-4b2e-932f-a4e56cdeecbf,ba0eeaca-878d-4723-b433-ed3aac42f02a,c4,c5,3398,?,p1,
1769741761.5083604,CREATED,e86a69b7-cd00-4619-806b-eebecd1c9f62,2f0ecafd-b8fe-49f3-b065-cd06948bcc84,c4,c5,27,?,?,surb={'id': 'a7aeeda7-1e67-4338-af17-1971d34c886e', 'route': ['p2', 'e5', 'i9', 'x4', 'p1', 'c4']}
1769741761.876917,RECEIVED,4e0e5349-790e-4dbb-b83d-d3ea8037bdb0,90723cfa-1632-4487-ad3d-d90224d935a7,c2,c4,26,p1,?,surb={'id': '6ee0c4b5-77cf-44b4-a85d-2176bd666f8a', 'route': ['p1', 'e1', 'i1', 'x1', 'p2', 'c2']}
1769741761.9304814,RECEIVED,db2198a6-60bb-483a-8c11-b9a4bc8ddc3f,36abc331-ad7c-4ff4-9552-90712de957ee,c2,c4,27,p1,?,surb={'id': 'd0120d63-cd59-43e3-848f-31ab70ac00ea', 'route': ['p1', 'e2', 'i12', 'x12', 'p2', 'c2']}
1769741762.6584733,SENT,37a4b802-3124-4bda-abc6-377d1381fe13,7aef3414-abfa-4d91-8e28-e95b5687a38e,c4,c5,3378,?,p1,
1769741762.6586401,CREATED,22012efb-6eea-46fc-8c46-a5d12ae6c75b,d8af9f73-80d7-4454-a99a-63fa1444889c,c4,c5,26,?,?,surb={'id': '3c00775e-909a-4a3f-bbe8-8bc6bb1fea5b', 'route': ['p2', 'e1', 'i8', 'x7', 'p1', 'c4']}
1769741762.8918815,RECEIVED,73ea6941-eacf-404e-98ba-8e65c8a5712c,15fac2bd-8d32-4374-8891-083fbf0a6f5a,c2,c4,27,p1,?,surb={'id': 'd9a97d36-7406-4b4c-bada-08ebf9149d8f', 'route': ['p1', 'e12', 'i2', 'x10', 'p2', 'c2']}
1769741762.928732,RECEIVED,4fe97659-8c27-42bc-a619-132a85e57454,888c780b-25ba-420c-ac7c-cb79eea5e5e4,c2,c4,27,p1,?,surb={'id': '61d47a65-c15d-4aca-b916-b2734574d66b', 'route': ['p1', 'e2', 'i3', 'x7', 'p2', 'c2']}
1769741763.0572672,SENT,6c2aa0e2-3318-4c7d-8ed5-28739d9a306a,62ab5923-6b9f-4b8a-b53f-3eb54ae4aff0,c4,c5,3368,?,p1,
