timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759646.8505416,RECEIVED,96540223-f7ef-4ecb-9a5c-246f7a32df8e,7155d5f8-50ca-417f-b7da-75dbf68488ef,c5,c1,27,p1,?,surb={'id': 'd4d4c893-9a30-41e5-8ede-3ee0916229c5', 'route': ['p1', 'e5', 'i11', 'x4', 'p2', 'c5']}
1769759646.8611407,SENT,f3fa50bb-5fe4-4149-81f1-1a4ab3d5d58f,d535d7e5-dd0d-4195-9495-b7add3e70df6,c1,c5,3371,?,p1,
1769759646.8612845,CREATED,c5074cad-242f-40a3-a58a-7a96df89c16f,0bcfcd07-1b65-4c1f-822c-123a1efe47cb,c1,c5,27,?,?,surb={'id': 'cd999226-cb4d-4d19-93da-27dfdf163b96', 'route': ['p2', 'e6', 'i3', 'x3', 'p1', 'c1']}
1769759647.0220807,RECEIVED,3f18965c-edc8-41d3-b1a7-f53afdf4f1bc,8253f651-a53e-4c3a-88da-9181a26d2d58,c5,c1,27,p1,?,surb={'id': '9fcb4dab-2d0d-4fe9-9cac-8bd43fc98dae', 'route': ['p1', 'e9', 'i2', 'x12', 'p2', 'c5']}
1769759647.1387947,RECEIVED,95f50dee-7219-4d0c-b3b7-88adb5fe8418,b75dfcdf-5bba-4977-9f1c-51e3a084ff45,c5,c1,27,p1,?,surb={'id': 'bcb68ab0-28ac-47b5-b0ae-6a183251772a', 'route': ['p1', 'e6', 'i2', 'x6', 'p2', 'c5']}
1769759647.2633808,RECEIVED,5f8163ac-bc9d-407c-9d75-38f94ccad316,058000fc-eab2-49c6-bc7b-fc7e435a886b,c5,c1,27,p1,?,surb={'id': '5be58230-6ea5-442f-9203-157a38cd8cd5', 'route': ['p1', 'e5', 'i3', 'x5', 'p2', 'c5']}
1769759647.5041618,RECEIVED,23d0d64b-540d-402c-90a4-94946ef02e16,9f4be5bb-9087-43ee-8567-271294c7fa1c,c5,c1,27,p1,?,surb={'id': 'e0cb3132-9053-4e9b-ad2e-0b22d91c31f2', 'route': ['p1', 'e7', 'i11', 'x3', 'p2', 'c5']}
1769759647.5107439,RECEIVED,19d79b50-cec3-4366-b811-70a40fa0ee7d,14b3368a-2c36-46e7-b7ee-84d69b15d197,c5,c1,26,p1,?,surb={'id': '54d2af2e-117b-4bc9-839c-162c6fb6b1cb', 'route': ['p1', 'e1', 'i12', 'x11', 'p2', 'c5']}
1769759647.6440957,SENT,2b7942e7-c27b-4ee8-b802-bd170066018b,a0a9f1a4-5537-47b7-9ad7-6cc7d26c3883,c1,c5,3400,?,p1,
1769759647.6442308,CREATED,3a7a8a18-e76c-4ff7-b0ab-350364d90f5c,61377e73-7782-4132-affa-333f93b176df,c1,c5,27,?,?,surb={'id': '68b70eb5-70c8-44e3-87a9-bbed1fa6c439', 'route': ['p2', 'e10', 'i1', 'x5', 'p1', 'c1']}
1769759647.7789989,RECEIVED,23235d8b-17b1-4f71-890b-80e5fe807296,8aacdcef-ae76-4fc8-9489-ad40a6bebed2,c5,c1,27,p1,?,surb={'id': '96f8a30e-630a-454d-a4ae-b28ba436fda8', 'route': ['p1', 'e6', 'i10', 'x6', 'p2', 'c5']}
1769759647.9003363,RECEIVED,69d09aa9-d703-4c14-bd3a-5034aff20e5e,2266dae2-7c20-4716-8b67-4087f76dfaac,c5,c1,26,p1,?,surb={'id': 'b0cc4569-fe48-4dc6-8f5b-bb87058d647f', 'route': ['p1', 'e6', 'i11', 'x4', 'p2', 'c5']}
1769759648.0119157,RECEIVED,7f4c9af5-eca7-4cf4-9c14-ef3ef93a9268,4867af70-6124-46c6-9409-7bc11afc976b,c5,c1,27,p1,?,surb={'id': 'c43c7d6d-d7b5-42ab-9bc6-3f1e8966cda5', 'route': ['p1', 'e11', 'i6', 'x3', 'p2', 'c5']}
1769759648.0307415,RECEIVED,c1b67a8e-13d4-4fe6-9d37-ff20c3943cbd,1575e4ef-df4a-473e-8009-ec97e736da26,c5,c1,27,p1,?,surb={'id': 'b342ff15-bed8-47e7-a1a5-f95c09eab48c', 'route': ['p1', 'e11', 'i7', 'x5', 'p2', 'c5']}
1769759648.450398,SENT,74363a7f-915e-4b80-b61a-5209478e66a5,6571f1d2-b8c9-4af2-844b-fca49393d3a0,c1,c5,3385,?,p1,
1769759648.4505289,CREATED,f0bf24ec-7458-4c82-b287-b0dd290f4ea0,e33e0815-1666-4fa5-a78d-196e34154b94,c1,c5,25,?,?,surb={'id': 'c65f37c4-023d-4ed1-bdfe-7cb8861807df', 'route': ['p2', 'e1', 'i11', 'x8', 'p1', 'c1']}
1769759648.746586,SENT,cb5a12e8-4643-4441-a451-90181b88a4ee,874eb817-d3d9-46df-a5c0-c1a4c7b174cf,c1,c5,3380,?,p1,
1769759648.7467377,CREATED,1f043068-2c02-4192-9bcb-7eabf9a6f18f,b3b40ae0-bd27-45a0-8820-2ebce921bbcb,c1,c5,26,?,?,surb={'id': '2a964264-4233-44b5-81fd-91ad1bde6258', 'route': ['p2', 'e6', 'i10', 'x5', 'p1', 'c1']}
1769759648.8358216,SENT,fa76cda9-76c2-498c-ab4a-de1442b0d242,4d41a5cb-8fcb-40b5-999e-71f451d3bd08,c1,c5,3376,?,p1,
1769759648.8366525,CREATED,be95cd8e-f9c9-4ed8-aac2-52f70cb4f0a0,be23a64d-f670-4237-8482-411b7abcf8b4,c1,c5,26,?,?,surb={'id': 'c6985577-d955-424a-8a49-fd3c6a05b6d2', 'route': ['p2', 'e10', 'i7', 'x8', 'p1', 'c1']}
1769759648.862732,SENT,db50538a-9114-4ae6-817b-872718d82b38,6011313f-dbd7-4dc2-b2c8-5a50dad8221c,c1,c5,3376,?,p1,
1769759648.8628826,CREATED,c655579b-d729-4445-9747-6708dfea4024,65023caf-b69e-4af4-9d61-669efb1f7655,c1,c5,27,?,?,surb={'id': 'd2a89f9a-3375-49f5-b790-3d58863a1dfb', 'route': ['p2', 'e3', 'i3', 'x12', 'p1', 'c1']}
1769759649.052251,RECEIVED,79dd8e80-c7bc-4cdd-956c-0e1476bfa29e,a90ca048-ce10-4c54-a481-98292872a37c,c5,c1,27,p1,?,surb={'id': '1ca17b13-a00c-44ed-85e0-32f9ae853239', 'route': ['p1', 'e12', 'i8', 'x3', 'p2', 'c5']}
1769759649.1953895,SENT,1861fc75-85a8-44a6-965f-9ea339b907f2,da9c44b5-0ebf-47cc-b02a-bc07bc8a55f5,c1,c5,3355,?,p1,
1769759649.195541,CREATED,a0cb1aee-1640-4390-b51a-be34f3084291,4696c1c7-d64f-44c6-b10c-b886f8376785,c1,c5,26,?,?,surb={'id': 'a30f070f-d943-46c2-b275-13f8f00afe43', 'route': ['p2', 'e1', 'i4', 'x4', 'p1', 'c1']}
1769759649.518282,RECEIVED,ac1f3a3a-cfe1-4c11-997c-aba6f76f11fb,dbe194bb-a5ce-45b1-8fff-ca8c27e3ca3b,c5,c1,27,p1,?,surb={'id': '5b8e3cfd-c09e-429a-acc1-983485e7801f', 'route': ['p1', 'e4', 'i11', 'x5', 'p2', 'c5']}
1769759649.6671288,SENT,59aa6689-176e-44ed-ac8a-285d2a71aa50,d439e9e6-3b05-48b7-8c0e-6a8a7c11f22e,c1,c5,3399,?,p1,
1769759649.667283,CREATED,babacb0f-5e08-48c5-b012-f6f55f90f82c,a8f912b6-cf43-4b47-973c-6eb0255e1452,c1,c5,27,?,?,surb={'id': '8c22047a-8b6d-4d83-bc01-45f57bc15986', 'route': ['p2', 'e7', 'i8', 'x11', 'p1', 'c1']}
1769759649.8349206,RECEIVED,cd83d77c-0370-4806-920d-af713751bf98,cfc489c2-5fe0-412c-86b4-880acfbb2649,c5,c1,27,p1,?,surb={'id': 'cfde161d-b3b2-4cc6-99a4-e29b10b5db2b', 'route': ['p1', 'e9', 'i11', 'x6', 'p2', 'c5']}
1769759649.9151835,RECEIVED,dc371029-d99d-4587-aab1-c8a56c62475e,da08737e-252c-4b02-9a19-615fceec6fb8,c5,c1,27,p1,?,surb={'id': '1565de84-465c-4c4d-9164-bd2da02cadcc', 'route': ['p1', 'e4', 'i2', 'x8', 'p2', 'c5']}
1769759650.148265,SENT,aabe20d7-23e7-41c5-ad12-205037e29c6e,cf2ca962-0863-4298-b002-4fb479a21251,c1,c5,3363,?,p1,
1769759650.1484067,CREATED,156c832c-9fc8-4aab-94ba-7ad1a504a0d9,3592dc01-af14-48cc-96f9-d37a95c637a5,c1,c5,26,?,?,surb={'id': 'd6e2997d-607f-4e05-979f-4e53a7fdda1f', 'route': ['p2', 'e12', 'i2', 'x8', 'p1', 'c1']}
1769759650.2667465,SENT,0fb6cbb8-3bb7-402a-9cbe-c612fdd2c417,18ac3130-39ff-40f0-a6b5-3c45a3b7b2e8,c1,c5,3383,?,p1,
1769759650.2669027,CREATED,1d6b1d78-5a65-4fcd-b33a-f1a1d66a2b30,433dc73d-8c65-4517-8575-9eae9b1d1af1,c1,c5,27,?,?,surb={'id': 'f81a2766-177c-4ddd-8b4b-ff34979e217f', 'route': ['p2', 'e8', 'i7', 'x11', 'p1', 'c1']}
1769759650.414809,RECEIVED,15026311-d5a8-42b5-8c09-130c89f0df91,c4b6c7c4-53bb-48b4-8ed9-4218c618688c,c5,c1,27,p1,?,surb={'id': '7a386743-a840-456c-a1f3-894ee73d250e', 'route': ['p1', 'e10', 'i8', 'x3', 'p2', 'c5']}
1769759650.4206567,SENT,43dd5214-d709-4004-a66a-174e68849e6e,ebbc3a7c-46e9-48a7-ac66-fbe7154a35cb,c1,c5,3376,?,p1,
1769759650.4207842,CREATED,f6f5a52b-c6e0-4ba3-8319-4b96ffe2bce4,5b767c18-7dc0-4f5f-985a-aa23ca7e5a20,c1,c5,27,?,?,surb={'id': '20095813-6a03-4305-b05b-74bffe51c4b2', 'route': ['p2', 'e5', 'i2', 'x6', 'p1', 'c1']}
1769759650.7347822,RECEIVED,03bc33af-6fed-47d9-9624-4507389629a9,fa0ee227-65f2-4ad4-899d-d5fdb9003992,c5,c1,26,p1,?,surb={'id': 'f21f9918-93e7-4743-9f3b-36bbce2875a7', 'route': ['p1', 'e1', 'i7', 'x9', 'p2', 'c5']}
1769759650.7573082,RECEIVED,c4652565-1a5c-4eef-a25e-d991cb1ce793,85059af7-0c9a-43cc-85c0-20f7fb3a8214,c5,c1,27,p1,?,surb={'id': 'c7ddd5c2-06ec-4e7a-b0bc-ed7212b2983f', 'route': ['p1', 'e8', 'i2', 'x2', 'p2', 'c5']}
