timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759639.5947936,RECEIVED,4b364300-d029-4593-8a7c-6934056ad8ae,341e5408-dbe8-4b2c-a120-21c9b7b317ea,c2,c5,26,p2,?,surb={'id': '2ead010d-a620-4a75-906f-fe21ad149d50', 'route': ['p2', 'e9', 'i12', 'x4', 'p2', 'c2']}
1769759639.7925775,RECEIVED,4b90130e-8d49-4333-8fe7-b1376c8ce6df,8100349c-9d1d-4e54-ac62-35e72e81d65b,c4,c5,27,p2,?,surb={'id': '3c7cf99b-df51-4d3c-9ca0-907083c52959', 'route': ['p2', 'e9', 'i7', 'x12', 'p1', 'c4']}
1769759639.9597607,SENT,8d6d1fdb-e7cd-4e45-8a40-c28bce45872a,b8efe771-9715-4e2f-9dc5-5dc044d2dfde,c5,c1,3375,?,p2,
1769759639.9598923,CREATED,8ae550de-bfbb-401b-9ce9-15a27f37af0b,bdda472e-94e9-45f3-afb5-04bc0b668bb8,c5,c1,27,?,?,surb={'id': 'b20885de-fb6a-4fd1-ab31-bf1d16beb503', 'route': ['p1', 'e6', 'i2', 'x8', 'p2', 'c5']}
1769759640.0096188,RECEIVED,819a8e00-6661-498a-88e7-efb1abf9d6ef,e5d92093-8c11-4284-b817-08651a4be538,c2,c5,26,p2,?,surb={'id': '2b8a8b54-2f56-4a8e-a582-f552532bf128', 'route': ['p2', 'e4', 'i10', 'x3', 'p2', 'c2']}
1769759640.1776326,SENT,cee66a48-67de-4ae4-848c-0736f002608c,21e37bf2-88ed-4bd5-b7a7-f3f4ee3b1b65,c5,c1,3380,?,p2,
1769759640.1777673,CREATED,f2a9dd26-f8b1-4cbd-8900-34bfbad2db55,9db2afd1-a848-4a78-aa60-6d09621dbf0a,c5,c1,26,?,?,surb={'id': 'b9cfb04f-e318-4ad1-b956-3a976dc26176', 'route': ['p1', 'e12', 'i10', 'x10', 'p2', 'c5']}
1769759640.644708,RECEIVED,b80b9f42-712f-48b6-821e-354005e5d7b6,abeabc7c-7a8a-425c-a20c-debc7cd4ad94,c4,c5,27,p2,?,surb={'id': 'edf7f319-d803-41b4-a565-0e442b253432', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769759640.7459629,RECEIVED,b4186ea3-5d69-4a43-bd17-c11e02c39c01,a124cbae-4f91-4530-860f-876870c10815,c2,c5,27,p2,?,surb={'id': '9722b339-dca6-482b-8a4b-a5cb6dc4ae9a', 'route': ['p2', 'e7', 'i2', 'x11', 'p2', 'c2']}
1769759640.8273766,RECEIVED,cf1ab7d5-3630-4408-998a-e37cf15cb84b,0074af53-c3df-424d-9b71-7d98625819d4,c2,c5,27,p2,?,surb={'id': '64ef8dbd-37e5-4392-8e9c-a354136367fe', 'route': ['p2', 'e7', 'i3', 'x11', 'p2', 'c2']}
1769759641.013106,RECEIVED,19ae73ae-a547-4015-a7fa-8d8e0a5062dc,c7fa6270-ff93-4e97-b157-1583536dd2e7,c4,c5,27,p2,?,surb={'id': '0790d6a2-bb06-4534-9959-2f8881e518d4', 'route': ['p2', 'e3', 'i1', 'x7', 'p1', 'c4']}
1769759641.2866507,SENT,5a3fccc8-9a16-4dd0-aaae-2917236ca88a,e2159556-dfba-42f2-98fd-0db2134b2cc2,c5,c1,3383,?,p2,
1769759641.2867982,CREATED,54ef6923-ccd3-43d4-ab81-b09b5aa289ed,8616ce50-6c3d-464f-b302-f718af18f717,c5,c1,27,?,?,surb={'id': '61bae411-28cc-4aac-a872-bc2c8476008d', 'route': ['p1', 'e10', 'i1', 'x10', 'p2', 'c5']}
1769759641.4741514,SENT,0b710e3b-3f0a-48ae-89b3-4cc26b27d608,82d73904-2310-4464-81de-d38795958c19,c5,c1,3381,?,p2,
1769759641.4742842,CREATED,40b94344-e492-460a-8cb6-485b2271f4c7,81d663ce-90fd-4c4d-aa70-bca9b90109e0,c5,c1,26,?,?,surb={'id': 'd36319af-66d7-4c95-8f93-3260418e458a', 'route': ['p1', 'e9', 'i9', 'x4', 'p2', 'c5']}
1769759641.5503309,SENT,cd768fdd-1cee-4b50-bd7a-69aeb3ede846,5c5e75cb-323b-4d79-ba1f-0da85910c5c0,c5,c1,3376,?,p2,
1769759641.5504632,CREATED,8a266e7a-641a-40ac-8ce2-d1b979d63148,9579168e-fa64-426b-9930-efa8732012b8,c5,c1,27,?,?,surb={'id': '42b7ad83-52b7-4544-b4e1-74ccf05d8f2e', 'route': ['p1', 'e12', 'i7', 'x7', 'p2', 'c5']}
1769759641.5946028,RECEIVED,9287159f-c827-4355-b3ac-9d022b878773,1c629883-f6e6-405a-977a-d03a74442797,c4,c5,27,p2,?,surb={'id': '1bab3627-5f4f-45dd-be5c-5fa35a9ed529', 'route': ['p2', 'e6', 'i12', 'x1', 'p1', 'c4']}
1769759641.6372843,SENT,4cc8d43b-42e6-4378-919a-49bb2f3581e3,85bd3dd8-0877-42e4-b73b-e7801abddf26,c5,c1,3416,?,p2,
1769759641.6374683,CREATED,0ca29909-dbeb-400e-af2a-20c45c54ec44,86dc242e-c2f8-46c2-9b88-8b3789e041e8,c5,c1,27,?,?,surb={'id': '071f935b-e12d-4da0-891e-4d36d6c6f142', 'route': ['p1', 'e12', 'i1', 'x7', 'p2', 'c5']}
1769759641.76971,SENT,5a9755dc-128e-47a9-ac9c-b12e2a68122c,325ba17f-d5ea-4802-a402-f40b36c2e3a0,c5,c1,3379,?,p2,
1769759641.7698557,CREATED,bf5a3a28-d29f-4201-a1de-5598ec9580c2,fe120f23-f608-49a6-98f0-1a3c67e2a620,c5,c1,26,?,?,surb={'id': '87ea65eb-270f-43c5-9edf-a7b94491d0a1', 'route': ['p1', 'e9', 'i5', 'x6', 'p2', 'c5']}
1769759641.8105307,RECEIVED,62f3cc0f-b1d2-4f87-84af-df20c2057e5d,99fca452-dfc8-476d-ba1f-50c264896fee,c2,c5,27,p2,?,surb={'id': 'aeb486fc-4cff-4986-bcbf-2fc0bf7a79fc', 'route': ['p2', 'e1', 'i11', 'x6', 'p2', 'c2']}
1769759641.828408,RECEIVED,e862a155-705e-4135-9201-879104a04db5,450b8baa-ae44-4b14-8d24-a209cc6c3a71,c4,c5,26,p2,?,surb={'id': 'cd8f59fc-200e-4007-a4d6-f9622720cf8f', 'route': ['p2', 'e9', 'i1', 'x8', 'p1', 'c4']}
1769759641.854997,RECEIVED,675f03ea-75dd-43a4-b488-9ee8397cc0e7,d0ba08c5-da02-4f46-9147-cf45eb042d07,c2,c5,26,p2,?,surb={'id': '0ab8d9d0-a474-4d60-bbdf-53c2edb24384', 'route': ['p2', 'e5', 'i1', 'x10', 'p2', 'c2']}
1769759641.8747137,SENT,e5a5a791-b7e6-4b3e-bcf7-a9a88c6c8144,6dd7dc4e-0794-44a9-a380-fd9b4bdd635f,c5,c1,3387,?,p2,
