timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753467.857671,SENT,ff0396c6-ddb7-48e1-aac4-1462efb128d2,1350f2dd-4b8c-4f33-86b7-2c1a70fba926,c1,c5,3375,?,p1,
1769753467.8578281,CREATED,84589e69-2703-4e37-b482-6f734b52564d,0ffe1b07-2d9d-4fbf-85f9-5ad085125078,c1,c5,27,?,?,surb={'id': '5e5b426e-5870-4a02-8fe9-6b8d3a897aec', 'route': ['p2', 'e4', 'i7', 'x2', 'p1', 'c1']}
1769753469.872797,CREATED,b7be1457-8274-452e-b4e3-5c4457167af2,9342bda5-7726-4d4f-a442-8b4779c82303,c1,c5,27,?,?,surb={'id': 'b423a589-e4e2-4fbb-8ba6-39805f8a52d8', 'route': ['p2', 'e6', 'i6', 'x9', 'p1', 'c1']}
1769753470.122492,SENT,87a1518d-285e-4fbb-89da-3513bd753ac3,70527d8f-f627-4c9b-ab42-6b41b4ef33ca,c1,c5,3375,?,p1,
1769753470.1226232,CREATED,d0973c76-811b-4e51-b39b-e7a3c1a52afc,5005bd37-9d28-4272-b019-a426aef82e6f,c1,c5,27,?,?,surb={'id': 'cd36c789-1593-409c-9beb-e47829ab233d', 'route': ['p2', 'e1', 'i5', 'x4', 'p1', 'c1']}
1769753470.1945305,SENT,cb2c4619-94a1-4286-a361-85e97975885b,6ceede8a-9039-4ac1-b6d8-36978e17af43,c1,c5,3383,?,p1,
1769753470.1946638,CREATED,7332f2bd-c0f8-4755-8d0d-c8f80a73960b,8c2e0351-e696-449b-9a5e-4f4fe3c99bb9,c1,c5,27,?,?,surb={'id': 'b2942089-ba95-4f3d-a034-e710809f2843', 'route': ['p2', 'e4', 'i3', 'x1', 'p1', 'c1']}
1769753470.4812403,SENT,01d55a2f-23a7-40d0-8f0e-6cd6d095c5e8,55f88a9a-2f1f-46b1-8580-9ef9b1d4b47c,c1,c5,3380,?,p1,
1769753470.4814003,CREATED,a66cbbe6-624a-4cec-b03c-fabe77ebfed0,407e43b8-cb76-4dee-8042-35b2ec56a135,c1,c5,27,?,?,surb={'id': '45d65c07-4cf5-4d36-9c1e-35822732a903', 'route': ['p2', 'e2', 'i12', 'x3', 'p1', 'c1']}
1769753470.6426814,SENT,d0cc90fa-964c-4040-83f0-1d307e5ef84e,a92d08f8-696a-4e9f-b36c-6ac6067551c4,c1,c5,3396,?,p1,
1769753470.642812,CREATED,2368d5dc-f703-4f37-b5fc-15129f089e18,fc4eb508-4628-46b9-a7f6-639f1eb7077a,c1,c5,27,?,?,surb={'id': '725b7b48-2cb3-46af-ac1c-7b117488d2f8', 'route': ['p2', 'e9', 'i1', 'x7', 'p1', 'c1']}
1769753470.6865642,SENT,6d352af1-855a-4dda-a900-2c328b61f701,5cf99c8a-ae9f-4fd3-9ffb-13120328c907,c1,DROP,2025,?,p1,
1769753470.6866941,CREATED,82c0515a-4956-42e9-be82-d0e970c17cf5,f6504316-3dbd-4b56-8234-f03dadf83e15,c1,DROP,25,?,?,
1769753471.1340296,RECEIVED,50cbb88e-e75c-478d-a082-17d41e5b270c,50a7004a-6a82-457e-8ce5-35fb8d4fdee6,c3,c1,25,p1,?,surb={'id': 'dcdfa730-8cf5-46cb-8dea-2ef01c6d0a65', 'route': ['p1', 'e5', 'i1', 'x8', 'p3', 'c3']}
1769753471.375538,SENT,b58dfd89-3389-481e-8c1d-9ff252bb8ebc,d67fed6c-a5e3-4a30-b762-026388d124ff,c1,DROP,2017,?,p1,
1769753471.3756585,CREATED,db74c3f1-423c-45d3-ae2e-309379cc5809,542d6900-7f0f-43ec-98a7-3ff75cb2377b,c1,DROP,27,?,?,
1769753471.3849726,RECEIVED,f1461da9-e8e7-402e-abbf-caa5c2ce12b8,dc892eba-e6bb-41b6-903b-095a07a42252,c3,c1,27,p1,?,surb={'id': '6fe122af-593d-4125-9e8a-890d8252a3ed', 'route': ['p1', 'e10', 'i12', 'x2', 'p3', 'c3']}
1769753471.8433943,RECEIVED,1ce024cf-8217-42af-9fab-52c0c9d079bc,bbbf3b1d-c529-4fda-852f-c9d59cf97c87,c3,c1,27,p1,?,surb={'id': '6e8775c3-3c3e-41ea-8922-acbc0920b580', 'route': ['p1', 'e6', 'i12', 'x10', 'p3', 'c3']}
1769753472.1205328,RECEIVED,24cf988a-8baa-4411-afda-ff406b555e49,126f73d1-7256-4526-b008-23633104f242,c3,c1,27,p1,?,surb={'id': '09897a32-cd09-41ad-b579-5b91392bc4d4', 'route': ['p1', 'e5', 'i5', 'x10', 'p3', 'c3']}
1769753472.1734347,SENT,d6fc1ac1-2900-47b8-a501-0e4ada391a5f,b67262cf-7e08-4a6d-b33f-98a82d9ee655,c1,c5,3363,?,p1,
1769753472.1735706,CREATED,b5c163ec-3da8-4219-977a-6c3945eb36c3,b7a2abfd-8778-49bf-b9c0-a226a521688d,c1,c5,27,?,?,surb={'id': '54b7da68-c8c7-4b56-87e4-494d03eb2e3f', 'route': ['p2', 'e6', 'i12', 'x8', 'p1', 'c1']}
1769753472.2458842,SENT,eae4d90d-91d4-419e-ac05-7f8cd61db044,4606d416-0df6-4da6-985a-32d1815afaa3,c1,c5,3404,?,p1,
1769753472.2460227,CREATED,eae2520e-bee8-4323-a694-f99c4d7dbb36,ec05ae0e-caa5-4f1e-8e89-6d72b36b899e,c1,c5,27,?,?,surb={'id': '03895886-968d-45ee-80b8-5ca71d8fd574', 'route': ['p2', 'e2', 'i11', 'x8', 'p1', 'c1']}
1769753472.2693129,RECEIVED,5335d01f-c0b0-4750-8240-a0c15818aeda,d7ceb181-64f6-4e1a-b2be-16068fa6d4bd,c3,c1,27,p1,?,surb={'id': '196281c8-169e-40d7-987e-1c100811bc03', 'route': ['p1', 'e11', 'i6', 'x10', 'p3', 'c3']}
1769753472.3593886,RECEIVED,11896ba7-dab3-45af-bdf4-13c35b854174,8362704d-7f39-4165-a378-1bf84210324c,c3,c1,27,p1,?,surb={'id': '09e88c01-a737-4503-a87b-8224e568795b', 'route': ['p1', 'e6', 'i2', 'x7', 'p3', 'c3']}
1769753472.4069777,SENT,092ee3b2-2c87-4bd2-9f42-cc0ee5e71ad0,9c6f177f-1f89-4070-8961-287df58333e5,c1,DROP,2036,?,p1,
1769753472.4071434,CREATED,a21828b5-79da-4a4a-a377-363c0b3095a5,6409fbae-f27e-4035-b90c-3248ee616efc,c1,DROP,27,?,?,
1769753472.4215777,SENT,5882da85-359c-45f5-bd76-0dd3c76e13c6,6b919d73-5036-42c6-ba88-22bb19bb1260,c1,DROP,2041,?,p1,
1769753472.4216964,CREATED,3203cac1-f80b-4791-bf31-4d2d4d2281c0,39867420-cde2-4a6c-90ff-3b1e23470a49,c1,DROP,27,?,?,
1769753472.6159747,RECEIVED,d15091d8-79e1-4f7d-94f0-5ae2520dbc07,19b903d7-eb9c-48bf-8716-e4257e9f92d5,c3,c1,25,p1,?,surb={'id': '4890aa01-2091-48ee-a956-e692b64286f4', 'route': ['p1', 'e4', 'i12', 'x5', 'p3', 'c3']}
1769753472.916681,RECEIVED,7c299284-d059-4ed2-b117-085e65b521a6,997b6236-e417-4486-8744-378d58786631,c3,c1,27,p1,?,surb={'id': '97f7b151-ed79-48fa-b864-70023752d510', 'route': ['p1', 'e4', 'i1', 'x7', 'p3', 'c3']}
1769753473.1529088,SENT,41925128-1745-4217-8b4d-8f6b35cebead,233b72e5-0b83-4a9a-845f-ebfeb8b054cf,c1,c5,3376,?,p1,
1769753473.1530802,CREATED,b7cd231a-dba5-403e-a50f-1dfab6261c3d,0a7767cc-28a8-4ef6-9c09-be1802cf7a6f,c1,c5,27,?,?,surb={'id': '1fb55a2e-401d-449c-9fec-3231506ed3e9', 'route': ['p2', 'e2', 'i3', 'x2', 'p1', 'c1']}
1769753473.1638477,RECEIVED,bd3feb55-1014-440b-9d52-dce1a381482b,7e7b04d5-376d-4d9c-99b1-613dc8d964b5,c3,c1,27,p1,?,surb={'id': '42e34dcd-20b1-446d-ac3a-96be9a09da74', 'route': ['p1', 'e8', 'i11', 'x1', 'p3', 'c3']}
1769753473.4601827,RECEIVED,fc1cfaca-e1ae-4766-82d1-43c414a9326f,c852d7d3-20be-4d2b-bb57-56cc0d5c7df8,c3,c1,27,p1,?,surb={'id': '627e7123-9ec8-4daa-938e-3a871c023176', 'route': ['p1', 'e2', 'i2', 'x11', 'p3', 'c3']}
1769753473.6737907,RECEIVED,dfbec0bd-d422-408f-b5b2-d095168da467,32aa03c2-79a8-4221-820a-719d5402bac0,c3,c1,26,p1,?,surb={'id': '0f60d04a-7fd8-4417-b5cc-6cca84cb0780', 'route': ['p1', 'e9', 'i4', 'x9', 'p3', 'c3']}
1769753473.7264278,RECEIVED,9539a004-f4c8-4863-b415-59a1a50ea7db,818b1652-1776-480e-833a-81273ed6bc8f,c3,c1,27,p1,?,surb={'id': 'fe1fc79f-194b-476b-b1a5-63299ebb0eac', 'route': ['p1', 'e1', 'i4', 'x5', 'p3', 'c3']}
1769753474.0267243,SENT,7a6d3686-165b-4abd-9fc1-da37a9115e35,63800bf7-51bd-4733-8e1a-c0e2f6e92752,c1,c5,3374,?,p1,
1769753474.026878,CREATED,93ef12b4-a521-4851-869b-ced350404978,f75b52f6-93d7-4251-9785-e00e07cbf2b2,c1,c5,27,?,?,surb={'id': '44b87b85-932a-4cf9-b759-93fcbc5ab646', 'route': ['p2', 'e9', 'i11', 'x6', 'p1', 'c1']}
1769753474.1576626,SENT,be84e76e-8630-4f03-88ed-eecfb6665252,cfac4ee8-ebbd-4bd1-b594-d77cf59ec41a,c1,c5,3383,?,p1,
1769753474.1578107,CREATED,f87d4183-1630-4240-a6a8-65ab47cf3c1d,c72d4669-052e-4249-b008-49c304d6c1bd,c1,c5,27,?,?,surb={'id': 'c4034501-f565-48ac-b252-2f3832607bbe', 'route': ['p2', 'e1', 'i5', 'x7', 'p1', 'c1']}
1769753474.3199334,RECEIVED,063d5de0-9b47-4e70-a865-13a6ef694a65,2b8b5d6f-dc2f-47ec-a3bd-83c63ca44ff4,c3,c1,26,p1,?,surb={'id': '073202e4-8e69-4180-84c1-85492fbca8f3', 'route': ['p1', 'e2', 'i3', 'x9', 'p3', 'c3']}
1769753475.0498037,RECEIVED,8bfe4d1f-c889-420f-aa99-478edafdb29f,78b5f2a4-467d-4bce-add4-1681499d013e,c3,c1,27,p1,?,surb={'id': 'd7d6cba5-f26b-40be-a1fc-0a2dfcd13069', 'route': ['p1', 'e2', 'i7', 'x3', 'p3', 'c3']}
1769753475.1933599,RECEIVED,72304cdb-e19f-4124-b190-9da6c109a2b8,d62e781f-3b80-40ff-887e-d1c8fc5b7772,c3,c1,27,p1,?,surb={'id': 'b9e5eb7f-d286-4115-b109-767101cd9a00', 'route': ['p1', 'e9', 'i10', 'x4', 'p3', 'c3']}
1769753475.5198636,RECEIVED,5824cf4d-e87d-4201-b021-e1d947cdd007,4ec66051-0fbc-41ae-ba3c-5a45436f8bef,c3,c1,27,p1,?,surb={'id': '1cadccca-ecc7-40aa-bc9a-6d0dd39187cc', 'route': ['p1', 'e10', 'i12', 'x1', 'p3', 'c3']}
1769753475.6358588,SENT,15fab5d7-ce0e-4d21-8f07-3d17d6c3215c,0d5c8aca-98a5-4f1a-928e-905b04aff77a,c1,c5,3376,?,p1,
1769753475.6359863,CREATED,bfec3491-6831-4200-a9bf-98a3e1fa0392,7d53d720-a895-4179-b741-d44d7da78fac,c1,c5,27,?,?,surb={'id': '211c55ce-a8e8-4f6f-8bb7-9f3a1121a44e', 'route': ['p2', 'e9', 'i9', 'x8', 'p1', 'c1']}
1769753476.1646044,RECEIVED,80fd3e10-6181-4b34-b763-1e5acd690181,54765cac-85aa-4776-a7b5-b12ef3a4ba15,c3,c1,27,p1,?,surb={'id': '1207908e-9ce7-4f15-8bb2-6fe04fe2e3ee', 'route': ['p1', 'e12', 'i2', 'x3', 'p3', 'c3']}
1769753476.6219807,SENT,22b4a261-9be5-4095-9f18-54fb8f33bb02,87e7711b-137a-4ea3-a45f-d4e2b8fec176,c1,c5,3384,?,p1,
1769753476.6221886,CREATED,f14ba5ea-9481-4c3f-940a-2b289fc44708,5bffcfff-9b90-42cd-babb-f07e035eb06b,c1,c5,26,?,?,surb={'id': 'f96f0b5e-fa86-43e2-b4d6-2e07f602fdb6', 'route': ['p2', 'e3', 'i7', 'x12', 'p1', 'c1']}
1769753476.737494,RECEIVED,12657056-f93a-4c3d-8b99-8a58c9d7755f,fe13b7cb-27f0-4615-8a24-d016f9cf6c81,c3,c1,27,p1,?,surb={'id': 'b80eb9b2-7852-4e5b-a7b7-fdb301ed903b', 'route': ['p1', 'e8', 'i4', 'x10', 'p3', 'c3']}
1769753476.782482,SENT,65afa6c4-566f-4b94-9ca5-9ce95db8ab14,0c97eaa3-28b9-49a0-a85e-65cd0ac56d43,c1,c5,3364,?,p1,
1769753476.7826126,CREATED,99ca96e7-20f1-4b36-924f-4bc5d1768819,bb700906-3f84-4b8e-a5ca-f5a7d8c5ef5b,c1,c5,27,?,?,surb={'id': '7ceeac70-0892-4493-a6a5-43b98c8bac4d', 'route': ['p2', 'e7', 'i1', 'x9', 'p1', 'c1']}
1769753476.88544,RECEIVED,f455c453-d698-49ba-90cc-78c0267a7492,d954e4a0-3de9-4df4-a888-0bd38be7bd02,c3,c1,27,p1,?,surb={'id': '2a426ecf-6945-4286-9560-fe12f3c9cd78', 'route': ['p1', 'e12', 'i9', 'x11', 'p3', 'c3']}
1769753476.9064896,SENT,588a8e3e-ff79-4a9f-9633-a4f289b88e9a,b7b377a7-3735-452d-b7e9-0e9620b055d0,c1,c5,3396,?,p1,
1769753476.9066179,CREATED,deae74c3-4118-4b1d-aa68-74a8ac3b277b,fa596a11-febd-4fd9-b74d-c0d53b4d1a8f,c1,c5,27,?,?,surb={'id': 'c7465d1f-ae5f-49f6-9d7d-80f03d12efdd', 'route': ['p2', 'e9', 'i12', 'x9', 'p1', 'c1']}
1769753477.0986967,SENT,0c46ee77-1c35-40db-abd1-2fdcb2c494b0,8846a8f1-521b-4aa8-bd9c-e02b1685485c,c1,c5,3365,?,p1,
1769753477.0988457,CREATED,b97c7010-1723-428a-a50b-23530c090c21,de21e7d9-3b9e-45e7-be60-06e44d2742b1,c1,c5,27,?,?,surb={'id': 'efbd8e9a-7b4c-4e03-9b89-8b6cec8b3424', 'route': ['p2', 'e4', 'i1', 'x3', 'p1', 'c1']}
1769753477.4386601,RECEIVED,21f02a9c-4402-4a07-a325-8507cb317e8f,41612147-e587-46f6-b260-cae4e595506b,c3,c1,26,p1,?,surb={'id': '8d81738f-97a6-447d-90a4-bfc6c7391540', 'route': ['p1', 'e2', 'i2', 'x12', 'p3', 'c3']}
1769753477.5471625,RECEIVED,e7f0317d-7ef9-4d01-bece-eb80157d7333,1f69f9b0-3c3c-461a-a29d-b2a5adaea2bb,c3,c1,27,p1,?,surb={'id': '89bb3857-f7cf-4a4b-86e3-3be96126f0e5', 'route': ['p1', 'e6', 'i3', 'x7', 'p3', 'c3']}
1769753477.7946677,RECEIVED,d0f564bb-bc6f-4d5a-a85a-5a191de44430,262e992a-9b9f-49bb-b5b5-02ddb123ac61,c3,c1,27,p1,?,surb={'id': 'a152da34-48c7-4063-aab3-25d254e3c22a', 'route': ['p1', 'e5', 'i3', 'x6', 'p3', 'c3']}
1769753477.9632363,SENT,d9cc3bb5-05d8-487a-9bf5-ff6f7d60fa6d,174d49e1-37c1-433e-969b-91fe5600d185,c1,c5,3399,?,p1,
1769753477.963407,CREATED,2784e162-949f-4a72-838f-8edc6ce6875b,23843ddf-78f8-4c83-98f0-2f5a9613fde7,c1,c5,27,?,?,surb={'id': '057ca67f-6eef-4621-b8d6-b9bb65dca5a9', 'route': ['p2', 'e5', 'i5', 'x2', 'p1', 'c1']}
1769753478.1399083,SENT,059e2f70-22f0-44ce-9d48-6fab96eaebab,cbddfd0c-d327-49f6-9186-dbf80b8cfb78,c1,c5,3375,?,p1,
1769753478.1402404,CREATED,44827aeb-1b27-46c1-9d32-365ab9e75745,16ef5b05-0738-4f98-b0c0-44cc4c4733ad,c1,c5,27,?,?,surb={'id': '7143c872-2323-4f9a-9a16-9849f642756c', 'route': ['p2', 'e9', 'i4', 'x7', 'p1', 'c1']}
1769753478.478625,RECEIVED,9e902b0f-461f-4fb8-a792-8a658cd7d69b,2363e22b-9718-4c24-a959-5c57e4a9f469,c3,c1,27,p1,?,surb={'id': 'd8de3a4b-2b87-4000-8c3c-31b259d9f77d', 'route': ['p1', 'e1', 'i3', 'x8', 'p3', 'c3']}
1769753478.6575086,RECEIVED,4fea6fa3-68a3-4fb9-acc3-1365150ca1ff,42cab779-4e11-4d0e-a30d-051e59d7866a,c3,c1,27,p1,?,surb={'id': '15495351-426d-4043-a068-361dd490a82d', 'route': ['p1', 'e10', 'i4', 'x1', 'p3', 'c3']}
1769753478.7578385,SENT,1df2a07c-3eb5-4a9f-b850-1df6390889a1,c5445083-296f-43c0-a0f6-dc519504496b,c1,c5,3384,?,p1,
1769753478.7579756,CREATED,e6854c2c-2a38-43cd-b8c5-f53e02b39db0,428443cb-660c-4ad8-b32d-fd87d70cc61c,c1,c5,26,?,?,surb={'id': '25179168-7f40-4801-96e0-a81c57c69182', 'route': ['p2', 'e2', 'i1', 'x10', 'p1', 'c1']}
1769753479.0402305,SENT,ac65fdef-5e47-4c07-8edc-7025c5d6eb04,504bfdf2-0e1a-4b71-922a-43e0b5f73a1e,c1,c5,3363,?,p1,
1769753479.040365,CREATED,772ab895-7b17-4deb-928f-12714f1a2652,81803725-a049-4f0f-bc01-9bb8c9ef831c,c1,c5,26,?,?,surb={'id': '68e89858-1497-4445-9ec4-04b22ef45450', 'route': ['p2', 'e10', 'i2', 'x7', 'p1', 'c1']}
1769753479.100503,RECEIVED,bc2879a7-6344-4968-96eb-e0b4aacbd4be,674a5318-7cb4-4850-84cd-17b20ffb1428,c3,c1,27,p1,?,surb={'id': 'c8ff45a3-309f-472d-b9c1-095753045f09', 'route': ['p1', 'e6', 'i4', 'x12', 'p3', 'c3']}
1769753480.1712692,SENT,66b72eb1-58a5-4b82-890b-e2e67ffb2373,bf37ce6e-cef5-4e7a-8ac1-a5424fa30543,c1,c5,3376,?,p1,
1769753480.1714077,CREATED,641ff49a-a59a-4e10-9b77-f6fb3079f3da,12b94545-0e43-444f-8199-7a35f39aa72f,c1,c5,26,?,?,surb={'id': 'fca3bc02-8ba1-4c85-83a1-bf09a1b0fed2', 'route': ['p2', 'e5', 'i1', 'x4', 'p1', 'c1']}
1769753480.2471738,RECEIVED,9e0c396b-772b-4c5e-a541-dfbaea8d1cd6,3da5b22c-607c-4201-8b50-a0084b1161c0,c3,c1,26,p1,?,surb={'id': '7845f8dc-fb9c-4c8c-b18e-c6596e687edb', 'route': ['p1', 'e9', 'i2', 'x4', 'p3', 'c3']}
1769753480.5042589,RECEIVED,47f7f7b5-993d-4fdc-a0a1-17dcf391fdcd,175d1471-7905-4421-b37b-525632b060eb,c3,c1,27,p1,?,surb={'id': 'd06d0cc4-357f-4f93-9ac8-c67320d3690e', 'route': ['p1', 'e9', 'i5', 'x10', 'p3', 'c3']}
1769753480.6343324,RECEIVED,da835586-9a90-445e-8280-6ff6861a513d,b7ac58b7-4a8c-4124-9bcc-4c9853b5cf38,c3,c1,27,p1,?,surb={'id': 'dbadd60d-4ad0-4275-9192-d2bc0fc159b4', 'route': ['p1', 'e10', 'i5', 'x5', 'p3', 'c3']}
1769753480.8271446,RECEIVED,a57ba712-6c1c-4551-97b2-38e12a64e939,4560e180-ebd3-4462-92e0-815373d88a5c,c3,c1,26,p1,?,surb={'id': 'ba8abb28-2a1c-4307-8740-4e73b7dedeaf', 'route': ['p1', 'e8', 'i3', 'x12', 'p3', 'c3']}
1769753480.8319268,RECEIVED,eb1caca7-544a-466a-8f92-f857c8105aed,13207b0c-649e-4048-b7cc-a1f65d0eab89,c3,c1,27,p1,?,surb={'id': '066077e5-7bdc-4a5b-854c-36fec6eb2cd5', 'route': ['p1', 'e10', 'i6', 'x10', 'p3', 'c3']}
1769753481.1008372,RECEIVED,bd8be0dc-0686-40d0-aa65-a6f4f7df14b3,b21064e8-f872-471e-a3ad-d5a341fca389,c3,c1,26,p1,?,surb={'id': 'd7e25bd7-b120-4277-a055-f7e21e5b9f19', 'route': ['p1', 'e6', 'i4', 'x3', 'p3', 'c3']}
1769753481.313692,SENT,1cad9b39-4145-47f8-8ed2-fd54568f5545,15d20a20-a87a-4759-bb2f-bc2d2f921411,c1,c5,3377,?,p1,
1769753481.31384,CREATED,4da3e974-8d4f-4059-b857-7b30406333ef,c3ca343c-3120-4f8d-bd1c-54a43116d6a0,c1,c5,27,?,?,surb={'id': '8952b94b-08ad-41b5-b9e9-ef1d24ae36d5', 'route': ['p2', 'e9', 'i2', 'x6', 'p1', 'c1']}
1769753481.609719,SENT,ccce7752-c4f8-4dde-89c3-eb60d930ad06,c6d23551-e9f2-4278-874c-bbc1461f46ce,c1,c5,3388,?,p1,
1769753481.6098573,CREATED,30d8edec-58fb-47a3-89d4-abb42a3707b5,b32693aa-d96d-464b-b06b-d7b91b8ec4cb,c1,c5,27,?,?,surb={'id': '8ecc5294-05f8-4cce-bcda-d2dc4141f8d1', 'route': ['p2', 'e1', 'i9', 'x9', 'p1', 'c1']}
1769753481.734979,SENT,c15a9eee-9dd8-4383-845b-e287ebf7b62e,7a653196-9227-435a-bb86-86ab596a99f4,c1,c5,3379,?,p1,
1769753481.7351127,CREATED,529f43d0-a56e-4288-9911-f2a109dbc15c,a642b104-aa18-4281-94d8-b857c04c68f4,c1,c5,27,?,?,surb={'id': '77370675-2477-4718-a6c5-ba20964d749b', 'route': ['p2', 'e11', 'i9', 'x4', 'p1', 'c1']}
1769753481.7410262,RECEIVED,4610a079-ddd3-48a3-b699-7ddb78e6ac95,232706fb-95d7-41de-8b38-a5f67b82f93d,c3,c1,27,p1,?,surb={'id': '00459c5b-6840-453a-93d4-4ee64eabe5dc', 'route': ['p1', 'e4', 'i7', 'x11', 'p3', 'c3']}
1769753481.9979768,RECEIVED,eff21dcd-2f15-4f65-a0bd-375bdbd48331,b248dd2a-2f1f-4eae-a0ed-a13a23fc45d3,c3,c1,27,p1,?,surb={'id': '0100a501-d5b3-4114-8f74-b6be9803af7f', 'route': ['p1', 'e1', 'i8', 'x11', 'p3', 'c3']}
1769753482.0303903,RECEIVED,b3d472ae-e1b2-4ecc-9da6-bd8e72f42100,f747d0cb-d285-4e7b-bf52-8d1d91d6140a,c3,c1,26,p1,?,surb={'id': 'ab6d73f8-4236-49cf-b9cc-d009c700d5b5', 'route': ['p1', 'e1', 'i2', 'x5', 'p3', 'c3']}
1769753482.0771368,SENT,323e25d7-e699-4a45-b6eb-8bf9b33be6b5,d58dafe6-15be-43fb-8f1e-e5db994d6982,c1,c5,3387,?,p1,
1769753482.077285,CREATED,464d0bdb-e275-466d-8be8-dce369eb93b8,db0d417e-646d-453c-98ed-e2dd6ff05168,c1,c5,26,?,?,surb={'id': '7633e2db-feb2-43dd-95d9-1eb41832bc5d', 'route': ['p2', 'e11', 'i8', 'x11', 'p1', 'c1']}
1769753482.0898018,RECEIVED,660afe09-0ebe-4ad0-9eaa-19f85cb1e2d6,24d2a9e0-7885-407b-9231-eeec31b7aa23,c3,c1,27,p1,?,surb={'id': '472b2d84-6776-4f8e-9aa6-0574f487df25', 'route': ['p1', 'e3', 'i3', 'x9', 'p3', 'c3']}
1769753482.327999,RECEIVED,ea78550b-135d-463c-96d3-dc123072210a,b1789be1-868f-4383-8302-5f36b18d096a,c3,c1,26,p1,?,surb={'id': 'fd3e025d-0455-4c0a-bca3-14852df5105e', 'route': ['p1', 'e5', 'i1', 'x8', 'p3', 'c3']}
1769753482.5156062,SENT,844a5663-6d92-41e4-8a4f-93fb57072ed4,9319dc13-aab5-4c03-a2a6-c59fec61b053,c1,c5,3388,?,p1,
1769753482.5157409,CREATED,3bba64a3-97b3-47bb-abce-8dda56fbaf7f,d5bc2ecb-0967-42a1-a85d-e1f830419680,c1,c5,27,?,?,surb={'id': 'b0abd57f-e880-4433-ad7a-2162ba10c832', 'route': ['p2', 'e11', 'i11', 'x11', 'p1', 'c1']}
1769753482.6336617,RECEIVED,dc7dae56-4e80-4dad-9d15-f9344c03fce4,7abe1442-52d0-4f49-8ffc-a305d8dc679c,c3,c1,27,p1,?,surb={'id': 'e18a67ac-37d0-417e-8d57-88523bdbc5f1', 'route': ['p1', 'e11', 'i2', 'x9', 'p3', 'c3']}
