timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753473.965466,CREATED,80fd3e10-6181-4b34-b763-1e5acd690181,54765cac-85aa-4776-a7b5-b12ef3a4ba15,c3,c1,27,?,?,surb={'id': '1207908e-9ce7-4f15-8bb2-6fe04fe2e3ee', 'route': ['p1', 'e12', 'i2', 'x3', 'p3', 'c3']}
1769753474.0196927,RECEIVED,f6d2e797-8e8f-4354-a368-36a1d95dd118,3d073eb5-4506-475d-9bc0-75f96428d719,c2,c3,27,p3,?,surb={'id': '0ec6ff2a-602f-444e-9e03-d95285c766dc', 'route': ['p3', 'e8', 'i12', 'x11', 'p2', 'c2']}
1769753474.264773,RECEIVED,d41957b4-9efb-40d0-a68e-6c76c7108789,ed0f0f70-eda0-401d-aeda-aa8d1d81b18d,c2,c3,27,p3,?,surb={'id': '240a5856-741f-4fe5-b073-fbbc751ebe66', 'route': ['p3', 'e6', 'i1', 'x11', 'p2', 'c2']}
1769753474.521802,SENT,ccca2508-4579-4e21-b29d-6417748b8819,bf949fa0-9b5f-49fa-99be-3765bbe75146,c3,c1,3397,?,p3,
1769753474.5219378,CREATED,5824cf4d-e87d-4201-b021-e1d947cdd007,4ec66051-0fbc-41ae-ba3c-5a45436f8bef,c3,c1,27,?,?,surb={'id': '1cadccca-ecc7-40aa-bc9a-6d0dd39187cc', 'route': ['p1', 'e10', 'i12', 'x1', 'p3', 'c3']}
1769753474.6738012,RECEIVED,3c5455b2-4e5f-466b-8097-ec1dcf8e3d11,b2ee5be0-8172-42a7-a8ac-e3a422f34274,c2,c3,27,p3,?,surb={'id': '10b36d59-bac5-4499-aebf-d5d8b31293ab', 'route': ['p3', 'e8', 'i5', 'x8', 'p2', 'c2']}
1769753475.0517154,SENT,d198cdf9-992f-452e-9739-7cb5dc5ced63,b6bca2c9-c69a-4fc5-9b50-10b792676040,c3,c1,3361,?,p3,
1769753475.0518568,CREATED,21f02a9c-4402-4a07-a325-8507cb317e8f,41612147-e587-46f6-b260-cae4e595506b,c3,c1,26,?,?,surb={'id': '8d81738f-97a6-447d-90a4-bfc6c7391540', 'route': ['p1', 'e2', 'i2', 'x12', 'p3', 'c3']}
1769753475.197476,RECEIVED,bb397ef8-9d3c-4085-8301-43f9e41fc49d,46dbf8f5-dd68-4c0c-8a7d-4afa8e8710e3,c2,c3,27,p3,?,surb={'id': 'a0b7565d-19d5-472e-a6d4-0e1a228926af', 'route': ['p3', 'e5', 'i6', 'x11', 'p2', 'c2']}
1769753475.3663177,SENT,5446fbb3-99af-4607-8bcb-132f63d15e6d,20385e01-98df-4191-908e-0ec80e9b509d,c3,c1,3368,?,p3,
1769753475.366464,CREATED,9e902b0f-461f-4fb8-a792-8a658cd7d69b,2363e22b-9718-4c24-a959-5c57e4a9f469,c3,c1,27,?,?,surb={'id': 'd8de3a4b-2b87-4000-8c3c-31b259d9f77d', 'route': ['p1', 'e1', 'i3', 'x8', 'p3', 'c3']}
1769753475.5792427,RECEIVED,590bb441-f657-458b-a1a5-23c65518b67f,71eeaea7-a145-40f5-a62b-98920029b51d,c2,c3,27,p3,?,surb={'id': '0dc376c7-2a56-4df6-94da-c79dbd007c5b', 'route': ['p3', 'e5', 'i7', 'x2', 'p2', 'c2']}
1769753475.6917872,RECEIVED,b89acf65-e732-4c0b-afee-930ef3b1dec9,2975fadd-2109-476b-9eee-98f805511c8e,c2,c3,27,p3,?,surb={'id': 'eee07c4a-60c6-4d6c-ace5-609a45a37ebd', 'route': ['p3', 'e9', 'i6', 'x4', 'p2', 'c2']}
1769753475.7154026,SENT,4ce35fb1-de7a-4274-8fe8-a1692b0f9129,b60d9f34-36e8-4d7a-a03f-b225f681376e,c3,c1,3391,?,p3,
1769753475.7155387,CREATED,f455c453-d698-49ba-90cc-78c0267a7492,d954e4a0-3de9-4df4-a888-0bd38be7bd02,c3,c1,27,?,?,surb={'id': '2a426ecf-6945-4286-9560-fe12f3c9cd78', 'route': ['p1', 'e12', 'i9', 'x11', 'p3', 'c3']}
