timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769445730.1195006,SENT,63f5f896-e553-4965-9233-7ff8983d7ba8,139eaa89-14a5-416c-bf38-35dfec89dba9,c1,c3,3396,?,p1,
1769445730.1201022,CREATED,3c5290d9-9613-40d5-87a5-042be43a9b74,6c09ae5f-a499-450e-9d48-434370da7c36,c1,c3,27,?,?,surb={'id': 'c165db0f-618f-414f-8757-a77626cc23ae', 'route': ['p3', 'e4', 'i12', 'x10', 'p1', 'c1']}
1769445731.7145333,SENT,40e4d62c-3ff5-401a-9f9b-a9fe4c68afa4,de010661-2504-4e29-b23c-878b94fc8692,c1,c3,3388,?,p1,
1769445731.714665,CREATED,86e8238e-00ee-4a4e-8929-d150a5b1faaf,b816c8a7-c548-43a6-b1c6-2fd667b553f1,c1,c3,27,?,?,surb={'id': '8d4eb529-30fa-4455-b2d0-9e001a48ff1e', 'route': ['p3', 'e9', 'i11', 'x9', 'p1', 'c1']}
1769445731.978881,RECEIVED,d9915a14-7879-4cd1-8d61-8c243d6085d6,efc5ef46-c357-439c-8291-c30f9b41d00b,c3,c1,27,p1,?,surb={'id': 'b6b4c55c-500d-4e92-bc9b-3487ee78e640', 'route': ['p1', 'e6', 'i7', 'x7', 'p3', 'c3']}
1769445732.0195801,SENT,fe71916d-93ac-4ee2-805f-ad927445c350,fb96f683-a038-428a-aa17-b347761b168f,c1,c3,3384,?,p1,
1769445732.0197432,CREATED,da5b63b8-e7ef-4773-9155-be12648ada0d,b816c8a7-c548-43a6-b1c6-2fd667b553f1,c1,c3,27,?,?,surb={'id': '8d4eb529-30fa-4455-b2d0-9e001a48ff1e', 'route': ['p3', 'e9', 'i11', 'x9', 'p1', 'c1']}
1769445732.0307317,SENT,946fc2e0-9e15-4afe-ab04-32f5e68d5be2,0117ae9d-dfb4-4890-ba7c-22327508ea21,c1,c3,3376,?,p1,
1769445732.030919,CREATED,74cf5db5-da0a-4039-b53a-d5fe096e76db,04eb60cd-d5e6-4193-a5e7-d255c1cff568,c1,c3,27,?,?,surb={'id': '0ea495ca-74d1-42f7-b172-dbfee0b8a8bb', 'route': ['p3', 'e6', 'i8', 'x1', 'p1', 'c1']}
1769445732.0993557,RECEIVED,522cffcd-9a2d-491a-b3de-e851b4c3d0f9,1b83fa2c-a941-463a-afd4-42b2f234c66d,c5,c1,26,p1,?,surb={'id': 'b842a9a6-b255-422e-bdcd-90fb4e3390e1', 'route': ['p1', 'e2', 'i3', 'x1', 'p2', 'c5']}
1769445732.2253895,RECEIVED,3deabcee-9266-43c9-af80-b8786748d174,4a3aadfa-f3ca-49a5-80af-8ae6a967ef89,c4,c1,27,p1,?,surb={'id': 'd53fb95c-dc13-47b0-bf97-f4abbe487e58', 'route': ['p1', 'e3', 'i10', 'x7', 'p1', 'c4']}
1769445732.3330104,RECEIVED,30c94c2b-f35f-4650-8709-cf6cba7a5421,48e8e3db-ecad-4971-bb2c-39ba60efba28,c3,c1,27,p1,?,surb={'id': '5c0c1f6f-a945-4118-98cd-747e384fc121', 'route': ['p1', 'e6', 'i2', 'x6', 'p3', 'c3']}
1769445732.38958,RECEIVED,2d0c3ced-594a-4b40-a17b-eb45dc9a0a0d,b137993c-af4b-4b01-b73f-6f621cb61185,c5,c1,26,p1,?,surb={'id': '88809e9f-7b5c-490f-9da0-a2d75a809e33', 'route': ['p1', 'e3', 'i7', 'x12', 'p2', 'c5']}
1769445732.6063366,SENT,f28c365d-ffa7-4b1f-a662-99df1adb7d97,e5633baf-a684-43df-9c1b-cc7d8ecaf107,c1,c3,3397,?,p1,
1769445732.6064835,CREATED,1e1583c5-ed1b-4470-b4f5-fc3022fdfe06,04eb60cd-d5e6-4193-a5e7-d255c1cff568,c1,c3,27,?,?,surb={'id': '0ea495ca-74d1-42f7-b172-dbfee0b8a8bb', 'route': ['p3', 'e6', 'i8', 'x1', 'p1', 'c1']}
1769445732.7084196,RECEIVED,219175d9-2228-40c7-99d8-1f2feda2bcae,4a3aadfa-f3ca-49a5-80af-8ae6a967ef89,c4,c1,27,p1,?,surb={'id': 'd53fb95c-dc13-47b0-bf97-f4abbe487e58', 'route': ['p1', 'e3', 'i10', 'x7', 'p1', 'c4']}
1769445732.734438,RECEIVED,c8acf359-c778-4755-b6e4-24fad5a161a4,95d4753e-031e-4a3f-a4bd-d180b867675a,c3,c1,25,p1,?,surb={'id': 'f266c954-b081-4203-9044-9b13e7208af1', 'route': ['p1', 'e8', 'i4', 'x9', 'p3', 'c3']}
1769445732.7848365,RECEIVED,247daa4d-6682-4657-b776-a2e026b4f529,5933e568-6e39-4256-b492-04a82b311bd8,c3,c1,27,p1,?,surb={'id': '2fbb1655-95dd-4974-a6b2-a05c3351993b', 'route': ['p1', 'e7', 'i7', 'x3', 'p3', 'c3']}
1769445732.8880446,RECEIVED,3a238c54-36cd-4b5b-aa7f-df918e402e27,90254552-d46b-4a0f-8659-632e7c092d5f,c3,c1,27,p1,?,surb={'id': '2aae98fa-ce49-4ebb-901f-311bc851c33a', 'route': ['p1', 'e10', 'i11', 'x7', 'p3', 'c3']}
1769445733.0141704,SENT,acde6562-d207-4947-8001-8252050f8f22,f8ee6d9b-f1a7-4da7-8185-4648f1c43590,c1,c3,3361,?,p1,
1769445733.0143163,CREATED,49835eef-b9ea-4024-a135-f51e0dbb173e,a7f71a56-0edb-46b9-b68f-c790b404f55e,c1,c3,27,?,?,surb={'id': '027ec0e8-fbb9-4569-9b12-e50e07d7cbe1', 'route': ['p3', 'e9', 'i5', 'x6', 'p1', 'c1']}
1769445733.0525463,RECEIVED,43f96aa7-8c44-4a12-84bc-957a1186447f,1b83fa2c-a941-463a-afd4-42b2f234c66d,c5,c1,26,p1,?,surb={'id': 'b842a9a6-b255-422e-bdcd-90fb4e3390e1', 'route': ['p1', 'e2', 'i3', 'x1', 'p2', 'c5']}
1769445733.0541654,SENT,15f85883-89e7-4afb-8da4-1eaf297ce207,a2dd3e12-5025-423d-af24-f7f9cea540b1,c1,c3,3387,?,p1,
1769445733.0542974,CREATED,ebf0ab87-5e90-475c-bd65-400433d1d319,a7f71a56-0edb-46b9-b68f-c790b404f55e,c1,c3,27,?,?,surb={'id': '027ec0e8-fbb9-4569-9b12-e50e07d7cbe1', 'route': ['p3', 'e9', 'i5', 'x6', 'p1', 'c1']}
1769445733.1256955,RECEIVED,91356edd-3d08-4a13-a6d1-da85b55a767e,61a5fe5a-9b82-4a53-b980-04e0ecd742fd,c5,c1,26,p1,?,surb={'id': 'c31d1ca7-b7b2-46b3-a740-def9d6f2fc74', 'route': ['p1', 'e6', 'i5', 'x1', 'p2', 'c5']}
1769445733.2718136,SENT,fb740399-fa36-486b-b543-3ea06c61fe1d,bee1f0bc-5a3c-4576-a145-048efc96755e,c1,c3,3390,?,p1,
1769445733.271962,CREATED,bcb143ea-aebc-47f3-9c12-c104981bdbf6,16798757-67ab-481a-87ee-9d350b0e9ccf,c1,c3,27,?,?,surb={'id': '9bb90fe2-c09f-4481-b911-c2c52939e2b4', 'route': ['p3', 'e4', 'i1', 'x1', 'p1', 'c1']}
1769445733.2839584,RECEIVED,b90e92a0-66fc-43fb-981b-034b03d98fa8,dc881ba1-a056-47e7-ae78-60137ff3f337,c4,c1,27,p1,?,surb={'id': '338ac656-92fa-4dff-894a-f597f649198a', 'route': ['p1', 'e9', 'i3', 'x10', 'p1', 'c4']}
1769445733.422616,RECEIVED,a5068be7-d345-4163-8b91-a9432b5e2ff3,34f9db10-ef55-4179-a832-4677169272ea,c4,c1,27,p1,?,surb={'id': 'aeb4cbce-f3b9-4966-88ab-dfcc0f03d039', 'route': ['p1', 'e1', 'i4', 'x2', 'p1', 'c4']}
1769445733.4445992,RECEIVED,0f1fbe54-fd09-467b-a20d-991ce80fcd38,69d11f75-3285-4846-adde-16c7be2a6142,c5,c1,27,p1,?,surb={'id': 'd3e6f5cc-fe11-4a4d-8f1a-9e9ff98c7757', 'route': ['p1', 'e4', 'i11', 'x1', 'p2', 'c5']}
1769445733.5316372,RECEIVED,985427a7-7724-449b-8f5c-c1d430393086,ae6245e6-f765-46e6-87b4-83341febfa16,c5,c1,27,p1,?,surb={'id': 'd3cebf69-5bc4-4750-a32e-8a514ff50bb9', 'route': ['p1', 'e8', 'i2', 'x9', 'p2', 'c5']}
1769445733.6306953,SENT,67f8d871-c63e-4766-994d-cc9fb4383f50,4fe91501-d478-4326-8981-d8a91f939b58,c1,c3,3377,?,p1,
1769445733.6308484,CREATED,7801aa7e-bc11-48cb-99a8-e4c66f34e678,16798757-67ab-481a-87ee-9d350b0e9ccf,c1,c3,27,?,?,surb={'id': '9bb90fe2-c09f-4481-b911-c2c52939e2b4', 'route': ['p3', 'e4', 'i1', 'x1', 'p1', 'c1']}
1769445733.6419816,SENT,581ba173-5ea3-408c-b5d0-a0a313dd5d2d,6899123e-2771-46a0-871f-91bc776a2642,c1,c3,3383,?,p1,
1769445733.642155,CREATED,18c57971-c9ec-48f6-8456-d89cbb00ed77,f9f8b976-f850-4b0d-b836-d0888f66afc2,c1,c3,26,?,?,surb={'id': '37ee3f8b-8951-4c02-ab23-2d8e91975bce', 'route': ['p3', 'e3', 'i5', 'x1', 'p1', 'c1']}
1769445733.6895132,RECEIVED,5f03683f-f8e8-4976-aa64-0e3d92999e32,34f9db10-ef55-4179-a832-4677169272ea,c4,c1,27,p1,?,surb={'id': 'aeb4cbce-f3b9-4966-88ab-dfcc0f03d039', 'route': ['p1', 'e1', 'i4', 'x2', 'p1', 'c4']}
1769445733.7094064,RECEIVED,0968c641-b1db-413f-9c77-65186248d9a3,69d11f75-3285-4846-adde-16c7be2a6142,c5,c1,27,p1,?,surb={'id': 'd3e6f5cc-fe11-4a4d-8f1a-9e9ff98c7757', 'route': ['p1', 'e4', 'i11', 'x1', 'p2', 'c5']}
1769445733.8085437,RECEIVED,958cbd49-062b-42f6-8920-ce7fdf96750b,ae6245e6-f765-46e6-87b4-83341febfa16,c5,c1,27,p1,?,surb={'id': 'd3cebf69-5bc4-4750-a32e-8a514ff50bb9', 'route': ['p1', 'e8', 'i2', 'x9', 'p2', 'c5']}
1769445733.810677,SENT,6eb11cb2-363e-47e6-8cc6-b4bff41dc472,71eb7b67-27cb-4d56-9a3c-20ce082b93c7,c1,c3,3374,?,p1,
1769445733.810807,CREATED,2d1f942c-1459-4134-93b9-c8dcd2078e2e,f9f8b976-f850-4b0d-b836-d0888f66afc2,c1,c3,26,?,?,surb={'id': '37ee3f8b-8951-4c02-ab23-2d8e91975bce', 'route': ['p3', 'e3', 'i5', 'x1', 'p1', 'c1']}
1769445733.8472948,RECEIVED,5b04699f-df0a-4720-bb49-d3a7efbb0f7d,dc881ba1-a056-47e7-ae78-60137ff3f337,c4,c1,27,p1,?,surb={'id': '338ac656-92fa-4dff-894a-f597f649198a', 'route': ['p1', 'e9', 'i3', 'x10', 'p1', 'c4']}
1769445734.1376855,SENT,d59dec26-d74c-43c2-9ce2-0fa261a7723b,0d47e888-d68c-43ea-97f5-69cc19e4354d,c1,c3,3382,?,p1,
1769445734.1378365,CREATED,afe9be4b-b693-4af1-be75-ca34dfa1d50e,6be1e644-74ee-4814-8886-b59d5607a884,c1,c3,26,?,?,surb={'id': 'aee8b654-6387-4505-9bed-a47586d5fd06', 'route': ['p3', 'e7', 'i2', 'x3', 'p1', 'c1']}
1769445734.1491086,SENT,89b42c92-b8b7-4694-995d-9595aee6b620,adf1ccbf-da61-451a-86fb-9d8f31352933,c1,c3,3381,?,p1,
1769445734.1492734,CREATED,c17ef233-6b06-44d1-b09e-10a5dba53c7d,6be1e644-74ee-4814-8886-b59d5607a884,c1,c3,26,?,?,surb={'id': 'aee8b654-6387-4505-9bed-a47586d5fd06', 'route': ['p3', 'e7', 'i2', 'x3', 'p1', 'c1']}
1769445734.1904223,RECEIVED,9f5646b0-a80e-4a5d-9bd4-8620d25b99f4,90254552-d46b-4a0f-8659-632e7c092d5f,c3,c1,27,p1,?,surb={'id': '2aae98fa-ce49-4ebb-901f-311bc851c33a', 'route': ['p1', 'e10', 'i11', 'x7', 'p3', 'c3']}
1769445734.2364364,RECEIVED,095cbc45-6791-4998-a164-c0a43416ee90,6d1e3dbb-6480-401d-a0a3-60fa500f25bc,c4,c1,27,p1,?,surb={'id': '9a5f1b1a-f9c0-4320-b0c5-d4934069bf31', 'route': ['p1', 'e6', 'i7', 'x6', 'p1', 'c4']}
1769445734.2501936,RECEIVED,4240c088-75be-4b75-bc0a-422682e6fe1f,5933e568-6e39-4256-b492-04a82b311bd8,c3,c1,27,p1,?,surb={'id': '2fbb1655-95dd-4974-a6b2-a05c3351993b', 'route': ['p1', 'e7', 'i7', 'x3', 'p3', 'c3']}
1769445734.313236,SENT,e26f70c8-e0fc-4cea-8357-1531138d8477,4c588b3b-f534-4ec1-a942-d14ac667e18b,c1,c3,3397,?,p1,
1769445734.3133652,CREATED,123a0192-0212-4ad5-a095-383a1afbee41,fd538cd2-7cee-42c0-82ba-fd90bfb98a15,c1,c3,27,?,?,surb={'id': '6e6ccd9a-2cf0-46df-9523-69a458f0a7cf', 'route': ['p3', 'e9', 'i10', 'x11', 'p1', 'c1']}
1769445734.4428074,RECEIVED,458105e2-8fa6-4532-9aa0-91e054c5f0ca,b137993c-af4b-4b01-b73f-6f621cb61185,c5,c1,26,p1,?,surb={'id': '88809e9f-7b5c-490f-9da0-a2d75a809e33', 'route': ['p1', 'e3', 'i7', 'x12', 'p2', 'c5']}
1769445734.462416,RECEIVED,95f7e023-c70f-42b6-9c68-9779a6381233,2f9540d0-89e2-476a-86fe-6165765bb1e9,c4,c1,27,p1,?,surb={'id': '389160c2-1563-407e-aab0-349e0c9d7409', 'route': ['p1', 'e5', 'i6', 'x7', 'p1', 'c4']}
1769445734.4688115,RECEIVED,6de79c07-37a9-42e5-a3dd-648d4bad1b3f,89281dbc-35bb-45d5-80ff-69d8f2053cf5,c5,c1,27,p1,?,surb={'id': '1e30bdad-b237-44a1-8545-38ab8bde11b2', 'route': ['p1', 'e12', 'i1', 'x1', 'p2', 'c5']}
1769445734.5737038,RECEIVED,0d1293e7-55c0-476e-ae25-d477a873f249,7964fb9d-4d56-4172-b033-725e348f1281,c3,c1,27,p1,?,surb={'id': '67f9a097-5792-49b9-8706-54b1348fc84d', 'route': ['p1', 'e9', 'i10', 'x8', 'p3', 'c3']}
1769445734.6702266,RECEIVED,f3ad5a98-8652-411c-acd1-cfbd2537cf1f,48e8e3db-ecad-4971-bb2c-39ba60efba28,c3,c1,27,p1,?,surb={'id': '5c0c1f6f-a945-4118-98cd-747e384fc121', 'route': ['p1', 'e6', 'i2', 'x6', 'p3', 'c3']}
1769445734.9380045,RECEIVED,011570b9-a270-4a92-a1bc-4822ff6fd0bc,efc5ef46-c357-439c-8291-c30f9b41d00b,c3,c1,27,p1,?,surb={'id': 'b6b4c55c-500d-4e92-bc9b-3487ee78e640', 'route': ['p1', 'e6', 'i7', 'x7', 'p3', 'c3']}
1769445735.023677,RECEIVED,067aefa8-6385-4830-81dc-f684e16bbe0d,89281dbc-35bb-45d5-80ff-69d8f2053cf5,c5,c1,27,p1,?,surb={'id': '1e30bdad-b237-44a1-8545-38ab8bde11b2', 'route': ['p1', 'e12', 'i1', 'x1', 'p2', 'c5']}
1769445735.1070185,RECEIVED,ea202cb6-9040-4d39-bb81-3842ca0ffa7f,61a5fe5a-9b82-4a53-b980-04e0ecd742fd,c5,c1,26,p1,?,surb={'id': 'c31d1ca7-b7b2-46b3-a740-def9d6f2fc74', 'route': ['p1', 'e6', 'i5', 'x1', 'p2', 'c5']}
1769445735.1225514,RECEIVED,44024dfb-71bb-4dd9-b7bc-467df60fe7f9,d122871c-e78f-4672-9948-0bec24a360cb,c3,c1,26,p1,?,surb={'id': '19db5336-f5ce-421b-994a-c809f7411258', 'route': ['p1', 'e10', 'i5', 'x2', 'p3', 'c3']}
1769445735.1781678,RECEIVED,813aec8e-9fcc-4f87-a5ec-664277e1c984,015622cf-ac16-4e0f-a3a5-7eb5b0649211,c4,c1,26,p1,?,surb={'id': '18082262-9432-47f0-9692-9fd6c2487ced', 'route': ['p1', 'e8', 'i5', 'x8', 'p1', 'c4']}
1769445735.232804,RECEIVED,ebaa4d26-3d43-4912-8dab-c36305524052,b4216763-0679-4f14-ba53-abe6e84a2310,c5,c1,27,p1,?,surb={'id': 'c871a6c8-5db3-443b-bb44-2f882159cdc5', 'route': ['p1', 'e3', 'i8', 'x1', 'p2', 'c5']}
1769445735.2904663,SENT,2a0a56d3-ff45-463a-a25d-9baa8ab4e110,d8d77ce6-6a1a-429d-b6b1-9294fec62f1e,c1,c3,3391,?,p1,
1769445735.290615,CREATED,00db38b2-a7e6-4ff5-b155-a48b2be467a5,fd538cd2-7cee-42c0-82ba-fd90bfb98a15,c1,c3,27,?,?,surb={'id': '6e6ccd9a-2cf0-46df-9523-69a458f0a7cf', 'route': ['p3', 'e9', 'i10', 'x11', 'p1', 'c1']}
1769445735.449641,RECEIVED,e7104ebe-e1f0-4503-808b-2e9488930b15,6d1e3dbb-6480-401d-a0a3-60fa500f25bc,c4,c1,27,p1,?,surb={'id': '9a5f1b1a-f9c0-4320-b0c5-d4934069bf31', 'route': ['p1', 'e6', 'i7', 'x6', 'p1', 'c4']}
1769445735.5773358,SENT,42681ed4-90a8-450f-b821-668ce98ba8e7,fa298f5a-053e-428a-b2ed-91a4075af5d4,c1,c3,3391,?,p1,
1769445735.5774848,CREATED,9fb967df-5f29-4435-8f78-b5451efe6c3d,5fb787ca-675e-4ff0-b7e8-c16c98cc6221,c1,c3,26,?,?,surb={'id': '6ec8d99c-8a4f-429a-ab83-47c3a5b50b86', 'route': ['p3', 'e11', 'i3', 'x10', 'p1', 'c1']}
1769445735.775238,SENT,ece65558-d3b3-463d-bb7f-1a1c72e33213,737e4e59-62bd-4cdc-bcc2-c2af42ec7c62,c1,c3,3375,?,p1,
1769445735.7754107,CREATED,ff9fe0a1-c40a-4d2f-8c74-9b91b3e974c3,5fb787ca-675e-4ff0-b7e8-c16c98cc6221,c1,c3,26,?,?,surb={'id': '6ec8d99c-8a4f-429a-ab83-47c3a5b50b86', 'route': ['p3', 'e11', 'i3', 'x10', 'p1', 'c1']}
1769445735.8885975,RECEIVED,7fed554d-9ea3-4501-b448-0ccfe553235f,b4216763-0679-4f14-ba53-abe6e84a2310,c5,c1,27,p1,?,surb={'id': 'c871a6c8-5db3-443b-bb44-2f882159cdc5', 'route': ['p1', 'e3', 'i8', 'x1', 'p2', 'c5']}
1769445735.8976116,RECEIVED,466d13e7-f69a-4af6-8704-b82bb9e83292,33b153f5-f721-4d32-b6cc-d234006b59f2,c3,c1,27,p1,?,surb={'id': '16747a9b-e0a7-4a92-95e5-bc34e9c6e25b', 'route': ['p1', 'e5', 'i10', 'x3', 'p3', 'c3']}
1769445735.916785,SENT,4e633b5b-dc0f-4a65-93ba-290aa11a3dd7,5921ddcf-1ad1-4b1a-94fc-ca2b1b0dd595,c1,c3,3399,?,p1,
1769445735.9169335,CREATED,4ef59013-5500-4d30-9dd1-dac6cb4ae829,1d585545-d9be-418a-8b46-c1c76fdda189,c1,c3,27,?,?,surb={'id': 'ecebfbdc-9f76-47a7-8691-a5948a7891db', 'route': ['p3', 'e8', 'i8', 'x11', 'p1', 'c1']}
1769445735.9443707,SENT,604ebdd5-e93f-49eb-89e5-ec2c3c42c287,555e0000-77e6-4990-bd58-17d6a5606463,c1,c3,3375,?,p1,
1769445735.9445252,CREATED,991d753c-ded1-4e94-ad91-23a43fa447ef,1d585545-d9be-418a-8b46-c1c76fdda189,c1,c3,27,?,?,surb={'id': 'ecebfbdc-9f76-47a7-8691-a5948a7891db', 'route': ['p3', 'e8', 'i8', 'x11', 'p1', 'c1']}
1769445736.044091,RECEIVED,03ec0a7b-7e39-4434-97e8-e97a30f10846,6b2ce4a6-233c-4507-9b84-82441633eda3,c5,c1,27,p1,?,surb={'id': '1b0f71b6-14a6-4003-a109-b64949d30292', 'route': ['p1', 'e11', 'i10', 'x7', 'p2', 'c5']}
1769445736.0735605,RECEIVED,d8f683e1-ced6-4ae8-820e-b00d6285e532,441859e5-8a8a-4571-805f-d5ad41c4e068,c5,c1,27,p1,?,surb={'id': '1ae4a934-f072-4bd8-8dde-f4767ef501a7', 'route': ['p1', 'e1', 'i7', 'x11', 'p2', 'c5']}
1769445736.093942,RECEIVED,fba4c6e6-e82c-4297-b1c4-16d1bb33f724,b24b686f-7b5e-48af-a940-2cd5524cf1c0,c4,c1,27,p1,?,surb={'id': '9c226f45-3aa5-4297-a432-e638c99ed8b0', 'route': ['p1', 'e11', 'i12', 'x10', 'p1', 'c4']}
1769445736.1631513,RECEIVED,6b658865-2ca9-4cd7-9bda-c8a133ab6e0d,28c16b2c-a29b-43f0-8449-07d2e4852b93,c5,c1,27,p1,?,surb={'id': 'db766297-15e9-4083-bd94-24da76a22c34', 'route': ['p1', 'e9', 'i12', 'x2', 'p2', 'c5']}
1769445736.3355687,SENT,20d8193f-2956-4099-85ea-1fab70f61811,3f26e43e-4920-4914-9094-30e98864c790,c1,c3,3374,?,p1,
1769445736.3357186,CREATED,f167bfc9-c286-4cfa-ae0a-d3a8fd31b075,51b39ca6-d32e-4d54-90ba-118b1ebe314a,c1,c3,27,?,?,surb={'id': 'aabe118d-36d9-4cf1-bd03-a0c20781a81f', 'route': ['p3', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769445736.4291134,SENT,a57917ce-4ec0-4e70-bf41-35ee8781a028,a04472a3-a040-4955-a8fc-11c580cc0399,c1,c3,3362,?,p1,
1769445736.4292636,CREATED,abed3462-45d9-46f1-b5fb-828ca720880e,51b39ca6-d32e-4d54-90ba-118b1ebe314a,c1,c3,27,?,?,surb={'id': 'aabe118d-36d9-4cf1-bd03-a0c20781a81f', 'route': ['p3', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769445736.5855758,SENT,c624b8eb-8299-4698-a1eb-2b476a5daa13,49b86451-7e7e-425f-85ef-762567190e32,c1,c3,3405,?,p1,
1769445736.5856962,CREATED,b2ac5298-3cb0-4460-b227-c9aefd1f9b89,361af200-04e9-4c06-af30-593546613c62,c1,c3,27,?,?,surb={'id': 'cea6e20e-76ee-4353-bc65-586c6a051345', 'route': ['p3', 'e3', 'i12', 'x11', 'p1', 'c1']}
1769445736.6428523,RECEIVED,91089c63-8981-4f28-8389-a3c9e0522854,cfecd87c-6cd3-42f0-a2b7-15f90b2248bb,c4,c1,26,p1,?,surb={'id': 'e053e61b-b287-41c9-9877-de0f5151e4e7', 'route': ['p1', 'e1', 'i5', 'x11', 'p1', 'c4']}
1769445736.6574535,RECEIVED,d759ceab-96b5-4841-b5db-8f023accab3c,f342f703-6af7-4f82-abb8-ecb9c092a09f,c5,c1,26,p1,?,surb={'id': 'f6efa48b-dcf2-4135-abcc-1ac48e69dc24', 'route': ['p1', 'e2', 'i4', 'x1', 'p2', 'c5']}
1769445736.6898406,SENT,610ce245-7708-4674-9c4a-a72411e0db5a,9fdbce0a-a530-46e4-9601-2bf89a970e12,c1,c3,3387,?,p1,
1769445736.68999,CREATED,dc8a0d56-67d2-4559-81f2-442b204457bb,361af200-04e9-4c06-af30-593546613c62,c1,c3,27,?,?,surb={'id': 'cea6e20e-76ee-4353-bc65-586c6a051345', 'route': ['p3', 'e3', 'i12', 'x11', 'p1', 'c1']}
