timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482747.3142247,RECEIVED,37166c7e-433a-4cac-af00-e4af82b26c80,f9e0eb8a-3170-4df9-bae1-4ce33273994c,c3,c5,26,p2,?,surb={'id': '0fa8d172-6364-4203-a110-36de5530900f', 'route': ['p2', 'e12', 'i3', 'x5', 'p3', 'c3']}
1769482747.3277965,RECEIVED,a3fd30c9-1a1c-4c7a-992d-6ef0d2ed81d4,5cd523fc-fe63-425d-b49d-090257e25790,c4,c5,27,p2,?,surb={'id': 'bbd1dc60-45d4-4e33-84ab-02678cab5b70', 'route': ['p2', 'e5', 'i4', 'x6', 'p1', 'c4']}
1769482747.3665445,RECEIVED,2a9a624d-35b6-459c-8ea7-81df8db6b6d5,08e6ff84-705f-4447-9614-56afc30aaa32,c4,c5,26,p2,?,surb={'id': 'd2f90fcc-390d-4973-83e0-e415a4bb23d9', 'route': ['p2', 'e10', 'i12', 'x8', 'p1', 'c4']}
1769482747.4571552,RECEIVED,733039e9-155f-4f83-9f8a-203557af852f,f375be64-1104-404c-b176-d04ab8e58589,c1,c5,27,p2,?,surb={'id': 'ea1f7117-9372-45bb-bce9-ddc67e62c7bb', 'route': ['p2', 'e6', 'i1', 'x7', 'p1', 'c1']}
1769482747.4899974,RECEIVED,fce0d8df-3759-486c-878d-fa59a76b6754,b4c2037a-ba3d-47c7-b192-67ba48155c02,c3,c5,27,p2,?,surb={'id': '457728a0-75f9-42e9-aa60-f8556538528e', 'route': ['p2', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769482747.6278088,RECEIVED,3d4638f0-26c7-41b1-a51e-4bdc1ace3ca0,5cd523fc-fe63-425d-b49d-090257e25790,c4,c5,27,p2,?,surb={'id': 'bbd1dc60-45d4-4e33-84ab-02678cab5b70', 'route': ['p2', 'e5', 'i4', 'x6', 'p1', 'c4']}
1769482747.6592333,SENT,3c8674bc-36c9-4aea-96d1-395009c4caf0,51a3cf81-75b7-4f07-ade3-f7378b03111f,c5,c3,3371,?,p2,
1769482747.6594055,CREATED,b9fe4ab2-ae9c-4af5-a7d5-0a9c05393ca6,c19a1e7a-8317-4f38-ad75-0a7af434d35d,c5,c3,26,?,?,surb={'id': '939032fe-085d-419d-b737-3ab7fe9c6e43', 'route': ['p3', 'e4', 'i5', 'x12', 'p2', 'c5']}
1769482747.7063289,RECEIVED,0a403f81-a7e1-4daf-8a59-8b3a4af3ddbe,92c96f38-73d1-4f30-9fa9-9c70391342f2,c3,c5,26,p2,?,surb={'id': '8f2967f8-2e3a-4398-ab05-48a0fb0c5293', 'route': ['p2', 'e7', 'i7', 'x3', 'p3', 'c3']}
1769482747.7723944,SENT,c9c55d3b-8d24-4d0b-8051-caf4e34bf7ca,22f6e3f2-4a25-4043-9b63-65449b2e1404,c5,c3,3400,?,p2,
1769482747.7725441,CREATED,e78e996e-5a2d-434a-9be7-8af3ab86bdde,3517749d-d504-4131-bbed-aafbbec4cf26,c5,c3,27,?,?,surb={'id': '67aa0c82-b344-430c-8339-c43dbf76d21b', 'route': ['p3', 'e8', 'i12', 'x8', 'p2', 'c5']}
1769482747.8366966,RECEIVED,ddf8a775-7914-4977-ab6b-606dbe09d2d1,835848d1-4a17-41c8-807c-313733c14427,c1,c5,27,p2,?,surb={'id': '9dd1afeb-af6e-4ccb-8bdf-319565e13b46', 'route': ['p2', 'e7', 'i5', 'x1', 'p1', 'c1']}
1769482747.9451096,RECEIVED,a4823d3c-39f1-407b-9bad-35685e43db9e,592e5624-7f65-42b5-b932-8bdd94c1219d,c1,c5,27,p2,?,surb={'id': 'ba6c29fc-0207-46fa-b385-5f005f014937', 'route': ['p2', 'e10', 'i7', 'x9', 'p1', 'c1']}
1769482748.0315843,RECEIVED,baf1744e-d0f6-468f-8d91-c23baea2374e,0b139ed5-f5e9-4a80-a31e-cb48be14f789,c4,c5,27,p2,?,surb={'id': 'ef757447-ff4b-4364-bb7c-2954568aa015', 'route': ['p2', 'e12', 'i11', 'x7', 'p1', 'c4']}
1769482748.0450425,RECEIVED,fd2bb914-eb79-407a-9ed4-29e3fa548f5a,3ca98026-0890-48e2-8e44-7ca353e6e686,c4,c5,27,p2,?,surb={'id': '117ce74b-ea03-4fb3-bb8b-0a0533632a63', 'route': ['p2', 'e11', 'i5', 'x3', 'p1', 'c4']}
1769482748.0697064,SENT,a8212193-7292-4180-ace1-0e45e650e4ee,801a0ecd-e3ca-4aff-ac37-1cbf572ecfd2,c5,c3,3364,?,p2,
1769482748.0698576,CREATED,e9587ecd-b239-4629-b8ac-dd233c1bf28c,3517749d-d504-4131-bbed-aafbbec4cf26,c5,c3,27,?,?,surb={'id': '67aa0c82-b344-430c-8339-c43dbf76d21b', 'route': ['p3', 'e8', 'i12', 'x8', 'p2', 'c5']}
