timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482742.5025334,SENT,234c014f-c07e-4fed-b2aa-0489900e0e04,07acb16e-4bd0-4cf8-b094-37a5fc124892,c4,c5,3380,?,p1,
1769482742.50269,CREATED,b810539f-373d-4fda-80fb-ccc5735c913c,268b5fb6-3098-4bab-a29a-4746e5560616,c4,c5,27,?,?,surb={'id': '1bdcc9b5-5ad3-4d8c-ba85-d3455f681dc8', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c4']}
1769482743.80269,SENT,bc6cf850-b95a-4458-86dc-bb23b65fa1b1,bb409493-8f20-4e28-98ed-49a5b48c301f,c4,c5,3384,?,p1,
1769482743.8028224,CREATED,050023c7-2521-43c7-803f-fdf7d6c353c0,efd12ee7-c295-4532-99b7-a848794f6041,c4,c5,27,?,?,surb={'id': '2f0c65b2-0155-426e-a1d3-d6366c1b261e', 'route': ['p2', 'e4', 'i10', 'x6', 'p1', 'c4']}
1769482744.2285056,SENT,15375bc6-ae66-4923-8be9-401cdb3f05ac,ced77fa8-546c-46b9-94a4-9683a975db06,c4,c5,3385,?,p1,
1769482744.2286668,CREATED,11c3aad4-4682-4875-9740-77c6b74f865a,0b139ed5-f5e9-4a80-a31e-cb48be14f789,c4,c5,27,?,?,surb={'id': 'ef757447-ff4b-4364-bb7c-2954568aa015', 'route': ['p2', 'e12', 'i11', 'x7', 'p1', 'c4']}
1769482744.3988364,RECEIVED,c1e11413-0f3a-4843-b77a-871e9d7f13fd,77c98063-f228-4dbe-81da-3fd761b247eb,c2,c4,26,p1,?,surb={'id': 'c5555c72-04fc-4f90-88a1-554de3a254dd', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769482744.7423084,SENT,24519230-751d-4bfe-b197-882781ca37cb,00afe146-de8b-4b38-8bc0-b03c03723ad1,c4,c5,3391,?,p1,
1769482744.7424545,CREATED,baf1744e-d0f6-468f-8d91-c23baea2374e,0b139ed5-f5e9-4a80-a31e-cb48be14f789,c4,c5,27,?,?,surb={'id': 'ef757447-ff4b-4364-bb7c-2954568aa015', 'route': ['p2', 'e12', 'i11', 'x7', 'p1', 'c4']}
1769482744.898834,SENT,ecbbd67d-1dfd-4737-8f7b-2aa28e7b20f7,ba2079af-1148-4eb4-ae5a-d7814698e36a,c4,c5,3359,?,p1,
1769482744.8989758,CREATED,2a9a624d-35b6-459c-8ea7-81df8db6b6d5,08e6ff84-705f-4447-9614-56afc30aaa32,c4,c5,26,?,?,surb={'id': 'd2f90fcc-390d-4973-83e0-e415a4bb23d9', 'route': ['p2', 'e10', 'i12', 'x8', 'p1', 'c4']}
1769482745.073626,SENT,9f1eca6c-f011-42e1-b4f6-01ccbd328ee7,b45d51a6-4676-4cd8-a68f-52903fbd9384,c4,c5,3398,?,p1,
1769482745.0737689,CREATED,6b81cc57-b5a8-4e87-b058-4101c5ef030a,08e6ff84-705f-4447-9614-56afc30aaa32,c4,c5,26,?,?,surb={'id': 'd2f90fcc-390d-4973-83e0-e415a4bb23d9', 'route': ['p2', 'e10', 'i12', 'x8', 'p1', 'c4']}
1769482745.1007729,SENT,8f7696a3-64a9-4162-a6c6-1edcfbce1286,c25d82f3-b6cd-4ca3-8bd7-3ca3a2499a51,c4,c5,3359,?,p1,
1769482745.1009188,CREATED,3d4638f0-26c7-41b1-a51e-4bdc1ace3ca0,5cd523fc-fe63-425d-b49d-090257e25790,c4,c5,27,?,?,surb={'id': 'bbd1dc60-45d4-4e33-84ab-02678cab5b70', 'route': ['p2', 'e5', 'i4', 'x6', 'p1', 'c4']}
1769482745.5552018,SENT,ad8b61d2-bb1d-4a64-80db-ec8194c5045e,261ff971-c131-4380-8f7b-fe4a88c07f10,c4,c5,3363,?,p1,
1769482745.5553482,CREATED,a3fd30c9-1a1c-4c7a-992d-6ef0d2ed81d4,5cd523fc-fe63-425d-b49d-090257e25790,c4,c5,27,?,?,surb={'id': 'bbd1dc60-45d4-4e33-84ab-02678cab5b70', 'route': ['p2', 'e5', 'i4', 'x6', 'p1', 'c4']}
1769482746.0382192,RECEIVED,6a9f9fd4-f2cf-4f2d-a0a6-7c5771369928,8aaefc88-e9cb-4208-9eca-14584c5f7bf0,c2,c4,26,p1,?,surb={'id': '9a68dde2-f5a0-472e-90de-f693666c9746', 'route': ['p1', 'e7', 'i6', 'x8', 'p2', 'c2']}
1769482746.1939547,SENT,1eeaf079-ca91-455d-8878-b7cb4824a142,927e49f6-d98e-4104-a35c-19f16d60ae24,c4,c5,3387,?,p1,
1769482746.1942043,CREATED,24db1fc5-36ae-4b43-9920-c85484ab7f18,3ca98026-0890-48e2-8e44-7ca353e6e686,c4,c5,27,?,?,surb={'id': '117ce74b-ea03-4fb3-bb8b-0a0533632a63', 'route': ['p2', 'e11', 'i5', 'x3', 'p1', 'c4']}
1769482746.5017943,SENT,c4471a39-c5e8-4a8f-8144-d237d8ba194f,763a254d-90ba-4455-970b-e25c04b13881,c4,c5,3392,?,p1,
1769482746.5019283,CREATED,fd2bb914-eb79-407a-9ed4-29e3fa548f5a,3ca98026-0890-48e2-8e44-7ca353e6e686,c4,c5,27,?,?,surb={'id': '117ce74b-ea03-4fb3-bb8b-0a0533632a63', 'route': ['p2', 'e11', 'i5', 'x3', 'p1', 'c4']}
1769482746.508126,RECEIVED,4bf887c0-cf65-4679-a1ae-a71e9718393f,77c98063-f228-4dbe-81da-3fd761b247eb,c2,c4,26,p1,?,surb={'id': 'c5555c72-04fc-4f90-88a1-554de3a254dd', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769482746.773909,SENT,d744b2b8-07ca-485a-975c-056c7ff6a27c,3179484e-c6c9-4adb-af02-1688ec3fe47e,c4,c5,3397,?,p1,
1769482746.7740824,CREATED,3e20def4-8af2-461f-ad1b-5c374324c529,d4302302-69f2-45a3-b817-0d4322a6a60d,c4,c5,27,?,?,surb={'id': 'd627f84c-bc69-4844-94c0-f0e3c68bb332', 'route': ['p2', 'e10', 'i8', 'x8', 'p1', 'c4']}
1769482746.8436918,RECEIVED,7e977366-f6b5-445d-a4e4-03bfab93acd7,8aaefc88-e9cb-4208-9eca-14584c5f7bf0,c2,c4,26,p1,?,surb={'id': '9a68dde2-f5a0-472e-90de-f693666c9746', 'route': ['p1', 'e7', 'i6', 'x8', 'p2', 'c2']}
1769482747.1110377,RECEIVED,f99f352f-06d9-4283-a1b7-1f8bc085e733,e6ba1923-304d-4e19-8902-1d4c365434f2,c2,c4,27,p1,?,surb={'id': '42284e1b-6c26-4bdd-ae93-4d60aa05f71d', 'route': ['p1', 'e6', 'i8', 'x12', 'p2', 'c2']}
1769482747.3438218,SENT,952ed869-f7df-47e5-ab6c-34ef13d74fb1,d569ea5a-c6d2-4113-b9a9-376e299e26f2,c4,c5,3380,?,p1,
1769482747.3439734,CREATED,06b5b596-0ce8-420d-9270-c502c872617c,d4302302-69f2-45a3-b817-0d4322a6a60d,c4,c5,27,?,?,surb={'id': 'd627f84c-bc69-4844-94c0-f0e3c68bb332', 'route': ['p2', 'e10', 'i8', 'x8', 'p1', 'c4']}
1769482747.852868,RECEIVED,dad4870f-79ab-4646-b1b2-db0516827a5c,acde7691-50e4-4249-931f-684797036973,c2,c4,27,p1,?,surb={'id': '820fc471-ca2c-4d57-875d-57e96e454017', 'route': ['p1', 'e9', 'i4', 'x5', 'p2', 'c2']}
1769482747.9491186,RECEIVED,735d217f-128c-4e31-8c66-1066fb456a88,e6ba1923-304d-4e19-8902-1d4c365434f2,c2,c4,27,p1,?,surb={'id': '42284e1b-6c26-4bdd-ae93-4d60aa05f71d', 'route': ['p1', 'e6', 'i8', 'x12', 'p2', 'c2']}
1769482748.0542166,SENT,54aac61a-b614-464a-90fa-b9da1cc1449c,41573ce7-d78f-47b2-9d3b-91b57eac1c07,c4,c5,3400,?,p1,
1769482748.0543625,CREATED,6e733fdc-e838-442b-9a1f-b46878009e1a,66af9962-e372-46e1-961b-9bb8d0a0c4f7,c4,c5,27,?,?,surb={'id': 'c1605e4e-ef7b-4516-b7c0-0065fc123f11', 'route': ['p2', 'e9', 'i9', 'x9', 'p1', 'c4']}
1769482748.7978501,RECEIVED,fdf4f33a-a628-4c77-9276-4160d4fef6c8,acde7691-50e4-4249-931f-684797036973,c2,c4,27,p1,?,surb={'id': '820fc471-ca2c-4d57-875d-57e96e454017', 'route': ['p1', 'e9', 'i4', 'x5', 'p2', 'c2']}
1769482749.529724,RECEIVED,eddce9d2-41ca-4994-b615-2f7df081468b,b45363b1-d3ac-409d-8a63-9f7505ab1620,c2,c4,27,p1,?,surb={'id': '2f316b4f-6162-4fe2-a47b-3a788d92ecba', 'route': ['p1', 'e2', 'i5', 'x10', 'p2', 'c2']}
1769482749.9278214,SENT,93f9593a-d24d-4880-a8c0-209a7800b3e9,e9d875e6-48f5-4a1e-894a-a902b0b5c3ff,c4,c5,3383,?,p1,
1769482749.9279697,CREATED,7838f594-6aad-4c80-a0c4-0850a1459d84,66af9962-e372-46e1-961b-9bb8d0a0c4f7,c4,c5,27,?,?,surb={'id': 'c1605e4e-ef7b-4516-b7c0-0065fc123f11', 'route': ['p2', 'e9', 'i9', 'x9', 'p1', 'c4']}
1769482750.0160184,SENT,cc1cc9a9-ae9e-467e-b662-f61296891564,dfd28665-49ce-448a-af6a-0c2341252dc9,c4,c5,3364,?,p1,
1769482750.0162144,CREATED,7cc3fd5b-7862-4657-aebf-58d53ade7ca0,89b75776-3921-40b4-9818-539948fce287,c4,c5,27,?,?,surb={'id': '564549ab-3007-46ad-be59-42a66e6242a5', 'route': ['p2', 'e7', 'i6', 'x2', 'p1', 'c4']}
1769482750.3005016,RECEIVED,ce47f1d8-ac80-42eb-84d1-3df187d27985,a0452181-1fbe-4a45-b0c1-8eabf795a976,c2,c4,27,p1,?,surb={'id': 'bf5021cf-cdf9-4585-ace5-cf02f28c77b2', 'route': ['p1', 'e6', 'i9', 'x9', 'p2', 'c2']}
1769482750.5727398,RECEIVED,eceb5c2b-0c12-4880-8c31-300929717cc0,b45363b1-d3ac-409d-8a63-9f7505ab1620,c2,c4,27,p1,?,surb={'id': '2f316b4f-6162-4fe2-a47b-3a788d92ecba', 'route': ['p1', 'e2', 'i5', 'x10', 'p2', 'c2']}
1769482750.5814755,RECEIVED,46a26205-8ceb-4df7-b304-b40432086aff,27c975fd-be14-4b8c-877f-3fbf2276f930,c2,c4,27,p1,?,surb={'id': '7e98ac82-2e69-471d-9a87-37acd8ea77ed', 'route': ['p1', 'e6', 'i8', 'x2', 'p2', 'c2']}
1769482750.699227,RECEIVED,ef1d20b4-5c20-49e8-8708-bf54f0b04f65,dd4c0661-6ea4-46b0-ad91-664f011aefad,c2,c4,27,p1,?,surb={'id': '9f875945-8c0c-4c7c-a3b1-b88590424b99', 'route': ['p1', 'e7', 'i5', 'x10', 'p2', 'c2']}
1769482750.762666,RECEIVED,013b88c3-aca4-4160-8e5c-ad0c014eed88,9c87d783-ae6a-42ba-9fb9-cf962fe4dfaf,c2,c4,27,p1,?,surb={'id': '1f3c0b36-31ef-4bcf-a896-93d581a9a7af', 'route': ['p1', 'e9', 'i4', 'x7', 'p2', 'c2']}
1769482750.9922743,SENT,caed65a0-a946-40b3-b9a2-45c272c6dae4,5b87044c-739f-479e-93fa-79a7f618130b,c4,c5,3365,?,p1,
1769482750.9924428,CREATED,9ed1958d-932c-42e9-87a0-8e3f0d46decb,89b75776-3921-40b4-9818-539948fce287,c4,c5,27,?,?,surb={'id': '564549ab-3007-46ad-be59-42a66e6242a5', 'route': ['p2', 'e7', 'i6', 'x2', 'p1', 'c4']}
1769482751.0255744,RECEIVED,adad7333-4183-475d-b706-df723b8b24a7,dd4c0661-6ea4-46b0-ad91-664f011aefad,c2,c4,27,p1,?,surb={'id': '9f875945-8c0c-4c7c-a3b1-b88590424b99', 'route': ['p1', 'e7', 'i5', 'x10', 'p2', 'c2']}
1769482751.0823424,RECEIVED,bed0c30d-27f1-46e8-9fc3-a6e7076108f0,8af90bdf-e1c2-407f-bde1-1add2e253b96,c2,c4,26,p1,?,surb={'id': 'c8b4a7d9-652a-4c4a-b1b6-4c0cabd5d75e', 'route': ['p1', 'e10', 'i1', 'x4', 'p2', 'c2']}
1769482751.0907598,RECEIVED,388a7a2e-8dde-4967-9d2d-9d82f3d42c38,8275fda1-8f13-4d9e-abbc-c969e877a8f4,c2,c4,25,p1,?,surb={'id': '33da5a20-4f8e-4aba-b5da-c1cafe9439f3', 'route': ['p1', 'e4', 'i1', 'x11', 'p2', 'c2']}
1769482751.3772812,RECEIVED,51894977-df4d-42d4-bbf5-9176eb0fda77,f1fb149f-6062-4d07-a7a0-8e2f95ee0f71,c2,c4,27,p1,?,surb={'id': '0198534a-8c8e-40d2-ab2f-49ff2a2217a8', 'route': ['p1', 'e3', 'i6', 'x2', 'p2', 'c2']}
1769482751.3855817,RECEIVED,53b7b472-40d3-450b-ac4e-654a49a8a6f9,a0452181-1fbe-4a45-b0c1-8eabf795a976,c2,c4,27,p1,?,surb={'id': 'bf5021cf-cdf9-4585-ace5-cf02f28c77b2', 'route': ['p1', 'e6', 'i9', 'x9', 'p2', 'c2']}
1769482751.4794374,SENT,8051c93a-fd3c-437a-81fb-caff76dde620,fbc27adc-55de-415f-8984-9c5d97ffe5c4,c4,c5,3392,?,p1,
1769482751.4795675,CREATED,af44c9ed-ef7a-409d-822a-1ee65a06b55b,36bc1645-2b1f-41e1-925d-5978b303569b,c4,c5,27,?,?,surb={'id': 'ba11f3c6-d741-4ee3-9c62-a82b621d37a8', 'route': ['p2', 'e1', 'i8', 'x2', 'p1', 'c4']}
1769482751.5852141,RECEIVED,9a8f2355-94c4-4e14-977e-16532006b926,8275fda1-8f13-4d9e-abbc-c969e877a8f4,c2,c4,25,p1,?,surb={'id': '33da5a20-4f8e-4aba-b5da-c1cafe9439f3', 'route': ['p1', 'e4', 'i1', 'x11', 'p2', 'c2']}
1769482751.7968462,RECEIVED,3b735c1e-c8a9-4279-97f0-477a50091eb3,27c975fd-be14-4b8c-877f-3fbf2276f930,c2,c4,27,p1,?,surb={'id': '7e98ac82-2e69-471d-9a87-37acd8ea77ed', 'route': ['p1', 'e6', 'i8', 'x2', 'p2', 'c2']}
1769482751.8490872,SENT,7efc2ee0-c25d-4e86-a088-4e8e820279fd,4542d2fc-acbf-4a50-8824-ecc0107b3df3,c4,c5,3373,?,p1,
1769482751.8492217,CREATED,c4dd7022-87e8-4b65-869e-8d0587d9fddc,36bc1645-2b1f-41e1-925d-5978b303569b,c4,c5,27,?,?,surb={'id': 'ba11f3c6-d741-4ee3-9c62-a82b621d37a8', 'route': ['p2', 'e1', 'i8', 'x2', 'p1', 'c4']}
1769482751.8935015,SENT,ff167f53-174c-4f1e-b7ca-44d813308745,ea0f3872-d377-47aa-ba30-4756e0e96bb0,c4,c5,3380,?,p1,
1769482751.893619,CREATED,d0158561-4c00-4282-8e19-fadec4c79ad1,30aef1be-7bf9-4343-8df5-8e0d968cb129,c4,c5,27,?,?,surb={'id': '4f3de923-0be4-4098-a953-decad39fe990', 'route': ['p2', 'e7', 'i4', 'x5', 'p1', 'c4']}
1769482751.916283,RECEIVED,b23f8abc-afa7-43db-9869-cad558f644f0,f1fb149f-6062-4d07-a7a0-8e2f95ee0f71,c2,c4,27,p1,?,surb={'id': '0198534a-8c8e-40d2-ab2f-49ff2a2217a8', 'route': ['p1', 'e3', 'i6', 'x2', 'p2', 'c2']}
1769482751.92293,RECEIVED,2148429b-8f03-4a2e-bee7-897ac7585e01,f8bb0d05-eda5-4b80-94b9-8e4d3d19c1ac,c2,c4,27,p1,?,surb={'id': '2a94f87a-6c6f-41e4-906f-f28d5a52fa60', 'route': ['p1', 'e9', 'i3', 'x4', 'p2', 'c2']}
1769482752.227794,SENT,ee48d29d-7e42-4f16-a46d-2a559781919a,eaa8ab87-00da-4563-8d9d-fb5963379d76,c4,c5,3383,?,p1,
1769482752.227928,CREATED,02d75e26-ab24-4ced-bfff-924d0fa2cfc6,30aef1be-7bf9-4343-8df5-8e0d968cb129,c4,c5,27,?,?,surb={'id': '4f3de923-0be4-4098-a953-decad39fe990', 'route': ['p2', 'e7', 'i4', 'x5', 'p1', 'c4']}
1769482752.2823563,SENT,361d6677-1c40-454e-8f05-da1d8fdbac0b,ca102a61-d001-418a-9d68-caecdbfd4535,c4,c5,3391,?,p1,
1769482752.2824912,CREATED,6f754380-b85a-447c-84b9-fa26c12dea9e,7172f6af-6c6d-4c8d-a14f-51d603bdad63,c4,c5,27,?,?,surb={'id': 'ee2055df-7b05-431d-a8f8-73b98732804b', 'route': ['p2', 'e10', 'i3', 'x4', 'p1', 'c4']}
1769482752.3712957,RECEIVED,320a07fd-a036-4783-9d73-789876420419,24940403-0ccc-436b-beac-a4524d11c12f,c2,c4,27,p1,?,surb={'id': '9a7b88f6-fbfd-47b4-9411-f16f02cd42dd', 'route': ['p1', 'e12', 'i9', 'x12', 'p2', 'c2']}
1769482752.457848,RECEIVED,154aa97e-52c7-4692-a482-bc98df2041a0,01d1d11a-5f94-42b4-9386-3111434a338e,c2,c4,26,p1,?,surb={'id': '57a945b1-0dfb-444a-b807-dd9a37ebc2f2', 'route': ['p1', 'e9', 'i10', 'x9', 'p2', 'c2']}
1769482752.486424,SENT,34f5eedd-8a5c-4cba-83de-43f8e64f44a4,89d939c9-35d2-45fd-b06c-b0aef9b57fc2,c4,c5,3359,?,p1,
1769482752.4865713,CREATED,3822867e-77ab-4e12-88f3-3f7fd9cd42e5,7172f6af-6c6d-4c8d-a14f-51d603bdad63,c4,c5,27,?,?,surb={'id': 'ee2055df-7b05-431d-a8f8-73b98732804b', 'route': ['p2', 'e10', 'i3', 'x4', 'p1', 'c4']}
1769482752.6177454,RECEIVED,785f197c-b881-4a97-88a1-016b2972872f,063260d9-8b95-4dbb-9f93-5dadbef7944d,c2,c4,27,p1,?,surb={'id': '710fb16b-0ea7-4eef-a883-2ddd342fde1d', 'route': ['p1', 'e10', 'i8', 'x8', 'p2', 'c2']}
1769482752.6622312,RECEIVED,3e25913d-d4a1-43df-839e-7848d8122a9a,9c87d783-ae6a-42ba-9fb9-cf962fe4dfaf,c2,c4,27,p1,?,surb={'id': '1f3c0b36-31ef-4bcf-a896-93d581a9a7af', 'route': ['p1', 'e9', 'i4', 'x7', 'p2', 'c2']}
1769482752.7344892,SENT,4744d78b-4f15-41c0-9a35-11d0f45459b1,888fdcf8-c7cf-451c-94b2-018193e42e4e,c4,c5,3379,?,p1,
1769482752.734623,CREATED,94a5c2ad-70b7-43fa-b1d4-81a34b499f20,5e6ead94-d2aa-4e08-955e-94a6ad50963a,c4,c5,27,?,?,surb={'id': '7f63d6f7-d91f-447c-b5b4-81dd7ac94a71', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769482752.7539675,SENT,538fac20-7394-4b2d-9374-22c7e2260037,0b2b9600-a0ab-4a7b-87c9-a3db908b0d58,c4,c5,3375,?,p1,
1769482752.7541366,CREATED,3dc2786c-d273-44b5-8f6c-03112698e68d,5e6ead94-d2aa-4e08-955e-94a6ad50963a,c4,c5,27,?,?,surb={'id': '7f63d6f7-d91f-447c-b5b4-81dd7ac94a71', 'route': ['p2', 'e5', 'i4', 'x9', 'p1', 'c4']}
1769482752.940382,RECEIVED,ae4fd448-73cc-42bb-ad65-f5846f1a08ad,3b485f50-83b0-4aad-b08e-c36d54f14d0c,c2,c4,27,p1,?,surb={'id': '4c78f3fc-7042-480e-bd70-84999d89e1c7', 'route': ['p1', 'e5', 'i9', 'x7', 'p2', 'c2']}
1769482752.943486,RECEIVED,52f9956b-5de2-4e45-a90e-32f208b10098,f8bb0d05-eda5-4b80-94b9-8e4d3d19c1ac,c2,c4,27,p1,?,surb={'id': '2a94f87a-6c6f-41e4-906f-f28d5a52fa60', 'route': ['p1', 'e9', 'i3', 'x4', 'p2', 'c2']}
1769482753.0315478,SENT,5dbd753d-9712-4598-b60a-43cfa7aeff92,9a0cd6b0-dcde-4fb0-ab18-b0095e75de33,c4,c5,3388,?,p1,
1769482753.031678,CREATED,8b9f1dbc-5ff0-4ac2-904d-0584305f8aaf,0f5202b5-e0b6-4a32-a917-039821e67e00,c4,c5,27,?,?,surb={'id': '244c9483-89c2-4f05-8a60-9e42de05ed2b', 'route': ['p2', 'e9', 'i6', 'x12', 'p1', 'c4']}
1769482753.1019564,SENT,439f0ea9-aa97-44c3-a66a-efb66feca6b8,86e8b81c-03c2-4f15-82d2-58433870677b,c4,c5,3359,?,p1,
1769482753.1021245,CREATED,28b6ec5f-004a-4088-bdd7-bd362d616d01,0f5202b5-e0b6-4a32-a917-039821e67e00,c4,c5,27,?,?,surb={'id': '244c9483-89c2-4f05-8a60-9e42de05ed2b', 'route': ['p2', 'e9', 'i6', 'x12', 'p1', 'c4']}
1769482753.115577,RECEIVED,573c9d58-41bc-4cef-b8e3-54dac7cec46a,b81aa719-d625-4b75-97d3-936b39604618,c2,c4,26,p1,?,surb={'id': '52469179-ce90-4320-95a6-90c814a0e61d', 'route': ['p1', 'e7', 'i2', 'x7', 'p2', 'c2']}
1769482753.1665702,SENT,c2402c91-db44-4af4-b85b-6cb72284f685,b37218a7-71c4-426c-a3a0-a9df73e9b5c0,c4,c5,3383,?,p1,
1769482753.1667016,CREATED,d095d611-4e23-4f03-af42-283133304217,834c45c7-0802-4f33-82d1-65d04f8367a0,c4,c5,26,?,?,surb={'id': '429210ad-32fc-4dd1-9365-f85944f14a19', 'route': ['p2', 'e3', 'i5', 'x4', 'p1', 'c4']}
1769482753.2194796,RECEIVED,3d18a6bd-320a-47cc-8e9b-47456fb64d6b,22436a9b-37c4-4a88-88de-4568872d6b57,c2,c4,26,p1,?,surb={'id': '5878ed16-e700-440e-86da-7e236e667046', 'route': ['p1', 'e5', 'i9', 'x9', 'p2', 'c2']}
1769482753.2965548,RECEIVED,9363280d-a469-43c1-8341-1b3f7bb76be2,063260d9-8b95-4dbb-9f93-5dadbef7944d,c2,c4,27,p1,?,surb={'id': '710fb16b-0ea7-4eef-a883-2ddd342fde1d', 'route': ['p1', 'e10', 'i8', 'x8', 'p2', 'c2']}
1769482753.306226,SENT,43e3a95d-ba0b-4f73-8aca-774e93291fa7,f0e46ff6-c442-4194-905a-801a8c478f86,c4,c5,3360,?,p1,
1769482753.3063548,CREATED,51db9b2e-93f3-44c9-ac10-a02a8fee8117,834c45c7-0802-4f33-82d1-65d04f8367a0,c4,c5,26,?,?,surb={'id': '429210ad-32fc-4dd1-9365-f85944f14a19', 'route': ['p2', 'e3', 'i5', 'x4', 'p1', 'c4']}
1769482753.3182411,RECEIVED,dac4292b-eb04-44c8-9cba-812bf70bbe9a,22436a9b-37c4-4a88-88de-4568872d6b57,c2,c4,26,p1,?,surb={'id': '5878ed16-e700-440e-86da-7e236e667046', 'route': ['p1', 'e5', 'i9', 'x9', 'p2', 'c2']}
1769482753.4283152,RECEIVED,ce06ad1d-1fc5-4a59-bf12-1c278873bc88,24940403-0ccc-436b-beac-a4524d11c12f,c2,c4,27,p1,?,surb={'id': '9a7b88f6-fbfd-47b4-9411-f16f02cd42dd', 'route': ['p1', 'e12', 'i9', 'x12', 'p2', 'c2']}
1769482753.6989388,RECEIVED,d6c06d77-4f9d-45c3-b683-65265c9be0c2,3b485f50-83b0-4aad-b08e-c36d54f14d0c,c2,c4,27,p1,?,surb={'id': '4c78f3fc-7042-480e-bd70-84999d89e1c7', 'route': ['p1', 'e5', 'i9', 'x7', 'p2', 'c2']}
1769482753.74268,SENT,0800c7b3-71b6-40a9-b8d8-6cbbfe8c6a4b,dbfa0f4d-b13c-49cf-8a67-9a706e072925,c4,c5,3392,?,p1,
1769482753.742809,CREATED,c306bfb8-8cd2-48bb-82f9-5231b7b3f701,de6a3b09-5fb6-4776-a44f-69bc0175c477,c4,c5,27,?,?,surb={'id': '4b7710c9-bfff-4617-aa48-f1737a704b63', 'route': ['p2', 'e7', 'i9', 'x6', 'p1', 'c4']}
1769482753.9092805,RECEIVED,30b24796-b1cc-4e03-9995-7d8882c5ce9d,01d1d11a-5f94-42b4-9386-3111434a338e,c2,c4,26,p1,?,surb={'id': '57a945b1-0dfb-444a-b807-dd9a37ebc2f2', 'route': ['p1', 'e9', 'i10', 'x9', 'p2', 'c2']}
