timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482742.008119,SENT,f47fdb35-29a5-4426-b81d-244187dc1213,4d04bf04-e82e-49d6-a193-862eb56b4a47,c3,DROP,2040,?,p3,
1769482742.00826,CREATED,6f342a7c-32b4-419c-b997-350811f82168,daa47165-85e7-4d54-b47b-9237bd2f35fd,c3,DROP,27,?,?,
1769482742.8998675,SENT,0f3b4d2e-39fb-4769-9086-d0c17689630f,af9a8dce-0b0c-459b-a5dc-c8d212384f04,c3,c5,3377,?,p3,
1769482742.9000175,CREATED,a6d8b16c-b63b-4b2c-b39d-60638ca159c0,44e35ce7-3410-4d59-9380-ad85fd9e5de5,c3,c5,27,?,?,surb={'id': '2ad45f1a-c42c-42d9-a80c-811c1700b907', 'route': ['p2', 'e8', 'i1', 'x4', 'p3', 'c3']}
1769482745.1444075,CREATED,37166c7e-433a-4cac-af00-e4af82b26c80,f9e0eb8a-3170-4df9-bae1-4ce33273994c,c3,c5,26,?,?,surb={'id': '0fa8d172-6364-4203-a110-36de5530900f', 'route': ['p2', 'e12', 'i3', 'x5', 'p3', 'c3']}
1769482745.2016377,RECEIVED,37ec99a5-e45d-40d0-b0cc-8749c2494673,85dbf6f4-61fe-4d68-8ace-a5af84999e84,c5,c3,27,p3,?,surb={'id': 'e2507d51-0a32-4765-a2b3-1601625c9bca', 'route': ['p3', 'e6', 'i7', 'x6', 'p2', 'c5']}
1769482745.5442312,RECEIVED,c1c79c62-1b44-41d3-a686-33988eae482d,de3e08d1-4d42-4a97-9b8c-d07a37a0e109,c5,c3,27,p3,?,surb={'id': '63098ae0-28fa-4776-be52-c27499c8fae7', 'route': ['p3', 'e12', 'i4', 'x10', 'p2', 'c5']}
1769482745.9278662,SENT,0fa6297a-4ab0-4ff4-b478-273670442375,0f5d8840-c927-46cb-b5ff-af353c883e05,c3,c5,3383,?,p3,
1769482745.9280105,CREATED,1da17398-2cb1-4784-b8b4-8ff1afc12181,92c96f38-73d1-4f30-9fa9-9c70391342f2,c3,c5,26,?,?,surb={'id': '8f2967f8-2e3a-4398-ab05-48a0fb0c5293', 'route': ['p2', 'e7', 'i7', 'x3', 'p3', 'c3']}
1769482746.194388,SENT,20bf5d2b-e538-4b0c-a1c0-c9b01723868e,07d0710e-845b-4ddf-8407-f768515b912b,c3,c5,3384,?,p3,
1769482746.1945353,CREATED,0a403f81-a7e1-4daf-8a59-8b3a4af3ddbe,92c96f38-73d1-4f30-9fa9-9c70391342f2,c3,c5,26,?,?,surb={'id': '8f2967f8-2e3a-4398-ab05-48a0fb0c5293', 'route': ['p2', 'e7', 'i7', 'x3', 'p3', 'c3']}
1769482746.2873504,SENT,1e77efe6-bd86-411b-875b-16607ea17bd1,ff310c2c-40ec-4279-8973-22ed3c8ca623,c3,c5,3372,?,p3,
1769482746.28751,CREATED,74a7507d-4415-4cb8-aa52-56cfd5e0283c,6cbb2dbd-b860-45ba-9a19-b666c96eb499,c3,c5,27,?,?,surb={'id': 'd2ecafdd-1767-4db8-8dc7-cf6165e0973e', 'route': ['p2', 'e5', 'i4', 'x9', 'p3', 'c3']}
1769482746.3949256,RECEIVED,7353b532-e146-47d3-b038-e2fc4d6eb078,58488cda-177f-4995-83f6-ad2db2ee5c6e,c5,c3,27,p3,?,surb={'id': '56a2921f-9fbe-417b-880a-d4c56e7b35eb', 'route': ['p3', 'e12', 'i10', 'x2', 'p2', 'c5']}
1769482746.5938203,RECEIVED,9210f070-165d-47ec-9990-bfe7f88e94b3,34f4e8a1-da88-46cf-8f13-58eb78e28aec,c5,c3,27,p3,?,surb={'id': 'fa7ab357-c4bc-4b9a-be8c-95b83318d516', 'route': ['p3', 'e2', 'i5', 'x4', 'p2', 'c5']}
1769482746.7107546,RECEIVED,f1816634-722e-4762-afdc-041d7853d06f,1c2b035b-cd4a-45e6-84c8-361554cfa739,c5,c3,27,p3,?,surb={'id': '15490c6d-f28c-4cc6-b21b-1d7725c6e2a1', 'route': ['p3', 'e5', 'i4', 'x1', 'p2', 'c5']}
1769482746.8246605,RECEIVED,5bbaf0c0-4047-48dc-ad7d-a41aadc9d0fe,6dce7978-2d22-4ad1-b93c-9e6c95e2ce3e,c5,c3,27,p3,?,surb={'id': '04d54365-310c-4194-a6d3-505104411fa7', 'route': ['p3', 'e12', 'i10', 'x6', 'p2', 'c5']}
1769482746.8357735,RECEIVED,daebb553-b982-40b7-9368-8f418e85fffd,85dbf6f4-61fe-4d68-8ace-a5af84999e84,c5,c3,27,p3,?,surb={'id': 'e2507d51-0a32-4765-a2b3-1601625c9bca', 'route': ['p3', 'e6', 'i7', 'x6', 'p2', 'c5']}
1769482747.0189588,RECEIVED,3bd3edb3-8d23-4a55-bb24-178da335c7c9,34f4e8a1-da88-46cf-8f13-58eb78e28aec,c5,c3,27,p3,?,surb={'id': 'fa7ab357-c4bc-4b9a-be8c-95b83318d516', 'route': ['p3', 'e2', 'i5', 'x4', 'p2', 'c5']}
1769482747.0353663,SENT,f2adce16-5c7d-44d0-a291-9ddc8731f5a9,c7df31c8-204b-406f-967b-ee511adc95fd,c3,c5,3385,?,p3,
1769482747.0355127,CREATED,54a574e1-c003-4185-8895-223d5a440bec,6cbb2dbd-b860-45ba-9a19-b666c96eb499,c3,c5,27,?,?,surb={'id': 'd2ecafdd-1767-4db8-8dc7-cf6165e0973e', 'route': ['p2', 'e5', 'i4', 'x9', 'p3', 'c3']}
1769482747.1288376,RECEIVED,ff05475e-6e7b-4504-93cc-90e22069985b,01fa7a86-25fe-4872-829b-1e02b4bb9a4a,c5,c3,26,p3,?,surb={'id': '385e0c31-c6a5-4cc5-9052-ba78c4733c75', 'route': ['p3', 'e2', 'i4', 'x11', 'p2', 'c5']}
1769482747.1815188,RECEIVED,8edf9a47-8465-456a-9e37-631499699105,58488cda-177f-4995-83f6-ad2db2ee5c6e,c5,c3,27,p3,?,surb={'id': '56a2921f-9fbe-417b-880a-d4c56e7b35eb', 'route': ['p3', 'e12', 'i10', 'x2', 'p2', 'c5']}
1769482747.237555,SENT,e041e72b-7ca0-447a-80a9-442ea1381439,11bf5b83-7e5d-4cb5-84e1-a0b836c92ee5,c3,c5,3391,?,p3,
1769482747.2377024,CREATED,7b0c9166-f67c-4c63-a7cc-2889cbc59fd7,7feb2dee-5683-4933-b107-4081407c85d2,c3,c5,26,?,?,surb={'id': '615a6cb1-05de-45bd-8e54-61c47f1378cc', 'route': ['p2', 'e4', 'i12', 'x10', 'p3', 'c3']}
1769482747.2977695,RECEIVED,42616de1-4384-4b29-9f1a-aabad66cb8c5,049a2c1a-f49d-417f-9b62-3f4b1a7c797c,c5,c3,27,p3,?,surb={'id': '29a06dfa-7333-4335-8f25-e1d75db62a8d', 'route': ['p3', 'e4', 'i1', 'x6', 'p2', 'c5']}
1769482747.8530111,RECEIVED,3ab34fdf-c3c5-4c8f-b100-e056bec96400,6dce7978-2d22-4ad1-b93c-9e6c95e2ce3e,c5,c3,27,p3,?,surb={'id': '04d54365-310c-4194-a6d3-505104411fa7', 'route': ['p3', 'e12', 'i10', 'x6', 'p2', 'c5']}
1769482748.3764048,SENT,b7969e24-a1a7-465e-bcae-44e03f6afe99,84e05d76-5a4a-4370-8bbe-47c2b773b07c,c3,c5,3388,?,p3,
1769482748.3765516,CREATED,aac50937-d597-4c30-9ac3-ac5c3ee997a8,7feb2dee-5683-4933-b107-4081407c85d2,c3,c5,26,?,?,surb={'id': '615a6cb1-05de-45bd-8e54-61c47f1378cc', 'route': ['p2', 'e4', 'i12', 'x10', 'p3', 'c3']}
1769482748.5908334,SENT,63775316-0ec4-48e8-86e5-83bc8707fbec,75b05246-3aad-4173-9acb-18eec7469e4a,c3,c5,3372,?,p3,
1769482748.5909905,CREATED,2687fb30-f66d-4aba-b76b-bf064570a6d7,8852afff-a106-43d4-aeb8-25986a358a30,c3,c5,27,?,?,surb={'id': '8b197307-a977-46ee-bcdc-1caf8b7e6987', 'route': ['p2', 'e7', 'i7', 'x6', 'p3', 'c3']}
1769482748.6641247,RECEIVED,b096760d-48b6-49b3-a487-bbd88c7471f5,049a2c1a-f49d-417f-9b62-3f4b1a7c797c,c5,c3,27,p3,?,surb={'id': '29a06dfa-7333-4335-8f25-e1d75db62a8d', 'route': ['p3', 'e4', 'i1', 'x6', 'p2', 'c5']}
1769482749.0963168,RECEIVED,089143be-dd03-4a3f-a613-20ff20c22cd7,01fa7a86-25fe-4872-829b-1e02b4bb9a4a,c5,c3,26,p3,?,surb={'id': '385e0c31-c6a5-4cc5-9052-ba78c4733c75', 'route': ['p3', 'e2', 'i4', 'x11', 'p2', 'c5']}
1769482749.2703874,SENT,7ef7845a-a76e-48d6-9da4-977e9c1e3ee8,f8032c3f-bfb6-4e64-a9c7-faedca0f4f30,c3,c5,3379,?,p3,
1769482749.2705386,CREATED,a2c4f228-6099-45a9-825a-4fe04ff19673,8852afff-a106-43d4-aeb8-25986a358a30,c3,c5,27,?,?,surb={'id': '8b197307-a977-46ee-bcdc-1caf8b7e6987', 'route': ['p2', 'e7', 'i7', 'x6', 'p3', 'c3']}
1769482749.3440921,SENT,66d3a5a8-4701-458f-9058-07598c6c061d,983bfd51-f204-4f37-99bc-5304ecc55228,c3,c5,3393,?,p3,
1769482749.344743,CREATED,c57c5e44-e18e-4d09-ae00-02ccd9f73cd9,0e44cdac-e478-46b8-870b-a13b2a7e79d6,c3,c5,27,?,?,surb={'id': '5237f000-43d5-40db-a9ed-63165c4ee6d4', 'route': ['p2', 'e10', 'i9', 'x9', 'p3', 'c3']}
1769482749.4139943,RECEIVED,2a87d5dc-d9be-4f78-a917-c99789266810,d8006974-5af4-4daa-821e-51e3fee34a2c,c5,c3,27,p3,?,surb={'id': 'f1db951a-203d-4c43-9cd6-58ada6c01b87', 'route': ['p3', 'e7', 'i10', 'x7', 'p2', 'c5']}
1769482749.5685856,SENT,a6344881-937f-449b-b45f-eb1372d78d47,1814b8f4-c292-4d46-9183-3cf89663534d,c3,c5,3359,?,p3,
1769482749.5693748,CREATED,7a402623-0d5d-48f1-83e4-7452e5404a49,0e44cdac-e478-46b8-870b-a13b2a7e79d6,c3,c5,27,?,?,surb={'id': '5237f000-43d5-40db-a9ed-63165c4ee6d4', 'route': ['p2', 'e10', 'i9', 'x9', 'p3', 'c3']}
1769482749.631395,SENT,0a22391d-520c-4be3-ba30-15670f94f906,13439764-e513-4aa4-ae8c-5de570f44d47,c3,c5,3376,?,p3,
1769482749.631493,CREATED,e22d3b8c-11c1-4fe4-8496-469504d4c9dc,ae820d48-d053-4e25-afef-2e2cbacf1246,c3,c5,27,?,?,surb={'id': '4e3f2caf-a08a-4875-91fe-3d99ace96edb', 'route': ['p2', 'e2', 'i1', 'x8', 'p3', 'c3']}
1769482749.752838,RECEIVED,2a51a21d-0f31-4ffd-99c0-cf31ad6ffd8a,c19a1e7a-8317-4f38-ad75-0a7af434d35d,c5,c3,26,p3,?,surb={'id': '939032fe-085d-419d-b737-3ab7fe9c6e43', 'route': ['p3', 'e4', 'i5', 'x12', 'p2', 'c5']}
1769482749.8002646,RECEIVED,d9411b0d-6c45-4871-afee-d2d19f166f1b,d8006974-5af4-4daa-821e-51e3fee34a2c,c5,c3,27,p3,?,surb={'id': 'f1db951a-203d-4c43-9cd6-58ada6c01b87', 'route': ['p3', 'e7', 'i10', 'x7', 'p2', 'c5']}
1769482749.9375777,RECEIVED,aedcd6ab-8449-4fd4-a234-9da89e2ed2a7,c811e84b-6fab-4cdd-b64e-d1957f5cca75,c5,c3,27,p3,?,surb={'id': 'a51a7883-5fce-49b9-b421-6a07a801d056', 'route': ['p3', 'e3', 'i9', 'x6', 'p2', 'c5']}
1769482750.0886157,SENT,658eaf70-4a4a-4e4a-b395-79395e191d60,b5f1c9df-a0f6-451b-9149-f411397620c1,c3,c5,3359,?,p3,
1769482750.0887632,CREATED,effe80c7-9780-47ba-9b31-83a0b2309ee9,ae820d48-d053-4e25-afef-2e2cbacf1246,c3,c5,27,?,?,surb={'id': '4e3f2caf-a08a-4875-91fe-3d99ace96edb', 'route': ['p2', 'e2', 'i1', 'x8', 'p3', 'c3']}
1769482750.2120743,SENT,3f039ecd-5292-46b3-a585-91b48edb15fc,e04416fc-b416-40e6-a0d4-149172649adf,c3,c5,3383,?,p3,
1769482750.212395,CREATED,63b9c199-c991-4a66-a836-afc692fa57e6,0ec24917-783e-488f-8617-136c58c9fa53,c3,c5,27,?,?,surb={'id': 'd188a544-2526-4950-9659-311249fc7c2e', 'route': ['p2', 'e9', 'i6', 'x11', 'p3', 'c3']}
1769482750.4396567,RECEIVED,e9587ecd-b239-4629-b8ac-dd233c1bf28c,3517749d-d504-4131-bbed-aafbbec4cf26,c5,c3,27,p3,?,surb={'id': '67aa0c82-b344-430c-8339-c43dbf76d21b', 'route': ['p3', 'e8', 'i12', 'x8', 'p2', 'c5']}
1769482750.4622107,SENT,8ecbf2cb-51a8-41a8-ab7d-f31b50d1a54b,fed7bc6a-c4e4-473b-be42-f74af97f0f4d,c3,c5,3388,?,p3,
1769482750.4623554,CREATED,099e56c6-b2b7-4323-b73b-0c5eb04d690b,0ec24917-783e-488f-8617-136c58c9fa53,c3,c5,27,?,?,surb={'id': 'd188a544-2526-4950-9659-311249fc7c2e', 'route': ['p2', 'e9', 'i6', 'x11', 'p3', 'c3']}
1769482750.5376394,RECEIVED,e78e996e-5a2d-434a-9be7-8af3ab86bdde,3517749d-d504-4131-bbed-aafbbec4cf26,c5,c3,27,p3,?,surb={'id': '67aa0c82-b344-430c-8339-c43dbf76d21b', 'route': ['p3', 'e8', 'i12', 'x8', 'p2', 'c5']}
1769482750.5706215,SENT,cb73d09b-f482-4cc2-8ebd-51c2c993456b,1900ea13-862a-4888-81be-9d60eca2c4af,c3,c5,3396,?,p3,
1769482750.570817,CREATED,2d39112d-aefb-44d2-bf42-87df658a6121,f3189d44-7de3-47e2-8904-77f139fec944,c3,c5,27,?,?,surb={'id': 'f49f2a14-1545-4977-98ea-f1a1dc4dcda0', 'route': ['p2', 'e4', 'i3', 'x6', 'p3', 'c3']}
1769482750.5863428,RECEIVED,b9fe4ab2-ae9c-4af5-a7d5-0a9c05393ca6,c19a1e7a-8317-4f38-ad75-0a7af434d35d,c5,c3,26,p3,?,surb={'id': '939032fe-085d-419d-b737-3ab7fe9c6e43', 'route': ['p3', 'e4', 'i5', 'x12', 'p2', 'c5']}
1769482750.652545,SENT,d5458fb8-a479-42ea-bf2f-384214015c5f,83660be4-6b84-4caf-89bd-150b2eb4791b,c3,c5,3395,?,p3,
1769482750.6526887,CREATED,9c05c30d-51f4-438c-a49e-71359b977539,f3189d44-7de3-47e2-8904-77f139fec944,c3,c5,27,?,?,surb={'id': 'f49f2a14-1545-4977-98ea-f1a1dc4dcda0', 'route': ['p2', 'e4', 'i3', 'x6', 'p3', 'c3']}
1769482750.6672468,SENT,4aa84639-d96a-438c-bddf-cb1c5b89c12a,ab78f06e-a935-4f3e-a201-6f6c7e0c9b0a,c3,c5,3359,?,p3,
1769482750.6673932,CREATED,59172251-8f05-4359-8445-cb5283e6197e,d020b716-0d35-4f5c-b4b2-d7a4704f206b,c3,c5,26,?,?,surb={'id': '9b71e7fb-e1fa-48dd-b1a8-0ec5377afc11', 'route': ['p2', 'e9', 'i5', 'x7', 'p3', 'c3']}
1769482750.7432709,RECEIVED,09f99145-3b5f-4daa-b06a-b6dff5f869f4,4100d310-1b47-42c9-9086-99f79e42bf38,c5,c3,27,p3,?,surb={'id': '9e36fdad-b89b-48e3-a739-6c627f027d6b', 'route': ['p3', 'e7', 'i6', 'x10', 'p2', 'c5']}
1769482750.9765098,SENT,d2a0f4fb-c941-424a-b1b6-ae8797abf833,5c524f6d-8e47-4f40-bca5-e39a73a24a94,c3,c5,3381,?,p3,
1769482750.976661,CREATED,a6ad812c-caae-43ce-8740-254574b9f331,d020b716-0d35-4f5c-b4b2-d7a4704f206b,c3,c5,26,?,?,surb={'id': '9b71e7fb-e1fa-48dd-b1a8-0ec5377afc11', 'route': ['p2', 'e9', 'i5', 'x7', 'p3', 'c3']}
1769482751.0588632,RECEIVED,99cda5a7-8698-474b-b4e2-6d036cb5c902,e344dc52-e023-47fd-b760-acb031d79886,c5,c3,27,p3,?,surb={'id': 'c040fc92-6668-4d6f-88f9-8a19baa59d7a', 'route': ['p3', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769482751.067714,SENT,d8ac2d81-34d9-4bbf-89c1-685f5146253e,7f0ff7c8-3d40-4aea-99b3-036ec92ca65a,c3,c5,3384,?,p3,
1769482751.0678594,CREATED,6b046ca4-67ca-4944-93d0-ab99106390f7,12fb8bc3-30fa-4c1e-870a-3ba5dc81d836,c3,c5,27,?,?,surb={'id': '5f97d38f-fb33-47f9-8fad-48774a216f47', 'route': ['p2', 'e4', 'i1', 'x4', 'p3', 'c3']}
1769482751.299244,RECEIVED,2c5607b9-6026-4b76-b641-0740309c3109,e344dc52-e023-47fd-b760-acb031d79886,c5,c3,27,p3,?,surb={'id': 'c040fc92-6668-4d6f-88f9-8a19baa59d7a', 'route': ['p3', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769482751.5672956,SENT,7d22d440-3b65-48ed-8a82-e3f066558e8e,23c46a1d-2e2b-4538-bb91-5448b1c0d08e,c3,c5,3372,?,p3,
1769482751.5674298,CREATED,3e9e8fce-c629-4280-b85a-ded25fb73350,12fb8bc3-30fa-4c1e-870a-3ba5dc81d836,c3,c5,27,?,?,surb={'id': '5f97d38f-fb33-47f9-8fad-48774a216f47', 'route': ['p2', 'e4', 'i1', 'x4', 'p3', 'c3']}
1769482751.9205244,RECEIVED,e599d37a-32ce-418b-b6d7-56ae9332aac5,c811e84b-6fab-4cdd-b64e-d1957f5cca75,c5,c3,27,p3,?,surb={'id': 'a51a7883-5fce-49b9-b421-6a07a801d056', 'route': ['p3', 'e3', 'i9', 'x6', 'p2', 'c5']}
1769482752.2823105,RECEIVED,f931cec4-2f13-4537-b307-480a915bd03c,471e3f4c-ddb0-4ed3-9367-149e28255042,c5,c3,27,p3,?,surb={'id': 'e88f38d4-5501-4b6a-9c49-fa7259607911', 'route': ['p3', 'e2', 'i7', 'x2', 'p2', 'c5']}
1769482752.6436338,SENT,52c2f6e4-e4a9-4631-b099-d563f7724f3a,b2c64b1c-8534-4b41-aa26-ef9568f7053d,c3,c5,3395,?,p3,
1769482752.643769,CREATED,05af047f-5cf3-420f-a45a-7b3cbe5f22d7,48fd7ac7-a0dc-47f2-a0e3-f73a28293615,c3,c5,27,?,?,surb={'id': '78f3f2b1-82d0-4782-a189-58c75d50e597', 'route': ['p2', 'e11', 'i7', 'x9', 'p3', 'c3']}
1769482752.6892805,RECEIVED,da91470d-d3d4-4120-aeac-26482a18040f,b1c88e6e-251f-4f4e-91c9-2c981034d83a,c5,c3,27,p3,?,surb={'id': '90147830-977c-4139-8647-b48643479662', 'route': ['p3', 'e1', 'i3', 'x6', 'p2', 'c5']}
1769482752.7229629,SENT,0dfa46bd-ef73-46e8-aacd-17d976af1f80,972cf231-3106-44a9-8df6-cdb3fcf382ac,c3,c5,3402,?,p3,
1769482752.7231238,CREATED,badeac40-2d84-4dc7-97b8-6c484b2648ca,48fd7ac7-a0dc-47f2-a0e3-f73a28293615,c3,c5,27,?,?,surb={'id': '78f3f2b1-82d0-4782-a189-58c75d50e597', 'route': ['p2', 'e11', 'i7', 'x9', 'p3', 'c3']}
1769482752.723493,RECEIVED,e471023a-7d3c-404b-a15e-2284c107dfb4,547aa11b-03e9-4ae1-a8af-e0075c770b06,c5,c3,27,p3,?,surb={'id': '995438ff-cdc0-42d4-90bb-349284e68256', 'route': ['p3', 'e5', 'i10', 'x12', 'p2', 'c5']}
1769482752.8728461,SENT,41ca0436-f668-4324-a68b-e4ab321d0793,8edbe427-3fb7-47d3-9b95-4b6dcecfcc81,c3,c5,3400,?,p3,
1769482752.8729794,CREATED,3dbb7028-a5ea-45c3-a8f9-350ccb1d4564,2c0a45da-139c-4c9a-981a-c701dc832cdd,c3,c5,26,?,?,surb={'id': '4c9ed05a-6872-40b6-b296-459dc2d67629', 'route': ['p2', 'e12', 'i11', 'x1', 'p3', 'c3']}
1769482753.2376199,RECEIVED,26206bb2-0b84-4eb3-ace3-e1a105e95f93,471e3f4c-ddb0-4ed3-9367-149e28255042,c5,c3,27,p3,?,surb={'id': 'e88f38d4-5501-4b6a-9c49-fa7259607911', 'route': ['p3', 'e2', 'i7', 'x2', 'p2', 'c5']}
1769482753.4785457,RECEIVED,001fd9bb-2e92-4b28-9d22-da47edf3fa1a,b1c88e6e-251f-4f4e-91c9-2c981034d83a,c5,c3,27,p3,?,surb={'id': '90147830-977c-4139-8647-b48643479662', 'route': ['p3', 'e1', 'i3', 'x6', 'p2', 'c5']}
1769482753.6527977,RECEIVED,fb7a6354-22e4-4c41-97a6-15eb79319c41,4100d310-1b47-42c9-9086-99f79e42bf38,c5,c3,27,p3,?,surb={'id': '9e36fdad-b89b-48e3-a739-6c627f027d6b', 'route': ['p3', 'e7', 'i6', 'x10', 'p2', 'c5']}
1769482753.984591,RECEIVED,8b32320b-9482-4d6c-bfb9-688846d5f93a,ce62b610-44f4-40fd-afa7-05217d07d332,c5,c3,27,p3,?,surb={'id': 'daa9523e-f40e-4ce9-aace-7baec78ac665', 'route': ['p3', 'e11', 'i2', 'x10', 'p2', 'c5']}
1769482754.0991473,SENT,38f2a0cf-624d-4ead-91c4-3d75dd36a610,5178ae1a-d7ce-4e90-93ad-5d38f33f99e4,c3,c5,3376,?,p3,
1769482754.0992794,CREATED,87c2968e-9ae8-4cd6-9e02-17bd04698031,2c0a45da-139c-4c9a-981a-c701dc832cdd,c3,c5,26,?,?,surb={'id': '4c9ed05a-6872-40b6-b296-459dc2d67629', 'route': ['p2', 'e12', 'i11', 'x1', 'p3', 'c3']}
1769482754.2473526,RECEIVED,3f986976-ecda-4d11-8377-26bd6929db5b,6c01d0b9-2ad5-4f6e-9d74-7fa67f6f2a8f,c5,c3,27,p3,?,surb={'id': '2ece219c-1eb4-4089-b8e0-ae675367865f', 'route': ['p3', 'e5', 'i9', 'x3', 'p2', 'c5']}
1769482754.6836567,SENT,0463968e-0ad3-4ae6-a212-b59c3207b087,582767cf-34d3-40b8-b1ec-11b3579dd29d,c3,c5,3375,?,p3,
1769482754.6837974,CREATED,878dc7ba-13a4-400b-ba67-eeb6b489a5c8,6b900f1a-c6bf-4366-a4a1-224112f6e383,c3,c5,27,?,?,surb={'id': 'ae7b16b2-27d8-41cd-adf6-2cb28d9a4036', 'route': ['p2', 'e9', 'i4', 'x5', 'p3', 'c3']}
1769482755.1220696,RECEIVED,d6fa0220-a637-417d-a7c0-3020b4db566d,ce62b610-44f4-40fd-afa7-05217d07d332,c5,c3,27,p3,?,surb={'id': 'daa9523e-f40e-4ce9-aace-7baec78ac665', 'route': ['p3', 'e11', 'i2', 'x10', 'p2', 'c5']}
1769482755.4375198,SENT,6bcac185-bdc0-482a-8551-720336b452d0,6e8aec16-56e9-4d1a-bebe-243039740f9e,c3,c5,3356,?,p3,
1769482755.4376695,CREATED,0c12c824-11c8-4ad8-bf1e-2348b2e4c83c,6b900f1a-c6bf-4366-a4a1-224112f6e383,c3,c5,27,?,?,surb={'id': 'ae7b16b2-27d8-41cd-adf6-2cb28d9a4036', 'route': ['p2', 'e9', 'i4', 'x5', 'p3', 'c3']}
