timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769756559.0213645,SENT,2257321d-44be-44ce-8460-64e2ea9399ae,4b705084-6dec-4bf5-9b5c-600d078e8774,c2,c1,3375,?,p2,
1769756559.0214887,CREATED,4a8dd90c-5964-4616-982a-aae1f9d1a374,caf13cee-bb3b-48e3-a3f7-1d3390757b06,c2,c1,27,?,?,surb={'id': 'c2ff6e4b-1349-4154-9804-195ab099f740', 'route': ['p1', 'e11', 'i6', 'x7', 'p2', 'c2']}
1769756559.375482,SENT,45bbc293-fe2b-40d2-bbeb-83819a21432e,afa39773-9a4c-4c2a-9b5b-949af3416ac3,c2,c1,3358,?,p2,
1769756559.3756151,CREATED,58cc053a-4057-435c-8113-ff98c9ec8abc,5653e9b3-bf41-4b59-90ed-4de597522b0a,c2,c1,26,?,?,surb={'id': '66b08e7e-e06e-468b-84e9-b4619ba6feb0', 'route': ['p1', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769756559.403899,RECEIVED,da1479c1-8770-4dcb-b432-d8d6ea1d8668,9281e13a-7528-4f83-9095-33d1ed8b3e86,c5,c2,26,p2,?,surb={'id': '465f26d5-a4aa-4d96-a5e4-98087c37d3b0', 'route': ['p2', 'e5', 'i5', 'x4', 'p2', 'c5']}
1769756559.5374403,SENT,45b23dcf-4659-4c2a-9d83-37f5a4852f5d,4a01d38b-f164-4f3d-b8e0-7ef424438c34,c2,c1,3360,?,p2,
1769756559.5375721,CREATED,adb9952d-e2d6-4280-92a7-3fbdcc0a5fdc,659bd291-6908-4220-bc38-06f9949be805,c2,c1,27,?,?,surb={'id': 'dafaf170-089f-4539-b3d4-3b704c49ba81', 'route': ['p1', 'e10', 'i7', 'x7', 'p2', 'c2']}
1769756559.6376896,SENT,9955ed4b-3a53-4633-9934-3e94f3629aa5,4cc792a7-cc96-473b-bd2a-a70c313180e9,c2,c1,3395,?,p2,
1769756559.6378043,CREATED,e0d3024c-177d-4fe4-aa38-3d6d9646e48e,d430668d-590b-4bf0-8c8f-4230b49d6bd0,c2,c1,27,?,?,surb={'id': '62dd9869-c295-4e74-9b65-7a491ac80c41', 'route': ['p1', 'e3', 'i5', 'x11', 'p2', 'c2']}
1769756559.669483,SENT,a071f366-82a4-4b64-9510-4629275d3df5,3fd9e304-bac1-427c-af8a-0bc9872a725b,c2,c1,3396,?,p2,
