timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763343.0734625,RECEIVED,e681f61d-fb82-4311-8c70-646df142be6d,6ab2b439-a3e6-49ac-84e3-19b9b96e672d,c3,c4,26,p1,?,surb={'id': '421a06ca-1fcb-433d-b4a9-3b50b82bc3c7', 'route': ['p1', 'e8', 'i3', 'x9', 'p3', 'c3']}
1769763343.175725,RECEIVED,14133462-fca1-44bb-983c-9a91f25dacca,9ffa33ed-3013-490f-9e9e-6adb04d6081e,c3,c4,26,p1,?,surb={'id': 'bd7fac14-ae7d-4c65-80a0-2adb30d98bca', 'route': ['p1', 'e10', 'i3', 'x7', 'p3', 'c3']}
1769763343.2687163,RECEIVED,09959b31-b340-4ff6-a640-d514d886c37c,c0cce588-6fec-459a-9368-f0c4104d2cdc,c3,c4,27,p1,?,surb={'id': '06dc3da2-52b1-46bf-8483-d78523c8e5fc', 'route': ['p1', 'e1', 'i1', 'x11', 'p3', 'c3']}
1769763343.35441,RECEIVED,f2c50a8d-32e6-4379-804d-e26f187a4626,f09c72b9-d98c-48c4-8e8e-167ba5189fd5,c2,c4,27,p1,?,surb={'id': '560ddb65-e707-4d4e-8cd6-5b1d5c2c52d8', 'route': ['p1', 'e3', 'i9', 'x12', 'p2', 'c2']}
1769763343.5089626,RECEIVED,0d237d86-b4d2-41b2-9c92-6f97da570824,af003283-53b2-4686-8b40-eb1dcfa79857,c3,c4,27,p1,?,surb={'id': '9e3d878b-e72d-4324-9429-f1f4d2e12583', 'route': ['p1', 'e5', 'i3', 'x9', 'p3', 'c3']}
1769763343.7145362,RECEIVED,d63e8e11-fcf3-42f3-adec-b326691e104a,f52c1590-7d69-4f53-ad4f-f253da462e86,c2,c4,27,p1,?,surb={'id': 'f2ef510a-1afc-4514-a18d-2e6c0bc3597e', 'route': ['p1', 'e10', 'i5', 'x10', 'p2', 'c2']}
1769763343.7900305,SENT,9cb8133b-0313-4d4a-a538-0d9f17da9645,3e998ab9-b0c1-42e6-8dc3-fac3449a7989,c4,c3,3384,?,p1,
1769763343.7901957,CREATED,b675490e-ff31-4822-b6b7-49fea25467c4,d17d704d-a4f1-404f-beae-e54bfa50bb8a,c4,c3,27,?,?,surb={'id': '73273beb-3267-4094-a215-4c5e1d3d4c09', 'route': ['p3', 'e4', 'i11', 'x6', 'p1', 'c4']}
1769763344.1602998,SENT,d3ab720f-05e3-4cc7-a81d-c23ff99f4461,24553400-83ea-49b9-ae06-9ea7e92a575b,c4,c3,3384,?,p1,
1769763344.16045,CREATED,79febdab-817d-40fe-80d7-55dc544cf997,3e2c7b70-5a26-4a08-a38f-38cc973a38b3,c4,c3,26,?,?,surb={'id': '4d4e0c0a-6c22-4081-a7c3-cac49f3c517d', 'route': ['p3', 'e6', 'i8', 'x2', 'p1', 'c4']}
1769763344.2156196,SENT,315746f2-4af0-470a-baaa-8922d57c1912,beb4e7cb-d000-4324-bea1-30f19a4da5af,c4,c3,3380,?,p1,
1769763344.2157679,CREATED,ee3cc991-cecb-4442-9f9a-b813b0f96163,bee68220-e245-46d0-81cf-1d5c8247f969,c4,c3,27,?,?,surb={'id': 'b35a3a73-57a9-444e-b921-673deca70b6c', 'route': ['p3', 'e9', 'i5', 'x3', 'p1', 'c4']}
1769763344.351386,SENT,82c6e863-2be7-4990-bf3f-7e48e8ed2829,e1e7f2ff-7297-412c-b753-62f5c762b1dc,c4,c3,3376,?,p1,
1769763344.3515427,CREATED,fca1ffe3-b009-40f5-ba5c-023370dcff7a,389236ce-e6c3-42c8-aa80-314351448f11,c4,c3,26,?,?,surb={'id': '9fc42fe7-4715-4b3e-be63-58482679ca23', 'route': ['p3', 'e4', 'i11', 'x4', 'p1', 'c4']}
1769763344.5287614,SENT,da1ecb1b-fcd2-455c-a72a-8f8b737fae4e,03e3a9e0-7636-451b-84c6-d0bd19bc891a,c4,c3,3371,?,p1,
1769763344.5289762,CREATED,7206f52e-1ca1-488f-b999-61f1e8119f88,3030ea01-635d-4234-b3a7-d34700f82752,c4,c3,27,?,?,surb={'id': '274ea5aa-d2b7-4fda-8054-f5c4fa5aa97b', 'route': ['p3', 'e10', 'i6', 'x6', 'p1', 'c4']}
1769763344.8920557,SENT,6c5ab3ba-0822-4a27-a711-1139790100a8,f890ad6f-bf1b-40a9-9c93-257ed3c7336a,c4,c3,3380,?,p1,
1769763344.8921914,CREATED,36b84afb-034d-4167-bfac-888ac06c1163,74ab5233-c81b-486b-97a8-bbc3f64daf97,c4,c3,27,?,?,surb={'id': '72d762da-99ba-4fa9-900e-122599a3b49c', 'route': ['p3', 'e9', 'i12', 'x5', 'p1', 'c4']}
1769763344.9017143,SENT,84d77e5a-a38a-41e1-9e4f-33f0206127e0,dade825c-f6fc-44d5-b6ec-7edbdcc86fa9,c4,c3,3375,?,p1,
1769763344.9018478,CREATED,5268c61b-dcf7-4663-bb6f-69785ef1ee77,21b2eacf-959a-4f24-9d75-179d18d9a72a,c4,c3,27,?,?,surb={'id': '85f2470b-b236-498f-bb74-a7afc1035705', 'route': ['p3', 'e2', 'i8', 'x2', 'p1', 'c4']}
1769763345.0445151,RECEIVED,53eac6b2-a1e0-4fbe-83ca-7b724f64e11a,83a34dba-a98c-48b1-83eb-823032e626fe,c3,c4,26,p1,?,surb={'id': 'f7a7c4bd-db20-482e-a2ae-90bcacf5629e', 'route': ['p1', 'e9', 'i12', 'x3', 'p3', 'c3']}
1769763345.1446323,RECEIVED,3838a608-ee5c-4f96-93b2-7e260f25ab58,b8db3ae7-a679-4093-86d1-230d4f58a688,c3,c4,27,p1,?,surb={'id': 'edeb0c13-f76f-4229-932b-0bf72ea67d13', 'route': ['p1', 'e8', 'i5', 'x7', 'p3', 'c3']}
1769763345.1508682,SENT,ec57c009-27fe-4343-9f28-3b95214e63e9,0738d1ed-fa0c-4a61-b73f-96e24978202b,c4,c3,3384,?,p1,
