timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763342.4056153,RECEIVED,ece2b087-a48f-4b22-84cd-9d7cf3ed14bc,37d20326-4dda-4a79-bbf1-62f6d4daed70,c4,c3,27,p3,?,surb={'id': '4d772996-f3f9-40ac-b975-0e3923841605', 'route': ['p3', 'e6', 'i1', 'x3', 'p1', 'c4']}
1769763342.5721219,RECEIVED,3014c2ef-a9f2-453a-a040-0282ea848177,f2ca2fca-c604-40e6-9bc9-72bbc7438c82,c4,c3,27,p3,?,surb={'id': 'df585a30-4505-456c-aa0b-138c2ad4aa46', 'route': ['p3', 'e5', 'i8', 'x9', 'p1', 'c4']}
1769763342.5823333,RECEIVED,c5c96ca3-c2b0-4e02-9085-006a3d31cbdf,0c64ebe5-2caf-4a88-86cb-ed8d5d97c834,c1,c3,26,p3,?,surb={'id': 'b8da638a-7fb7-4bd4-a1ff-481999dc8e42', 'route': ['p3', 'e6', 'i8', 'x12', 'p1', 'c1']}
1769763342.5947776,RECEIVED,0861618c-0cd8-4ee0-9513-0db66fcc8b53,b91afc3f-f2c3-4e64-b856-b3bee0765ba4,c4,c3,27,p3,?,surb={'id': '0953230d-e77e-4487-bf4a-852b1f7c1208', 'route': ['p3', 'e6', 'i12', 'x5', 'p1', 'c4']}
1769763342.6615055,RECEIVED,1c1f8812-cdc5-40e9-8add-14aa1dc5ab82,b5b1347b-257e-477d-8008-de8277d9ef7c,c4,c3,26,p3,?,surb={'id': '9e87d84a-1d5d-495d-991e-32a002bc851a', 'route': ['p3', 'e7', 'i10', 'x3', 'p1', 'c4']}
1769763342.6683414,RECEIVED,c648d7ac-4b6f-4c5d-9233-be8afd953157,1d7b4a6b-6148-4934-9e13-c18588d07112,c1,c3,27,p3,?,surb={'id': 'a5043371-0e29-4cf3-bac3-a377ea9e4a0f', 'route': ['p3', 'e1', 'i3', 'x3', 'p1', 'c1']}
1769763342.9061182,RECEIVED,4ab2f8e4-ccd2-4914-ab4a-af6f6e2c46ae,22116006-f70d-4a73-b00f-680bdcfa8048,c4,c3,27,p3,?,surb={'id': '12c606a7-4d92-4061-9342-d6fdd5c606d3', 'route': ['p3', 'e3', 'i2', 'x1', 'p1', 'c4']}
1769763343.1486967,RECEIVED,ac922d66-6ed9-432a-9fbd-dad152b8598d,bc6499ad-34fc-44d9-a368-1d038bfbe444,c1,c3,27,p3,?,surb={'id': '5a81d377-5600-4f80-8a0d-f4b5c306467d', 'route': ['p3', 'e10', 'i5', 'x2', 'p1', 'c1']}
1769763343.1977837,RECEIVED,e38fc128-7f9f-4901-8c9e-871c58aaa8c4,2751852f-1152-4258-bfb6-824cab21a854,c4,c3,27,p3,?,surb={'id': 'ded53272-f272-4626-82e1-32b5ed8342fb', 'route': ['p3', 'e6', 'i11', 'x5', 'p1', 'c4']}
1769763343.2241325,RECEIVED,a285037d-93c8-400b-9f02-94111911df32,659cb18b-e2ed-4ffe-99c2-d3474fa90989,c1,c3,25,p3,?,surb={'id': '6eea2d69-7b57-46f6-81cd-fdef86762898', 'route': ['p3', 'e5', 'i1', 'x8', 'p1', 'c1']}
1769763343.3275585,RECEIVED,8422df11-654c-45e8-bc7a-4968c2972903,d97aa84d-3da5-474a-abcf-65a3c38b9ee8,c1,c3,27,p3,?,surb={'id': '0c0e3d75-6b80-4bb9-bcb3-d8526fb367a8', 'route': ['p3', 'e1', 'i9', 'x9', 'p1', 'c1']}
1769763343.3579454,RECEIVED,da75fb8b-3d41-4e72-bcb4-8840ca38c455,82e6a3c2-65c4-44a1-9a4d-9120c67ed79f,c1,c3,27,p3,?,surb={'id': 'ba9016ea-c430-4e15-999c-a9ff0ebd26a9', 'route': ['p3', 'e1', 'i10', 'x1', 'p1', 'c1']}
1769763343.4845037,RECEIVED,481b47f6-f5df-4928-9af9-6261147ff529,2a5b01bd-629d-4e88-8945-cfb5e9304807,c1,c3,27,p3,?,surb={'id': '953a6122-06e1-4178-b163-85342808f798', 'route': ['p3', 'e12', 'i7', 'x2', 'p1', 'c1']}
1769763343.8298943,RECEIVED,1d67efa3-3d4d-446c-b46c-6afaf8a22f6b,7dd20566-e6f6-4e93-8a00-129db82c9484,c1,c3,27,p3,?,surb={'id': '598ee80e-1f6d-425c-8004-9fbd5b59da4c', 'route': ['p3', 'e11', 'i9', 'x7', 'p1', 'c1']}
1769763343.9841166,RECEIVED,ab2fc692-ef04-4888-b5a6-d16c2f6f1080,e77fe785-507f-4719-9c77-26db56c6b6d8,c4,c3,26,p3,?,surb={'id': '21987f27-9eb1-4534-9846-922baf74f8b7', 'route': ['p3', 'e5', 'i2', 'x1', 'p1', 'c4']}
1769763344.0415611,SENT,fc96f6d7-4ee9-4e8c-9cae-f9abf3ece28f,df3b5439-64b8-4e00-b518-bfd7ef16aad0,c3,c4,3375,?,p3,
1769763344.0416958,CREATED,cdb7b491-c380-4a71-acae-cc25528c35ac,4bb022b0-1489-4b57-86b2-6156be496eac,c3,c4,26,?,?,surb={'id': '5d23cb00-bd92-43d4-9fea-2863c551044a', 'route': ['p1', 'e4', 'i9', 'x8', 'p3', 'c3']}
1769763344.057931,RECEIVED,4860a133-5b8d-47d5-932e-f8f25d5012d0,2e95b903-33bc-4ebd-b489-6b32991d318b,c4,c3,26,p3,?,surb={'id': '80170adf-af6a-47b7-9ecf-2f4a6ae4153b', 'route': ['p3', 'e3', 'i5', 'x6', 'p1', 'c4']}
1769763344.0647094,RECEIVED,933079ef-c5bb-490a-a38c-ddac133a21f0,a35295da-2f98-43cd-abe9-04d9d2380c95,c1,c3,26,p3,?,surb={'id': 'b623e44e-31cb-48ec-85f0-dbc013d3016d', 'route': ['p3', 'e3', 'i4', 'x6', 'p1', 'c1']}
1769763344.4787805,SENT,3fd1caa9-2ffd-41af-aef3-f11cd1c563a5,75bb461a-f023-46fe-ba09-5653901eae26,c3,c4,3380,?,p3,
1769763344.478944,CREATED,53eac6b2-a1e0-4fbe-83ca-7b724f64e11a,83a34dba-a98c-48b1-83eb-823032e626fe,c3,c4,26,?,?,surb={'id': 'f7a7c4bd-db20-482e-a2ae-90bcacf5629e', 'route': ['p1', 'e9', 'i12', 'x3', 'p3', 'c3']}
1769763344.613556,RECEIVED,ea93431b-f13c-40f8-b579-139a1c033b1d,15e05c97-f4e2-4049-9ff1-5fc50e365c7b,c4,c3,27,p3,?,surb={'id': '48128eeb-4981-4ae8-8550-fc4c93906b53', 'route': ['p3', 'e3', 'i2', 'x9', 'p1', 'c4']}
1769763344.6935372,RECEIVED,1bc76727-bcd8-4f4a-82f4-5d01eb0d1b5c,acdd4779-63f7-46e0-8f3b-c3abb16a2a57,c4,c3,27,p3,?,surb={'id': '265c2a1e-a136-449f-999e-e7824ce5100a', 'route': ['p3', 'e9', 'i5', 'x5', 'p1', 'c4']}
1769763344.8997252,RECEIVED,ed82938a-59c9-4a1d-a771-85cec820deb6,581b7089-a273-4e6f-88f5-1a6ce63f38c6,c4,c3,27,p3,?,surb={'id': 'b480a8da-beca-4ced-8c4a-5879fbd49b78', 'route': ['p3', 'e11', 'i11', 'x12', 'p1', 'c4']}
1769763344.9097474,SENT,f8f3f918-6d77-4526-9b50-11c3e1ceab7b,23eb0944-fb83-44c6-bf5c-bcc16607e714,c3,c4,3374,?,p3,
1769763344.9098957,CREATED,7ad56907-a883-45a0-9c30-76d9ce628def,b83bb29f-a82e-4e5f-aab4-0a37bad5a2bc,c3,c4,27,?,?,surb={'id': '5b40236c-834b-433d-8ca9-0e437e1f3dff', 'route': ['p1', 'e7', 'i8', 'x9', 'p3', 'c3']}
1769763345.1571097,RECEIVED,cb042f31-0099-40d4-a190-3af9249afc5a,bd049c01-e8e3-4dd8-bdc1-f999c16c272b,c1,c3,27,p3,?,surb={'id': 'c4fcdc51-de2a-4475-861e-603615525939', 'route': ['p3', 'e3', 'i9', 'x6', 'p1', 'c1']}
1769763345.308842,SENT,af5a82d7-4d0f-439a-86ea-a0391c83b6c0,de097fe3-858b-4c2e-ab16-da5e69fc3916,c3,c4,3375,?,p3,
1769763345.3089743,CREATED,042fcf97-fc33-4fdf-b631-cfefd32c0133,1a867151-0524-466e-9661-1d7b7159428b,c3,c4,27,?,?,surb={'id': 'c2f12650-05f5-4b3b-85ad-7637d0679dae', 'route': ['p1', 'e7', 'i4', 'x8', 'p3', 'c3']}
1769763345.4360783,RECEIVED,1fdff2e7-a3ea-4a3c-9c55-40cead82c02e,7aa3fc1d-cbd6-4372-9506-5bcf76aae339,c4,c3,27,p3,?,surb={'id': 'd0ddeccc-1954-41df-8705-db5e9900ba07', 'route': ['p3', 'e12', 'i12', 'x9', 'p1', 'c4']}
1769763345.9069016,RECEIVED,86369787-b286-4d7e-a2d7-4dc28cc55eeb,40eabc7e-44af-4a4b-9873-54ae0bb9402b,c1,c3,26,p3,?,surb={'id': '23da76e4-18b2-48bf-b16d-403d256e8dd4', 'route': ['p3', 'e9', 'i11', 'x9', 'p1', 'c1']}
1769763345.9235086,SENT,97e29c86-d2c6-4b1e-9d7f-841052b8d872,494a97ac-e290-479c-bdcc-a467eeeee431,c3,c4,3388,?,p3,
1769763345.9236577,CREATED,04f34a25-95cd-4fd1-95c7-19754ecae87b,33f18243-160c-4931-82fa-56f78f035e77,c3,c4,26,?,?,surb={'id': '64bcd55d-fd4b-4f6e-b844-781c1003cc32', 'route': ['p1', 'e12', 'i9', 'x12', 'p3', 'c3']}
1769763345.954662,RECEIVED,b675490e-ff31-4822-b6b7-49fea25467c4,d17d704d-a4f1-404f-beae-e54bfa50bb8a,c4,c3,27,p3,?,surb={'id': '73273beb-3267-4094-a215-4c5e1d3d4c09', 'route': ['p3', 'e4', 'i11', 'x6', 'p1', 'c4']}
1769763345.9632456,RECEIVED,e7b7b040-43fc-4be3-8edf-26ed989b33da,8c9d7449-256a-41f7-909c-98a3b7bc6b56,c4,c3,27,p3,?,surb={'id': '93201fd6-aee0-4bb9-b96e-246c7358c765', 'route': ['p3', 'e10', 'i8', 'x9', 'p1', 'c4']}
1769763345.9765189,RECEIVED,74971bed-50e9-4b78-b3f8-e3512cc261e9,bbd263c3-5939-47d4-a99d-7eff99582a2b,c1,c3,27,p3,?,surb={'id': '3e731344-b13f-44f4-b17b-cdbcfc83995c', 'route': ['p3', 'e10', 'i11', 'x7', 'p1', 'c1']}
1769763346.1763725,SENT,d1833e74-ad92-4d86-9403-5663f0fe741c,f671d213-1e16-411d-a05d-f61567548278,c3,c4,3395,?,p3,
1769763346.1765077,CREATED,7f0a4c74-4561-49f9-8dcc-e6a9db8a1eae,b8e4583f-d77b-49f3-95d6-8b68db68afd8,c3,c4,27,?,?,surb={'id': '3b2d1335-00bc-4eb3-a9e9-3fdfd2e64650', 'route': ['p1', 'e2', 'i12', 'x2', 'p3', 'c3']}
1769763346.3609893,SENT,fcb003b2-c407-49a1-bae8-b0f0b1fb6f20,5c50f11e-75b9-4545-8b59-329cb490fe43,c3,c4,3384,?,p3,
1769763346.361175,CREATED,ca288f32-cad6-4c20-9e58-dd5d8da2dfb0,fc1389dd-7b29-436f-a130-eb176eeb4278,c3,c4,27,?,?,surb={'id': 'bc6cbc5a-e302-4d52-a877-18bce9260f56', 'route': ['p1', 'e2', 'i9', 'x10', 'p3', 'c3']}
1769763346.5722878,RECEIVED,feba9c02-5efb-40ea-950a-2d1b3a59d3b3,fdc6edf7-89bb-45d9-9ff9-b7cce6290b80,c4,c3,27,p3,?,surb={'id': 'e8bb01dd-2df7-40bc-ae77-0668ffe279fe', 'route': ['p3', 'e3', 'i7', 'x11', 'p1', 'c4']}
