timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443882.8888478,RECEIVED,51a031ab-e32f-4454-90e8-eced449d51fd,3e6913ac-fa72-424f-96e2-e193a2b2e650,c1,c3,26,p3,?,surb={'id': 'b93b7f28-cc5d-4cf3-a0c8-574322b1ff16', 'route': ['p3', 'e7', 'i2', 'x11', 'p1', 'c1']}
1769443883.138997,RECEIVED,c0ba0edd-de6b-43c7-bb5d-28003afc3f28,5e3f45ab-579c-4671-b910-11c185de515e,c2,c3,27,p3,?,surb={'id': '223766fa-eade-4a3c-886a-0b7bd1f1b5d7', 'route': ['p3', 'e9', 'i8', 'x11', 'p2', 'c2']}
1769443883.144943,RECEIVED,be0099b8-9169-4d3a-95a6-8ce403b51b0f,109b6985-ffc2-4237-8f21-abf2c2ae0046,c1,c3,26,p3,?,surb={'id': '768851ff-1b3d-499d-9e4d-69cfbfd678a6', 'route': ['p3', 'e10', 'i3', 'x10', 'p1', 'c1']}
1769443883.2148597,RECEIVED,05b5fb18-67f7-4725-915b-3fdd200f5df9,126e6776-6441-41a2-97af-bb1513c5a461,c1,c3,27,p3,?,surb={'id': 'fcb5290c-771e-4530-8a81-7bf0f055226f', 'route': ['p3', 'e7', 'i8', 'x3', 'p1', 'c1']}
1769443883.4586656,RECEIVED,3f0b0611-2801-4079-9310-78c776d5730f,04e47ab3-2d86-4331-a7fa-7df45480ff0e,c2,c3,27,p3,?,surb={'id': '74ee849b-7dd0-456e-b754-ff454321edcd', 'route': ['p3', 'e4', 'i4', 'x7', 'p2', 'c2']}
1769443883.6177847,RECEIVED,ec3b28d4-8c58-4a24-ab84-d17169245e69,302ea42a-222b-4358-8957-951f0ddddfbe,c1,c3,27,p3,?,surb={'id': 'a8080f5b-161b-40fb-957c-41aa23326894', 'route': ['p3', 'e11', 'i6', 'x12', 'p1', 'c1']}
1769443883.7745879,SENT,dfd09a0a-5879-45b4-9cc2-1444158b2f80,53836dcd-37b1-41e8-9fa6-e10b1316e08b,c3,c5,3364,?,p3,
1769443883.774736,CREATED,46d4bbc0-47d1-40f1-bd03-0993b12148fb,0402d9af-41c1-4d5c-95a2-878fe7426348,c3,c5,27,?,?,surb={'id': 'c11319c2-9eb8-42ec-8cf4-041d728586a1', 'route': ['p2', 'e7', 'i9', 'x8', 'p3', 'c3']}
1769443883.9298747,RECEIVED,74e57680-4238-427c-a391-c7b96bf8d912,01e9e934-34e9-42da-a858-bee21588e8a2,c1,c3,27,p3,?,surb={'id': '4981ce7d-91a5-475d-8a64-9828c2a988a8', 'route': ['p3', 'e11', 'i2', 'x3', 'p1', 'c1']}
1769443884.0973794,RECEIVED,2da90fc9-64d0-4003-96e5-a6a064ff0d33,c6cbb965-98e7-40e9-94df-be703db9511c,c2,c3,27,p3,?,surb={'id': '7f4e2ad2-dd31-4716-9949-e07fe82eabe9', 'route': ['p3', 'e5', 'i9', 'x12', 'p2', 'c2']}
1769443884.2869823,SENT,4f7fdb0b-b68f-438a-bd7d-ff805c03e1b9,b373111f-4116-4aa2-a554-2f04b99d929a,c3,DROP,2032,?,p3,
1769443884.287167,CREATED,13297905-21ef-4bed-a4fe-84561e91ac05,a77127be-98cf-4d2b-9ee0-82dceada28ab,c3,DROP,27,?,?,
1769443884.3353913,RECEIVED,1f0e6ebb-3582-48cd-afe3-5684bf737409,f7e4fd04-dc4c-4813-b361-c19f81430420,c1,c3,27,p3,?,surb={'id': '94d1ffda-af59-4d34-af79-09186e62c552', 'route': ['p3', 'e9', 'i4', 'x11', 'p1', 'c1']}
1769443884.7835703,RECEIVED,5b5e47db-c967-4700-a9dd-f0b258ec95cd,cb758f7f-f2cd-4d5a-80ef-6aa9d8686cf9,c1,c3,27,p3,?,surb={'id': 'f762d14d-9e4a-4c2f-ad99-1d70cbd52197', 'route': ['p3', 'e11', 'i10', 'x7', 'p1', 'c1']}
1769443884.8438146,SENT,fd95b265-fb3d-4d03-884f-09b9630d8902,0048e602-e63a-4b71-8493-989ff8cc7b34,c3,c5,3383,?,p3,
1769443884.8439598,CREATED,cc0d8b2f-5cf5-4e5d-aa17-0f57f0c25c65,52ecc2e8-dc5e-4d6a-82ce-7796cd591145,c3,c5,27,?,?,surb={'id': '9b8e6858-7e71-4e33-b092-065c1713ce9a', 'route': ['p2', 'e8', 'i7', 'x4', 'p3', 'c3']}
1769443884.973338,RECEIVED,aab002d7-d710-42e7-ae0e-e061faddc4ad,415d51c6-99c2-40b1-9d59-d7e4441fb850,c1,c3,25,p3,?,surb={'id': 'f23026e4-1b21-4c20-8a21-55e2373673c2', 'route': ['p3', 'e10', 'i7', 'x2', 'p1', 'c1']}
1769443884.9779227,RECEIVED,6a886747-df5e-43bf-939c-127c14cf250a,62929219-8fff-49c1-a08f-c93dde787067,c2,c3,27,p3,?,surb={'id': '8ac59f69-08c8-40c6-880d-8c0258e51941', 'route': ['p3', 'e9', 'i6', 'x1', 'p2', 'c2']}
1769443884.9975004,SENT,9e50aaae-e8ef-4164-8730-a6e8e705aa1d,7db35d29-fe28-449e-a6d3-1f7d56a84cbd,c3,c5,3399,?,p3,
1769443884.9976614,CREATED,ffc36454-cfdc-4089-90ec-1bb0afd106f6,3a3996b0-a032-4467-8b33-f0ae91ea7952,c3,c5,27,?,?,surb={'id': '5c42260c-0150-4745-8f0f-475e7991c145', 'route': ['p2', 'e11', 'i4', 'x3', 'p3', 'c3']}
1769443885.0245094,SENT,84b1b25b-8d84-47de-adbc-a92005b3ee3a,5fcf67a0-0661-42ea-bf58-d5e0000ab12c,c3,c5,3375,?,p3,
1769443885.0246575,CREATED,6c7e74f8-f1a7-4bf6-984f-3e98c831e27b,6bec0c49-987f-4f13-b817-3695d0bc09fb,c3,c5,27,?,?,surb={'id': 'b87096c9-ad70-4d02-b58e-6384f2941dc4', 'route': ['p2', 'e1', 'i12', 'x6', 'p3', 'c3']}
1769443885.0619156,RECEIVED,b2ee7300-8b7a-4622-8041-d4422a406bc1,376294d3-92bc-403f-8ea0-f43026317d53,c1,c3,26,p3,?,surb={'id': '8547f602-2087-44f4-b170-11f09520165e', 'route': ['p3', 'e5', 'i9', 'x7', 'p1', 'c1']}
1769443885.0657938,RECEIVED,10c123d4-f253-4e3c-9fd0-e05290ecccf2,ea64f20e-7b0e-4fd4-97a1-d5afa2156766,c2,c3,27,p3,?,surb={'id': '98d2225f-1e09-4401-91f4-d69888ce26fc', 'route': ['p3', 'e5', 'i3', 'x11', 'p2', 'c2']}
1769443885.069088,SENT,b7af4bb0-662b-4883-a920-418318f07468,860652a4-7c4c-4da2-a521-991265c58c19,c3,DROP,2019,?,p3,
1769443885.0692291,CREATED,e3234260-d9ef-4fcc-b81f-b9d4b837927f,5e55732a-1192-47ae-92c7-c22ac3c1de92,c3,DROP,27,?,?,
1769443885.1597755,RECEIVED,60bada61-3baf-48e6-b9ad-b16fc4a9463c,62e1b6f1-99f1-4e3e-abde-4ef0fe0c452c,c1,c3,27,p3,?,surb={'id': 'e87e00ad-950c-48bb-b055-e2cf55749945', 'route': ['p3', 'e4', 'i9', 'x11', 'p1', 'c1']}
1769443885.2101398,RECEIVED,d751db7a-2526-4947-a229-55a85844dd7c,cbf86389-05c1-495a-ab0c-1687622b7317,c1,c3,27,p3,?,surb={'id': '2699b84f-39c5-4858-a710-36e9bc120fd0', 'route': ['p3', 'e3', 'i5', 'x3', 'p1', 'c1']}
1769443885.4324427,SENT,b21c60c0-7fef-42ee-92ea-c91f0f2c4034,8328ced8-eb2a-49f7-9447-720b03e28861,c3,c5,3358,?,p3,
1769443885.4325964,CREATED,a67163d9-6669-4aeb-b943-c3e17b3d701d,db7c3205-b27f-43ec-a2b9-08940c16a297,c3,c5,27,?,?,surb={'id': 'e4e09315-be43-4bf0-8cfd-ddf8f6de5807', 'route': ['p2', 'e1', 'i7', 'x3', 'p3', 'c3']}
1769443885.4452138,SENT,a586377a-1190-4e39-ab2f-de012ead13f0,a1d6d7d4-6e81-43ad-a7ce-47375231b278,c3,DROP,2032,?,p3,
1769443885.4453428,CREATED,3cc10c8e-7ff4-4020-897c-0b58ee0a028a,eaf89e26-98bd-409a-972a-98f8272ed14a,c3,DROP,27,?,?,
1769443885.5648842,RECEIVED,9fc76e96-4008-41b3-87dd-63e2252470cf,5ccd0cb6-fb6b-46c0-a814-a63dd514ab1c,c1,c3,26,p3,?,surb={'id': 'c30df600-6da4-4ae3-9840-15bc8fa60df5', 'route': ['p3', 'e12', 'i1', 'x6', 'p1', 'c1']}
1769443885.5801806,RECEIVED,6e478ed2-c58e-4e45-837e-2030408105c4,ff9f211f-2602-484b-8b25-0da1708089b1,c1,c3,27,p3,?,surb={'id': '452853a7-c4c5-42f2-8255-f6420f2dd539', 'route': ['p3', 'e11', 'i6', 'x11', 'p1', 'c1']}
1769443885.5875354,RECEIVED,db0f602d-3434-4e6b-a3ab-0b633f8271d2,933fdf46-eee9-4cc8-bf56-f0c4c80112c9,c2,c3,27,p3,?,surb={'id': 'acbc872d-3944-44cd-848d-e94904057af1', 'route': ['p3', 'e2', 'i5', 'x6', 'p2', 'c2']}
1769443885.7678204,SENT,dc01c04c-2b56-4d69-9911-2bba498cba74,7bb8b0f4-30a0-4077-bd99-4ab75ce9c6a5,c3,c5,3379,?,p3,
1769443885.7679644,CREATED,6fdb9d47-573c-4359-8234-c8903edd2215,04eea575-b92f-4f8a-89c6-317f14ccfe4e,c3,c5,27,?,?,surb={'id': '02e11f88-7510-472d-af71-af91cb6004e2', 'route': ['p2', 'e5', 'i4', 'x3', 'p3', 'c3']}
1769443886.2582097,SENT,07287f66-3fdc-410b-962e-ff61890e7f69,e083cd37-d562-4511-a732-04754c47d3e0,c3,c5,3368,?,p3,
1769443886.2583573,CREATED,6ef19732-3b74-4f3e-9c55-44b956d94430,5366c748-177f-41ec-a4f0-27afcf76deea,c3,c5,25,?,?,surb={'id': 'af59880a-cd12-4240-a0ec-66e7cfd976ed', 'route': ['p2', 'e9', 'i8', 'x12', 'p3', 'c3']}
1769443886.4314613,RECEIVED,0c7d086b-6c49-4194-bb88-26230d583620,d08fd745-185f-40e9-8575-341708455766,c2,c3,26,p3,?,surb={'id': '194f9ec9-37dc-4e0a-84b6-13bce79fbe43', 'route': ['p3', 'e7', 'i5', 'x8', 'p2', 'c2']}
1769443886.53715,RECEIVED,636eced6-2cbf-42fb-93a7-30ac6b3de647,2bcae4f3-269d-4ca1-b33d-1d84ddf65354,c2,c3,27,p3,?,surb={'id': 'd83e8f46-dda5-42c3-9e5d-8175e4d8ca02', 'route': ['p3', 'e10', 'i4', 'x5', 'p2', 'c2']}
1769443886.5423865,RECEIVED,d026891b-61c4-426e-b0ef-825fd4b93c12,1d413c08-137e-4b5b-9ace-578359b9e6b3,c1,c3,27,p3,?,surb={'id': '599a6270-13b7-4061-ae19-2603f8c8c4b6', 'route': ['p3', 'e6', 'i6', 'x9', 'p1', 'c1']}
1769443886.6737373,SENT,e5190215-c8b6-42e8-84f9-ade4ea601499,082bfb50-4e0f-44d2-b432-50b71c239d4e,c3,c5,3396,?,p3,
1769443886.6738842,CREATED,a435026f-5aa8-464f-b19f-88140c02d033,d776788b-673c-4cd8-be7a-172470e10e4a,c3,c5,26,?,?,surb={'id': 'ffa87b58-6f80-4db9-8242-953e33767188', 'route': ['p2', 'e9', 'i7', 'x12', 'p3', 'c3']}
1769443886.7427003,SENT,2062646f-d0de-406f-b685-e7753a36dd5e,165eb430-5cbf-40e3-9575-49b3f811f832,c3,c5,3371,?,p3,
1769443886.7428613,CREATED,774fa945-3995-4f8d-95e6-ddc970a1b1fc,06aa81e6-47ee-4d9e-8351-6f76746d4a1b,c3,c5,27,?,?,surb={'id': '8f1c082b-9639-4064-a07a-93bcebb3314f', 'route': ['p2', 'e8', 'i3', 'x6', 'p3', 'c3']}
1769443886.7715497,RECEIVED,9b7fd59f-f93a-4631-aa19-151bb33fc552,bbec0041-742a-4df3-a0d4-a4b8a0ab2193,c2,c3,27,p3,?,surb={'id': '97484bb2-b776-42a3-8195-bb53ff28558f', 'route': ['p3', 'e6', 'i11', 'x5', 'p2', 'c2']}
1769443886.955101,SENT,295ea4a8-7192-4e7d-8209-9648bcf73d67,11c2cc15-fc15-4bde-be23-487a71d7dbfd,c3,DROP,2043,?,p3,
1769443886.9552295,CREATED,ccaa9bd5-4ec9-41ef-b144-b8c70d70e5e2,b4e40124-c04d-4785-a86a-8f06613225ca,c3,DROP,27,?,?,
1769443886.9651062,RECEIVED,f55970a7-e837-481e-ae86-5b745833c076,462ff3a7-f0ce-4328-a1ff-e73fda8d9a38,c1,c3,27,p3,?,surb={'id': 'ce606813-5957-4e5d-87f0-a84852976b4a', 'route': ['p3', 'e10', 'i10', 'x2', 'p1', 'c1']}
1769443886.9774432,RECEIVED,d33bddee-8f7c-4623-aa76-a871feaa8257,0be28f56-2880-412d-947b-46c941d4a890,c1,c3,27,p3,?,surb={'id': 'edb48d97-c5ac-4877-9b88-aaa299152e12', 'route': ['p3', 'e11', 'i12', 'x4', 'p1', 'c1']}
