timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443888.4767473,SENT,e172954b-57d4-47f0-a8dd-ee2b47b8f1bc,9cfd8d12-ea0b-47a3-80fe-b3bc2398b849,c4,c5,3387,?,p1,
1769443888.4768953,CREATED,764efb8f-f139-4886-bed7-93453a14cce5,97ca481a-78c3-490d-8d98-c956ef2a31d9,c4,c5,27,?,?,surb={'id': 'cf4c600c-437d-4eb7-b8d5-c0c18470e625', 'route': ['p2', 'e6', 'i3', 'x10', 'p1', 'c4']}
1769443888.6033735,RECEIVED,08d025b0-cf80-4467-95ac-1a2f1fc841ce,2fd86b24-4b34-48f4-964e-cef4035146a5,c5,c4,27,p1,?,surb={'id': '014364d3-5f5e-4e9c-85e8-440bd943048c', 'route': ['p1', 'e6', 'i4', 'x4', 'p2', 'c5']}
1769443889.0771904,RECEIVED,8b4353be-eaa1-42ba-963f-b8d50491bea4,361d79f7-e6fe-4c2e-aab0-670008fee114,c5,c4,25,p1,?,surb={'id': 'f9f6dabc-799a-4bce-865a-b3d594031705', 'route': ['p1', 'e2', 'i6', 'x6', 'p2', 'c5']}
1769443889.1239283,RECEIVED,1e553433-f41f-4704-88d3-96f866d063d0,31d13f34-807c-4699-b761-85e9ec25923a,c5,c4,27,p1,?,surb={'id': 'b497ef5c-73e4-48d8-af89-0746a54189ea', 'route': ['p1', 'e11', 'i9', 'x3', 'p2', 'c5']}
1769443889.1854024,SENT,44020e9e-afd0-4dd0-8a5c-ac750fdcfecc,f55ba8bb-4677-499a-86d9-82ba17c50f44,c4,c5,3374,?,p1,
1769443889.185572,CREATED,ebbb4e26-f680-4efd-a45b-bba607f804ea,f3cc6042-af2a-452f-bbd8-f965ae0a5bae,c4,c5,26,?,?,surb={'id': 'd7b90027-35a0-49bc-a614-8abbe94a753e', 'route': ['p2', 'e9', 'i6', 'x6', 'p1', 'c4']}
1769443889.3031101,SENT,aee94df9-2069-404c-9635-390fac58180a,0f0bc9b7-6ffa-483b-b7f0-67bb69900594,c4,c5,3379,?,p1,
1769443889.30327,CREATED,e3ef1097-f2cd-4724-8e28-02dac81f589c,9892e078-c15a-4e80-8656-ff39cbda16ad,c4,c5,27,?,?,surb={'id': '50497530-e844-497c-abdb-cbb04ed1995b', 'route': ['p2', 'e5', 'i3', 'x12', 'p1', 'c4']}
1769443889.513621,SENT,b8caeac7-4ed4-4fdc-ba48-1c8b4bdbefa5,43ae8690-4d75-47ae-809c-b1cfe0ff957d,c4,c5,3383,?,p1,
1769443889.514118,CREATED,1ac032cc-70f8-45d9-8f22-976cc616a814,9ec9151a-ba0d-4e13-baba-6f6ac76c8ad3,c4,c5,27,?,?,surb={'id': 'fc68bb71-a19a-4480-b5fd-4bbac2f2c9bc', 'route': ['p2', 'e9', 'i10', 'x5', 'p1', 'c4']}
1769443890.0198607,RECEIVED,14795a8b-4639-4866-922a-94a584b5aebe,62e0de4c-01d3-490a-853a-5629201655be,c5,c4,26,p1,?,surb={'id': '283215c5-41ca-4087-9e83-bedb38cdebb9', 'route': ['p1', 'e2', 'i6', 'x7', 'p2', 'c5']}
1769443890.0430174,RECEIVED,fecfafe0-20cf-4a47-b0b2-e6da7244e9d0,c2d88852-a8c1-4013-a06c-88a36b5eb8ad,c5,c4,27,p1,?,surb={'id': 'a6302215-ed32-44ec-9998-7bf437dcfd61', 'route': ['p1', 'e7', 'i8', 'x12', 'p2', 'c5']}
