timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443884.502385,RECEIVED,f6740f2d-9375-4b32-a62a-d9972f6513ca,defab508-16e5-433d-b2bb-19478ae3cb26,c3,c5,27,p2,?,surb={'id': 'e12855c6-b7cd-4f62-abf1-62d679110fc8', 'route': ['p2', 'e2', 'i12', 'x1', 'p3', 'c3']}
1769443884.5217772,RECEIVED,87bec8de-a084-405b-a4c0-f98b2f91a420,fe56fe47-79ae-41bc-9010-22db8302152d,c4,c5,26,p2,?,surb={'id': 'e4ebf225-6bf8-4709-91f9-cfcf6be103c8', 'route': ['p2', 'e7', 'i6', 'x2', 'p1', 'c4']}
1769443884.605152,RECEIVED,bd06c759-2693-4a45-9a20-2ec32bd5c8e4,9cb7c618-0c75-4266-90ac-fd532f273ff5,c4,c5,27,p2,?,surb={'id': 'c79355d9-081e-43d3-b732-7e6bbf0b51fb', 'route': ['p2', 'e6', 'i9', 'x9', 'p1', 'c4']}
1769443884.697095,RECEIVED,b82c27a4-bb36-45ca-acbb-3b502c11d320,675746b1-130e-4ff4-90f9-b00e82672cf3,c3,c5,27,p2,?,surb={'id': '9afae168-5a80-4e5e-8b60-e338095368ba', 'route': ['p2', 'e2', 'i3', 'x5', 'p3', 'c3']}
1769443884.8665836,RECEIVED,1c8a56bb-bfad-4bca-9a1f-3d771be4ccaf,7e4e34e6-ce69-413d-9495-fd985fe78dbe,c3,c5,27,p2,?,surb={'id': '5e272174-f6f0-4184-b1bf-6bd366b515d7', 'route': ['p2', 'e12', 'i4', 'x7', 'p3', 'c3']}
1769443884.8749495,SENT,508e4300-423d-40dc-81f5-c3e7a1dd5e3d,56f09e5d-2f3c-4db5-9148-9d2cfdceedd5,c5,c4,3380,?,p2,
1769443884.8751404,CREATED,7d97093a-ddc9-45d7-8068-156aeb43a895,98e5a0f4-7e5d-4ab6-b80d-4e4f1bd8179a,c5,c4,27,?,?,surb={'id': 'c09db455-8f8d-49ca-bcba-b65e6b824e29', 'route': ['p1', 'e12', 'i6', 'x1', 'p2', 'c5']}
1769443884.8838549,RECEIVED,0a2694d8-2db1-4d6c-a48e-5ccdddb0f0d3,fe8aa370-ab09-4d8f-96da-ff2833b633b8,c4,c5,27,p2,?,surb={'id': '29c5fd33-8962-4b0e-a84d-f3b76df2a180', 'route': ['p2', 'e8', 'i3', 'x8', 'p1', 'c4']}
1769443885.3249867,RECEIVED,c8fe4796-b023-4157-a1b8-6b068121004e,ef128fbf-d1b3-44b2-827e-5db7729d4493,c3,c5,27,p2,?,surb={'id': 'bb3f3ff1-fdec-45e6-906c-0476fab7b611', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769443885.7928624,SENT,b362c214-28a3-4bc0-8ee6-599bc2151cbf,d3329ee9-5615-4379-9cdf-d30ceee07fa0,c5,c4,3359,?,p2,
1769443885.7932193,CREATED,8b4353be-eaa1-42ba-963f-b8d50491bea4,361d79f7-e6fe-4c2e-aab0-670008fee114,c5,c4,25,?,?,surb={'id': 'f9f6dabc-799a-4bce-865a-b3d594031705', 'route': ['p1', 'e2', 'i6', 'x6', 'p2', 'c5']}
1769443885.881185,SENT,5ea50760-bdc2-4903-8028-f5d9a55aec37,174e019e-c28f-4a24-b9b5-8a058f4a4fc5,c5,c4,3383,?,p2,
