timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769502491.739921,SENT,4c232b72-7628-4d38-ac23-51e7ea8e0d2e,26523267-57bd-441b-98be-ef0297686c5b,c1,c2,3360,?,p1,
1769502491.7400932,CREATED,c08b8ed0-0667-454c-bbfd-1f6f033ae863,d2075b3a-785a-4f36-baa6-abf08b7bbc45,c1,c2,27,?,?,surb={'id': '4b1d999d-0aac-4b59-bf24-a3e93afff6b8', 'route': ['p2', 'e4', 'i8', 'x4', 'p1', 'c1']}
1769502491.863096,SENT,2d143c01-2e7c-4d09-95a3-b6894bf843d9,80a36b2c-a8b6-4adc-884c-d8647a1d455a,c1,c2,3385,?,p1,
1769502491.863224,CREATED,568f7c07-5b0d-4144-8c57-4fcf963c3b6b,f6acd86e-77db-4d14-9c86-cd146980d148,c1,c2,27,?,?,surb={'id': '894fef19-d622-4c70-a411-024db06f2024', 'route': ['p2', 'e3', 'i7', 'x11', 'p1', 'c1']}
1769502492.0034158,SENT,ffd97b26-db1d-4ff0-a274-7b9a9824e2fb,7ba38401-e7c4-4932-9c8d-37c5e7eb11ce,c1,c2,3384,?,p1,
1769502492.0035622,CREATED,5207da72-d707-4cf5-aeaa-bb0b60fd536e,591c9007-49ed-4ebb-ac49-bdeaf098f2b7,c1,c2,27,?,?,surb={'id': '71ab19e4-6bcd-4549-beea-d459a8c7a88a', 'route': ['p2', 'e3', 'i3', 'x12', 'p1', 'c1']}
1769502492.0685081,SENT,78abc925-0850-44fa-9a19-d7c8715462bf,71db707c-5c83-48fa-865e-306bf817225b,c1,c2,3384,?,p1,
1769502492.0686564,CREATED,49193c48-196d-4cd1-bdc6-3520b3066af2,a29754d7-e190-4488-a0b0-441c4bed7906,c1,c2,27,?,?,surb={'id': '86307cca-3299-4403-98a8-316b443b3b23', 'route': ['p2', 'e8', 'i12', 'x7', 'p1', 'c1']}
1769502492.1210144,SENT,f0216cfd-26af-432b-8bab-c4ba60383890,a1b5bcd3-f7dc-4dc3-aa69-2c64a9ab2215,c1,c2,3356,?,p1,
1769502492.1211967,CREATED,e2a76760-8f61-4f16-aff0-d32152eb6d68,f38db703-9667-4203-be29-3a93d869d7c0,c1,c2,26,?,?,surb={'id': '6f7991c6-fa74-400c-a9a0-8e17eac47259', 'route': ['p2', 'e7', 'i6', 'x6', 'p1', 'c1']}
1769502492.272872,RECEIVED,2bd7191e-1d50-4f97-8d85-cf63142dbd98,a987754d-335e-4469-a031-7a31935d560f,c2,c1,27,p1,?,surb={'id': '8137001e-429f-4129-b156-ba04be5f523e', 'route': ['p1', 'e6', 'i11', 'x4', 'p2', 'c2']}
1769502492.2866278,RECEIVED,eac93fae-00bd-4e0a-97bc-599a43bfbfbc,5b35aa3e-75a8-4e2a-8f51-fda7232fe861,c2,c1,27,p1,?,surb={'id': '558b05db-ca6d-4ce9-af15-82dc83a91d9d', 'route': ['p1', 'e2', 'i3', 'x10', 'p2', 'c2']}
1769502492.3049574,RECEIVED,c61d9a7e-8030-4b49-b52a-9763ce859b2f,391fab93-4843-412e-8c30-498eada84d81,c4,c1,27,p1,?,surb={'id': '5aa2476f-7675-4d2f-8ad0-fe9a62a4b566', 'route': ['p1', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769502492.3384218,SENT,9b93d0ce-beae-44da-957b-de7b23d9d09a,4cc464b5-c370-4be0-932e-36bf1f0feefb,c1,DROP,2027,?,p1,
1769502492.338513,CREATED,c466981c-1a6a-4252-9f64-c28bf102619a,5fc0571a-c451-4990-a4bd-6ca23cabcd0a,c1,DROP,27,?,?,
1769502492.422131,RECEIVED,da6d9d3e-4433-47ed-9545-e4f82cc08deb,2f1c8162-1ff9-44d5-b929-c1d7f1191db4,c4,c1,26,p1,?,surb={'id': '52178206-b969-4901-bcf8-1db1aa8ec4bb', 'route': ['p1', 'e5', 'i4', 'x11', 'p1', 'c4']}
1769502492.4999108,RECEIVED,f4c881d4-0788-49cc-a1f6-3d48f726944d,3922226f-7a0a-478f-b498-2a4315018a22,c4,c1,26,p1,?,surb={'id': '44ded0a9-a179-438b-9d5e-a19e15593961', 'route': ['p1', 'e6', 'i4', 'x8', 'p1', 'c4']}
1769502492.5764904,RECEIVED,202d205f-5420-4757-b116-aebee32517b4,4f6a579f-8438-4183-97bb-b0425f19e304,c2,c1,27,p1,?,surb={'id': 'f91fa57e-dd5b-46e6-9e74-19bf5aec48bf', 'route': ['p1', 'e3', 'i4', 'x12', 'p2', 'c2']}
1769502492.8294218,SENT,fea5abd2-a135-4dc2-aab5-7675e65b1624,289ab1fb-69b7-4c96-abe7-d0ca378a834d,c1,c2,3389,?,p1,
1769502492.8295653,CREATED,18ee6c6d-fca6-44d0-a200-383801c75598,4b96e6fd-108f-4345-aba2-cceef8a55b77,c1,c2,27,?,?,surb={'id': '66aea224-c151-4821-bb5c-0735c37d1214', 'route': ['p2', 'e12', 'i2', 'x5', 'p1', 'c1']}
1769502492.9463334,RECEIVED,845b2506-926b-4d82-b172-c5a1e10b4b8c,9beff93e-37f7-4cd2-b69a-4a9f3b47d020,c2,c1,27,p1,?,surb={'id': 'a47576c2-a684-4bd1-b658-d4e4dbc11563', 'route': ['p1', 'e2', 'i11', 'x5', 'p2', 'c2']}
1769502493.149951,SENT,dd9c254d-238e-4180-b2b3-5a05dadf872a,9d06c226-028c-4818-acae-7f3e01e8913a,c1,c2,3373,?,p1,
