timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769502493.7396889,SENT,661e6c73-6215-4ee4-8955-0da7558bb075,339a2645-3930-4291-a44b-9afb8a8baca6,c2,c1,3359,?,p2,
1769502493.739831,CREATED,3b1db88c-0821-46a6-b209-509b79ed3f3c,4afbd041-83a5-45e9-a53f-4fd73e1b7435,c2,c1,27,?,?,surb={'id': '29643bb4-e03f-4b49-9f00-a9ac29232dae', 'route': ['p1', 'e6', 'i10', 'x8', 'p2', 'c2']}
1769502493.9810114,RECEIVED,2b71eaed-29bb-47a8-b4cf-5a818ec690cd,4571da0c-a076-4940-be31-5e67e4c39bc5,c1,c2,27,p2,?,surb={'id': '882cd893-4355-49b9-997e-f62a09abb11a', 'route': ['p2', 'e11', 'i8', 'x1', 'p1', 'c1']}
1769502494.1667237,SENT,c7c5c703-97e5-44f3-a011-28bc54bdbbc7,cb338eba-6d77-4bdf-a186-f8b65a04fa66,c2,DROP,2020,?,p2,
1769502494.1668124,CREATED,290ec322-91da-47a3-826d-17f2398d3afb,261f20e9-36de-484d-b686-3c36e03368a8,c2,DROP,26,?,?,
1769502494.2067688,RECEIVED,44f3a9e9-427e-4a6b-a1ec-84b6658b7d0b,3b2daa22-9377-449a-aef0-72d58b968397,c1,c2,27,p2,?,surb={'id': '7225ba56-7f86-4a0c-a04f-be54a4ae3e70', 'route': ['p2', 'e10', 'i1', 'x8', 'p1', 'c1']}
1769502494.3467124,RECEIVED,9a247034-69b7-415f-88fe-dcbc686cdf9a,616468c9-6c8f-44dd-acb6-5bbe37703504,c1,c2,27,p2,?,surb={'id': 'c1d79db9-6ebb-4725-9a7c-722ef4c06a6b', 'route': ['p2', 'e9', 'i9', 'x10', 'p1', 'c1']}
1769502494.4023786,RECEIVED,fbf756ca-31f2-4a05-9426-107173f8cbae,806c258c-ce1d-4672-928a-0e1093b1c84e,c1,c2,27,p2,?,surb={'id': 'b6bae450-4249-4d22-84db-6f26ae990fe0', 'route': ['p2', 'e6', 'i5', 'x11', 'p1', 'c1']}
1769502494.4158096,SENT,a6fa303e-7879-42e3-b39e-fdc05e8ecb68,80b2bc95-9760-474f-9846-88ea4adb63d4,c2,DROP,2015,?,p2,
1769502494.4159427,CREATED,d5e2583f-d7ba-4add-94ad-db25b9d53129,3a73b7e5-6600-485e-8ff8-7b151993bbea,c2,DROP,27,?,?,
1769502494.5458605,SENT,dd12e9c6-4391-437a-8296-6095c8a521ea,d576ee2e-906d-4829-b294-39f4bfd1cadc,c2,c1,3387,?,p2,
1769502494.5460072,CREATED,f8d52643-932e-4f78-afe5-5ce771aac621,90ca481c-bacb-4119-b074-49328a0c901b,c2,c1,27,?,?,surb={'id': '7ddf623e-0b9c-411d-937b-828695a1ebc6', 'route': ['p1', 'e7', 'i4', 'x11', 'p2', 'c2']}
1769502494.7412708,SENT,b066b526-cd65-4029-b26f-b0751dfb7671,713c2903-7073-41f5-9216-f0366c3cb11c,c2,c1,3391,?,p2,
1769502494.7413938,CREATED,c6bd068c-47c4-42c6-a0b2-a3102304e535,83237b55-ae9b-44cc-b578-45f05ab71af5,c2,c1,27,?,?,surb={'id': '0af742ab-9325-4227-9c36-2060afc27c48', 'route': ['p1', 'e10', 'i5', 'x5', 'p2', 'c2']}
1769502494.7688315,RECEIVED,e2a76760-8f61-4f16-aff0-d32152eb6d68,f38db703-9667-4203-be29-3a93d869d7c0,c1,c2,26,p2,?,surb={'id': '6f7991c6-fa74-400c-a9a0-8e17eac47259', 'route': ['p2', 'e7', 'i6', 'x6', 'p1', 'c1']}
1769502494.9493866,SENT,4c713178-4a7e-4128-ad3f-649ae040013b,c38d3c86-44b8-4bbc-aadf-82f6ff18f90d,c2,c1,3360,?,p2,
1769502494.9495296,CREATED,ca26982f-6472-45cf-9763-9e1d032ec677,e50b6b9e-0140-4250-8621-22db1aa64199,c2,c1,27,?,?,surb={'id': '47a48369-35bf-411a-b9e9-1a4a1fa0f0f5', 'route': ['p1', 'e8', 'i4', 'x4', 'p2', 'c2']}
1769502495.1644993,SENT,e2975e43-3c60-43f8-ae7a-f632372683d3,dd164458-3340-4837-8717-3601799a1d80,c2,c1,3399,?,p2,
1769502495.1646485,CREATED,20a780fc-6c83-4d2a-ad03-1948ea06aca1,1f2d78f5-b188-4728-9d2e-39b87e84db31,c2,c1,27,?,?,surb={'id': '280c4649-8e72-4b3f-ab71-acb7afb6525c', 'route': ['p1', 'e10', 'i12', 'x6', 'p2', 'c2']}
1769502495.1949718,RECEIVED,65f7fdc4-a68c-4105-9488-bf7b13299099,dade5bab-8e75-410e-b414-50b9c32bc557,c1,c2,26,p2,?,surb={'id': '1eb3f599-ebf9-4f88-917a-fa31db3780e9', 'route': ['p2', 'e11', 'i9', 'x4', 'p1', 'c1']}
