packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
55000,123.7545838356018,2.924804583732341e-05,-3.2800751967322195,4.635705587153111e-05,1.584962500721156,-0.07819220566489093,c3,c3,False
57500,129.86456298828125,3.119162867765247e-05,-3.270786353046851,4.943756179049778e-05,1.584962500721156,1.0671524109166057,c3,c3,True
60000,135.16212606430054,2.6532551110723435e-05,-3.2789120238765346,4.20530985589641e-05,1.584962500721156,-2.7555298707939073,c3,c3,False
62500,140.6231336593628,2.7752311511986772e-06,-3.2880936786348767,4.3986373054831084e-06,1.584962500721156,-1.6106488942932629,c3,c3,False
65000,146.6196837425232,3.083160286340495e-07,-3.2859442690390726,4.886693437562387e-07,1.584962500721156,1.2155266706504335,c3,c3,True
67500,152.39042448997498,9.042768727434628e-08,-3.3000198039923636,1.4332449335677854e-07,1.584962500721156,-2.9713570984258695,c3,c3,False
70000,158.248957157135,1.7415310628574662e-07,-3.2908324499470125,2.7602614284701426e-07,1.584962500721156,-1.5554235927484115,c3,c3,False
72500,164.52584171295166,5.0542790757612874e-08,-3.2908106397601116,8.010842803261223e-08,1.584962500721156,-3.343241948060495,c3,c3,False
75000,169.8404757976532,2.4574812441795557e-08,-3.2964400563184455,3.8950156182501664e-08,1.584962500721156,-4.247719714850973,c3,c3,False
77500,175.6470296382904,3.6248628073320624e-08,-3.2966062685150685,5.745271619880135e-08,1.584962500721156,-5.8375256689887465,c3,c3,False
80000,180.93255138397217,1.7467532829274767e-08,-3.2918465813055575,2.7685384514516224e-08,1.584962500721156,-2.5386959140305407,c3,c3,False
82500,186.40998578071594,1.5138064742355918e-08,-3.299307446772253,2.3993264950123196e-08,1.584962500721156,-3.1294544175652845,c3,c3,False
85000,192.28294706344604,1.2592648190476335e-09,-3.289588009324571,1.9958875166679113e-09,1.584962500721156,1.768678086993532,c3,c3,True
87500,197.95417618751526,2.0092619209021172e-10,-3.2885741964597313,3.1846047987568134e-10,1.584962500721156,3.688747012598469,c3,c3,True
90000,203.96386551856995,3.639965665255158e-10,-3.282959611198135,5.769209083341961e-10,1.584962500721156,-3.2798554333276115,c3,c3,False
92500,209.72988390922546,8.511886712682211e-10,-3.278798550492435,1.3491021249987978e-09,1.584962500721156,0.13835187378936098,c3,c3,True
95000,215.77471923828125,2.9934457270807806e-11,-3.2697270520758206,4.744499225367013e-11,1.584962500721156,-1.4743771765679412,c3,c3,False
97500,220.31723833084106,3.843873352569103e-11,-3.270684931769097,6.092395121343339e-11,1.584962500721156,2.0568679893403896,c3,c3,True
100000,225.39437055587769,2.7857862993050803e-11,-3.2756300148924193,4.415366819421315e-11,1.584962500721156,-1.5747581002196966,c3,c3,False
102500,231.53438758850098,7.969834993433361e-14,-3.284567269316613,1.263188960152712e-13,1.584962500721156,-0.09549373102890968,c3,c3,False
105000,236.6934368610382,2.869041677346213e-13,-3.2868577580919993,4.547323471599874e-13,1.584962500721156,-1.239021744726415,c3,c3,False
107500,242.08438754081726,2.864316210148634e-13,-3.287248653967001,4.5398337832933227e-13,1.584962500721156,0.47247867297483026,c3,c3,True
110000,247.81483626365662,3.6276218520798866e-13,-3.286251470710838,5.749644602343249e-13,1.584962500721156,-2.4903142065049906,c3,c3,False
112500,252.99010348320007,3.2575151498650124e-14,-3.286687618163503,5.1630393580671016e-14,1.584962500721156,4.055818307157097,c3,c3,True
115000,257.90124130249023,1.8227310913340032e-13,-3.2920559184734537,2.888960428662944e-13,1.584962500721156,0.03062487116585544,c3,c3,True
