timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504959.2109892,CREATED,19007631-791f-4d44-8e46-3ecb4efed0c3,c70e6050-e1e2-43d5-8599-3fd7f9a59977,c4,c5,27,?,?,surb={'id': 'a0e0eae7-1cba-4534-bb02-c083fda1882b', 'route': ['p2', 'e9', 'i12', 'x5', 'p1', 'c4']}
1769504959.2707005,SENT,179d324e-2b02-4e81-b42c-e6ba58bdb0bd,2ce6ad7e-4be8-4dcc-9015-7aacee987ecd,c4,c5,3380,?,p1,
1769504959.2708275,CREATED,55867f8a-d89a-4d6e-a5d1-4696aa0b9d1e,c70e6050-e1e2-43d5-8599-3fd7f9a59977,c4,c5,27,?,?,surb={'id': 'a0e0eae7-1cba-4534-bb02-c083fda1882b', 'route': ['p2', 'e9', 'i12', 'x5', 'p1', 'c4']}
1769504959.3568275,RECEIVED,7ccdb8d0-f8d6-4319-85bc-e7c43622d3da,bcf1e142-1ecb-46f5-b9b8-001078abfb77,c1,c4,27,p1,?,surb={'id': '20ee10b1-c59a-4d36-b570-20d5f806d0ae', 'route': ['p1', 'e10', 'i12', 'x1', 'p1', 'c1']}
1769504959.5361695,RECEIVED,fed7be11-ebb6-42c5-9e55-5222631de6a0,4ed8e51b-6451-40dd-868d-d2a629d2c346,c1,c4,26,p1,?,surb={'id': '8f301dac-ee4c-48db-83e7-73928a7d1355', 'route': ['p1', 'e5', 'i12', 'x10', 'p1', 'c1']}
1769504959.6262374,SENT,2dbf9279-c332-410f-af49-4bf2174bcd98,f1bf0707-f32a-4a52-9b7d-71aa80703076,c4,c5,3368,?,p1,
1769504959.62637,CREATED,bb9bebd3-b959-4dfd-9376-74da9bdfd7ce,f67eef29-d8d0-4298-a683-5714c64e4823,c4,c5,26,?,?,surb={'id': '03b768c8-ca6b-4f53-a9e4-12375ddb7fed', 'route': ['p2', 'e8', 'i9', 'x5', 'p1', 'c4']}
1769504960.0764802,RECEIVED,f11e84cc-fba9-4a91-88cd-bb5870fdc4e3,e33d2ac9-4116-48c4-b932-2bb5f19bed20,c1,c4,27,p1,?,surb={'id': '0e5d0fe0-be56-4952-90a1-877654a06530', 'route': ['p1', 'e12', 'i3', 'x11', 'p1', 'c1']}
1769504960.2969441,RECEIVED,fad8bac7-8eda-4af4-a5d9-5472cc91deca,4ed8e51b-6451-40dd-868d-d2a629d2c346,c1,c4,26,p1,?,surb={'id': '8f301dac-ee4c-48db-83e7-73928a7d1355', 'route': ['p1', 'e5', 'i12', 'x10', 'p1', 'c1']}
1769504960.3130975,RECEIVED,87f899ac-5e04-4ead-bb81-3f877f8aec89,bd9f3235-6bf0-4318-afd1-3edc7901ee10,c1,c4,26,p1,?,surb={'id': '058f63ff-7d27-4fba-a3de-c3d6eb03673b', 'route': ['p1', 'e11', 'i4', 'x9', 'p1', 'c1']}
1769504960.4159753,RECEIVED,48563ee4-086a-41fe-85db-cb5c4231539d,bd9f3235-6bf0-4318-afd1-3edc7901ee10,c1,c4,26,p1,?,surb={'id': '058f63ff-7d27-4fba-a3de-c3d6eb03673b', 'route': ['p1', 'e11', 'i4', 'x9', 'p1', 'c1']}
1769504960.4449732,SENT,457d01a1-158b-495b-ae06-da05468ed9e9,1d3d7d7e-9bb0-4c06-87cb-65eb6ce433e3,c4,c5,3376,?,p1,
1769504960.4452212,CREATED,3feca049-e161-49aa-a015-7d38db81bf7e,f67eef29-d8d0-4298-a683-5714c64e4823,c4,c5,26,?,?,surb={'id': '03b768c8-ca6b-4f53-a9e4-12375ddb7fed', 'route': ['p2', 'e8', 'i9', 'x5', 'p1', 'c4']}
1769504960.4555144,SENT,193a9b74-72c9-4998-80dd-18b598863a72,96d91d10-fdeb-4a92-a709-61d294722aa7,c4,c5,3393,?,p1,
1769504960.4556615,CREATED,e8365ec2-b243-4be0-b6db-982611fd9b07,1e5c9f35-0014-49e0-813b-040142635491,c4,c5,26,?,?,surb={'id': '3b3be4f8-e8ce-48c6-8527-da600df0a859', 'route': ['p2', 'e11', 'i4', 'x5', 'p1', 'c4']}
1769504960.9499578,RECEIVED,54f31c1b-05d6-4984-95cf-794352375b1a,707d80a4-f0b9-46e6-8dff-8ccada9a4069,c1,c4,26,p1,?,surb={'id': 'd2b752cc-1975-4371-a70d-dfa2522c0461', 'route': ['p1', 'e12', 'i4', 'x2', 'p1', 'c1']}
1769504960.9668677,SENT,dc1e213a-95d1-4180-a1f3-6780d97b66e5,00605de0-93ff-405a-99f7-81e073cf24a9,c4,c5,3380,?,p1,
1769504960.9670188,CREATED,c3d1b843-a082-4282-ad19-6ae05df75e53,1e5c9f35-0014-49e0-813b-040142635491,c4,c5,26,?,?,surb={'id': '3b3be4f8-e8ce-48c6-8527-da600df0a859', 'route': ['p2', 'e11', 'i4', 'x5', 'p1', 'c4']}
1769504961.0177977,SENT,7518fa9d-701b-4e9c-9225-6338eb3dff79,62130d48-10b8-4cdc-9185-4fded0395330,c4,c5,3383,?,p1,
1769504961.0179477,CREATED,e1c248f8-e435-44a7-bd70-b099cc202e1e,9d0526b1-f41f-425e-8b12-7d41f65a2cc7,c4,c5,27,?,?,surb={'id': '069b6779-3fc4-4a7b-88c2-04574675fa06', 'route': ['p2', 'e4', 'i10', 'x8', 'p1', 'c4']}
1769504961.7201529,RECEIVED,1d4488dc-f32f-4f8e-93d9-f605029fbfdc,2c8d2692-005a-4229-b20c-25c3d71d9c83,c1,c4,27,p1,?,surb={'id': '6fc91e76-b5bf-40f8-bb0f-6738e5f895df', 'route': ['p1', 'e8', 'i4', 'x6', 'p1', 'c1']}
1769504961.7995644,SENT,c168c629-388d-402b-be2d-22164b9b184c,12856481-3d87-48c8-8d31-ea13f7246de6,c4,c5,3375,?,p1,
1769504961.7997112,CREATED,a457ca63-4ebf-437e-a1a2-9561b95a54e2,9d0526b1-f41f-425e-8b12-7d41f65a2cc7,c4,c5,27,?,?,surb={'id': '069b6779-3fc4-4a7b-88c2-04574675fa06', 'route': ['p2', 'e4', 'i10', 'x8', 'p1', 'c4']}
1769504961.9559295,SENT,b984e6e6-11cb-4052-8a14-1af3221b8fe9,0d9bc9b3-2107-434d-8a38-c8997ef12e98,c4,c5,3384,?,p1,
1769504961.9567556,CREATED,296ce3e2-bca7-4899-8f52-d03248711467,61346c0d-2f3f-467b-966e-64197edfff20,c4,c5,27,?,?,surb={'id': '811307a7-d014-4f49-ac2e-b9315613d820', 'route': ['p2', 'e1', 'i8', 'x3', 'p1', 'c4']}
1769504962.2505317,RECEIVED,89f00bf2-0a26-4b1e-b2b4-ae84461de9f2,a3511d0e-9335-40d8-aef5-f17a283b7cf8,c1,c4,27,p1,?,surb={'id': 'e7e5c9ed-3405-4dca-976e-fac3e20dae1b', 'route': ['p1', 'e1', 'i12', 'x7', 'p1', 'c1']}
1769504962.6200228,SENT,086c22c4-6581-47bd-b649-cbe4124fe317,766cb372-8979-4437-966a-c77fdac3e0dd,c4,c5,3367,?,p1,
1769504962.620206,CREATED,ca862da5-7ad6-48d0-b58e-23dff34da122,61346c0d-2f3f-467b-966e-64197edfff20,c4,c5,27,?,?,surb={'id': '811307a7-d014-4f49-ac2e-b9315613d820', 'route': ['p2', 'e1', 'i8', 'x3', 'p1', 'c4']}
1769504962.6777081,SENT,57cb8ef7-f6c3-494b-a8b2-4bfb68514128,37710c2f-9c4d-449f-995b-428270502044,c4,c5,3376,?,p1,
1769504962.6778536,CREATED,226a085c-b7f8-4242-9d2e-c14f1bb5f2f0,0afe2177-a63c-4b59-87d9-693c525c47e8,c4,c5,26,?,?,surb={'id': 'e1a9fb60-d754-43dd-9a37-f51cd2e4f9b8', 'route': ['p2', 'e8', 'i8', 'x3', 'p1', 'c4']}
1769504963.0489883,RECEIVED,056523f5-f5c8-4a8f-b526-46901e367266,e33d2ac9-4116-48c4-b932-2bb5f19bed20,c1,c4,27,p1,?,surb={'id': '0e5d0fe0-be56-4952-90a1-877654a06530', 'route': ['p1', 'e12', 'i3', 'x11', 'p1', 'c1']}
1769504963.0630207,RECEIVED,bb17aab5-63d6-493f-baff-57c3f19029ab,2c1e49a4-5082-44a2-a164-4db6696d0928,c1,c4,27,p1,?,surb={'id': 'fedf3518-d200-44c2-94f0-e787fe71567a', 'route': ['p1', 'e2', 'i10', 'x7', 'p1', 'c1']}
1769504963.1401277,RECEIVED,3974c282-c481-4c4b-9c41-2adf762fd106,2c8d2692-005a-4229-b20c-25c3d71d9c83,c1,c4,27,p1,?,surb={'id': '6fc91e76-b5bf-40f8-bb0f-6738e5f895df', 'route': ['p1', 'e8', 'i4', 'x6', 'p1', 'c1']}
1769504963.3416667,SENT,056a1426-e4ec-45b9-8f09-cc905af2f4aa,97e1823c-b041-438f-b286-ba5f17301a65,c4,c5,3388,?,p1,
1769504963.3417666,CREATED,9b3b90bc-efcb-48cd-8af6-fd88f0328b8e,0afe2177-a63c-4b59-87d9-693c525c47e8,c4,c5,26,?,?,surb={'id': 'e1a9fb60-d754-43dd-9a37-f51cd2e4f9b8', 'route': ['p2', 'e8', 'i8', 'x3', 'p1', 'c4']}
1769504963.8316252,SENT,0556cfbb-532e-47d9-a66e-1ac42ddf4662,12f87307-6c0f-4a56-92be-b7c899d5b85b,c4,c5,3380,?,p1,
