timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504955.2058065,RECEIVED,0638b230-ee65-4a2c-a07e-78a5206887f7,4d64078c-2a9b-4c3d-a10d-29f7674a87b7,c3,c5,27,p2,?,surb={'id': '593c6498-a626-4dd0-988d-b655b8a71b04', 'route': ['p2', 'e10', 'i12', 'x6', 'p3', 'c3']}
1769504955.221618,SENT,09a680a6-28f1-4621-a0bf-b7d9159ca8a5,5b853cdf-6845-4ba1-8dc2-9df9b898882d,c5,c3,3374,?,p2,
1769504955.2217696,CREATED,d7fa70da-3c0e-42a1-be56-b8861ba22cd5,6d7fbe56-9c74-457d-97a5-9454781baeb1,c5,c3,27,?,?,surb={'id': '16fb41f5-0f6c-44d1-a265-35c17c25165c', 'route': ['p3', 'e9', 'i3', 'x2', 'p2', 'c5']}
1769504955.256365,RECEIVED,144a483e-fc85-435e-a08d-ce742daa003e,fa421ad2-8129-442f-9ca0-629d1e137989,c4,c5,26,p2,?,surb={'id': '06aa686a-06d0-4f5b-a469-e898c305f8e6', 'route': ['p2', 'e6', 'i4', 'x12', 'p1', 'c4']}
1769504955.33352,RECEIVED,13067301-6ecd-4f04-93b8-438f028d978b,d05956b4-5e3b-447e-b249-7dee2bfb13f4,c3,c5,26,p2,?,surb={'id': 'afaa02d4-d4f3-4dab-b3ab-648fa7a2ae41', 'route': ['p2', 'e11', 'i12', 'x7', 'p3', 'c3']}
1769504955.3762152,SENT,9784fe64-7efc-48a4-8b33-054091cd9304,b6e36fd9-e11d-4e49-9c43-7c6b83119787,c5,c3,3395,?,p2,
1769504955.3763914,CREATED,9ad8b127-14f6-472e-a028-8f81c8d71bbd,d659be9e-d66d-461f-96ff-c768234444f2,c5,c3,27,?,?,surb={'id': '5abfdf6f-2c90-4978-b761-00278dc23ffb', 'route': ['p3', 'e11', 'i7', 'x4', 'p2', 'c5']}
1769504955.5455978,RECEIVED,afd60606-3e0a-4775-9012-29ed4d74b912,19da46dc-affc-475b-873c-fb762ef95f7b,c3,c5,27,p2,?,surb={'id': 'ac784c07-553b-470e-b9eb-b8593967d705', 'route': ['p2', 'e3', 'i4', 'x7', 'p3', 'c3']}
1769504955.6532679,SENT,430fa217-a26f-428d-88ac-08c261adc6b6,d3ec2c2c-6b22-46e9-a2cd-e74e5777093e,c5,c3,3376,?,p2,
1769504955.6534166,CREATED,15e9fc3d-abd1-4fb8-9dc4-31d988555cd9,d659be9e-d66d-461f-96ff-c768234444f2,c5,c3,27,?,?,surb={'id': '5abfdf6f-2c90-4978-b761-00278dc23ffb', 'route': ['p3', 'e11', 'i7', 'x4', 'p2', 'c5']}
1769504955.687092,RECEIVED,1d69c204-b778-4315-89fc-235c4d33bbe5,704cb7cf-e747-4e72-bd88-081a56aec63f,c4,c5,26,p2,?,surb={'id': 'cd071d23-cff9-46be-92d8-a9439b9d3940', 'route': ['p2', 'e7', 'i7', 'x1', 'p1', 'c4']}
1769504955.8907542,RECEIVED,21c165de-afa5-4123-86e5-9357ec057a9f,0b9e5e7c-60ca-4277-aff0-8292bcd25e7e,c4,c5,27,p2,?,surb={'id': 'c0d1ea7a-90bc-4254-80ab-f75da510a72f', 'route': ['p2', 'e6', 'i10', 'x1', 'p1', 'c4']}
1769504956.4188929,RECEIVED,83e00e89-6b44-4309-abe5-93ab8b63589e,47650514-ef72-4a25-bfb1-456b32940995,c4,c5,27,p2,?,surb={'id': '65d3baf6-2c45-4caa-be3e-1e0a37a3855c', 'route': ['p2', 'e5', 'i6', 'x2', 'p1', 'c4']}
1769504956.492474,RECEIVED,9884de70-75a5-4538-8bc5-cc5fdec7b9dc,086a42c6-eb22-4203-9962-ac2ccc853d4c,c3,c5,27,p2,?,surb={'id': '2fce8b37-47f3-4db4-b295-7cab0147b9a8', 'route': ['p2', 'e8', 'i6', 'x11', 'p3', 'c3']}
1769504956.7428045,RECEIVED,b8035f89-5176-4215-8481-d28a559f8d9b,64b62ade-6c6c-4c10-b472-e873f5360665,c4,c5,27,p2,?,surb={'id': '33d90e7b-ad3a-4164-bcc6-b4baf644afe5', 'route': ['p2', 'e12', 'i12', 'x1', 'p1', 'c4']}
1769504956.7492626,RECEIVED,3ad776d5-f182-43e9-afeb-119b5929e0ae,47650514-ef72-4a25-bfb1-456b32940995,c4,c5,27,p2,?,surb={'id': '65d3baf6-2c45-4caa-be3e-1e0a37a3855c', 'route': ['p2', 'e5', 'i6', 'x2', 'p1', 'c4']}
1769504956.882509,RECEIVED,9c9fc7bd-821a-4ebf-bf5c-27ce16500af7,dcadef3e-5a2c-47b5-9b54-1a8e1f2e600e,c3,c5,27,p2,?,surb={'id': 'bb864fed-39cf-4801-aa04-f56ec106ef02', 'route': ['p2', 'e6', 'i5', 'x11', 'p3', 'c3']}
1769504956.9048257,SENT,0ed8a00a-bf5d-4bd5-bdea-19fc8939abd8,9eea0fb0-884a-49fd-93c0-75884cd5b4b5,c5,c3,3377,?,p2,
1769504956.9049861,CREATED,4c086892-73c2-44fe-94ca-35985de829cb,670876f0-7571-490e-ae19-addae00d037b,c5,c3,26,?,?,surb={'id': '7568d4e3-ddb1-440c-8064-ee7313a048ae', 'route': ['p3', 'e8', 'i4', 'x5', 'p2', 'c5']}
1769504957.0197957,SENT,427422fd-72c8-427f-8b0d-bc0a25177d03,ab1c5707-cb21-400a-b3be-a163546562fa,c5,c3,3356,?,p2,
1769504957.019941,CREATED,2bf35111-6513-4ab0-b195-770fb7553861,670876f0-7571-490e-ae19-addae00d037b,c5,c3,26,?,?,surb={'id': '7568d4e3-ddb1-440c-8064-ee7313a048ae', 'route': ['p3', 'e8', 'i4', 'x5', 'p2', 'c5']}
1769504957.2847996,RECEIVED,1fbb986e-ad0d-450f-a963-800998551d5f,cdedc432-eab1-4e83-be0f-3da39fd864f0,c3,c5,27,p2,?,surb={'id': '7e60c841-b68f-4af1-a660-d3ec8baae872', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769504957.5673573,RECEIVED,77dded21-0f89-4937-a017-f2ae6a35e4cb,dcadef3e-5a2c-47b5-9b54-1a8e1f2e600e,c3,c5,27,p2,?,surb={'id': 'bb864fed-39cf-4801-aa04-f56ec106ef02', 'route': ['p2', 'e6', 'i5', 'x11', 'p3', 'c3']}
1769504957.6719227,RECEIVED,a36f5913-b99a-40e8-9b15-681a1ee2a761,0b9e5e7c-60ca-4277-aff0-8292bcd25e7e,c4,c5,27,p2,?,surb={'id': 'c0d1ea7a-90bc-4254-80ab-f75da510a72f', 'route': ['p2', 'e6', 'i10', 'x1', 'p1', 'c4']}
1769504957.7109885,SENT,3c0ff97d-7a6e-45ca-bd5d-c2d6f9881d3d,611d9908-68fc-4795-9484-91c055b29bf5,c5,c3,3371,?,p2,
1769504957.7119577,CREATED,aeb7ca1d-a944-439d-a567-b70bc20e8cd1,893c4a75-5231-4182-937f-790ae03bc645,c5,c3,27,?,?,surb={'id': 'b2e7efd5-8178-43c3-b7da-0f7b462d6012', 'route': ['p3', 'e8', 'i2', 'x10', 'p2', 'c5']}
1769504957.7152722,RECEIVED,793d4d8e-08be-4a31-aae3-547b882212a1,486aa423-8a28-41df-b652-764169effd32,c3,c5,27,p2,?,surb={'id': '448d39c4-ca5f-4361-81ee-0c02484a2228', 'route': ['p2', 'e1', 'i1', 'x10', 'p3', 'c3']}
1769504957.7350762,RECEIVED,9634e625-e16c-4dff-9b8d-da887c77a39e,086a42c6-eb22-4203-9962-ac2ccc853d4c,c3,c5,27,p2,?,surb={'id': '2fce8b37-47f3-4db4-b295-7cab0147b9a8', 'route': ['p2', 'e8', 'i6', 'x11', 'p3', 'c3']}
1769504957.9005027,SENT,1627ff00-e942-4471-b1fd-64470a39e87e,6550edaf-8968-4688-be7b-7092e390019d,c5,c3,3388,?,p2,
1769504957.9006352,CREATED,d9848042-d566-4657-b051-ea6a53d14322,893c4a75-5231-4182-937f-790ae03bc645,c5,c3,27,?,?,surb={'id': 'b2e7efd5-8178-43c3-b7da-0f7b462d6012', 'route': ['p3', 'e8', 'i2', 'x10', 'p2', 'c5']}
1769504957.9108315,SENT,f128d7e8-4dbd-4922-8a66-8bb3c033680c,574394bb-2ed6-4590-9704-45800950c79a,c5,c3,3385,?,p2,
1769504957.91098,CREATED,f796f4a6-fa8b-4bec-a601-e52442af4c9a,36da240d-efc5-4361-9afc-d47bb1036d3d,c5,c3,27,?,?,surb={'id': 'c98674ea-997b-46d2-94ed-f72891b02dbe', 'route': ['p3', 'e10', 'i6', 'x3', 'p2', 'c5']}
1769504957.9217217,RECEIVED,fd8c6ab3-8582-4c74-a3c5-213ef90e517f,cdedc432-eab1-4e83-be0f-3da39fd864f0,c3,c5,27,p2,?,surb={'id': '7e60c841-b68f-4af1-a660-d3ec8baae872', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769504958.0256824,RECEIVED,a040f7d8-cd82-4b33-9398-0dc206f1850c,486aa423-8a28-41df-b652-764169effd32,c3,c5,27,p2,?,surb={'id': '448d39c4-ca5f-4361-81ee-0c02484a2228', 'route': ['p2', 'e1', 'i1', 'x10', 'p3', 'c3']}
1769504958.2377355,RECEIVED,cd7bd77e-9e56-4189-96aa-0c1730048c80,4952fa67-2376-4877-ae1c-50cc39617a48,c4,c5,26,p2,?,surb={'id': 'e9167896-511f-4d9f-a8f1-69b984edabae', 'route': ['p2', 'e6', 'i3', 'x6', 'p1', 'c4']}
