timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504950.5746334,SENT,a2f557cd-a154-47fa-a85b-ff334fab2054,8de3b0c5-a316-49a4-a2b8-0a6a08b28b85,c3,DROP,2027,?,p3,
1769504950.5747764,CREATED,b8d31e82-72c3-4246-913f-cdbafecd9909,6cded39b-33f1-453c-93a5-fce365a39b96,c3,DROP,27,?,?,
1769504951.2747078,SENT,cf5de670-0f74-41ff-a9ba-ac040cd0ce23,0268743e-8096-4411-8e17-d79da7f3c87a,c3,c5,3374,?,p3,
1769504951.2748594,CREATED,4b9c8f1c-eaa2-4b41-be35-9575a6b72ada,d05956b4-5e3b-447e-b249-7dee2bfb13f4,c3,c5,26,?,?,surb={'id': 'afaa02d4-d4f3-4dab-b3ab-648fa7a2ae41', 'route': ['p2', 'e11', 'i12', 'x7', 'p3', 'c3']}
1769504952.306272,RECEIVED,9e7a6df7-47a5-4eed-a80e-351602897926,ca7924c2-9447-437b-ab55-f09faf3cba6d,c2,c3,26,p3,?,surb={'id': '873cc846-7ab8-4c71-b662-2d8eb6a3edf4', 'route': ['p3', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769504952.586459,RECEIVED,a9f657d6-4cfd-415f-a3f8-bf2d0d447254,d19e1ff5-9610-49f1-9b13-3c048b7849bf,c2,c3,27,p3,?,surb={'id': '911f3fee-06a1-47bc-b850-db84f3846cd1', 'route': ['p3', 'e3', 'i4', 'x12', 'p2', 'c2']}
1769504953.0210948,RECEIVED,1c6aa9a1-e5ab-4f65-aa9a-5a507d639262,38e0b359-1203-4925-ae9a-e12856768bed,c5,c3,25,p3,?,surb={'id': '0577f6c0-e0b0-40d9-9da6-6d9efea73231', 'route': ['p3', 'e6', 'i6', 'x3', 'p2', 'c5']}
1769504953.1498227,RECEIVED,90b1b5aa-6527-44a0-9445-53a1b90eeb71,a7354182-0d1c-49d0-931c-c45873acfb1c,c5,c3,27,p3,?,surb={'id': '84c8f6e4-d186-45d9-ab10-0056ac930437', 'route': ['p3', 'e10', 'i7', 'x1', 'p2', 'c5']}
1769504953.2949288,SENT,6a9827c1-8d87-4c04-9275-9cc3723af9ff,66af6816-1033-456e-8a8f-79b9f484e0d4,c3,c5,3371,?,p3,
1769504953.2951005,CREATED,93c28439-cafb-49d1-a4f6-52e5190a1eb2,19da46dc-affc-475b-873c-fb762ef95f7b,c3,c5,27,?,?,surb={'id': 'ac784c07-553b-470e-b9eb-b8593967d705', 'route': ['p2', 'e3', 'i4', 'x7', 'p3', 'c3']}
1769504953.446445,SENT,bcd600e1-dbc0-4d07-a54b-6da0f537d9b9,7bc1b623-3d50-424a-b8e4-2f4f10ab63cb,c3,c5,3383,?,p3,
1769504953.44659,CREATED,afd60606-3e0a-4775-9012-29ed4d74b912,19da46dc-affc-475b-873c-fb762ef95f7b,c3,c5,27,?,?,surb={'id': 'ac784c07-553b-470e-b9eb-b8593967d705', 'route': ['p2', 'e3', 'i4', 'x7', 'p3', 'c3']}
1769504953.5281496,RECEIVED,6dd14ab4-2c27-4b0f-90f8-1aad1c80ae9d,2aa40535-e994-42a4-ac6c-3373288349f6,c5,c3,27,p3,?,surb={'id': '86ab92f2-9bb4-4845-8b6d-f42fb5eaaac6', 'route': ['p3', 'e2', 'i5', 'x11', 'p2', 'c5']}
1769504953.7363062,RECEIVED,e8b5861a-3694-4971-a748-cb9d584598c8,abdbb5c2-1ada-4afc-a93c-ef27cb01c108,c5,c3,27,p3,?,surb={'id': 'dff0f1fa-cf98-4af5-9b0b-f066a80b3204', 'route': ['p3', 'e10', 'i7', 'x5', 'p2', 'c5']}
1769504953.8877044,RECEIVED,8d516c15-a467-4277-90c1-16b73aa97974,abdbb5c2-1ada-4afc-a93c-ef27cb01c108,c5,c3,27,p3,?,surb={'id': 'dff0f1fa-cf98-4af5-9b0b-f066a80b3204', 'route': ['p3', 'e10', 'i7', 'x5', 'p2', 'c5']}
1769504954.3028808,RECEIVED,866a7117-e6eb-4649-b921-dca278579dee,a7354182-0d1c-49d0-931c-c45873acfb1c,c5,c3,27,p3,?,surb={'id': '84c8f6e4-d186-45d9-ab10-0056ac930437', 'route': ['p3', 'e10', 'i7', 'x1', 'p2', 'c5']}
1769504954.3449419,RECEIVED,ae2f2710-4d2d-4589-90de-53e40e85b79e,5c626c78-d5dd-4335-8824-169ef4eaf102,c2,c3,26,p3,?,surb={'id': '8de3d307-1aa6-4cd1-85a4-fbad51d7bcb2', 'route': ['p3', 'e6', 'i2', 'x2', 'p2', 'c2']}
1769504954.4638305,RECEIVED,3345c022-5ea5-4d4d-be60-e9c06295db20,2aa40535-e994-42a4-ac6c-3373288349f6,c5,c3,27,p3,?,surb={'id': '86ab92f2-9bb4-4845-8b6d-f42fb5eaaac6', 'route': ['p3', 'e2', 'i5', 'x11', 'p2', 'c5']}
1769504954.6094582,RECEIVED,80b0de98-1429-4ea0-b25d-bd83fe06a706,be0a93bf-9848-40f1-a60a-1840c3b26ee9,c2,c3,27,p3,?,surb={'id': '8074463b-be95-45b0-a400-d4268c90f2c4', 'route': ['p3', 'e1', 'i1', 'x5', 'p2', 'c2']}
1769504954.714822,SENT,4c513ddb-dd62-4feb-809c-93fb946a21f3,c838cff7-a5cf-41ab-b67f-004be65dddce,c3,c5,3388,?,p3,
1769504954.714999,CREATED,9634e625-e16c-4dff-9b8d-da887c77a39e,086a42c6-eb22-4203-9962-ac2ccc853d4c,c3,c5,27,?,?,surb={'id': '2fce8b37-47f3-4db4-b295-7cab0147b9a8', 'route': ['p2', 'e8', 'i6', 'x11', 'p3', 'c3']}
1769504954.7881997,RECEIVED,e10f5772-4f65-4297-be4f-6f473f895e1e,d19e1ff5-9610-49f1-9b13-3c048b7849bf,c2,c3,27,p3,?,surb={'id': '911f3fee-06a1-47bc-b850-db84f3846cd1', 'route': ['p3', 'e3', 'i4', 'x12', 'p2', 'c2']}
1769504954.8346984,SENT,86ef8354-b7b4-42ec-9eb0-3aaac2b7e117,eccd3ba4-35c8-42d1-b6f9-9d934d29811a,c3,c5,3395,?,p3,
1769504954.8348455,CREATED,9884de70-75a5-4538-8bc5-cc5fdec7b9dc,086a42c6-eb22-4203-9962-ac2ccc853d4c,c3,c5,27,?,?,surb={'id': '2fce8b37-47f3-4db4-b295-7cab0147b9a8', 'route': ['p2', 'e8', 'i6', 'x11', 'p3', 'c3']}
1769504954.8422217,RECEIVED,7d651afd-e2cf-4188-9fb8-348c1e9f4691,be0a93bf-9848-40f1-a60a-1840c3b26ee9,c2,c3,27,p3,?,surb={'id': '8074463b-be95-45b0-a400-d4268c90f2c4', 'route': ['p3', 'e1', 'i1', 'x5', 'p2', 'c2']}
1769504954.9753351,RECEIVED,5aae6329-c739-49c5-b872-34e8257d9bb4,38e0b359-1203-4925-ae9a-e12856768bed,c5,c3,25,p3,?,surb={'id': '0577f6c0-e0b0-40d9-9da6-6d9efea73231', 'route': ['p3', 'e6', 'i6', 'x3', 'p2', 'c5']}
1769504955.1793187,RECEIVED,87911651-698d-40a0-b7cb-0fb048730576,c95b994f-ea64-48f3-8948-3a184cf00cb6,c2,c3,27,p3,?,surb={'id': '26fd1415-0bbb-40e1-975c-ce0803c20d4f', 'route': ['p3', 'e7', 'i1', 'x2', 'p2', 'c2']}
1769504955.20068,RECEIVED,e844ca2b-36fd-41dc-9881-54d8e0e2bdc9,c95b994f-ea64-48f3-8948-3a184cf00cb6,c2,c3,27,p3,?,surb={'id': '26fd1415-0bbb-40e1-975c-ce0803c20d4f', 'route': ['p3', 'e7', 'i1', 'x2', 'p2', 'c2']}
1769504955.3223877,SENT,e01dd457-7f82-4e50-b0be-c0b47f4114ac,a9c16f6c-2e55-4a9e-abe0-7d3c720b0303,c3,c5,3383,?,p3,
1769504955.3225338,CREATED,793d4d8e-08be-4a31-aae3-547b882212a1,486aa423-8a28-41df-b652-764169effd32,c3,c5,27,?,?,surb={'id': '448d39c4-ca5f-4361-81ee-0c02484a2228', 'route': ['p2', 'e1', 'i1', 'x10', 'p3', 'c3']}
1769504955.3331764,RECEIVED,51b616bd-80be-4c92-97f7-be2583e32008,ca7924c2-9447-437b-ab55-f09faf3cba6d,c2,c3,26,p3,?,surb={'id': '873cc846-7ab8-4c71-b662-2d8eb6a3edf4', 'route': ['p3', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769504955.4751234,RECEIVED,11a7620d-9de0-4079-9338-fbb194afc829,dbd940fe-7a04-4cbf-8160-900ef1afe258,c2,c3,27,p3,?,surb={'id': '5f03ad49-f2c6-4f88-9da2-7f7ce105495f', 'route': ['p3', 'e5', 'i12', 'x7', 'p2', 'c2']}
1769504955.788934,SENT,0b2fdac4-b0ed-42c3-beed-e2b44398c11d,ce5e44c9-82af-4060-9c3f-6130269186cf,c3,c5,3391,?,p3,
1769504955.7891002,CREATED,a040f7d8-cd82-4b33-9398-0dc206f1850c,486aa423-8a28-41df-b652-764169effd32,c3,c5,27,?,?,surb={'id': '448d39c4-ca5f-4361-81ee-0c02484a2228', 'route': ['p2', 'e1', 'i1', 'x10', 'p3', 'c3']}
1769504955.789468,RECEIVED,faef3193-d211-444a-a75b-c6afabb0b1a4,f3a2eb20-6bcb-47ce-bdfb-b841abe1a7d0,c5,c3,27,p3,?,surb={'id': '5895de80-18e9-4d23-aba2-ce56d531c096', 'route': ['p3', 'e6', 'i9', 'x10', 'p2', 'c5']}
1769504955.902597,RECEIVED,9f12ecfe-1673-428b-8e40-12e39220a167,f3a2eb20-6bcb-47ce-bdfb-b841abe1a7d0,c5,c3,27,p3,?,surb={'id': '5895de80-18e9-4d23-aba2-ce56d531c096', 'route': ['p3', 'e6', 'i9', 'x10', 'p2', 'c5']}
1769504955.927637,RECEIVED,003367c2-c382-4583-9cac-62e7a805869e,5c626c78-d5dd-4335-8824-169ef4eaf102,c2,c3,26,p3,?,surb={'id': '8de3d307-1aa6-4cd1-85a4-fbad51d7bcb2', 'route': ['p3', 'e6', 'i2', 'x2', 'p2', 'c2']}
1769504956.0380013,RECEIVED,47827903-706b-4791-a500-db8170728166,22c47066-1c72-456f-b2f6-9203d9ac7d8a,c2,c3,26,p3,?,surb={'id': 'ba707ef4-dcf7-46f1-9905-cb9206901644', 'route': ['p3', 'e8', 'i3', 'x3', 'p2', 'c2']}
1769504956.0521917,RECEIVED,0024f9d6-b1ee-4bf6-99a1-96565f403870,22c47066-1c72-456f-b2f6-9203d9ac7d8a,c2,c3,26,p3,?,surb={'id': 'ba707ef4-dcf7-46f1-9905-cb9206901644', 'route': ['p3', 'e8', 'i3', 'x3', 'p2', 'c2']}
1769504956.1230137,SENT,e82338bd-1355-44bc-9fba-fe34dc505703,5a281c63-37ca-4003-891d-7d1a4f17abc6,c3,c5,3373,?,p3,
1769504956.1239343,CREATED,77dded21-0f89-4937-a017-f2ae6a35e4cb,dcadef3e-5a2c-47b5-9b54-1a8e1f2e600e,c3,c5,27,?,?,surb={'id': 'bb864fed-39cf-4801-aa04-f56ec106ef02', 'route': ['p2', 'e6', 'i5', 'x11', 'p3', 'c3']}
1769504956.143413,RECEIVED,9d1285ae-fcf7-446e-bebd-212594b11349,8931e41f-9402-4f02-af9a-c6d7aa4ed988,c5,c3,27,p3,?,surb={'id': 'b0bd604a-0deb-4e49-992d-5c203642d274', 'route': ['p3', 'e6', 'i12', 'x11', 'p2', 'c5']}
1769504956.177263,SENT,b2888158-dc3c-48c9-b81a-b1fab9cd727b,9105f96b-730d-47f3-b867-66b5784d37be,c3,c5,3400,?,p3,
1769504956.1774104,CREATED,9c9fc7bd-821a-4ebf-bf5c-27ce16500af7,dcadef3e-5a2c-47b5-9b54-1a8e1f2e600e,c3,c5,27,?,?,surb={'id': 'bb864fed-39cf-4801-aa04-f56ec106ef02', 'route': ['p2', 'e6', 'i5', 'x11', 'p3', 'c3']}
1769504956.230423,RECEIVED,f7ee4af0-8bff-4a22-93b5-79117cb06264,dbd940fe-7a04-4cbf-8160-900ef1afe258,c2,c3,27,p3,?,surb={'id': '5f03ad49-f2c6-4f88-9da2-7f7ce105495f', 'route': ['p3', 'e5', 'i12', 'x7', 'p2', 'c2']}
1769504956.2506728,SENT,f1b102fa-2507-459a-bb9a-f99ea6d896cd,6af18dde-233d-4f61-9926-5eb9131bebd3,c3,c5,3387,?,p3,
1769504956.2510107,CREATED,1fbb986e-ad0d-450f-a963-800998551d5f,cdedc432-eab1-4e83-be0f-3da39fd864f0,c3,c5,27,?,?,surb={'id': '7e60c841-b68f-4af1-a660-d3ec8baae872', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769504956.3146374,SENT,e6ce680a-6489-4dd1-b527-88a60e1c3733,00ec1c36-b8d9-4b4c-ae60-2b98f7361cf0,c3,c5,3383,?,p3,
1769504956.314788,CREATED,fd8c6ab3-8582-4c74-a3c5-213ef90e517f,cdedc432-eab1-4e83-be0f-3da39fd864f0,c3,c5,27,?,?,surb={'id': '7e60c841-b68f-4af1-a660-d3ec8baae872', 'route': ['p2', 'e3', 'i6', 'x1', 'p3', 'c3']}
1769504956.351026,RECEIVED,f09efe8f-da4b-4a6d-9e49-cd89fc642420,8931e41f-9402-4f02-af9a-c6d7aa4ed988,c5,c3,27,p3,?,surb={'id': 'b0bd604a-0deb-4e49-992d-5c203642d274', 'route': ['p3', 'e6', 'i12', 'x11', 'p2', 'c5']}
1769504956.4417555,RECEIVED,1eb45fc6-20fb-4d5a-b152-601dfadd96c1,ccbf37cb-45ee-4522-b9d1-8d6446c19c2f,c2,c3,27,p3,?,surb={'id': '104a64a9-c7a1-41a6-a85e-56af561211a3', 'route': ['p3', 'e10', 'i12', 'x7', 'p2', 'c2']}
1769504956.50595,RECEIVED,6c15729b-ab1c-438b-ab59-d07e155a708d,6d7fbe56-9c74-457d-97a5-9454781baeb1,c5,c3,27,p3,?,surb={'id': '16fb41f5-0f6c-44d1-a265-35c17c25165c', 'route': ['p3', 'e9', 'i3', 'x2', 'p2', 'c5']}
1769504956.5105438,RECEIVED,d42daee9-efbe-42db-8940-71163525eb54,ccbf37cb-45ee-4522-b9d1-8d6446c19c2f,c2,c3,27,p3,?,surb={'id': '104a64a9-c7a1-41a6-a85e-56af561211a3', 'route': ['p3', 'e10', 'i12', 'x7', 'p2', 'c2']}
1769504957.2331374,RECEIVED,15e9fc3d-abd1-4fb8-9dc4-31d988555cd9,d659be9e-d66d-461f-96ff-c768234444f2,c5,c3,27,p3,?,surb={'id': '5abfdf6f-2c90-4978-b761-00278dc23ffb', 'route': ['p3', 'e11', 'i7', 'x4', 'p2', 'c5']}
1769504957.3945367,RECEIVED,b6c5426f-d7db-4cae-81ef-7bd9acb5916f,20d1a3f0-89b6-4a6b-b7be-fa653ae51e14,c2,c3,26,p3,?,surb={'id': 'd7bb5126-3479-45e9-9105-4b1b104e0ba5', 'route': ['p3', 'e3', 'i2', 'x1', 'p2', 'c2']}
1769504957.5473683,SENT,2e15c011-ace4-4cc1-a7c5-7ccac88976fe,780eda7c-a873-49c3-a41d-f98e59f1cb96,c3,c5,3371,?,p3,
1769504957.5475478,CREATED,2460c121-42da-4206-a3d3-239f0c9b1089,b7282d40-6648-4024-b7d2-31e840755c8a,c3,c5,27,?,?,surb={'id': '6f9d28d3-7a8f-43b5-8a54-b43a33b105eb', 'route': ['p2', 'e4', 'i9', 'x10', 'p3', 'c3']}
1769504957.796273,RECEIVED,23428e89-822a-4497-b256-88fdb5d27aa4,9bb158a6-3896-44f9-838b-044b5e987a21,c2,c3,27,p3,?,surb={'id': '1d7131f3-31a5-4887-a6a9-ad62d33d7e3b', 'route': ['p3', 'e11', 'i10', 'x12', 'p2', 'c2']}
1769504958.067245,SENT,fffe5be1-6b25-4e76-83c8-af30ba32afa2,89f97178-897a-49dd-8b90-d5b4fb646cd5,c3,c5,3400,?,p3,
1769504958.0673923,CREATED,6645f9e4-075d-49f9-ad6c-d0ae1659c0cf,b7282d40-6648-4024-b7d2-31e840755c8a,c3,c5,27,?,?,surb={'id': '6f9d28d3-7a8f-43b5-8a54-b43a33b105eb', 'route': ['p2', 'e4', 'i9', 'x10', 'p3', 'c3']}
1769504958.1672428,RECEIVED,2bf35111-6513-4ab0-b195-770fb7553861,670876f0-7571-490e-ae19-addae00d037b,c5,c3,26,p3,?,surb={'id': '7568d4e3-ddb1-440c-8064-ee7313a048ae', 'route': ['p3', 'e8', 'i4', 'x5', 'p2', 'c5']}
1769504958.212206,RECEIVED,d7fa70da-3c0e-42a1-be56-b8861ba22cd5,6d7fbe56-9c74-457d-97a5-9454781baeb1,c5,c3,27,p3,?,surb={'id': '16fb41f5-0f6c-44d1-a265-35c17c25165c', 'route': ['p3', 'e9', 'i3', 'x2', 'p2', 'c5']}
1769504958.3096077,RECEIVED,4c086892-73c2-44fe-94ca-35985de829cb,670876f0-7571-490e-ae19-addae00d037b,c5,c3,26,p3,?,surb={'id': '7568d4e3-ddb1-440c-8064-ee7313a048ae', 'route': ['p3', 'e8', 'i4', 'x5', 'p2', 'c5']}
1769504958.3421912,SENT,8a91f397-92b1-477b-a2c9-f64d3504cc99,80a4c2af-a138-4798-83ac-5ea1d394a3dd,c3,c5,3380,?,p3,
1769504958.3423386,CREATED,dc072f02-d4f7-4e17-9f99-4c260c8c0490,ddcf0108-56de-4217-8630-3c17cdc3681e,c3,c5,27,?,?,surb={'id': '8659935f-6fd2-44b9-81ad-2ee38888d375', 'route': ['p2', 'e9', 'i9', 'x9', 'p3', 'c3']}
1769504958.5629563,RECEIVED,9ad8b127-14f6-472e-a028-8f81c8d71bbd,d659be9e-d66d-461f-96ff-c768234444f2,c5,c3,27,p3,?,surb={'id': '5abfdf6f-2c90-4978-b761-00278dc23ffb', 'route': ['p3', 'e11', 'i7', 'x4', 'p2', 'c5']}
1769504958.7888308,SENT,a43a65da-a322-41ef-9c1a-a8615c3d138c,ba4dc71f-1b04-403b-8f21-0c5201f49f09,c3,c5,3356,?,p3,
1769504958.7889674,CREATED,18ea5082-1a84-442d-af8c-1ba686ca27f2,ddcf0108-56de-4217-8630-3c17cdc3681e,c3,c5,27,?,?,surb={'id': '8659935f-6fd2-44b9-81ad-2ee38888d375', 'route': ['p2', 'e9', 'i9', 'x9', 'p3', 'c3']}
1769504958.8628752,SENT,b3ddfb67-461c-4ac8-ad9a-83989f7629d4,97467b91-d32f-4acd-800e-8f9ce0267b19,c3,c5,3380,?,p3,
1769504958.8630266,CREATED,9f115362-b071-4c36-8fe7-2e605b13c48e,2ffd635f-ebf9-40c6-be6a-fb590af751c3,c3,c5,26,?,?,surb={'id': 'd49555cd-93ff-46b7-b5a3-781a994889c1', 'route': ['p2', 'e9', 'i9', 'x5', 'p3', 'c3']}
1769504958.9483206,SENT,c547edc1-15d9-4805-acd6-6b340aaca129,a3a209c3-c8b4-4adf-b7c9-95e784b63206,c3,c5,3355,?,p3,
1769504958.9484725,CREATED,4d20234f-e7df-47b8-81ea-65be578c7be9,2ffd635f-ebf9-40c6-be6a-fb590af751c3,c3,c5,26,?,?,surb={'id': 'd49555cd-93ff-46b7-b5a3-781a994889c1', 'route': ['p2', 'e9', 'i9', 'x5', 'p3', 'c3']}
1769504959.0719419,RECEIVED,d9d58f37-9b14-4b5b-b6c3-11d546c4710f,a9fa856e-f998-449c-9f33-f7f205943b64,c2,c3,27,p3,?,surb={'id': '177b01d5-9690-4e90-840d-cc56f3ce3c32', 'route': ['p3', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769504959.0870748,RECEIVED,1bfa0209-12e9-4198-a620-0233ad122b35,20d1a3f0-89b6-4a6b-b7be-fa653ae51e14,c2,c3,26,p3,?,surb={'id': 'd7bb5126-3479-45e9-9105-4b1b104e0ba5', 'route': ['p3', 'e3', 'i2', 'x1', 'p2', 'c2']}
1769504959.2879615,RECEIVED,9f59a322-7cd2-4c59-a71d-70e6a510a814,9bb158a6-3896-44f9-838b-044b5e987a21,c2,c3,27,p3,?,surb={'id': '1d7131f3-31a5-4887-a6a9-ad62d33d7e3b', 'route': ['p3', 'e11', 'i10', 'x12', 'p2', 'c2']}
1769504959.5511506,RECEIVED,aeb7ca1d-a944-439d-a567-b70bc20e8cd1,893c4a75-5231-4182-937f-790ae03bc645,c5,c3,27,p3,?,surb={'id': 'b2e7efd5-8178-43c3-b7da-0f7b462d6012', 'route': ['p3', 'e8', 'i2', 'x10', 'p2', 'c5']}
1769504959.5715983,RECEIVED,ae9012fc-c8a7-4269-b6e8-e3768061f336,f4632747-7f0c-40b6-840c-e12576e9bb6c,c2,c3,27,p3,?,surb={'id': '7c2e316b-4dd3-4866-b26f-e101f391afe9', 'route': ['p3', 'e8', 'i1', 'x1', 'p2', 'c2']}
1769504959.5986109,SENT,43d110e8-7e96-4242-b58c-a58941e8a5dc,4f3dc1a8-1540-47e9-a9b0-0974eebafcbf,c3,c5,3399,?,p3,
1769504959.5987866,CREATED,a2f8bbd5-8c6e-4ce7-a9e9-d2bbf210685b,8e43806e-7681-473a-9559-d002140b11ce,c3,c5,27,?,?,surb={'id': '1e0e56b2-95f9-425f-bffe-be9d06da178a', 'route': ['p2', 'e1', 'i10', 'x12', 'p3', 'c3']}
1769504959.6216002,RECEIVED,f796f4a6-fa8b-4bec-a601-e52442af4c9a,36da240d-efc5-4361-9afc-d47bb1036d3d,c5,c3,27,p3,?,surb={'id': 'c98674ea-997b-46d2-94ed-f72891b02dbe', 'route': ['p3', 'e10', 'i6', 'x3', 'p2', 'c5']}
1769504959.643475,RECEIVED,3879ef81-0b26-4f16-af67-37ddddfb4cfc,a9fa856e-f998-449c-9f33-f7f205943b64,c2,c3,27,p3,?,surb={'id': '177b01d5-9690-4e90-840d-cc56f3ce3c32', 'route': ['p3', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769504959.7517698,RECEIVED,d9848042-d566-4657-b051-ea6a53d14322,893c4a75-5231-4182-937f-790ae03bc645,c5,c3,27,p3,?,surb={'id': 'b2e7efd5-8178-43c3-b7da-0f7b462d6012', 'route': ['p3', 'e8', 'i2', 'x10', 'p2', 'c5']}
1769504960.0195909,SENT,eeb0a08c-7c29-4166-95d4-9ef61503ca0a,93905ca6-4d44-40da-bc0a-e3337364e9e4,c3,c5,3404,?,p3,
1769504960.01974,CREATED,2d460914-c8fd-4b51-a36c-53da65099ed3,8e43806e-7681-473a-9559-d002140b11ce,c3,c5,27,?,?,surb={'id': '1e0e56b2-95f9-425f-bffe-be9d06da178a', 'route': ['p2', 'e1', 'i10', 'x12', 'p3', 'c3']}
1769504960.4952376,RECEIVED,d574c05e-8d46-46d4-87e3-efbbccf745bd,37ec72ed-38a0-4047-a19b-6621f65f09ee,c5,c3,27,p3,?,surb={'id': '05f164ad-feec-4ee9-9d5a-38a396a28417', 'route': ['p3', 'e5', 'i2', 'x1', 'p2', 'c5']}
1769504960.5808628,RECEIVED,c7f22c4e-364c-4751-9f0e-245434395738,f4632747-7f0c-40b6-840c-e12576e9bb6c,c2,c3,27,p3,?,surb={'id': '7c2e316b-4dd3-4866-b26f-e101f391afe9', 'route': ['p3', 'e8', 'i1', 'x1', 'p2', 'c2']}
1769504960.79189,RECEIVED,f2ef103d-ea65-4b5d-bf00-0165f305d880,dbe01632-0e61-46a3-bb1a-91ed55997bd7,c2,c3,26,p3,?,surb={'id': '4e1c9e5b-8314-4252-b4f0-d19fbd4e9723', 'route': ['p3', 'e10', 'i3', 'x1', 'p2', 'c2']}
1769504960.8189268,RECEIVED,a4bc8911-9aff-45af-bd2a-c4797fd10b46,dbe01632-0e61-46a3-bb1a-91ed55997bd7,c2,c3,26,p3,?,surb={'id': '4e1c9e5b-8314-4252-b4f0-d19fbd4e9723', 'route': ['p3', 'e10', 'i3', 'x1', 'p2', 'c2']}
1769504960.9239116,RECEIVED,6ebcb484-e197-448f-9212-d2786f551e09,90133322-7320-486d-8378-fa3659de28dc,c2,c3,27,p3,?,surb={'id': 'c28cd331-f12e-401c-b261-992bbbc495a5', 'route': ['p3', 'e11', 'i7', 'x1', 'p2', 'c2']}
1769504961.0127623,RECEIVED,f263f295-65e9-4b9c-8050-dd4ec494785d,36da240d-efc5-4361-9afc-d47bb1036d3d,c5,c3,27,p3,?,surb={'id': 'c98674ea-997b-46d2-94ed-f72891b02dbe', 'route': ['p3', 'e10', 'i6', 'x3', 'p2', 'c5']}
1769504961.0229425,SENT,84e6e00e-2a70-41dc-b7f2-451d6df2a013,41706d87-6f7d-4670-97b4-fb3de2a85ad9,c3,c5,3391,?,p3,
