timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769466095.353696,RECEIVED,ef9eb418-f28b-4b55-bfd9-bb8fc4384199,67c24eaf-3dbd-4467-a3de-06363d3935df,c4,c5,27,p2,?,surb={'id': '0aa714b5-2435-4640-9086-a3cb4d8e230a', 'route': ['p2', 'e2', 'i11', 'x4', 'p1', 'c4']}
1769466095.4294739,SENT,b0b16ebc-2536-49ea-a452-5c272d6550f3,27104c69-d535-4769-835f-188806e1f2f0,c5,c4,3360,?,p2,
1769466095.4313276,CREATED,54459bb9-82fe-4d1d-82f0-83de99f01dd3,5d4a9113-6fbf-404b-8272-a2f40e750a90,c5,c4,27,?,?,surb={'id': '33bc2ab8-6286-42c1-9706-3c7d4ac93f38', 'route': ['p1', 'e8', 'i7', 'x1', 'p2', 'c5']}
1769466095.553446,SENT,05474ef5-36ba-4d80-9326-31c16f3a51ba,724c2dd0-4916-4fc3-8ae6-02bdc5d7c2f6,c5,c4,3344,?,p2,
1769466095.5535462,CREATED,a0328c89-2a4e-46ef-bcb4-6d0ddfa1b6e4,36ba01a5-26ed-4f23-9e0a-a71394d44249,c5,c4,25,?,?,surb={'id': '4ed28ec7-3cd0-4cfa-b1c6-ff1a7503cb8a', 'route': ['p1', 'e6', 'i9', 'x8', 'p2', 'c5']}
1769466095.6083443,SENT,192d3951-b488-4712-a78f-3aeb6e05d96b,61463c2b-0def-4399-a016-16f883eeb2c3,c5,c4,3411,?,p2,
1769466095.608446,CREATED,95037a8c-78a4-44cb-9873-a5941718f11d,f3e960ac-d7bf-4b6e-8904-4f1cc3354b3e,c5,c4,27,?,?,surb={'id': '119c454a-4e42-4cbd-9ce1-0ea28919fd4d', 'route': ['p1', 'e11', 'i12', 'x10', 'p2', 'c5']}
1769466095.6607487,SENT,14d7d8eb-7230-4ea6-bcf2-b05f8da0a9ea,dcf83ed1-206b-4f92-bfc8-b3c980fdc0f2,c5,c4,3401,?,p2,
1769466095.6608481,CREATED,effed20f-32d8-42df-9ac8-2048879696b7,e8fdc01e-30d2-4a73-971f-4af530ee6061,c5,c4,27,?,?,surb={'id': '691fbff7-718d-4d95-a29c-0b785c7e2b55', 'route': ['p1', 'e11', 'i9', 'x10', 'p2', 'c5']}
1769466095.85603,RECEIVED,cc19b3ab-af5a-4119-8954-ffd48d3476e7,5fd2dfb0-638c-41e0-af76-9d5508e33d36,c4,c5,27,p2,?,surb={'id': '698e7813-9eef-4e66-afe4-13f5b9833d17', 'route': ['p2', 'e11', 'i9', 'x8', 'p1', 'c4']}
1769466095.8634253,RECEIVED,b0e39f94-309b-491d-993a-304f4b3a86c1,50d99c78-ad97-4ee0-bb3f-39bed5e3dc73,c2,c5,27,p2,?,surb={'id': '63f85c67-67f3-4565-9cc9-8ebef5d0e3e5', 'route': ['p2', 'e1', 'i2', 'x2', 'p2', 'c2']}
1769466095.9667327,RECEIVED,6ca2e416-6570-4f40-bfbb-d63be31007b1,6d0aec8c-9322-432f-9bbe-eff4fbaee6a2,c4,c5,26,p2,?,surb={'id': 'e90738e3-dd40-4bae-bb4f-118b9463c357', 'route': ['p2', 'e3', 'i9', 'x12', 'p1', 'c4']}
1769466096.1503158,RECEIVED,920596cd-0646-4678-9f04-54ae157d170f,104b7118-2ba0-47fa-88d1-e2108f5e4838,c4,c5,27,p2,?,surb={'id': '2897bcf5-c138-47d4-9358-0374bdc5f287', 'route': ['p2', 'e1', 'i4', 'x10', 'p1', 'c4']}
1769466096.1810403,SENT,322f5e2d-f544-4cbc-8a4e-0b68f7366e41,86886ac2-052b-4cd3-a49b-a32f98198cd1,c5,c4,3368,?,p2,
1769466096.1812346,CREATED,2e930b94-2154-474d-8484-b4ee5d193f12,6f6a6018-f2b6-4450-9707-568f27a6a953,c5,c4,26,?,?,surb={'id': 'f580b92e-3c68-4b9f-83b9-851839fe33b7', 'route': ['p1', 'e6', 'i9', 'x5', 'p2', 'c5']}
1769466096.2450273,RECEIVED,ea088fd5-234a-4504-a8da-652477273c79,69bd70a9-742d-4204-a7e5-6520a8102946,c2,c5,27,p2,?,surb={'id': 'e327021a-7027-4233-9bdc-bf9445752da8', 'route': ['p2', 'e1', 'i9', 'x7', 'p2', 'c2']}
1769466096.2722645,RECEIVED,1c6d0d40-0309-4cbd-a989-700954783cfc,733e129b-895f-4d49-9f15-5103f653f332,c2,c5,27,p2,?,surb={'id': 'fd6a55a1-facd-4d17-a1aa-2d40c829d38a', 'route': ['p2', 'e1', 'i10', 'x3', 'p2', 'c2']}
1769466096.2901359,SENT,a1adc047-5569-46cc-936c-c91db92c06c8,f5d547fa-ca95-45ae-81fb-4f7871accf49,c5,c4,3379,?,p2,
1769466096.2902696,CREATED,cd461154-1a49-431c-9f92-9bfb1d37f2ed,d12e8fd0-da63-4b7c-a51c-4a39641c141c,c5,c4,27,?,?,surb={'id': '44515ecc-7670-45c8-8253-77a78e3263e4', 'route': ['p1', 'e11', 'i5', 'x9', 'p2', 'c5']}
1769466096.308859,SENT,6511f902-4c4a-4434-89b5-415aa1a10a9e,786917fa-ae3f-4733-91d5-5634627baf2f,c5,c4,3408,?,p2,
1769466096.308999,CREATED,d2846e48-fbe9-4fe9-9844-91c7c41d05c4,1bdce681-661b-407d-974f-ecd142f71851,c5,c4,27,?,?,surb={'id': 'a2b7be19-53ee-4721-b338-2652d3637906', 'route': ['p1', 'e3', 'i10', 'x4', 'p2', 'c5']}
1769466096.4004486,RECEIVED,63bd45ae-5e8f-4e92-81d9-3c69dc1ad2c4,365bd673-7fe7-4270-bd27-366960db3e37,c4,c5,27,p2,?,surb={'id': '4ca08e35-d826-4b3d-938f-627705c65477', 'route': ['p2', 'e6', 'i7', 'x9', 'p1', 'c4']}
1769466096.9109895,SENT,b8ec8c30-515c-4ab5-a9ba-e0d57f8a94e9,33df83f3-7d48-4e4c-b457-ab5128e23a63,c5,c4,3359,?,p2,
1769466096.911168,CREATED,1885696c-58a3-4caf-8d1e-f0d8901ad305,85a93b78-2db1-40a0-b2f8-f42828c62682,c5,c4,27,?,?,surb={'id': 'c5f97d3d-7314-4691-ab0b-8cc585884d2a', 'route': ['p1', 'e6', 'i2', 'x5', 'p2', 'c5']}
1769466097.322397,RECEIVED,b1e11729-48c2-4292-88fd-5277017529d7,d5feaa21-e700-4c11-8794-a5c5a05720b9,c4,c5,26,p2,?,surb={'id': 'a68b3f38-290f-45b6-9e18-9eb4a7560544', 'route': ['p2', 'e3', 'i11', 'x1', 'p1', 'c4']}
1769466097.3733122,SENT,28fb2f43-2eba-405e-a5c5-651b408a8beb,20c8aa0f-f85f-4a87-beed-868bdba19f41,c5,c4,3400,?,p2,
1769466097.3734589,CREATED,843e3518-c09e-49e5-b200-211091cfd257,325922af-03b3-4f11-9464-941f104d11ae,c5,c4,27,?,?,surb={'id': '1bb69a8b-9fb2-4e95-9018-098da0b01000', 'route': ['p1', 'e8', 'i11', 'x5', 'p2', 'c5']}
1769466097.464227,RECEIVED,5613d6a0-0c7c-4b06-9bf0-9b445c8ed6e2,bd87d409-3eaa-4ba2-ba2c-0956805d2473,c4,c5,26,p2,?,surb={'id': '3e8ba32f-4932-4fa3-bf46-3d406368d85d', 'route': ['p2', 'e6', 'i4', 'x9', 'p1', 'c4']}
1769466097.5103242,SENT,b0eb315b-bbf6-4731-89fe-94751c51554e,ef56d11f-bd9d-43b7-9f2b-ef9f500759d7,c5,c4,3384,?,p2,
1769466097.51047,CREATED,88ce70fc-cb29-4e8d-9f7f-5250e25ef5b9,21a28448-4518-4f2d-a66f-4f1968bf5be0,c5,c4,27,?,?,surb={'id': 'f561e33d-9fdd-4860-a208-0a20db6b44d7', 'route': ['p1', 'e3', 'i9', 'x9', 'p2', 'c5']}
1769466097.5380874,RECEIVED,e5073af8-0af3-41b9-a1f6-e4a776b1884e,dd51acae-40d3-44a3-8197-e3403dc29f9b,c2,c5,27,p2,?,surb={'id': '2cd83c3f-3afe-4029-a3ba-85b8630c0bbb', 'route': ['p2', 'e1', 'i12', 'x11', 'p2', 'c2']}
1769466097.624733,RECEIVED,e919df51-b66b-4952-b7b4-7a3e59ffd0d1,b691d18b-95fb-4dd1-9a65-dcb1a79cee8c,c4,c5,27,p2,?,surb={'id': '3457068c-d940-4f61-80f6-7701091ba5d2', 'route': ['p2', 'e11', 'i10', 'x6', 'p1', 'c4']}
1769466097.6961124,SENT,d218da0d-2c3d-4c00-b986-8628644afc23,ae6c7894-2e35-4ebd-a7ef-662ac167b960,c5,c4,3396,?,p2,
1769466097.6962657,CREATED,97fe32ce-1696-4b45-b6b8-042170f652a2,d7c04e2d-b0d9-47a8-8852-91ebb3dc94d3,c5,c4,27,?,?,surb={'id': '91c0199e-9db8-4123-a0ff-2f7d3b742580', 'route': ['p1', 'e11', 'i11', 'x12', 'p2', 'c5']}
1769466097.7951083,SENT,5379e8e7-a3d1-4f9f-8f5d-2b61ef660d9a,8ebd80f9-80cf-4612-9b40-ab40d66dc1a3,c5,c4,3386,?,p2,
1769466097.7952654,CREATED,cb9217af-fb81-4570-976e-237908867fa4,dc69f522-8e30-44e8-9b3e-4de89e95d31e,c5,c4,27,?,?,surb={'id': 'd65b8684-99b3-4d31-b760-2e4996a0eee4', 'route': ['p1', 'e2', 'i12', 'x8', 'p2', 'c5']}
