timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744221.6012003,RECEIVED,a1f47e36-45e5-42a7-8b9a-fdffe4030258,fb918471-045d-4d2c-859a-adafb7160fa8,c1,c3,26,p3,?,surb={'id': 'df6a2147-30f2-422c-be68-cd424050d268', 'route': ['p3', 'e7', 'i4', 'x12', 'p1', 'c1']}
1769744222.1014278,RECEIVED,0dec76aa-65ec-44cb-bbee-efbd54419cc0,581811c0-f7af-4302-8ab8-d5bdacc4343a,c1,c3,27,p3,?,surb={'id': 'c013311a-24d5-418c-ab1c-3cf05329e856', 'route': ['p3', 'e8', 'i12', 'x5', 'p1', 'c1']}
1769744222.2648566,SENT,330e84fb-1713-4b78-8b1c-a0cce74933d3,977be892-3ff8-43ff-a332-aae5bdc92533,c3,c1,3391,?,p3,
1769744222.2650096,CREATED,9cc35d48-117a-4135-accc-462e639e77ea,d20be255-6289-487e-8e6a-46d886df9c29,c3,c1,27,?,?,surb={'id': '1876f8cf-0a72-48cb-a959-862cc2df5cfa', 'route': ['p1', 'e9', 'i12', 'x1', 'p3', 'c3']}
1769744222.3593404,SENT,b798fe93-b43e-4d67-a39b-dd31e1e1cbdb,90382254-d3a6-4bdd-8293-fcaeef59eaff,c3,c1,3399,?,p3,
1769744222.3594718,CREATED,45fb3359-1685-4a8d-8b78-4f42ab39d9ea,d20be255-6289-487e-8e6a-46d886df9c29,c3,c1,27,?,?,surb={'id': '1876f8cf-0a72-48cb-a959-862cc2df5cfa', 'route': ['p1', 'e9', 'i12', 'x1', 'p3', 'c3']}
1769744222.4005108,SENT,e68f837d-158f-450c-8cc4-1d7eb68d390f,70584231-0111-4647-b330-b2525bb3fb48,c3,c1,3392,?,p3,
1769744222.4006503,CREATED,21cb1b7a-4ce4-4f6c-bfb0-4a5d2aa57387,2698ff8a-2508-4561-b644-e06e9e71d6a3,c3,c1,27,?,?,surb={'id': '0edd7473-dbc2-45cd-ae7a-b6588ffc9cd4', 'route': ['p1', 'e11', 'i5', 'x8', 'p3', 'c3']}
1769744223.0949113,SENT,6470379f-550d-47e0-b944-6fca1cc1029b,c9f49466-9074-49ed-a7f5-3a3244e85ab0,c3,c1,3384,?,p3,
1769744223.0951352,CREATED,7d2d1b46-5001-47a7-ad92-dacaf3d4c853,2698ff8a-2508-4561-b644-e06e9e71d6a3,c3,c1,27,?,?,surb={'id': '0edd7473-dbc2-45cd-ae7a-b6588ffc9cd4', 'route': ['p1', 'e11', 'i5', 'x8', 'p3', 'c3']}
1769744223.5123303,RECEIVED,7d22540b-1b07-4f15-b51e-886f53c0fb0a,581811c0-f7af-4302-8ab8-d5bdacc4343a,c1,c3,27,p3,?,surb={'id': 'c013311a-24d5-418c-ab1c-3cf05329e856', 'route': ['p3', 'e8', 'i12', 'x5', 'p1', 'c1']}
1769744223.587458,SENT,462c88b7-875e-434e-aae2-d09196335e94,b7d9b619-737b-4d16-ba15-dca7ce95111f,c3,c1,3363,?,p3,
1769744223.587595,CREATED,146763c4-4d3a-4a60-90b9-a6ea28a96bb9,09bdaad0-ac80-4a89-8ec3-16353060e928,c3,c1,27,?,?,surb={'id': 'df9774b3-e67d-47cd-b160-2f9b885a58ad', 'route': ['p1', 'e6', 'i8', 'x2', 'p3', 'c3']}
1769744223.6906345,SENT,4f7ea17c-e939-44c6-ab3f-31905fe81fa9,e92232d1-3eb7-4925-b8f2-92b250510ed9,c3,c1,3372,?,p3,
