timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744228.492918,CREATED,48ff40a8-a0de-40b5-8f7b-3b4773ae4e5a,086950e6-dbab-41d1-ac29-11f19f425c8c,c5,c1,27,?,?,surb={'id': '9c339f86-e43c-453f-994d-d2dd244cb246', 'route': ['p1', 'e7', 'i7', 'x2', 'p2', 'c5']}
1769744228.520766,RECEIVED,a4e480de-dba3-4b71-8e8d-15a26c6ea376,f4c31452-f5e1-445c-b7c9-e4b3cfca1fbb,c4,c5,27,p2,?,surb={'id': '63d745f7-b7a2-4e74-9c4d-c8a1c36d0e97', 'route': ['p2', 'e5', 'i7', 'x11', 'p1', 'c4']}
1769744228.5506048,SENT,77a22436-9d33-4400-90fb-b579759eb36d,2f6f0f58-ca1e-4d10-a5fe-273a6009bf11,c5,c1,3400,?,p2,
1769744228.5507426,CREATED,31847363-edea-491f-adaf-884ba528f65e,4641ca47-d8d5-40f5-bce6-06478fe848e3,c5,c1,27,?,?,surb={'id': '7ed18d0d-9aed-4580-b925-f0a08b1d5477', 'route': ['p1', 'e10', 'i12', 'x11', 'p2', 'c5']}
1769744228.7182484,RECEIVED,b767b3b7-1a38-4572-b846-025410f2eb9f,0600c4be-da31-4581-8f99-7ee99f37f297,c4,c5,27,p2,?,surb={'id': 'd1f8d7ed-2b98-454e-96e2-a75504f49be3', 'route': ['p2', 'e11', 'i11', 'x7', 'p1', 'c4']}
1769744228.8856657,SENT,c86cd7d9-37d2-49f4-a648-d1908177ef7f,184a7a17-f6bc-4df8-a330-de72293a4dd4,c5,c1,3392,?,p2,
1769744228.8858125,CREATED,a764c64a-6708-416a-ba5b-5a6090322ec9,4641ca47-d8d5-40f5-bce6-06478fe848e3,c5,c1,27,?,?,surb={'id': '7ed18d0d-9aed-4580-b925-f0a08b1d5477', 'route': ['p1', 'e10', 'i12', 'x11', 'p2', 'c5']}
1769744229.4621875,RECEIVED,153465ef-c58e-459e-ba16-60fb207248b7,0600c4be-da31-4581-8f99-7ee99f37f297,c4,c5,27,p2,?,surb={'id': 'd1f8d7ed-2b98-454e-96e2-a75504f49be3', 'route': ['p2', 'e11', 'i11', 'x7', 'p1', 'c4']}
1769744229.534384,RECEIVED,b186eff6-4e0e-495f-854c-06cc54e209a5,578f6162-6534-4593-9503-58500288d8d6,c4,c5,27,p2,?,surb={'id': 'f6a7beda-5bf1-4e8c-ae80-4fed7221e638', 'route': ['p2', 'e9', 'i6', 'x7', 'p1', 'c4']}
1769744229.671563,RECEIVED,c2fa8914-15d5-4c1e-9adf-2895c3a47105,1bbe741d-1e7f-4b98-a315-f89dbb02faaa,c4,c5,27,p2,?,surb={'id': 'a4cad972-3d3c-4a35-ada4-da56501cd59a', 'route': ['p2', 'e3', 'i5', 'x7', 'p1', 'c4']}
1769744229.676784,SENT,e5f5be82-3a15-406b-bc6e-cac6236470de,406425de-1de1-4351-b580-33610040aeb4,c5,c1,3384,?,p2,
1769744229.6769197,CREATED,533349e5-699e-4a58-8ac3-6f2d8485e92a,73b53f88-0002-43c1-b114-b86957a77d01,c5,c1,27,?,?,surb={'id': '9dda6835-4ccf-40d9-8b1f-7373594e741f', 'route': ['p1', 'e8', 'i6', 'x7', 'p2', 'c5']}
1769744229.7273312,RECEIVED,c5ffe253-fd70-4afc-8972-6740b13df586,d8c2fda3-761c-4500-981b-ba404b0e4665,c4,c5,27,p2,?,surb={'id': 'c9af7504-01d1-4dc9-a02e-79bf7c88f727', 'route': ['p2', 'e4', 'i4', 'x6', 'p1', 'c4']}
