timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467937.1179838,SENT,d4d2eede-a2e1-4a43-9a0a-a2f3c372be3d,deebeafd-8e98-4cd3-9a5a-cbe073da0885,c4,c3,3395,?,p1,
1769467937.1182382,CREATED,d6a0d472-1568-47af-bdcc-69213c4bb3b7,49cef9f8-422b-461e-bafb-d1f2c4895bf5,c4,c3,27,?,?,surb={'id': '5a26a1c0-b7d9-41dd-8b67-8b95c5cda22b', 'route': ['p3', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769467938.865856,SENT,ab3072d5-16a5-4058-894e-45c1a3f400a6,b10e36db-ea15-4e1d-a6aa-3dd69a37dccc,c4,c3,3383,?,p1,
1769467938.8660135,CREATED,8b37cca9-a7b7-47ca-8220-ec115113960f,e4fa7be4-04b8-4191-8036-32ee8fb5dc6a,c4,c3,26,?,?,surb={'id': '0be463e2-c54c-4ec3-ae0d-123cb1f6d545', 'route': ['p3', 'e8', 'i3', 'x5', 'p1', 'c4']}
1769467938.9473474,SENT,53da484b-8ad0-4cb5-97a7-4d294e931929,2febcae0-79af-4725-af79-3b99e225e60c,c4,c3,3360,?,p1,
1769467938.9474773,CREATED,cd4a40d3-15b2-426d-b753-4b9fa3bbe6dc,c7b9951b-3d6e-4b67-b63a-88f2f645cb00,c4,c3,27,?,?,surb={'id': '37edb1cf-8df7-4ea5-aabc-7011f6e1fa4d', 'route': ['p3', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769467939.2996945,RECEIVED,6abf746f-bb19-4326-b32f-f8695ca63c01,ec50506c-e83e-4a21-8070-a6462bedee8b,c2,c4,27,p1,?,surb={'id': 'e8f1213d-13c3-49f8-ba62-27672fc1dc31', 'route': ['p1', 'e3', 'i7', 'x10', 'p2', 'c2']}
1769467939.39296,SENT,bced28d4-ec61-4ca6-9340-d55b5c023568,f1fb50a9-2ee2-48c4-8b9b-74ee957b3de1,c4,c3,3371,?,p1,
1769467939.3931117,CREATED,4bd3c4a8-2b77-4491-93ef-172b62bff379,c7b9951b-3d6e-4b67-b63a-88f2f645cb00,c4,c3,27,?,?,surb={'id': '37edb1cf-8df7-4ea5-aabc-7011f6e1fa4d', 'route': ['p3', 'e7', 'i2', 'x1', 'p1', 'c4']}
1769467939.582261,RECEIVED,0f44512b-2716-4bf1-829b-a763748a93e1,ec50506c-e83e-4a21-8070-a6462bedee8b,c2,c4,27,p1,?,surb={'id': 'e8f1213d-13c3-49f8-ba62-27672fc1dc31', 'route': ['p1', 'e3', 'i7', 'x10', 'p2', 'c2']}
1769467939.7851663,SENT,7cbeab36-7a22-4503-affc-05a94a88f588,f9af36d8-d891-4d03-87ce-1340cc403b08,c4,c3,3383,?,p1,
1769467939.7852983,CREATED,cb8c2d5d-fa4b-4ca0-8e42-9d051a82e2b1,0c7c9386-de25-4b38-838b-b1d613d94e69,c4,c3,27,?,?,surb={'id': '477bc89f-35a8-41b8-a041-ef669edfe5e6', 'route': ['p3', 'e1', 'i8', 'x1', 'p1', 'c4']}
1769467940.019901,SENT,f71217bf-f366-48cf-9954-74466273fca8,f09b3b92-c0c2-4240-9328-1dcce6b64093,c4,c3,3384,?,p1,
1769467940.02008,CREATED,3acada11-d0c1-49d3-856d-fb1eb790f9e4,0c7c9386-de25-4b38-838b-b1d613d94e69,c4,c3,27,?,?,surb={'id': '477bc89f-35a8-41b8-a041-ef669edfe5e6', 'route': ['p3', 'e1', 'i8', 'x1', 'p1', 'c4']}
1769467940.2420986,SENT,ea16588c-3d87-4549-b99a-f7d2eb292272,1292b425-57f1-4263-8bf7-a72add538370,c4,c3,3388,?,p1,
1769467940.2422516,CREATED,35178561-3b61-4f1f-b14c-22ec08d1a451,39e4247a-e9cb-4468-a157-bebf645b7985,c4,c3,27,?,?,surb={'id': 'a21872fd-d645-4896-acc2-3950b7c3d39b', 'route': ['p3', 'e8', 'i11', 'x7', 'p1', 'c4']}
1769467940.3295414,SENT,cb80b9c9-d0fd-404b-b4d5-62736dfd0507,22640ce8-d2aa-4c4b-8ad5-682940b348a5,c4,c3,3383,?,p1,
1769467940.329679,CREATED,dbed20d3-6c19-41a5-9d4e-ee00d891bc6f,39e4247a-e9cb-4468-a157-bebf645b7985,c4,c3,27,?,?,surb={'id': 'a21872fd-d645-4896-acc2-3950b7c3d39b', 'route': ['p3', 'e8', 'i11', 'x7', 'p1', 'c4']}
1769467940.3696382,RECEIVED,7a33ef9e-19b1-49e7-b9a5-d2aaa6b2fb2a,2a916e43-2eb3-4a6c-ab3a-d88c28143da9,c2,c4,27,p1,?,surb={'id': '7c137fff-8e39-46d4-bde8-302b1745e59f', 'route': ['p1', 'e7', 'i1', 'x8', 'p2', 'c2']}
1769467940.4354186,RECEIVED,afa6a016-5b20-4997-83b5-02614a3f6fea,37e5259a-0567-453d-97b2-a7c10dcce36d,c2,c4,27,p1,?,surb={'id': 'ebd37022-1db7-475a-90fa-719c21de0f43', 'route': ['p1', 'e4', 'i8', 'x9', 'p2', 'c2']}
1769467940.565838,RECEIVED,d94a5bed-1a9a-4d3d-bdb0-166ee4f6c744,2a916e43-2eb3-4a6c-ab3a-d88c28143da9,c2,c4,27,p1,?,surb={'id': '7c137fff-8e39-46d4-bde8-302b1745e59f', 'route': ['p1', 'e7', 'i1', 'x8', 'p2', 'c2']}
1769467940.5790317,SENT,6894f5be-6228-4867-a0bd-4cdabe7d31b7,d01aa02d-6554-44d6-bf59-e630b972b1b2,c4,c3,3384,?,p1,
1769467940.579255,CREATED,03c1e7af-0329-4b52-8ad2-63bc5ee23b5c,4e0dbc81-ceae-4521-b70e-ca8bfc343e26,c4,c3,27,?,?,surb={'id': 'd2e12473-376a-480a-bedd-bd17c15144d3', 'route': ['p3', 'e4', 'i7', 'x5', 'p1', 'c4']}
1769467940.921615,SENT,98a8f1bc-786a-46f1-b723-c9a2de2c0608,d8382d13-46df-44b9-99f9-17239dd7a9eb,c4,c3,3384,?,p1,
1769467940.921758,CREATED,7f379ff9-fd6e-4668-a121-8e6bb48d835f,4e0dbc81-ceae-4521-b70e-ca8bfc343e26,c4,c3,27,?,?,surb={'id': 'd2e12473-376a-480a-bedd-bd17c15144d3', 'route': ['p3', 'e4', 'i7', 'x5', 'p1', 'c4']}
1769467941.2179577,SENT,a1564a3c-658d-4a60-94a4-2ce73d3506cb,1fa7b84a-df3e-4e00-970b-a89ea5aa4098,c4,c3,3383,?,p1,
1769467941.218114,CREATED,503b64e6-9475-4ef6-b327-17077ca998ae,45ca9d6b-5dc3-488e-a016-cf24018c5e21,c4,c3,27,?,?,surb={'id': '20eabb10-a955-4445-8813-3d5bcf4bcf3b', 'route': ['p3', 'e5', 'i5', 'x7', 'p1', 'c4']}
1769467941.5124748,RECEIVED,0c640f2f-0609-4fe6-a532-93e92661da23,69c75fee-0864-4b27-b4b9-036baaaa1cae,c2,c4,26,p1,?,surb={'id': 'ab2f62cf-4b5c-47a7-9045-a2bc2142a048', 'route': ['p1', 'e4', 'i11', 'x2', 'p2', 'c2']}
1769467941.8534966,RECEIVED,e0a19e5e-6f4e-4299-9b37-feeb325fd61e,7bfea99d-5ca9-4120-9922-35f2b7c53d1e,c2,c4,26,p1,?,surb={'id': '4256e79e-9e39-49ed-b1dd-bfcd844c5e0b', 'route': ['p1', 'e10', 'i2', 'x6', 'p2', 'c2']}
1769467941.9211776,SENT,2e5040cd-1d71-4e0d-bbf4-faddb41a9987,85c135e1-15c6-47b3-ab66-47ae258dc623,c4,c3,3400,?,p1,
1769467941.9213243,CREATED,4149818d-3800-4992-be0a-52f039fe088a,45ca9d6b-5dc3-488e-a016-cf24018c5e21,c4,c3,27,?,?,surb={'id': '20eabb10-a955-4445-8813-3d5bcf4bcf3b', 'route': ['p3', 'e5', 'i5', 'x7', 'p1', 'c4']}
1769467941.9578,RECEIVED,24553131-7b15-4c43-a407-914e588a35b0,c1acb871-e5db-47f6-82d2-c628f4e39fb3,c2,c4,27,p1,?,surb={'id': '25375e71-48a9-44b4-89c9-aeedae929f73', 'route': ['p1', 'e8', 'i5', 'x6', 'p2', 'c2']}
1769467942.059021,SENT,d8599988-399f-4479-b987-15efeb46b80c,6674d122-47f1-49c7-9b92-bf4df99e883a,c4,c3,3399,?,p1,
1769467942.060041,CREATED,43f5bb8a-4463-447e-b779-e15ef8bce7a0,13d9d469-a475-47b7-be65-9839c757e7f2,c4,c3,26,?,?,surb={'id': '7b9430b8-182c-4468-b1a2-d892b0b8473f', 'route': ['p3', 'e2', 'i12', 'x10', 'p1', 'c4']}
1769467942.290827,RECEIVED,934820aa-97ce-466b-902c-5accb781b5e1,4f89d722-72d4-445b-9e2f-7239b8080974,c2,c4,26,p1,?,surb={'id': 'a6f6491b-09f7-42c1-b071-e6ba67f8b12c', 'route': ['p1', 'e3', 'i6', 'x9', 'p2', 'c2']}
1769467942.3555505,RECEIVED,e624bec2-4d25-4239-b92d-dbe5f32a3b37,c1acb871-e5db-47f6-82d2-c628f4e39fb3,c2,c4,27,p1,?,surb={'id': '25375e71-48a9-44b4-89c9-aeedae929f73', 'route': ['p1', 'e8', 'i5', 'x6', 'p2', 'c2']}
1769467942.4878502,SENT,7f40132b-22e6-41c0-9b4f-09a0539ae54b,da5c2496-dd85-4ca2-b151-0fda8322a5b1,c4,c3,3389,?,p1,
1769467942.4879973,CREATED,11b23233-edda-4925-9b41-1a203894a5ae,13d9d469-a475-47b7-be65-9839c757e7f2,c4,c3,26,?,?,surb={'id': '7b9430b8-182c-4468-b1a2-d892b0b8473f', 'route': ['p3', 'e2', 'i12', 'x10', 'p1', 'c4']}
1769467942.7876046,SENT,a6332684-78fd-4685-a276-64f577bfca70,f37475a8-792f-4274-9efb-7a936077a6b2,c4,c3,3387,?,p1,
1769467942.7877536,CREATED,faf0cb82-32da-4683-98c6-ef90154e660a,7064e95b-5d42-4df8-8359-d350f743379d,c4,c3,27,?,?,surb={'id': 'f1a110e6-48f4-42e2-bb0b-e035eb1f1bb6', 'route': ['p3', 'e7', 'i8', 'x10', 'p1', 'c4']}
1769467942.880693,RECEIVED,d73be257-7f99-4d2d-a823-fb30ca8a28a5,7bfea99d-5ca9-4120-9922-35f2b7c53d1e,c2,c4,26,p1,?,surb={'id': '4256e79e-9e39-49ed-b1dd-bfcd844c5e0b', 'route': ['p1', 'e10', 'i2', 'x6', 'p2', 'c2']}
1769467942.990523,RECEIVED,f14c5240-636e-46bd-b3b7-4efb09ae1739,37e5259a-0567-453d-97b2-a7c10dcce36d,c2,c4,27,p1,?,surb={'id': 'ebd37022-1db7-475a-90fa-719c21de0f43', 'route': ['p1', 'e4', 'i8', 'x9', 'p2', 'c2']}
1769467943.3569505,SENT,5e4bc4e6-ec21-42b7-8726-319b20c4b31a,0eb5bdd6-86f8-4951-98be-da0c978ec6ff,c4,c3,3374,?,p1,
1769467943.3571296,CREATED,305eed18-1120-47ed-b555-e5768665b990,7064e95b-5d42-4df8-8359-d350f743379d,c4,c3,27,?,?,surb={'id': 'f1a110e6-48f4-42e2-bb0b-e035eb1f1bb6', 'route': ['p3', 'e7', 'i8', 'x10', 'p1', 'c4']}
1769467943.3982358,SENT,0ca4a10d-3cb5-45e6-b078-2e764bd656e7,cd914ac0-5ccf-4973-abc9-e727b5a8b7d0,c4,c3,3380,?,p1,
1769467943.3983965,CREATED,8dd36012-5a01-41cc-86a3-da49d046e813,f8105f36-e2ce-48b4-8d79-6bddda4c05ec,c4,c3,27,?,?,surb={'id': 'bf61bd39-08d0-407c-953f-c7d34fb54fa2', 'route': ['p3', 'e5', 'i4', 'x2', 'p1', 'c4']}
1769467943.4552698,RECEIVED,37c98e57-7b10-405c-89c2-ffc4fd59b175,69c75fee-0864-4b27-b4b9-036baaaa1cae,c2,c4,26,p1,?,surb={'id': 'ab2f62cf-4b5c-47a7-9045-a2bc2142a048', 'route': ['p1', 'e4', 'i11', 'x2', 'p2', 'c2']}
1769467943.4678545,RECEIVED,aa0f7008-44e1-4cee-b681-be566f80bf43,a441cc84-f3b8-4372-b122-5f733127976e,c2,c4,27,p1,?,surb={'id': 'e4cc0d62-b07c-4596-a7a8-725e0d894df2', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769467943.7896063,SENT,ba3dd465-69a8-4d6a-aa17-b9466ed201fd,aea26669-1399-4d93-9272-18393e6bf786,c4,c3,3376,?,p1,
1769467943.7896805,CREATED,a8fe9e06-64d4-4f9e-a3b9-6be34655c8d1,f8105f36-e2ce-48b4-8d79-6bddda4c05ec,c4,c3,27,?,?,surb={'id': 'bf61bd39-08d0-407c-953f-c7d34fb54fa2', 'route': ['p3', 'e5', 'i4', 'x2', 'p1', 'c4']}
1769467943.7937346,SENT,28c65a82-974e-40a0-80f4-f4401fad7015,06576d6c-bbcd-4c96-93db-96c351315f53,c4,c3,3383,?,p1,
1769467943.7938082,CREATED,85afe8c1-316b-44ce-b511-df0f3e37b39b,5757ba18-ff21-4687-aeab-f39f586b3bee,c4,c3,27,?,?,surb={'id': '060b38e2-a87f-4d87-a24a-5e66a449c929', 'route': ['p3', 'e2', 'i5', 'x3', 'p1', 'c4']}
1769467943.8549514,SENT,127f7599-78f3-49ef-be2d-dc7eb07d64ad,40a0d9a2-94a4-4032-a05a-c99f89f9e4ed,c4,c3,3375,?,p1,
1769467943.8550448,CREATED,015c3d68-e8f6-4795-ad09-5290882d1a8a,5757ba18-ff21-4687-aeab-f39f586b3bee,c4,c3,27,?,?,surb={'id': '060b38e2-a87f-4d87-a24a-5e66a449c929', 'route': ['p3', 'e2', 'i5', 'x3', 'p1', 'c4']}
1769467944.0493371,RECEIVED,236c7e45-4973-475f-b93b-b2a628be3d91,a441cc84-f3b8-4372-b122-5f733127976e,c2,c4,27,p1,?,surb={'id': 'e4cc0d62-b07c-4596-a7a8-725e0d894df2', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769467944.3749404,SENT,5cb1653e-77b1-4d20-9f87-dee6f0c3d353,a9f5121c-1cae-408c-967a-1db7147307f0,c4,c3,3375,?,p1,
1769467944.37504,CREATED,9057abd3-5663-4c16-93ec-f6c01e570190,913c40f6-ec86-4d91-acb9-b0cf96802c9f,c4,c3,26,?,?,surb={'id': '5df13765-10dd-47be-8bd5-3e4b0b4c4dd2', 'route': ['p3', 'e12', 'i4', 'x4', 'p1', 'c4']}
1769467944.7087739,SENT,07623851-a985-4ec0-86b3-f171270f2312,9205b901-bd98-4f25-8146-3214230eed56,c4,c3,3372,?,p1,
1769467944.708922,CREATED,8830516a-9360-43c0-9f85-f6d218f18e2c,913c40f6-ec86-4d91-acb9-b0cf96802c9f,c4,c3,26,?,?,surb={'id': '5df13765-10dd-47be-8bd5-3e4b0b4c4dd2', 'route': ['p3', 'e12', 'i4', 'x4', 'p1', 'c4']}
1769467944.7669473,RECEIVED,93d90541-9a8f-405b-8b68-1423557c636a,4f89d722-72d4-445b-9e2f-7239b8080974,c2,c4,26,p1,?,surb={'id': 'a6f6491b-09f7-42c1-b071-e6ba67f8b12c', 'route': ['p1', 'e3', 'i6', 'x9', 'p2', 'c2']}
1769467944.7828488,SENT,0ed313eb-86f7-490a-9f70-4539efc257be,02c5aa14-0e06-46fd-8a5c-67f654e15edf,c4,c3,3392,?,p1,
1769467944.783009,CREATED,62c6611a-f001-40fb-b4b1-95f98b3f7bbc,61c88215-fc2b-4f52-81dc-b5e495d5db10,c4,c3,27,?,?,surb={'id': '2047812e-899c-40eb-8808-deff3aacf816', 'route': ['p3', 'e11', 'i3', 'x3', 'p1', 'c4']}
1769467944.9067197,RECEIVED,f9ecb3f8-299c-4a3f-84a5-80eddc160ca1,96a850c5-41de-4bbc-842e-8cf0946a46b0,c2,c4,27,p1,?,surb={'id': '5e61d94c-bc8b-4eec-aac8-06ce64376db8', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769467945.0663557,RECEIVED,0d69e037-fe94-483f-b816-32a3f9c84f86,96a850c5-41de-4bbc-842e-8cf0946a46b0,c2,c4,27,p1,?,surb={'id': '5e61d94c-bc8b-4eec-aac8-06ce64376db8', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769467945.3457172,SENT,568fc390-16ef-4d67-808e-9d58f7cf9607,1676cea4-408b-4749-9d58-634c7d3a64cf,c4,c3,3381,?,p1,
1769467945.345865,CREATED,7a121838-dcf3-4e13-9b96-7d6d8e397a63,61c88215-fc2b-4f52-81dc-b5e495d5db10,c4,c3,27,?,?,surb={'id': '2047812e-899c-40eb-8808-deff3aacf816', 'route': ['p3', 'e11', 'i3', 'x3', 'p1', 'c4']}
1769467945.5116491,RECEIVED,e4efc5dd-c0c9-4ee0-9e32-4d3f45e9abaa,8af1113d-54ed-4c5b-8243-c52d77d10fcd,c2,c4,26,p1,?,surb={'id': '4e55911d-1d10-42ea-a652-d05b02da95a0', 'route': ['p1', 'e12', 'i11', 'x9', 'p2', 'c2']}
1769467945.8742847,SENT,db37b230-7529-4d59-ab65-9d7135e4fd46,1faa2b44-7449-4382-9aa1-d436ee26770f,c4,c3,3371,?,p1,
1769467945.8744295,CREATED,4144a45b-45a7-49ec-97c8-f663d90f6768,b072e36a-f31a-4d3f-be12-352140e21c9f,c4,c3,26,?,?,surb={'id': 'b50f2bfd-af98-47cd-8feb-909d3c07c967', 'route': ['p3', 'e10', 'i1', 'x6', 'p1', 'c4']}
1769467945.9162083,SENT,6991a44b-28f8-4b1e-a99d-a91e35af2192,52ac1137-66ca-458d-8f9f-4d6d898ffc18,c4,c3,3381,?,p1,
1769467945.9163566,CREATED,8dcd86a7-2a71-4b1d-9b93-8533da76c04b,b072e36a-f31a-4d3f-be12-352140e21c9f,c4,c3,26,?,?,surb={'id': 'b50f2bfd-af98-47cd-8feb-909d3c07c967', 'route': ['p3', 'e10', 'i1', 'x6', 'p1', 'c4']}
1769467946.3885305,SENT,91e67ea8-ea12-4aad-9225-908e910ddc00,7a84587e-e046-4944-a36f-ae9a76773526,c4,c3,3391,?,p1,
1769467946.3886776,CREATED,4923d1c7-db54-4f06-8f97-b9d4f48095b7,1f9d8512-a652-44a2-8682-25ec9e5e29cf,c4,c3,27,?,?,surb={'id': 'a00fe2a4-4102-407e-a5e2-4ca837545464', 'route': ['p3', 'e12', 'i6', 'x5', 'p1', 'c4']}
1769467946.4112453,RECEIVED,1b1abdb5-8e56-4bc6-9c18-132dd74958b5,8af1113d-54ed-4c5b-8243-c52d77d10fcd,c2,c4,26,p1,?,surb={'id': '4e55911d-1d10-42ea-a652-d05b02da95a0', 'route': ['p1', 'e12', 'i11', 'x9', 'p2', 'c2']}
1769467946.465744,SENT,618cf88e-510e-4a6f-9123-9ed4d1b7368c,9d6dc33b-5d42-43b5-8439-b946ce71dc67,c4,c3,3388,?,p1,
1769467946.465892,CREATED,8151b634-b02e-407f-a9aa-3b551ced68d2,1f9d8512-a652-44a2-8682-25ec9e5e29cf,c4,c3,27,?,?,surb={'id': 'a00fe2a4-4102-407e-a5e2-4ca837545464', 'route': ['p3', 'e12', 'i6', 'x5', 'p1', 'c4']}
1769467946.9455993,RECEIVED,b2563d76-44c0-49b7-b285-733e7d0bca28,0d18ddb8-6040-4621-8929-db7ac88cfa6d,c2,c4,26,p1,?,surb={'id': '138017eb-9f01-4f4a-88b5-d43482395f19', 'route': ['p1', 'e9', 'i5', 'x10', 'p2', 'c2']}
1769467947.4257638,SENT,0c68137b-9200-4675-8f09-b55773d0a661,3942d62c-cb08-437c-b7cc-1a00495d7ea9,c4,c3,3368,?,p1,
1769467947.425864,CREATED,62a84c91-c386-4a35-8609-98eedea3ab66,29e202f9-c947-41ac-8463-15d5f18cd4cd,c4,c3,26,?,?,surb={'id': 'bd430aa7-6910-458a-a270-50af38c11c36', 'route': ['p3', 'e9', 'i12', 'x11', 'p1', 'c4']}
1769467947.898733,SENT,f45a829d-f502-42ca-a612-ca2660d65b86,a99360e5-5c42-491c-b581-7b4e0b71776f,c4,c3,3380,?,p1,
1769467947.8988943,CREATED,d32cf6fd-868b-4ebf-b065-e960f51ef8cc,29e202f9-c947-41ac-8463-15d5f18cd4cd,c4,c3,26,?,?,surb={'id': 'bd430aa7-6910-458a-a270-50af38c11c36', 'route': ['p3', 'e9', 'i12', 'x11', 'p1', 'c4']}
1769467948.0357594,SENT,425cded8-80e1-45c6-ae9f-dadaf8dae25f,6820cbd0-5be0-44a3-bea0-d77bda0835a7,c4,c3,3386,?,p1,
1769467948.0359087,CREATED,8e3e8132-bd8e-4c77-aa4b-be54f13eca0b,4e75ff0e-7298-44d2-aeca-d237a6ff3e0d,c4,c3,27,?,?,surb={'id': 'afb09160-aeb3-4061-a4b2-a2a4ffce0913', 'route': ['p3', 'e12', 'i1', 'x4', 'p1', 'c4']}
1769467948.228548,RECEIVED,48aea723-8c43-4d60-9dcd-633ef1b7f544,d18d41d6-1ae4-40a5-9ff5-1ef70d240034,c2,c4,27,p1,?,surb={'id': '40b0ae36-479b-4e6c-861e-74c688a01ddc', 'route': ['p1', 'e4', 'i10', 'x1', 'p2', 'c2']}
1769467948.58086,RECEIVED,327f6c1f-56e1-4dac-b665-180f211297d8,57483679-5888-4699-8b9d-a6fbe1f53cdb,c2,c4,26,p1,?,surb={'id': 'b5002f1b-bf8f-4f3d-887f-d3511ed4061d', 'route': ['p1', 'e3', 'i10', 'x6', 'p2', 'c2']}
1769467948.9277985,RECEIVED,453955b5-2f56-4326-9db2-f1ca3055bf33,d57ccb9b-98b7-4ed9-9f98-5727db3be935,c2,c4,27,p1,?,surb={'id': '27c046c4-1d4d-4204-a537-a44cd8ea54d5', 'route': ['p1', 'e3', 'i7', 'x4', 'p2', 'c2']}
1769467948.9282205,SENT,86629a61-a347-440d-b72d-d323794c6bb5,a32eacdb-54d6-4695-b85e-002f0320c313,c4,c3,3400,?,p1,
1769467948.9289093,CREATED,388d7a1b-b133-45e2-b57f-94180b3c64f8,4e75ff0e-7298-44d2-aeca-d237a6ff3e0d,c4,c3,27,?,?,surb={'id': 'afb09160-aeb3-4061-a4b2-a2a4ffce0913', 'route': ['p3', 'e12', 'i1', 'x4', 'p1', 'c4']}
1769467949.2692077,SENT,77c0afa8-9151-4f0b-a7fd-513bf6874113,e85ea576-ee22-4687-bcbf-267f79753231,c4,c3,3383,?,p1,
1769467949.2693548,CREATED,73e98ab7-029f-4928-8d1b-e4f2407d05a8,2bc12d08-f339-4ae5-94af-c3f48de9f881,c4,c3,27,?,?,surb={'id': '9e90a53b-adbf-4542-9845-7058c4ee04ad', 'route': ['p3', 'e11', 'i9', 'x4', 'p1', 'c4']}
1769467949.4185436,RECEIVED,a3fb8558-6073-4e25-bbe7-774491ee2e2f,57483679-5888-4699-8b9d-a6fbe1f53cdb,c2,c4,26,p1,?,surb={'id': 'b5002f1b-bf8f-4f3d-887f-d3511ed4061d', 'route': ['p1', 'e3', 'i10', 'x6', 'p2', 'c2']}
1769467949.4301288,RECEIVED,d8db56a3-c131-4498-b1ae-1b1c47aaecd6,0d18ddb8-6040-4621-8929-db7ac88cfa6d,c2,c4,26,p1,?,surb={'id': '138017eb-9f01-4f4a-88b5-d43482395f19', 'route': ['p1', 'e9', 'i5', 'x10', 'p2', 'c2']}
1769467949.6360981,SENT,e70a95ef-cb25-47ae-a974-1d2f9e21f8dd,ca80cd83-7e65-4871-8b80-93682c8c4cd7,c4,c3,3380,?,p1,
1769467949.63625,CREATED,9240eef2-a9f1-4133-a568-02c8646e4410,2bc12d08-f339-4ae5-94af-c3f48de9f881,c4,c3,27,?,?,surb={'id': '9e90a53b-adbf-4542-9845-7058c4ee04ad', 'route': ['p3', 'e11', 'i9', 'x4', 'p1', 'c4']}
1769467949.7509854,SENT,a30b3a8b-eacc-4881-a4aa-087e91069cc0,b86c9f21-af79-4881-993c-95a7d8d307ee,c4,c3,3396,?,p1,
1769467949.7511744,CREATED,d46dbded-2613-4ef5-90a0-ff287f234a41,dce51d82-2d77-46b6-a441-e95018a1e5a2,c4,c3,27,?,?,surb={'id': 'caede7ed-5583-4be2-869f-fbdf03b4080e', 'route': ['p3', 'e6', 'i4', 'x4', 'p1', 'c4']}
1769467950.0151353,RECEIVED,1f848dd8-4c89-4a06-8b4d-607d8119546a,d18d41d6-1ae4-40a5-9ff5-1ef70d240034,c2,c4,27,p1,?,surb={'id': '40b0ae36-479b-4e6c-861e-74c688a01ddc', 'route': ['p1', 'e4', 'i10', 'x1', 'p2', 'c2']}
