timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467937.4106207,SENT,09559b6b-32ac-47cb-9252-bfe5ebb96c71,4420d907-f034-49bf-9375-0ebd5a9ee412,c1,c2,3396,?,p1,
1769467937.41081,CREATED,5ee8f046-e49c-4fdf-90b4-12e18eb66437,44e8a973-b5eb-49a8-a1f2-e44c03c52d34,c1,c2,27,?,?,surb={'id': '625ccfc2-d2d3-475e-a17a-46475dac0c92', 'route': ['p2', 'e3', 'i9', 'x5', 'p1', 'c1']}
1769467939.3631065,SENT,348a246e-2f07-4e9c-87d6-7c6ba7c1b465,fe85aeb9-b430-48c2-b3c1-673ce450a634,c1,c2,3400,?,p1,
1769467939.363243,CREATED,af9e29e3-e684-468d-acf5-a6da95a41a78,5298fb1c-19fe-4945-bdf9-ba0b3e86cac9,c1,c2,27,?,?,surb={'id': '0a3cefcf-df29-4668-86b9-699173a29752', 'route': ['p2', 'e10', 'i2', 'x11', 'p1', 'c1']}
1769467939.7227664,SENT,b6f0a0b4-a1a8-4e34-ab5c-f52afaa9964e,e34e3f2a-6c98-4a72-b14c-b9ba577d3216,c1,c2,3401,?,p1,
1769467939.7229018,CREATED,baddbc41-1b8e-4320-aff2-9a8f244081d1,5298fb1c-19fe-4945-bdf9-ba0b3e86cac9,c1,c2,27,?,?,surb={'id': '0a3cefcf-df29-4668-86b9-699173a29752', 'route': ['p2', 'e10', 'i2', 'x11', 'p1', 'c1']}
1769467940.0699084,SENT,dfce23ac-ce1c-4f51-ab89-2ce909174dc1,0bee7ba1-e3ce-4da0-b19d-e89dfd594f2c,c1,c2,3359,?,p1,
1769467940.0700421,CREATED,783301ef-9c54-4606-aeee-f0b9d051d4d7,6ebe892d-d9c4-4d29-91eb-23af57e91eb1,c1,c2,27,?,?,surb={'id': 'acb6865e-9289-4a9f-ad6a-0f972ff8c9b3', 'route': ['p2', 'e8', 'i3', 'x10', 'p1', 'c1']}
1769467940.416366,RECEIVED,f364c426-ca81-4e17-9163-3f8ba0b85ce1,92722076-07eb-4e60-bc4b-658421bb7dd5,c3,c1,27,p1,?,surb={'id': 'f403c6c1-fb8f-4973-b17a-6abedfc5974b', 'route': ['p1', 'e5', 'i8', 'x5', 'p3', 'c3']}
1769467940.7642477,SENT,8961647d-89d5-4db4-947b-9e32b43fb9a0,c2a9130e-8281-4b0e-a191-1e3254e7204e,c1,c2,3391,?,p1,
1769467940.7644088,CREATED,22cf3e0f-3f0b-493d-9b2a-6df3839f7f4d,6ebe892d-d9c4-4d29-91eb-23af57e91eb1,c1,c2,27,?,?,surb={'id': 'acb6865e-9289-4a9f-ad6a-0f972ff8c9b3', 'route': ['p2', 'e8', 'i3', 'x10', 'p1', 'c1']}
1769467941.1635685,SENT,2f6b181c-2720-474e-a540-8686d6858c81,b43a907f-c347-4c56-b9fb-cf3b17256bf2,c1,c2,3401,?,p1,
1769467941.1637204,CREATED,26288b12-9219-4274-aef3-554455cb25c6,0a793882-f702-45e8-942a-c0c5c6d335d4,c1,c2,27,?,?,surb={'id': 'b06dddd2-c834-44f1-8de1-3ac227498e1d', 'route': ['p2', 'e12', 'i3', 'x1', 'p1', 'c1']}
1769467941.223526,RECEIVED,6c28fc50-9231-4ef0-8954-391188d50d26,9ee87f58-1ce6-4a45-890c-f18b2d98b920,c3,c1,27,p1,?,surb={'id': '8213fd6a-12ff-48a5-ad1e-d546980d6a34', 'route': ['p1', 'e3', 'i9', 'x11', 'p3', 'c3']}
1769467941.2695966,SENT,9e5362e3-acfd-4cf9-b01f-7dc17a240cb8,5f6fe661-e8f0-4cfb-9b17-24f6c65c1648,c1,c2,3391,?,p1,
1769467941.2699273,CREATED,e8fcdf2e-07ea-46bc-abd7-0ef830460425,0a793882-f702-45e8-942a-c0c5c6d335d4,c1,c2,27,?,?,surb={'id': 'b06dddd2-c834-44f1-8de1-3ac227498e1d', 'route': ['p2', 'e12', 'i3', 'x1', 'p1', 'c1']}
1769467941.3085294,RECEIVED,ee638a17-a55a-4450-943d-566f95cadf33,9ee87f58-1ce6-4a45-890c-f18b2d98b920,c3,c1,27,p1,?,surb={'id': '8213fd6a-12ff-48a5-ad1e-d546980d6a34', 'route': ['p1', 'e3', 'i9', 'x11', 'p3', 'c3']}
1769467941.5266101,RECEIVED,6bcea91d-62a2-4b38-a435-d620ca57e82a,92722076-07eb-4e60-bc4b-658421bb7dd5,c3,c1,27,p1,?,surb={'id': 'f403c6c1-fb8f-4973-b17a-6abedfc5974b', 'route': ['p1', 'e5', 'i8', 'x5', 'p3', 'c3']}
1769467941.7379081,SENT,622f464b-19fb-4252-8011-3adc2b0562cf,578203e5-92f2-4857-9dac-e7a469b411cc,c1,c2,3396,?,p1,
1769467941.7380881,CREATED,d3e5f98f-7155-4bbf-b6c4-a896be8256ab,e89f29b9-08e7-4ab7-9860-583c9b8b3ca6,c1,c2,27,?,?,surb={'id': '3c8b2d11-c791-4ef5-92dc-2a7d623380cd', 'route': ['p2', 'e3', 'i11', 'x11', 'p1', 'c1']}
1769467941.9623759,RECEIVED,31e168bb-2ad5-4162-b17e-3bacabf834e7,5511832d-d323-4418-a733-ff807f1c3079,c3,c1,27,p1,?,surb={'id': '6b85d400-f534-42a0-95ba-3533e41db8f5', 'route': ['p1', 'e6', 'i3', 'x7', 'p3', 'c3']}
1769467942.0479138,SENT,aa232481-340e-4336-b59e-1f99cd190f5e,c872b210-bd8d-4e4d-b759-99f718166983,c1,c2,3384,?,p1,
1769467942.048107,CREATED,932c4c4c-3120-4d19-9a58-d169324a7a52,e89f29b9-08e7-4ab7-9860-583c9b8b3ca6,c1,c2,27,?,?,surb={'id': '3c8b2d11-c791-4ef5-92dc-2a7d623380cd', 'route': ['p2', 'e3', 'i11', 'x11', 'p1', 'c1']}
1769467942.273993,RECEIVED,3c193851-3a2a-4d33-b79b-c8d5cb541f43,5511832d-d323-4418-a733-ff807f1c3079,c3,c1,27,p1,?,surb={'id': '6b85d400-f534-42a0-95ba-3533e41db8f5', 'route': ['p1', 'e6', 'i3', 'x7', 'p3', 'c3']}
1769467942.3876023,SENT,b0207ce4-74f5-4ef8-be67-8bfa3d022d09,c5eb45b6-84fc-4bae-82e7-794de2dc69fb,c1,c2,3387,?,p1,
1769467942.387779,CREATED,a7e42425-36c9-492c-bb87-6b90d8f41c07,9c764f21-dc4f-40b2-9a9f-b669750f0dcd,c1,c2,27,?,?,surb={'id': '830c939a-1397-4659-b415-bcebe1b96222', 'route': ['p2', 'e5', 'i1', 'x7', 'p1', 'c1']}
1769467942.6072793,SENT,b55ed72a-eeb8-4d68-b93b-7c636b3ccf1b,f8e5e010-d940-4bc3-98cc-c5660442978f,c1,c2,3373,?,p1,
1769467942.6074326,CREATED,e2962c6c-af73-4f86-8ad4-1af9b18ca85a,9c764f21-dc4f-40b2-9a9f-b669750f0dcd,c1,c2,27,?,?,surb={'id': '830c939a-1397-4659-b415-bcebe1b96222', 'route': ['p2', 'e5', 'i1', 'x7', 'p1', 'c1']}
1769467942.6717908,SENT,aad96cc4-f5f1-4abf-93fc-b5e6fd74fb21,1380dfa9-85ac-4f56-9947-80a4acc9ddc1,c1,c2,3383,?,p1,
1769467942.6719444,CREATED,5894cdaf-4116-4e34-bb7b-cb43772872c2,081bce1d-b1b4-4640-80dc-11876b9e8a52,c1,c2,27,?,?,surb={'id': '41460d55-b7ae-4b55-b5c0-d5ea20b3fffe', 'route': ['p2', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769467942.8746817,RECEIVED,509d7881-e03b-4477-ae1a-2f33d566ca0f,650ccfea-d0ee-4e7c-978f-84e1da2334d3,c3,c1,27,p1,?,surb={'id': 'b30bef2d-5b25-432c-a534-ad3c84fc732e', 'route': ['p1', 'e12', 'i9', 'x8', 'p3', 'c3']}
1769467943.0103953,SENT,fbfc10e1-f458-4561-adf3-426cb99b9406,336d2f42-dd70-4c3f-8aa9-f6d3b36ac45c,c1,c2,3376,?,p1,
1769467943.0105388,CREATED,301b3f9a-506b-455f-ba4e-070eb093a50f,081bce1d-b1b4-4640-80dc-11876b9e8a52,c1,c2,27,?,?,surb={'id': '41460d55-b7ae-4b55-b5c0-d5ea20b3fffe', 'route': ['p2', 'e11', 'i1', 'x5', 'p1', 'c1']}
1769467943.1605067,SENT,a3262c8e-3397-4ce0-83e2-ee03548a8273,c8f23900-c209-486b-b6fe-9a92dfec035f,c1,c2,3383,?,p1,
1769467943.1606588,CREATED,322f1726-ab74-4368-b1bf-b40fa0991d9b,9c0eceed-e807-4727-a1df-2bdc5fb2349c,c1,c2,27,?,?,surb={'id': '9be74bee-cf85-48ce-936c-9f535dedab82', 'route': ['p2', 'e4', 'i12', 'x4', 'p1', 'c1']}
1769467943.21985,SENT,eb681e86-7fd0-4410-8c1a-b7258e4d2f4b,46e3c708-b591-4d79-89c6-943e2864281c,c1,c2,3364,?,p1,
1769467943.2200084,CREATED,489bfb9d-4fbf-4134-85e2-e180b2837cee,9c0eceed-e807-4727-a1df-2bdc5fb2349c,c1,c2,27,?,?,surb={'id': '9be74bee-cf85-48ce-936c-9f535dedab82', 'route': ['p2', 'e4', 'i12', 'x4', 'p1', 'c1']}
1769467943.2906044,RECEIVED,9c7babc7-84a3-4713-a962-42ec67a3700a,dd6c65b2-d3e7-4fd8-bd36-d99a47d44fc0,c3,c1,27,p1,?,surb={'id': '6fd88833-2c78-40a7-bee8-07a0313e8cd4', 'route': ['p1', 'e6', 'i5', 'x10', 'p3', 'c3']}
1769467943.3455806,SENT,e8d627a2-79d8-4770-b736-301836f25356,baeaddfd-ad63-44a8-bfb5-7c472d99aefd,c1,c2,3396,?,p1,
1769467943.3457363,CREATED,92c02503-6771-4b8c-bbc0-1e387781e16e,4c38b911-82ea-4621-958f-fc1ccc912186,c1,c2,27,?,?,surb={'id': 'e26e0be0-d604-424b-bcd8-2257f0f3cadd', 'route': ['p2', 'e10', 'i4', 'x2', 'p1', 'c1']}
1769467943.6375022,RECEIVED,4ba116fb-87e8-4418-970c-fc072b6bc31b,8cc90e1c-d146-4475-9f17-c907a8d3f32b,c3,c1,27,p1,?,surb={'id': '06abadc4-b44e-449a-ab1f-141852dd9e4e', 'route': ['p1', 'e3', 'i10', 'x12', 'p3', 'c3']}
1769467943.6388776,SENT,ae45be19-adfe-4dea-bef4-f0f16be49263,5fade22d-6232-4105-ad0e-8cb97d59cf8f,c1,c2,3387,?,p1,
1769467943.6390302,CREATED,7f87fd68-6a50-4e7e-ab61-1d7990129dd9,4c38b911-82ea-4621-958f-fc1ccc912186,c1,c2,27,?,?,surb={'id': 'e26e0be0-d604-424b-bcd8-2257f0f3cadd', 'route': ['p2', 'e10', 'i4', 'x2', 'p1', 'c1']}
1769467943.708006,SENT,892da758-a947-4369-841b-3d0067a459e3,fa97550c-1910-4d3c-9de1-fdf5bfbe8fea,c1,c2,3376,?,p1,
1769467943.7081044,CREATED,69ea2099-4584-4986-a5a9-bb68ff7e4eaa,c8a6636e-50ee-4427-aa83-ff4e97be2908,c1,c2,26,?,?,surb={'id': 'caca30b0-7338-46c6-aa9b-74a200e88adb', 'route': ['p2', 'e3', 'i5', 'x10', 'p1', 'c1']}
1769467943.783776,RECEIVED,06b4c28d-aa42-4cc0-8d63-c124b431c388,b3bddf20-6d26-4459-82a2-a54cf0e99d80,c3,c1,27,p1,?,surb={'id': 'c0cf32e6-5daa-4631-aad0-62cb186419fc', 'route': ['p1', 'e2', 'i5', 'x3', 'p3', 'c3']}
1769467943.811647,RECEIVED,2b01b990-7e4b-406d-95d7-5b0bd1447da6,650ccfea-d0ee-4e7c-978f-84e1da2334d3,c3,c1,27,p1,?,surb={'id': 'b30bef2d-5b25-432c-a534-ad3c84fc732e', 'route': ['p1', 'e12', 'i9', 'x8', 'p3', 'c3']}
1769467944.2897832,RECEIVED,064b7ba3-5dc8-4789-84c0-4ed14c55514c,dd6c65b2-d3e7-4fd8-bd36-d99a47d44fc0,c3,c1,27,p1,?,surb={'id': '6fd88833-2c78-40a7-bee8-07a0313e8cd4', 'route': ['p1', 'e6', 'i5', 'x10', 'p3', 'c3']}
1769467944.5353684,SENT,30655fa0-de71-414c-a078-880e8baa342b,0edb333b-9969-4c3a-bf8e-2a14a1d42f59,c1,c2,3381,?,p1,
1769467944.5355256,CREATED,a786c8ec-df35-43bc-a927-5a6eb99d9935,c8a6636e-50ee-4427-aa83-ff4e97be2908,c1,c2,26,?,?,surb={'id': 'caca30b0-7338-46c6-aa9b-74a200e88adb', 'route': ['p2', 'e3', 'i5', 'x10', 'p1', 'c1']}
1769467944.5568564,SENT,04ae3036-f849-4891-bd75-88b9c6512167,23b3e6c8-e9eb-42e5-9ea6-4be60c9a98bc,c1,c2,3363,?,p1,
1769467944.5570064,CREATED,0d51aa09-2231-4a3a-a923-ec7d68970612,683cb79f-d902-40d9-9b28-02e9b6fc97b5,c1,c2,27,?,?,surb={'id': '1788b159-103a-4050-bd00-6677dd066f8f', 'route': ['p2', 'e4', 'i7', 'x12', 'p1', 'c1']}
1769467944.8570347,SENT,7ecd47e5-5f14-4db5-ba37-0147db41fb35,d23b5682-4030-466d-957f-701f4b3ae3e8,c1,c2,3389,?,p1,
1769467944.8572202,CREATED,d56c82fe-acfa-461b-b89f-32f4a2e8c9df,683cb79f-d902-40d9-9b28-02e9b6fc97b5,c1,c2,27,?,?,surb={'id': '1788b159-103a-4050-bd00-6677dd066f8f', 'route': ['p2', 'e4', 'i7', 'x12', 'p1', 'c1']}
1769467944.9920025,SENT,5963a7db-3eb6-4443-9f1e-501118e64e69,e4745a56-a5fb-496e-b581-2da5b4fbaffb,c1,c2,3375,?,p1,
1769467944.9928057,CREATED,7aa46bda-bc3a-4a5e-a2b9-fb79a5d64da8,e54a6a90-7650-4b83-a756-b6f2603b727f,c1,c2,27,?,?,surb={'id': '9d1596ab-557c-4352-b89f-e81a8bab0840', 'route': ['p2', 'e2', 'i9', 'x7', 'p1', 'c1']}
1769467945.0862663,SENT,90435e22-d6dd-496e-a803-fd110acaed69,05c04ba1-7f9a-4264-a644-50d9839c7ac2,c1,c2,3384,?,p1,
1769467945.086414,CREATED,fc0e2c80-7759-4994-a25f-7146604b28cb,e54a6a90-7650-4b83-a756-b6f2603b727f,c1,c2,27,?,?,surb={'id': '9d1596ab-557c-4352-b89f-e81a8bab0840', 'route': ['p2', 'e2', 'i9', 'x7', 'p1', 'c1']}
1769467945.195558,RECEIVED,46ea4476-8e9a-4057-b1ce-dfb7e549e63c,8cc90e1c-d146-4475-9f17-c907a8d3f32b,c3,c1,27,p1,?,surb={'id': '06abadc4-b44e-449a-ab1f-141852dd9e4e', 'route': ['p1', 'e3', 'i10', 'x12', 'p3', 'c3']}
1769467945.3422837,RECEIVED,2c8e319a-b2db-446e-b7a6-475bab4b3df0,2e37db2e-57ed-4191-b0df-e3bf0a9716d9,c3,c1,27,p1,?,surb={'id': '17faa8f6-0fe5-444c-aeb1-7b7c48a56d8c', 'route': ['p1', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769467945.5164957,RECEIVED,c1492879-fa46-46d2-bd32-43346c07dce8,b3bddf20-6d26-4459-82a2-a54cf0e99d80,c3,c1,27,p1,?,surb={'id': 'c0cf32e6-5daa-4631-aad0-62cb186419fc', 'route': ['p1', 'e2', 'i5', 'x3', 'p3', 'c3']}
1769467945.8248336,RECEIVED,d67e90cc-37ec-49db-af4f-c0ef5b797a0b,6a3dd542-d84a-45de-925d-37d346b52321,c3,c1,27,p1,?,surb={'id': 'b44e80db-c460-4e02-9095-27f72bcf709e', 'route': ['p1', 'e8', 'i5', 'x5', 'p3', 'c3']}
1769467945.8919313,RECEIVED,3999f7cd-1d8f-4355-a967-c7d513665995,3e49d005-e564-42bd-a852-d303fa2367f9,c3,c1,27,p1,?,surb={'id': '638c545f-29bd-42f7-81bb-93b2a7728cac', 'route': ['p1', 'e7', 'i9', 'x12', 'p3', 'c3']}
1769467945.9852626,RECEIVED,138399ed-0003-4319-8f06-f892c1a4c92c,6f73ccc4-1e0c-49ed-96c5-4a4e770fc18c,c3,c1,27,p1,?,surb={'id': '47681644-0395-412c-b018-7fa1615c31d1', 'route': ['p1', 'e3', 'i9', 'x6', 'p3', 'c3']}
1769467946.0204308,RECEIVED,8bc4f13a-1792-4f40-a1f5-95d3188a6729,09a1a8cd-c400-48a7-a6c9-0a62b750026d,c3,c1,27,p1,?,surb={'id': '91f26f32-87a0-4cbf-bc53-fd54c640d3e9', 'route': ['p1', 'e1', 'i9', 'x6', 'p3', 'c3']}
1769467946.1591725,SENT,375bc1f6-e38f-4a01-9268-c2c5f23fe545,a50da1fa-178e-4463-b2da-3edab03230f0,c1,c2,3395,?,p1,
1769467946.1592464,CREATED,dccf7442-aa71-4655-9494-36dfd730ca6c,9ec5dd94-44c4-40eb-ac95-28d1df5ef963,c1,c2,27,?,?,surb={'id': '92dbef12-59fc-4b22-b7a3-ce52afdb2ffb', 'route': ['p2', 'e8', 'i10', 'x12', 'p1', 'c1']}
1769467946.2610111,RECEIVED,a6916009-e3d3-4d1e-bf50-5423341a86e9,09a1a8cd-c400-48a7-a6c9-0a62b750026d,c3,c1,27,p1,?,surb={'id': '91f26f32-87a0-4cbf-bc53-fd54c640d3e9', 'route': ['p1', 'e1', 'i9', 'x6', 'p3', 'c3']}
1769467946.3328173,SENT,bf98f696-8035-4332-884a-32355cc658dd,e1d0b350-fa5c-4360-a738-898002e51df8,c1,c2,3395,?,p1,
1769467946.3329668,CREATED,2ac08857-3e85-4bef-860c-b1fc2de3b265,9ec5dd94-44c4-40eb-ac95-28d1df5ef963,c1,c2,27,?,?,surb={'id': '92dbef12-59fc-4b22-b7a3-ce52afdb2ffb', 'route': ['p2', 'e8', 'i10', 'x12', 'p1', 'c1']}
1769467946.3456507,SENT,7150d0da-546d-45c9-8372-314543d597d2,c211153b-c56e-48d4-8339-adfcfb0d48a5,c1,c2,3371,?,p1,
1769467946.3457987,CREATED,b7cdefcc-bfac-4bf1-ad3d-bcf82446605f,f6122ff2-384e-4507-92d3-c6f25bd17d0f,c1,c2,27,?,?,surb={'id': '2af4f80c-3572-4b33-8fb1-5ec0412ce425', 'route': ['p2', 'e3', 'i12', 'x2', 'p1', 'c1']}
1769467946.4119585,SENT,9978ab0b-ee3e-4cd6-8249-126ade0ce326,21a17727-6571-4908-807a-6c15e76e9c1d,c1,c2,3376,?,p1,
1769467946.4121423,CREATED,5ac5430d-939f-4c5d-8a3c-7752c7f891d0,f6122ff2-384e-4507-92d3-c6f25bd17d0f,c1,c2,27,?,?,surb={'id': '2af4f80c-3572-4b33-8fb1-5ec0412ce425', 'route': ['p2', 'e3', 'i12', 'x2', 'p1', 'c1']}
1769467946.4951825,RECEIVED,2dbeb2db-b985-42db-9676-cc1d51782bef,b06ebad5-c48d-4584-b9a6-30d57825980c,c3,c1,26,p1,?,surb={'id': 'c65ac2c8-8db4-4218-9580-80ff62b72408', 'route': ['p1', 'e6', 'i6', 'x2', 'p3', 'c3']}
1769467946.5785687,RECEIVED,d131a88d-d629-4430-873d-600e90c6016b,b04566c1-940f-4547-855b-a7ee2cdd4a1f,c3,c1,27,p1,?,surb={'id': '262e201e-6cf0-437f-b13a-a4a0cf04e0f2', 'route': ['p1', 'e4', 'i9', 'x11', 'p3', 'c3']}
1769467946.66213,RECEIVED,b8d1afe4-e78e-4d84-930e-ed9bcfcc4aca,b06ebad5-c48d-4584-b9a6-30d57825980c,c3,c1,26,p1,?,surb={'id': 'c65ac2c8-8db4-4218-9580-80ff62b72408', 'route': ['p1', 'e6', 'i6', 'x2', 'p3', 'c3']}
1769467946.7670183,RECEIVED,530de2da-3c64-4cc4-8aa9-0f19dedce903,58aaf5a0-ac34-422f-992b-11ea330360ba,c3,c1,27,p1,?,surb={'id': '75946bde-17e1-4ae3-b69f-8167d9533002', 'route': ['p1', 'e5', 'i7', 'x12', 'p3', 'c3']}
1769467946.8248043,SENT,096ab867-9e46-42e3-ab8b-04c32343c8c5,e729554b-6322-4364-bc96-a75cb5dd7328,c1,c2,3359,?,p1,
1769467946.8249543,CREATED,68712be9-8085-45d0-87dc-245fb1f1e7dc,e12f6557-a546-4f3c-9c29-f367fa612082,c1,c2,27,?,?,surb={'id': '3c6b1089-20de-48bd-bd91-8e6a157c8bed', 'route': ['p2', 'e7', 'i12', 'x7', 'p1', 'c1']}
1769467947.1883755,RECEIVED,7ef319a2-5927-4a21-8d12-3c8204d6cec6,3e49d005-e564-42bd-a852-d303fa2367f9,c3,c1,27,p1,?,surb={'id': '638c545f-29bd-42f7-81bb-93b2a7728cac', 'route': ['p1', 'e7', 'i9', 'x12', 'p3', 'c3']}
1769467947.1954768,SENT,346645a9-5545-40a2-a453-a9e1c0f178b7,b12e60e6-46c8-452b-b1b9-5a024db0fecc,c1,c2,3397,?,p1,
1769467947.1956315,CREATED,2cd4fe1a-2c27-4cea-a71d-f8e582935534,e12f6557-a546-4f3c-9c29-f367fa612082,c1,c2,27,?,?,surb={'id': '3c6b1089-20de-48bd-bd91-8e6a157c8bed', 'route': ['p2', 'e7', 'i12', 'x7', 'p1', 'c1']}
1769467947.3051045,RECEIVED,501cd58e-367d-40c0-ad5d-319b51b62924,b04566c1-940f-4547-855b-a7ee2cdd4a1f,c3,c1,27,p1,?,surb={'id': '262e201e-6cf0-437f-b13a-a4a0cf04e0f2', 'route': ['p1', 'e4', 'i9', 'x11', 'p3', 'c3']}
1769467947.3619342,RECEIVED,b87a8611-e7b7-46df-9565-f533fbd53866,6f73ccc4-1e0c-49ed-96c5-4a4e770fc18c,c3,c1,27,p1,?,surb={'id': '47681644-0395-412c-b018-7fa1615c31d1', 'route': ['p1', 'e3', 'i9', 'x6', 'p3', 'c3']}
1769467947.3659794,RECEIVED,4ecfc7c3-b01f-43a2-939d-a7cd330a0602,2e37db2e-57ed-4191-b0df-e3bf0a9716d9,c3,c1,27,p1,?,surb={'id': '17faa8f6-0fe5-444c-aeb1-7b7c48a56d8c', 'route': ['p1', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769467947.4936154,SENT,ef24bd82-01e1-4c3f-a51e-278f7d95743d,528a024f-1605-4694-91ec-0803aa5905a2,c1,c2,3363,?,p1,
1769467947.4937637,CREATED,76aaf1e7-123d-406f-8a56-25f1c66f2cea,c8d4db00-394a-4b4a-a652-ee1093b8804c,c1,c2,26,?,?,surb={'id': '9d0466d0-b552-4778-845e-8b2e2a90478b', 'route': ['p2', 'e7', 'i11', 'x8', 'p1', 'c1']}
1769467947.6332958,SENT,bfa924b7-c163-4130-8371-b15aa8f4338f,bf086c42-8b29-470b-bf38-ad74f8db45e1,c1,c2,3397,?,p1,
1769467947.633446,CREATED,6044a4da-8e16-4622-afb3-d0c33d299109,c8d4db00-394a-4b4a-a652-ee1093b8804c,c1,c2,26,?,?,surb={'id': '9d0466d0-b552-4778-845e-8b2e2a90478b', 'route': ['p2', 'e7', 'i11', 'x8', 'p1', 'c1']}
1769467947.7071066,SENT,ef90dda7-fb45-4777-b588-e1348f85497b,a953418e-d9d9-42c5-a512-344569bfae38,c1,c2,3376,?,p1,
1769467947.7073007,CREATED,18e20173-79c6-460e-80e7-294bf18ef30c,71c324cc-bfec-4058-8793-53286cf0b4dd,c1,c2,26,?,?,surb={'id': 'ca8fcd9e-4c44-48ec-9745-99f2121800d0', 'route': ['p2', 'e2', 'i11', 'x8', 'p1', 'c1']}
1769467947.9834087,RECEIVED,ef939c64-8e22-4ffd-bb03-1f3982394799,58aaf5a0-ac34-422f-992b-11ea330360ba,c3,c1,27,p1,?,surb={'id': '75946bde-17e1-4ae3-b69f-8167d9533002', 'route': ['p1', 'e5', 'i7', 'x12', 'p3', 'c3']}
1769467948.0663896,SENT,fd52fc6e-9a3c-4f02-9ed2-d881f66c34eb,2f81c42b-0162-4062-8cda-a98bae23c917,c1,c2,3367,?,p1,
1769467948.066535,CREATED,e03e4162-1e8e-49a5-b2bc-eca732748dc0,71c324cc-bfec-4058-8793-53286cf0b4dd,c1,c2,26,?,?,surb={'id': 'ca8fcd9e-4c44-48ec-9745-99f2121800d0', 'route': ['p2', 'e2', 'i11', 'x8', 'p1', 'c1']}
1769467948.726225,RECEIVED,6b768305-0cbc-4210-af12-d15d694b1893,6a3dd542-d84a-45de-925d-37d346b52321,c3,c1,27,p1,?,surb={'id': 'b44e80db-c460-4e02-9095-27f72bcf709e', 'route': ['p1', 'e8', 'i5', 'x5', 'p3', 'c3']}
1769467949.572199,RECEIVED,d5b70392-da5f-4425-ad69-cccde8443593,faf543dc-c515-4c81-9d6e-f99d4ffe5f08,c3,c1,26,p1,?,surb={'id': '49af1e69-6c21-4446-b4a2-1ca04d5a9ae1', 'route': ['p1', 'e4', 'i3', 'x1', 'p3', 'c3']}
