timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467943.9288356,CREATED,1b1abdb5-8e56-4bc6-9c18-132dd74958b5,8af1113d-54ed-4c5b-8243-c52d77d10fcd,c2,c4,26,?,?,surb={'id': '4e55911d-1d10-42ea-a652-d05b02da95a0', 'route': ['p1', 'e12', 'i11', 'x9', 'p2', 'c2']}
1769467943.981609,RECEIVED,e8fcdf2e-07ea-46bc-abd7-0ef830460425,0a793882-f702-45e8-942a-c0c5c6d335d4,c1,c2,27,p2,?,surb={'id': 'b06dddd2-c834-44f1-8de1-3ac227498e1d', 'route': ['p2', 'e12', 'i3', 'x1', 'p1', 'c1']}
1769467944.001441,RECEIVED,2003a071-351c-4c65-9d8e-1fbdc5ead57c,95b3fe8d-92be-4224-9783-2c6140ae7d78,c5,c2,27,p2,?,surb={'id': '9de5b0cc-ad16-4341-9c94-c9cef5010d68', 'route': ['p2', 'e5', 'i1', 'x7', 'p2', 'c5']}
1769467944.027678,RECEIVED,170521b1-fb46-4a06-812a-26f45c365b7b,2cbf6900-c7d9-4b94-8dd7-c98223907bbb,c5,c2,27,p2,?,surb={'id': '2d7cf8eb-26bb-4301-bde1-e3f5be35a63c', 'route': ['p2', 'e1', 'i12', 'x12', 'p2', 'c5']}
1769467944.1054358,RECEIVED,a7e42425-36c9-492c-bb87-6b90d8f41c07,9c764f21-dc4f-40b2-9a9f-b669750f0dcd,c1,c2,27,p2,?,surb={'id': '830c939a-1397-4659-b415-bcebe1b96222', 'route': ['p2', 'e5', 'i1', 'x7', 'p1', 'c1']}
1769467944.1086771,RECEIVED,c7ed78a3-3a20-427b-9a5d-cb66f4881ec0,93c08014-a7e4-423e-a08a-68b8ba0e45a5,c5,c2,26,p2,?,surb={'id': 'e0702db7-b9d1-40e1-bc9d-77069781871b', 'route': ['p2', 'e12', 'i3', 'x8', 'p2', 'c5']}
1769467944.1403096,RECEIVED,79a0b355-6f0d-4680-84c4-045252608c39,7ee02379-51f7-455a-9c1e-961247b54cbd,c5,c2,27,p2,?,surb={'id': '4755ea49-fd5b-4c40-9b2f-8965cdd2759f', 'route': ['p2', 'e10', 'i5', 'x5', 'p2', 'c5']}
1769467944.2035432,RECEIVED,4cfcd595-c6c8-4454-9e7d-91e3e78401fa,9ae5b00f-349b-4751-a642-ed5dbcb8fb40,c1,c2,27,p2,?,surb={'id': 'cdd19fab-e395-4b8e-b2cd-afd3f406dd18', 'route': ['p2', 'e7', 'i3', 'x4', 'p1', 'c1']}
1769467944.3211124,SENT,5fcc9ece-4371-4e59-aad4-c6e27dff9999,f5177a11-0052-4697-9374-de64dd9ad865,c2,c4,3394,?,p2,
1769467944.3212135,CREATED,48aea723-8c43-4d60-9dcd-633ef1b7f544,d18d41d6-1ae4-40a5-9ff5-1ef70d240034,c2,c4,27,?,?,surb={'id': '40b0ae36-479b-4e6c-861e-74c688a01ddc', 'route': ['p1', 'e4', 'i10', 'x1', 'p2', 'c2']}
