timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769467944.5843415,RECEIVED,11b23233-edda-4925-9b41-1a203894a5ae,13d9d469-a475-47b7-be65-9839c757e7f2,c4,c3,26,p3,?,surb={'id': '7b9430b8-182c-4468-b1a2-d892b0b8473f', 'route': ['p3', 'e2', 'i12', 'x10', 'p1', 'c4']}
1769467944.6657085,SENT,7080cf01-7d53-4351-b0eb-71ac3a9c8520,7808ebe9-1beb-42aa-ad0a-c37ab9e6d58e,c3,c1,3366,?,p3,
1769467944.666681,CREATED,6b768305-0cbc-4210-af12-d15d694b1893,6a3dd542-d84a-45de-925d-37d346b52321,c3,c1,27,?,?,surb={'id': 'b44e80db-c460-4e02-9095-27f72bcf709e', 'route': ['p1', 'e8', 'i5', 'x5', 'p3', 'c3']}
1769467944.6931057,SENT,cf75810d-845b-4ccf-b487-e9436299fad1,5a133e51-a2cf-4651-8b48-ee31528ad04b,c3,c1,3382,?,p3,
1769467944.6938303,CREATED,b8d1afe4-e78e-4d84-930e-ed9bcfcc4aca,b06ebad5-c48d-4584-b9a6-30d57825980c,c3,c1,26,?,?,surb={'id': 'c65ac2c8-8db4-4218-9580-80ff62b72408', 'route': ['p1', 'e6', 'i6', 'x2', 'p3', 'c3']}
1769467944.7883341,SENT,3b4ab21f-8cfb-4c7b-a8bb-699a2585b91b,da4a6df3-2504-4677-b7a5-090ba305db32,c3,c1,3374,?,p3,
1769467944.7884822,CREATED,2dbeb2db-b985-42db-9676-cc1d51782bef,b06ebad5-c48d-4584-b9a6-30d57825980c,c3,c1,26,?,?,surb={'id': 'c65ac2c8-8db4-4218-9580-80ff62b72408', 'route': ['p1', 'e6', 'i6', 'x2', 'p3', 'c3']}
1769467945.1415997,RECEIVED,a8fe9e06-64d4-4f9e-a3b9-6be34655c8d1,f8105f36-e2ce-48b4-8d79-6bddda4c05ec,c4,c3,27,p3,?,surb={'id': 'bf61bd39-08d0-407c-953f-c7d34fb54fa2', 'route': ['p3', 'e5', 'i4', 'x2', 'p1', 'c4']}
1769467945.5786436,SENT,bc676f6c-bc8b-4403-a00b-4c071d87b94d,1f2a80fc-438e-44d1-8044-b825877687d9,c3,c1,3408,?,p3,
1769467945.5787895,CREATED,530de2da-3c64-4cc4-8aa9-0f19dedce903,58aaf5a0-ac34-422f-992b-11ea330360ba,c3,c1,27,?,?,surb={'id': '75946bde-17e1-4ae3-b69f-8167d9533002', 'route': ['p1', 'e5', 'i7', 'x12', 'p3', 'c3']}
