timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769450664.9379861,SENT,087729b9-b10a-430a-b327-091c90111dac,60cdcd92-3ed7-4ada-8acc-1485bc72d98e,c3,DROP,2015,?,p3,
1769450664.9381654,CREATED,c9bbf9b6-19b2-4df2-8019-be5bee931756,c7185022-3fa2-4fd9-b4ac-84badb637c40,c3,DROP,27,?,?,
1769450665.6498256,SENT,cb56f947-efc6-4409-a1af-cc7f583f2204,a2d136c9-fa0a-4dce-9e1f-863f3efbdcac,c3,c1,3365,?,p3,
1769450665.6499984,CREATED,549d2fda-6003-46a6-8f7e-d01507ed2510,ae4327f1-d01f-4b20-b8f1-45b030604ce3,c3,c1,27,?,?,surb={'id': '69381063-9771-430f-9cf6-de87f3d7c6f9', 'route': ['p1', 'e7', 'i5', 'x7', 'p3', 'c3']}
1769450667.5455616,RECEIVED,dabdc3ab-69b4-45ab-95b8-2e12adac70e1,02bff40b-df87-4cc3-97c9-ad86d4a2fc05,c5,c3,26,p3,?,surb={'id': '11863254-60af-470e-a51b-319c2cec9c79', 'route': ['p3', 'e7', 'i2', 'x5', 'p2', 'c5']}
1769450667.6347504,SENT,ec677de3-5c6b-4238-a5bb-a7479b1168f6,ddd908c8-01f2-4357-8a15-0edb67803dbf,c3,c1,3370,?,p3,
1769450667.6348987,CREATED,6bae8ce0-3e23-4768-a6d7-8e3c339c355d,74892674-4049-4f8b-8bdd-a474b55c5a65,c3,c1,27,?,?,surb={'id': '65a75215-6caf-462e-88e4-dd38b28de808', 'route': ['p1', 'e6', 'i7', 'x5', 'p3', 'c3']}
1769450667.6598964,RECEIVED,79480de6-e31f-4937-b0fe-3b34fe4e4997,ffc00f0f-8abd-4e2c-a271-74c4a1706ed7,c5,c3,27,p3,?,surb={'id': '2596225c-248c-44d0-8667-ab7872c5c6e7', 'route': ['p3', 'e5', 'i3', 'x8', 'p2', 'c5']}
1769450668.0446417,SENT,ccd5a4d9-1722-4148-ae90-de9869ea2e5d,a52f6ac6-597e-4301-ac50-a6ca623da4b3,c3,c1,3377,?,p3,
1769450668.0447865,CREATED,9735a811-46a1-4c4a-bede-2508c1f8b7f5,d4e20f75-9142-4815-b1cd-80cb9e99ec88,c3,c1,26,?,?,surb={'id': '24a87429-23a4-4911-9a12-616d4f555326', 'route': ['p1', 'e12', 'i2', 'x4', 'p3', 'c3']}
1769450668.2339451,RECEIVED,28f85c2b-2f2a-4494-bcf4-73faaa1f5f36,6f184f1d-c89d-48e8-9651-4be3ce316658,c5,c3,27,p3,?,surb={'id': '432c410e-c566-4f5f-ab35-784cc4e48b9e', 'route': ['p3', 'e3', 'i9', 'x3', 'p2', 'c5']}
1769450668.377335,SENT,ee46161a-875f-4e45-b6f3-0d10b64cac42,f8485695-b8d4-4064-94fe-3de189084a44,c3,c1,3361,?,p3,
1769450668.3774571,CREATED,c8065c68-8ca9-4df8-9d4e-8811e5437286,a8db7c18-0d14-4fba-8e05-83e95c5fd21e,c3,c1,27,?,?,surb={'id': 'bdfaf828-d82a-45f6-a765-4bff715143b0', 'route': ['p1', 'e6', 'i5', 'x3', 'p3', 'c3']}
1769450668.4712658,RECEIVED,9938f092-2c1d-4354-97fc-68622eb7b67a,8e38e707-e00b-4e88-9221-72732dd5c4a2,c5,c3,26,p3,?,surb={'id': '7b63da5d-d5a7-46e7-9ff4-635968d45d10', 'route': ['p3', 'e10', 'i12', 'x4', 'p2', 'c5']}
1769450668.6524727,RECEIVED,8730744f-d998-4e15-8a5c-5b1c87d9a67c,63304aab-3071-487c-bc34-e388165edb48,c5,c3,26,p3,?,surb={'id': '78a16ca4-9565-4b8b-8228-15f262f8d126', 'route': ['p3', 'e4', 'i7', 'x9', 'p2', 'c5']}
1769450668.79597,RECEIVED,70511ec2-7fa9-41c4-9ac9-db359b2f9d38,b91079d5-8760-4a31-8050-5073c669262d,c5,c3,27,p3,?,surb={'id': 'cca873b6-0357-4e71-8a6a-64fdaab18e10', 'route': ['p3', 'e10', 'i12', 'x5', 'p2', 'c5']}
1769450669.1083143,SENT,27f5af42-35e0-4bdb-b728-397b6bcec97f,504a65c4-ce04-420a-8e95-221108d34acb,c3,c1,3384,?,p3,
1769450669.1084473,CREATED,c459626e-c1ab-475a-ab2e-b5d527b34464,bccc20f9-8050-49f4-b8b1-10eac3b0d659,c3,c1,27,?,?,surb={'id': 'a468e44b-23df-4223-a3ff-0363cc365579', 'route': ['p1', 'e5', 'i2', 'x8', 'p3', 'c3']}
1769450669.2298622,RECEIVED,2b555062-76d6-4166-9f2f-82973ba3be3f,845dcea5-3022-4b36-bd89-b5ce1471da6e,c5,c3,27,p3,?,surb={'id': 'd4b93219-20f7-434b-b990-db800249e95d', 'route': ['p3', 'e12', 'i5', 'x4', 'p2', 'c5']}
1769450669.2525208,SENT,ed5f0d43-5248-4bc3-8770-8faa526befc6,075e4e96-599c-441e-924f-696378673829,c3,c1,3386,?,p3,
1769450669.2526567,CREATED,45517fd2-bee9-4bdd-8814-b1ce59b2210b,9a26d957-7fc9-4cae-b247-fa9d1c5176dd,c3,c1,27,?,?,surb={'id': '3734a1c8-06d7-4146-95c9-fce9f71c3ca1', 'route': ['p1', 'e4', 'i3', 'x10', 'p3', 'c3']}
1769450669.4527063,RECEIVED,65aa130e-0ca1-4160-970e-022db9c41292,9bedd274-b096-40c2-9df9-06ad9ffe466f,c5,c3,27,p3,?,surb={'id': '2ca1c5ef-1461-4a02-a04b-883bf50dc07f', 'route': ['p3', 'e7', 'i7', 'x7', 'p2', 'c5']}
1769450669.5046487,SENT,d1285091-87fc-48e3-ab81-20adf0f089d5,57d7ce2c-5106-43b3-b128-f124180c6fb4,c3,c1,3388,?,p3,
1769450669.5047886,CREATED,46a4a2fa-1815-41ba-a5b8-53c222153495,60a19bd7-a59f-4641-b399-96ea6b3969c2,c3,c1,26,?,?,surb={'id': 'f21919a3-d98e-40c0-a256-d4b9e81e4d9a', 'route': ['p1', 'e4', 'i2', 'x7', 'p3', 'c3']}
1769450669.9145124,SENT,4f859110-82da-40be-94d4-ba90a4220ba6,53e211e4-7a20-4a56-9cb4-b07b7fec59bf,c3,c1,3383,?,p3,
1769450669.914647,CREATED,3071fe24-762a-4333-b49a-e17161dc0e2b,9103c05f-da40-48ce-985e-e2693d2d6b8c,c3,c1,27,?,?,surb={'id': '97712616-05c1-4f32-a4e3-e9766716441c', 'route': ['p1', 'e12', 'i2', 'x4', 'p3', 'c3']}
1769450670.0260873,SENT,94cd8347-d367-4890-ac81-160bbac2aeb0,5a530be9-49ea-401f-9dfd-2651e5b9bc51,c3,c1,3376,?,p3,
1769450670.0262265,CREATED,e35d8acf-b247-48a3-8826-6af9f66eb19f,0f49054e-e1c4-4dca-9d4b-bbd2ee65ff87,c3,c1,27,?,?,surb={'id': '82417115-9239-4bbd-beca-aa748dd076f9', 'route': ['p1', 'e12', 'i6', 'x5', 'p3', 'c3']}
1769450670.073373,RECEIVED,61bcea26-9f7b-43f7-9ff7-003ce8d2c435,cf302681-d5e8-4622-bc2b-bda105363560,c5,c3,25,p3,?,surb={'id': '7476165d-a90c-4f98-8af4-85915fe49e3e', 'route': ['p3', 'e5', 'i4', 'x2', 'p2', 'c5']}
1769450670.247412,SENT,7318eea1-03c0-460e-b662-05359fc2b56e,d10ec529-13b9-41ed-979b-0bb089b21cb5,c3,c1,3392,?,p3,
1769450670.2475462,CREATED,2ab6a8c7-8e89-415a-9980-311534966816,954a0f5f-4837-431e-96ba-efcaf6269e43,c3,c1,27,?,?,surb={'id': '557a6a5e-2749-42a2-ac81-611d95b9339c', 'route': ['p1', 'e11', 'i5', 'x11', 'p3', 'c3']}
1769450670.3416102,RECEIVED,e6561f19-aff2-41b9-b754-9f8d792117cd,67bed523-1244-4f77-bb56-7a8d5c950e07,c5,c3,27,p3,?,surb={'id': '2d560415-79c2-4284-8e64-71ff34b027d2', 'route': ['p3', 'e4', 'i11', 'x1', 'p2', 'c5']}
1769450670.5148628,SENT,6bb27542-7f61-4121-bffe-2d9bf26f49d9,8547baeb-144d-45fd-940b-b076e01ff20e,c3,c1,3376,?,p3,
1769450670.5149963,CREATED,58cfdee0-5904-4657-96de-0bf0cf11ec5a,28bcec94-58c6-434c-ab88-acd09e7daa31,c3,c1,26,?,?,surb={'id': '05724f63-11f6-418b-a6aa-e4aad801f300', 'route': ['p1', 'e5', 'i7', 'x9', 'p3', 'c3']}
1769450670.6552804,SENT,6fb00a8e-a484-46f6-b643-bdaee5c788e2,f9a3e9f7-d2e7-42d4-ae21-e442da890272,c3,c1,3381,?,p3,
1769450670.6554232,CREATED,44971f7b-f403-44c4-ac0c-3d4faf1ccbb7,a3ca8442-bbbd-4313-9816-b504ddf578b5,c3,c1,27,?,?,surb={'id': '87c91175-c181-4f69-a0d8-1764a2ee191a', 'route': ['p1', 'e4', 'i3', 'x3', 'p3', 'c3']}
1769450670.6883008,RECEIVED,ec69f6a7-5c4f-4d5e-9150-fe3de860e6a3,391ea550-edcc-4b5d-ad44-221257a9403d,c5,c3,26,p3,?,surb={'id': '4c9fe0a6-fe00-4819-b8ea-884fe7c6a647', 'route': ['p3', 'e5', 'i11', 'x12', 'p2', 'c5']}
1769450670.7910006,RECEIVED,94485091-7b4d-495f-8629-d658efe2c345,9e6759f0-f6de-4fbb-b42e-8738a5928e7c,c5,c3,27,p3,?,surb={'id': 'cc1a3651-9170-4c26-a84f-cbf856e8b9a0', 'route': ['p3', 'e9', 'i10', 'x10', 'p2', 'c5']}
1769450670.8575864,RECEIVED,aeede2e3-6f09-4ea8-8649-c98ebba33744,e43e7e89-f0b7-4126-a88e-e56232ac351f,c5,c3,27,p3,?,surb={'id': '1062fbd6-12f1-4dd2-bee5-acb48ecca4fb', 'route': ['p3', 'e10', 'i2', 'x3', 'p2', 'c5']}
1769450670.9990242,RECEIVED,23b8a840-f122-4e9d-b6ca-1b1f414084ce,e93d1f0b-a6cf-4d2c-98b5-561f21bdc8d5,c5,c3,26,p3,?,surb={'id': 'b8f8240a-2b3a-4aa4-8eed-0f62fb9b060b', 'route': ['p3', 'e5', 'i11', 'x9', 'p2', 'c5']}
1769450671.2268183,SENT,cf6b1137-8332-4fa1-83ad-378b30c84602,8e9488d9-ffbe-4c8e-8311-e71c178a91ef,c3,c1,3401,?,p3,
1769450671.2269642,CREATED,befdcfb8-24e8-4835-a190-83f24d1568e0,72ae12de-1319-4a18-9838-f2ed6c678051,c3,c1,27,?,?,surb={'id': 'f28704b7-f07b-4441-a95b-8e1e56cb2370', 'route': ['p1', 'e10', 'i12', 'x6', 'p3', 'c3']}
1769450671.319322,RECEIVED,dfef3f52-5452-4147-9dba-8af6493d5481,2d7c56c8-f500-4cf2-9887-77b27d5d21b5,c5,c3,27,p3,?,surb={'id': 'a2370ee3-0dbe-4251-939c-5f1f4e12c017', 'route': ['p3', 'e9', 'i6', 'x10', 'p2', 'c5']}
1769450671.4090068,RECEIVED,7dba1006-04b0-4ad9-a64f-cfd165d6fd26,c1043945-0851-42ab-bda4-b8295c8dba9a,c5,c3,27,p3,?,surb={'id': '16455317-a9bf-4cd9-8bc9-f1d0f040b951', 'route': ['p3', 'e7', 'i5', 'x4', 'p2', 'c5']}
1769450671.82139,SENT,b70494ac-26f8-473c-aa5e-9c3f77b1a7d5,29624bcd-ae29-4cd4-8a60-79db28de4f06,c3,c1,3383,?,p3,
1769450671.8215382,CREATED,a7cf977f-dfe1-4cb9-b1e9-1eabf4f4dc64,499ecb36-29ed-4e82-90b9-6123fd017b86,c3,c1,26,?,?,surb={'id': '76016cf2-5e66-4c9d-a547-26d2c97dad88', 'route': ['p1', 'e2', 'i8', 'x12', 'p3', 'c3']}
1769450672.0685923,RECEIVED,7b91e369-d16f-4066-a744-842de3ee8536,a55214af-73a4-420d-a8b8-3c929e7ca096,c5,c3,27,p3,?,surb={'id': 'f51f305a-6cb4-4b2e-803f-d0c27d86b780', 'route': ['p3', 'e1', 'i9', 'x5', 'p2', 'c5']}
1769450672.525689,SENT,302682fd-f37d-47b5-bd7d-853ac4db9f90,f94171a7-dea9-40dc-b1b1-ca322a932ad4,c3,c1,3395,?,p3,
1769450672.5258398,CREATED,222128bf-54c2-45ec-a82e-a26b3a95efe9,44cf49b5-d773-42c5-947d-48b03bba4773,c3,c1,27,?,?,surb={'id': '32dbe9aa-aa85-4cd4-a7ce-3f76608857f8', 'route': ['p1', 'e8', 'i5', 'x12', 'p3', 'c3']}
1769450672.6550775,SENT,422aca06-9a8a-4109-87b5-6db61d664f1c,174b4efd-9784-4598-87b2-c83f2ecfddf7,c3,c1,3360,?,p3,
1769450672.6552339,CREATED,c71c0649-dbdf-45b6-8333-ac1aa3dfac2f,61fdfd28-92da-47c5-8c2c-2b84153e903d,c3,c1,27,?,?,surb={'id': '2aa18ef9-006c-4b00-bc1a-73f9ff11e979', 'route': ['p1', 'e7', 'i3', 'x7', 'p3', 'c3']}
1769450672.7231743,RECEIVED,5b7bf7ac-1f74-40fb-a09a-6bbd3c2d9294,9775dde8-e1a8-4658-9ad7-74bd2fa8a7de,c5,c3,26,p3,?,surb={'id': '161e6bec-b6a3-4fe4-b13f-6ce03a4d0e5d', 'route': ['p3', 'e11', 'i10', 'x6', 'p2', 'c5']}
1769450672.7581208,RECEIVED,5923f14f-ff90-4853-89ca-f5526f7de9d3,cdce6024-3c7f-48c6-b9ae-ce75222abb72,c5,c3,27,p3,?,surb={'id': 'fe7028cf-2948-4287-9f22-5d62720a6439', 'route': ['p3', 'e7', 'i9', 'x12', 'p2', 'c5']}
1769450672.8121512,SENT,1c844c45-26f5-462f-a18f-c7d17d0f1c78,f984d8ae-4edf-4794-a7b7-28883d2a25af,c3,c1,3363,?,p3,
1769450672.8122516,CREATED,e51a2bd8-fcbd-4d47-843d-3981c4971c99,564d3355-f114-46fe-b11d-6948213a8613,c3,c1,27,?,?,surb={'id': '5a06e74c-2009-4ae5-9a17-f356a28823b4', 'route': ['p1', 'e4', 'i6', 'x3', 'p3', 'c3']}
1769450672.9812884,RECEIVED,3e1a0ff8-f434-4556-9f43-4ab29fc7495b,d216746c-fdc8-4d25-b388-de86196aa0ca,c5,c3,27,p3,?,surb={'id': '4011a2ca-7b48-48f4-b97e-53b00844e013', 'route': ['p3', 'e11', 'i6', 'x10', 'p2', 'c5']}
1769450672.997897,RECEIVED,5f6b2662-617a-46cd-b314-578539f60e05,abe2ad51-38da-41a0-a231-00abe9c90c2e,c5,c3,26,p3,?,surb={'id': '3a5efc8a-2e44-407c-a40d-debc081e2277', 'route': ['p3', 'e12', 'i6', 'x2', 'p2', 'c5']}
1769450673.4116395,SENT,a40f7ce1-20d3-4673-84dd-9500578309dc,2836a173-eb91-4796-8486-936a8f3fa7da,c3,c1,3388,?,p3,
1769450673.411782,CREATED,fa20674c-b974-4f8f-93b9-bbce135e590a,40284e9a-ddd2-4d9f-8a8a-6dfedaed1b78,c3,c1,26,?,?,surb={'id': 'af352a45-ddb7-4f6e-9ba5-2c9c66ab459b', 'route': ['p1', 'e4', 'i11', 'x4', 'p3', 'c3']}
1769450673.5935414,SENT,b35095bf-e368-4d32-ac4f-ef63a3836e79,004a81bf-3ae9-476d-a864-837a6dd85dd7,c3,c1,3360,?,p3,
1769450673.5936909,CREATED,a500e59d-6f5f-4ebe-8d27-590000577bf8,759c5e02-5a54-40a9-abe1-987b8517a6ba,c3,c1,27,?,?,surb={'id': '7423fc32-669d-456a-bd0a-92a1efa3d6f8', 'route': ['p1', 'e3', 'i8', 'x7', 'p3', 'c3']}
1769450673.7025213,RECEIVED,c1020578-b3dd-456a-88c3-af8e34f998b0,35a3d986-50b1-4f7c-85c5-fa7746687492,c5,c3,27,p3,?,surb={'id': 'b2b98223-aa92-4352-9eb5-381b88a28083', 'route': ['p3', 'e11', 'i10', 'x8', 'p2', 'c5']}
1769450673.732362,RECEIVED,420a04f0-781d-490a-9cce-806f88b2ddb2,40bd902e-0ec9-4044-a8d8-2b5c066a544a,c5,c3,26,p3,?,surb={'id': '01d5b509-7040-4d29-98df-95fdce27f3d4', 'route': ['p3', 'e3', 'i2', 'x4', 'p2', 'c5']}
1769450673.9243503,RECEIVED,45c0d253-177a-4d71-9dc6-bdb9817dcb47,97771457-c7aa-419e-a48c-700d24bce328,c5,c3,26,p3,?,surb={'id': 'c81ac402-68ab-4932-be3c-ac2087d5e53c', 'route': ['p3', 'e3', 'i2', 'x11', 'p2', 'c5']}
1769450674.0484643,SENT,a5233946-8f6c-40b3-ad68-64f5f057e3be,9a38b360-1a59-4f02-a751-2fd6b4e2e7f9,c3,c1,3383,?,p3,
1769450674.0486124,CREATED,0be130bd-542f-4ac4-b82d-f8fdfa5663ea,eb76a423-d617-496c-8813-b90db7a6f083,c3,c1,27,?,?,surb={'id': '553e33b9-02f4-4a33-9e1e-e3cd43d42c84', 'route': ['p1', 'e4', 'i12', 'x3', 'p3', 'c3']}
1769450674.1586063,SENT,62bd679c-5ebc-42d0-8451-f486daca31b5,84009dd3-d57c-4cb0-a22f-10191779aefe,c3,c1,3383,?,p3,
1769450674.1587508,CREATED,1fe286a9-76a7-4351-a991-c03f02236a45,664d032e-2572-4274-95a5-a8e8ae6efbab,c3,c1,26,?,?,surb={'id': 'ad57588d-67d9-46ce-8708-7d2fc82bd32f', 'route': ['p1', 'e12', 'i2', 'x5', 'p3', 'c3']}
1769450674.4016256,RECEIVED,d59403ed-3e41-4240-9188-413d98ad4b1c,93caf5a0-cc5a-48f9-bbce-a6f3f9f2347e,c5,c3,26,p3,?,surb={'id': 'f989b8eb-e2a7-4cec-a7f3-137da224aa4c', 'route': ['p3', 'e2', 'i11', 'x6', 'p2', 'c5']}
1769450674.5481052,SENT,b803f4a1-e48e-487f-bfbe-d94224f4e9a9,13d7887d-a7bf-4fc8-91b6-90dfb1586b34,c3,c1,3388,?,p3,
1769450674.5482514,CREATED,146d92ec-ec30-4417-b4d8-6edd1aea1837,085e7a64-1e2a-41bc-a2a4-475e4ac318dc,c3,c1,27,?,?,surb={'id': '903375ae-76d7-43e3-8d1b-7654d03d18a9', 'route': ['p1', 'e1', 'i12', 'x4', 'p3', 'c3']}
1769450674.6071007,SENT,76a40aed-b676-402e-9a39-c15a4daaf963,a7b386a2-35e9-4916-9330-8ccd8a9f8548,c3,c1,3399,?,p3,
1769450674.6072526,CREATED,55ed120e-6d00-46ca-a03c-2707d9a657ab,42919611-91f2-4e80-a972-a610a16a7e8c,c3,c1,27,?,?,surb={'id': '9814c227-11ca-4ee1-800d-cd3210ba8af9', 'route': ['p1', 'e12', 'i12', 'x10', 'p3', 'c3']}
1769450674.9764686,RECEIVED,8d17dcb8-17ca-490e-80ed-3957d8371dee,d82934ce-168c-4596-8f7a-dd87fbe1f783,c5,c3,27,p3,?,surb={'id': '869897b5-f634-493d-9ff9-b967575546eb', 'route': ['p3', 'e2', 'i6', 'x5', 'p2', 'c5']}
1769450675.2445548,RECEIVED,bb87903e-ac55-4a92-ba54-140921a1a190,db719e93-3a39-4820-8d2c-1820339f899d,c5,c3,27,p3,?,surb={'id': '10e19c88-0f4f-44ea-a099-cadb8e2ea30d', 'route': ['p3', 'e2', 'i5', 'x5', 'p2', 'c5']}
1769450675.7307286,SENT,34950cb8-9fc7-4802-975e-91aa0bb1f440,8d17a2cc-793c-4932-b47a-3d83dea9c5a7,c3,c1,3369,?,p3,
1769450675.730858,CREATED,9534b92e-5a1b-47cd-b52b-556b34d9dd8d,18d53a79-e49e-4a05-872c-af1e48a7b4fa,c3,c1,27,?,?,surb={'id': '37e908db-2960-44ac-ac1d-7899be21693b', 'route': ['p1', 'e6', 'i7', 'x5', 'p3', 'c3']}
1769450675.9360006,SENT,07f63beb-6292-4752-b3f1-bf48d0c5f11f,7db1ee29-7b7c-4b78-b62d-1df1d97a8afd,c3,c1,3364,?,p3,
1769450675.9361963,CREATED,1f9f4ee3-4648-472f-a578-d7e1a1bb35e7,88cff5dc-9218-4823-8835-2d8ee89ea71c,c3,c1,27,?,?,surb={'id': '75f331b5-2245-4a53-88d5-7db3e9c4b165', 'route': ['p1', 'e6', 'i6', 'x4', 'p3', 'c3']}
1769450675.944887,RECEIVED,db3b346c-0e5e-48e1-9b85-26fe0ea389ba,5b9bef6c-d092-4025-9881-a3e5ff63c53f,c5,c3,26,p3,?,surb={'id': '4ea2e142-b380-4e63-b5db-97ee8d8f96a3', 'route': ['p3', 'e12', 'i7', 'x5', 'p2', 'c5']}
1769450676.0498505,SENT,738cfa82-d0e1-4cba-bf76-0f85d4026beb,881db6b4-992a-4575-a681-9aada8f774a8,c3,c1,3391,?,p3,
1769450676.049998,CREATED,d397c61d-286f-45cf-8a8b-0b1bae7bd1d4,067ec310-0306-448a-82a7-bd4bf24d41fb,c3,c1,27,?,?,surb={'id': 'a3bef879-ff24-4fe2-b3d7-0cc2c08702a9', 'route': ['p1', 'e2', 'i10', 'x12', 'p3', 'c3']}
1769450676.3145843,SENT,d62afa20-97ec-45fd-8738-7679ae456f0a,9d5efb22-de7b-4784-bf81-715318680aee,c3,c1,3376,?,p3,
1769450676.3147326,CREATED,b8a67ccb-5a2b-4400-aeb5-519f16a4d5b1,8706ce8f-a975-4c80-9788-1f1cec9582f2,c3,c1,27,?,?,surb={'id': '6dc51471-f2ed-4ac4-a794-7540604a9a28', 'route': ['p1', 'e6', 'i8', 'x7', 'p3', 'c3']}
1769450676.5089536,RECEIVED,5cb19156-9a2e-41c6-86f6-1b8eaed88f82,287018b5-5aa5-4d67-ae72-b6b25b17e27a,c5,c3,26,p3,?,surb={'id': '961d2f42-64c6-4935-ba01-03e3ecafb61f', 'route': ['p3', 'e3', 'i1', 'x1', 'p2', 'c5']}
1769450676.5863755,SENT,1a5fa116-8e69-4311-9c6d-170f887a6a2d,1414c0e3-c2a0-4d4a-92de-484dfc1a3192,c3,c1,3360,?,p3,
1769450676.5865228,CREATED,502a7de7-b290-4b8c-a359-f755935c3512,15b36b0a-16c8-4e11-bab6-e6aa7453aebe,c3,c1,26,?,?,surb={'id': '657adf33-0376-4d11-9360-2d297a3f0dfd', 'route': ['p1', 'e11', 'i10', 'x8', 'p3', 'c3']}
1769450676.6573067,RECEIVED,1f99d0ea-9c87-4a76-a9ff-aaa671e31d49,856deb5c-a6c5-4b9f-b93b-b30aec7835f4,c5,c3,27,p3,?,surb={'id': '7ac9ba78-14f7-4136-b0c3-0f77e663d288', 'route': ['p3', 'e12', 'i9', 'x6', 'p2', 'c5']}
1769450677.0992837,SENT,6aa027ac-2ee3-4cf5-aca0-ded2ba66483e,6f2b78fb-28f3-48c4-b8e3-7796018eff90,c3,c1,3388,?,p3,
1769450677.0994353,CREATED,5ad650e0-8bb7-4936-8212-426d367439b4,6cd257a4-58e0-48ac-8462-0b73be15f0dc,c3,c1,27,?,?,surb={'id': '426386b2-c28d-4941-a9fc-6f35ddbb41b1', 'route': ['p1', 'e6', 'i11', 'x5', 'p3', 'c3']}
1769450677.398255,SENT,4d90f747-e1b8-4c14-b948-1ede5045625a,e6563054-886c-4811-b46e-230bdcf2d077,c3,c1,3385,?,p3,
1769450677.3984065,CREATED,7b3a5d85-8bed-490c-90ff-9787f123c6de,dcf233d0-d288-4d9d-941d-61b89054128f,c3,c1,27,?,?,surb={'id': 'ee1673d4-5755-4eab-b0b2-468f6030a3d1', 'route': ['p1', 'e4', 'i7', 'x8', 'p3', 'c3']}
1769450677.4880831,RECEIVED,47fc2888-2e79-4d26-9c90-9c7053a60339,94e25c2c-5eb1-407d-9452-2832676d9897,c5,c3,27,p3,?,surb={'id': '756a4d56-433e-4eb0-9492-22b62ace6452', 'route': ['p3', 'e4', 'i1', 'x9', 'p2', 'c5']}
1769450677.5181854,SENT,c3744c4e-974e-4962-9d93-7b38dcc1e7b5,5bda998b-38b1-40f8-9cf5-51de75baa9e5,c3,c1,3371,?,p3,
1769450677.5183342,CREATED,4899dab9-0016-4c04-9310-8f2fcc612492,61ac4d56-7e11-4e41-9e84-f00a5426461a,c3,c1,27,?,?,surb={'id': 'bc05b914-17a2-4a00-b293-d88c5672ee34', 'route': ['p1', 'e8', 'i6', 'x7', 'p3', 'c3']}
1769450677.9883628,SENT,6e4c5df8-3e43-420d-b7df-e047dabfa7b9,9cefe1ea-d178-4b6e-ab42-d76e3ecac0c6,c3,c1,3375,?,p3,
1769450677.9885197,CREATED,e54fca36-9017-405c-b76e-1f84d399335b,f6406d67-46e5-4e5b-ba3f-b8d2eda168b2,c3,c1,26,?,?,surb={'id': 'e19b4c35-58c8-4901-b70d-1392bd1a1b01', 'route': ['p1', 'e5', 'i3', 'x12', 'p3', 'c3']}
