timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458684.659564,SENT,854e457b-8349-4f85-920a-e9f6a6e68887,8a9b9b26-41b2-45a7-b7c6-68c91fba3036,c4,c3,3400,?,p1,
1769458684.6597404,CREATED,7b18a8b0-9a9f-44a7-9099-d5b51a822827,e189be99-2d25-494a-b6f9-0f79a88c602c,c4,c3,27,?,?,surb={'id': '47c6e214-2cf5-48c9-a03c-8f7c28a4d229', 'route': ['p3', 'e2', 'i7', 'x11', 'p1', 'c4']}
1769458685.8389025,SENT,057afcff-2af5-4ed2-83ae-1ef0d97be99c,2980f0c9-b7f1-46b3-b997-f18d15360824,c4,c3,3415,?,p1,
1769458685.8392336,CREATED,baf64cf0-a8e0-4ada-94eb-87f0c44c1857,31a3877a-35f4-4801-8256-350dc1cafc99,c4,c3,27,?,?,surb={'id': '711d899c-5a7e-43ff-85f8-6eaaab65fbac', 'route': ['p3', 'e10', 'i12', 'x12', 'p1', 'c4']}
1769458686.28749,RECEIVED,76e5d1ba-a01a-4fd5-8d44-409bde508d2b,6ddbdfb9-69ee-409c-9e7c-7c483db2e4bc,c3,c4,27,p1,?,surb={'id': 'da189a77-300a-4bac-a4bc-18862ea547c5', 'route': ['p1', 'e4', 'i1', 'x4', 'p3', 'c3']}
1769458686.2943993,RECEIVED,f8958890-b02d-43bd-bc99-03119ac5dd92,eec313d7-bcf0-4d4b-a135-3395503203e1,c5,c4,27,p1,?,surb={'id': 'af48ae52-4503-4ce9-9dcb-c7438f5c35d4', 'route': ['p1', 'e5', 'i2', 'x10', 'p2', 'c5']}
1769458686.3713567,SENT,263eea2e-52f1-407a-b136-c9c557e40924,67d3b609-79e3-4523-a7a9-1428105b3054,c4,c3,3371,?,p1,
1769458686.371502,CREATED,320fe6b0-9f48-4d52-bcdd-a9ff83e60aa3,64b7a55c-1902-43d5-93b0-c249032ff193,c4,c3,27,?,?,surb={'id': 'e2232715-18ad-465b-ba34-e47bb43e3f35', 'route': ['p3', 'e2', 'i3', 'x11', 'p1', 'c4']}
1769458686.4911032,SENT,6930f1d9-48db-4c9e-b8da-12cd8f47728d,2372900c-18f2-4c17-9f8f-6ceaf7c1c9bb,c4,c3,3365,?,p1,
1769458686.4912539,CREATED,a7945476-f3a2-4e77-ac15-ebac99a15326,558a031b-c4fd-4a3d-a096-ecf0bb15b1b9,c4,c3,27,?,?,surb={'id': '43faf52b-0dc2-467c-9570-8d02b43ed3b4', 'route': ['p3', 'e7', 'i5', 'x10', 'p1', 'c4']}
1769458686.56304,SENT,060c55ef-70bb-49bd-882c-ebc09cbd5f1a,1372a961-94d7-4ad9-b8fd-c2007265c15f,c4,c3,3362,?,p1,
1769458686.5632205,CREATED,09f48dde-60b0-4bdb-ab2a-106642cdbd7c,76802bda-cfa5-4506-9a77-249b851728cc,c4,c3,27,?,?,surb={'id': 'ccc3e88e-ac62-4f3b-934c-27a981f17774', 'route': ['p3', 'e8', 'i5', 'x7', 'p1', 'c4']}
1769458686.9815357,SENT,4a91ace4-2fd3-4f6b-96ec-09fa4ce8fa50,66cc878b-3771-4d97-81b0-a2832b580da3,c4,DROP,2015,?,p1,
1769458686.9816625,CREATED,70840643-e8d7-4652-81b0-28139bf4dea6,790cc526-b2fc-459f-8ca0-a8b46f65d2ee,c4,DROP,27,?,?,
1769458687.1927466,RECEIVED,e3012c33-2036-4c6e-a39f-e11b36c06d6f,38d2f99f-4c1f-4d93-86c9-88435e6bbf92,c2,c4,27,p1,?,surb={'id': 'e82751e6-f07a-4c8c-99a9-c05cdbd36e54', 'route': ['p1', 'e6', 'i6', 'x5', 'p2', 'c2']}
1769458687.2975185,RECEIVED,777a836e-8d05-41bd-a5e5-77c4076ff2e4,fd9cabd8-f3d1-45fa-b100-0e293a1ea0e6,c3,c4,27,p1,?,surb={'id': '754ec447-b90d-45ed-bbef-5afeba9b67c2', 'route': ['p1', 'e1', 'i3', 'x6', 'p3', 'c3']}
1769458687.4039671,RECEIVED,dbc171f8-be90-4bd1-a2ff-e7e5434426db,548f46f5-3394-4a3f-b21c-3aecc4ae0b09,c5,c4,27,p1,?,surb={'id': 'c3f3a244-e9cb-4808-85d9-f4d0e9021a37', 'route': ['p1', 'e9', 'i6', 'x10', 'p2', 'c5']}
1769458687.783201,RECEIVED,fd48547a-f40c-4d42-8cbd-ec41cd52072b,5b9d1919-754d-49b7-b1d0-85f4efdac4fa,c3,c4,27,p1,?,surb={'id': '77baffd4-74bf-45ee-a98f-bb16dd5d0cbf', 'route': ['p1', 'e5', 'i1', 'x9', 'p3', 'c3']}
1769458687.7905455,RECEIVED,7c6c1b72-dc33-4bbb-932e-5473880124d7,22d83196-d679-41d3-99a1-2119658c3447,c5,c4,27,p1,?,surb={'id': 'de04f372-6939-4561-bc2a-e6886e44a08b', 'route': ['p1', 'e1', 'i2', 'x1', 'p2', 'c5']}
1769458687.9647973,RECEIVED,a42caf52-5eed-4cd0-bdd2-41ec5a799874,dd709006-8a3d-4b94-ace6-38a386125415,c5,c4,27,p1,?,surb={'id': '4d744a59-1798-4377-b720-90788e32f910', 'route': ['p1', 'e12', 'i12', 'x4', 'p2', 'c5']}
1769458688.0347862,SENT,bc34a4c2-d1ba-4f10-9ecf-b5c85da40f80,63a3123c-37ff-48d1-939b-d374ac6a644c,c4,c3,3364,?,p1,
1769458688.0349486,CREATED,2b1c05fc-2707-483c-9b9e-a92b00a59277,93c21051-2243-4f7a-bfb0-7d9a33b25f34,c4,c3,27,?,?,surb={'id': 'abbafbf7-5af1-4978-8269-a4b744d3243e', 'route': ['p3', 'e7', 'i8', 'x5', 'p1', 'c4']}
1769458688.219566,RECEIVED,12c111f5-e8c4-41b8-84d2-ef15f4c0b6e6,3c987ff7-c99c-483d-b6f5-8bd170208fca,c3,c4,27,p1,?,surb={'id': '84087e60-6ea4-4cef-9199-1477f92fd92c', 'route': ['p1', 'e1', 'i12', 'x6', 'p3', 'c3']}
1769458688.2333908,RECEIVED,2341e7d1-44aa-41db-9887-f4dc773758e1,59aae011-9dbd-46be-8567-159cd8e70c31,c5,c4,27,p1,?,surb={'id': '85ccecd6-1b89-4191-a43c-d82e17c0f5ef', 'route': ['p1', 'e5', 'i4', 'x8', 'p2', 'c5']}
1769458688.4127045,SENT,e2c7aa6c-8b01-4082-b179-dfdeefc553e0,8d44a648-a180-4964-b933-f22d2d9821cd,c4,c3,3367,?,p1,
1769458688.4128528,CREATED,c6b797db-582e-4f19-8002-9f9bee9a638f,58f006ad-2419-4a69-9706-afb9c96b2575,c4,c3,27,?,?,surb={'id': '54267d02-3224-45f0-bcce-eb038f821900', 'route': ['p3', 'e4', 'i1', 'x2', 'p1', 'c4']}
1769458688.5131342,RECEIVED,9b0c034a-d971-441b-88f6-f18b5a1cace2,8233bb06-b8e0-43fd-96b8-5e7fed3afb40,c5,c4,27,p1,?,surb={'id': '7ae04a25-eea2-425f-8a06-042b7616926e', 'route': ['p1', 'e4', 'i11', 'x7', 'p2', 'c5']}
1769458688.562895,SENT,de0be32a-79a2-4124-8a3d-423ed38d45af,4f41be67-9c3f-4d4e-8fa3-6dd3103def8a,c4,c3,3363,?,p1,
1769458688.5630436,CREATED,9a8497a1-ae44-4558-b31e-4993519ccf9a,a35e7401-51ae-4c8d-977c-4b22c37852b6,c4,c3,27,?,?,surb={'id': 'cf5fa177-04b3-4f85-9f2e-e97e49743905', 'route': ['p3', 'e4', 'i10', 'x1', 'p1', 'c4']}
1769458688.9385488,RECEIVED,95aeb495-cde7-492a-943e-3ac5471d2ac8,3c852516-503b-44dd-b4d2-fd46e54f9e69,c3,c4,27,p1,?,surb={'id': 'e07cc25e-cb7e-4620-86f7-bdd553b01078', 'route': ['p1', 'e2', 'i2', 'x11', 'p3', 'c3']}
1769458688.984789,RECEIVED,6ec3df7b-da0b-4241-adac-c15d32821003,d31c056f-efea-4750-8f1e-f1d8d0224bf6,c2,c4,27,p1,?,surb={'id': '37c68af5-4e85-4559-90f5-71d6bb1593d1', 'route': ['p1', 'e1', 'i11', 'x11', 'p2', 'c2']}
1769458688.990938,SENT,ac8771ac-bfd4-4342-bc84-aecb4ae307ae,3de7206a-84db-4006-91d0-1b6b5e05651d,c4,c3,3396,?,p1,
1769458688.991123,CREATED,f7144790-b32c-4964-9d51-ef2b6f3ca1ce,465e5287-1084-4e7f-8ccc-b3b48f44e974,c4,c3,27,?,?,surb={'id': '802cd334-a836-4ac6-972c-e8a5ca37cf38', 'route': ['p3', 'e2', 'i11', 'x8', 'p1', 'c4']}
1769458688.9999104,RECEIVED,53c46e55-b266-46eb-8f57-ffdbc8033e23,135c450d-bd21-4bac-923c-0d89bd17dc79,c2,c4,27,p1,?,surb={'id': '8dd6ce98-d427-4edb-8513-a43ceafc368d', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769458689.1814895,RECEIVED,1b7bafae-e1dc-4237-a753-38c8082ccc88,5996dd75-bf0f-4167-b502-978a5f127947,c3,c4,27,p1,?,surb={'id': '46afd31f-c02a-45f4-912d-38b9290f6a95', 'route': ['p1', 'e4', 'i11', 'x12', 'p3', 'c3']}
1769458689.3374004,RECEIVED,59c0b8e8-d282-42d3-b006-e0f266f3be0f,f15093d1-0543-49da-adeb-7cda88dd09c0,c5,c4,27,p1,?,surb={'id': 'a64c776e-c1fe-43f9-85d3-663b08443f1a', 'route': ['p1', 'e3', 'i6', 'x3', 'p2', 'c5']}
1769458689.3888967,RECEIVED,96c30ccc-37f2-4de5-a840-b123e52c3534,89f82cb0-d113-4f22-9f39-b2af689496c7,c2,c4,25,p1,?,surb={'id': '61ab868b-156e-4583-be09-84c629e55fb2', 'route': ['p1', 'e2', 'i12', 'x4', 'p2', 'c2']}
1769458689.492654,RECEIVED,8affb1a7-2091-45f1-8be7-6c944dc4c68d,0fa72cfd-db3b-4480-9fb2-bb06a39e4b96,c3,c4,27,p1,?,surb={'id': '5b06a53c-7127-44b8-b665-d480289fb92d', 'route': ['p1', 'e11', 'i8', 'x2', 'p3', 'c3']}
1769458689.5643823,RECEIVED,e16f77cf-f7bc-4216-8b15-17f35faf6a73,4f36002d-4200-4761-90d0-d46e731b0766,c2,c4,27,p1,?,surb={'id': '20bf2270-2221-46a3-9218-abdc87a8d82c', 'route': ['p1', 'e4', 'i10', 'x4', 'p2', 'c2']}
1769458689.7975817,RECEIVED,a2850973-54f4-441a-ac8c-87866936c43d,010a6444-2936-45d5-840f-952c9cb13de1,c5,c4,27,p1,?,surb={'id': '9a74499b-b168-42f0-a0ef-15d5fc6378b7', 'route': ['p1', 'e5', 'i4', 'x10', 'p2', 'c5']}
1769458689.8753695,RECEIVED,076211f9-b06a-4f6b-ad68-0ea86e8de9e5,b3daa671-6240-45b4-879c-5c605c55eb61,c2,c4,27,p1,?,surb={'id': 'f94c3547-68b1-4641-9d6a-dbda4229427d', 'route': ['p1', 'e8', 'i7', 'x5', 'p2', 'c2']}
1769458689.9946122,RECEIVED,59fac20e-e4b2-4ca0-989a-5eb17b1ad6f1,0fa4a880-1cc7-4b81-b28a-e67d314ca8bc,c3,c4,27,p1,?,surb={'id': 'edcf3d71-cc34-49c1-8959-6d791f507ff6', 'route': ['p1', 'e5', 'i4', 'x11', 'p3', 'c3']}
1769458690.0172772,RECEIVED,605d3fb4-15f1-4e7b-b716-6b1259273e70,83d85c50-52ff-493f-b407-fe4f65b1b292,c5,c4,27,p1,?,surb={'id': '31ef3f21-21a4-4532-8bc4-791a9f5ce815', 'route': ['p1', 'e4', 'i4', 'x9', 'p2', 'c5']}
1769458690.1175957,RECEIVED,f5bec58a-0a8d-4c16-b106-dbdbccb09daf,3528f308-e399-477c-9606-7cca2a1b664f,c5,c4,27,p1,?,surb={'id': '6d81abfe-7f1c-4f1a-a52e-f827f1b8847f', 'route': ['p1', 'e3', 'i8', 'x3', 'p2', 'c5']}
1769458690.1386595,RECEIVED,02a1a442-0906-49ce-9207-c3ce011f89dc,f0eb1f63-9842-4abf-b83b-c67a384817a3,c2,c4,27,p1,?,surb={'id': 'f91aefd9-450e-4e57-8604-d3a7641ab85e', 'route': ['p1', 'e10', 'i1', 'x3', 'p2', 'c2']}
1769458690.3109078,RECEIVED,47062efc-6ae3-421d-9fe2-715afbf79c21,0feb1733-878c-4a1e-8d4c-d8a088f3050e,c2,c4,27,p1,?,surb={'id': '21c7f6b3-e664-49e6-a982-1ab5debeb0c3', 'route': ['p1', 'e5', 'i5', 'x5', 'p2', 'c2']}
1769458690.3127263,RECEIVED,72bbb82a-e097-4925-8d6b-df22d3078eae,cfe6e0ad-a364-4e8b-af96-37a1d267376a,c5,c4,27,p1,?,surb={'id': '15b1d2ec-890b-491b-a39a-336a939a91dc', 'route': ['p1', 'e11', 'i10', 'x7', 'p2', 'c5']}
1769458690.4167142,RECEIVED,f8a25645-7f1d-4147-90cb-d7a3a19f8169,8f879061-1284-4108-b92c-35566fcefabc,c3,c4,27,p1,?,surb={'id': '51befea6-ac23-45d0-97cc-c92b8da09443', 'route': ['p1', 'e2', 'i11', 'x2', 'p3', 'c3']}
1769458690.5911732,RECEIVED,e8b79cc9-8902-41ac-a6a6-7ed79f0ec5a9,0e420cb0-7f9f-4613-9002-ed0026dee10a,c5,c4,26,p1,?,surb={'id': '0bd743e0-dfea-47a7-8321-7b0bf7c0d91c', 'route': ['p1', 'e10', 'i4', 'x6', 'p2', 'c5']}
1769458690.6810155,SENT,68f4ecb8-aef3-4ed1-9ce4-023d313dd4a5,82402fef-a4a5-470d-8c48-80c28adaec40,c4,c3,3387,?,p1,
1769458690.68123,CREATED,69257ef9-4cb4-4d92-b166-8d83e69a3a94,b25844f2-5324-4a5f-9194-c65ebd2d5a09,c4,c3,27,?,?,surb={'id': '5b65612b-4716-48d6-9070-e2e9e2b29f44', 'route': ['p3', 'e3', 'i10', 'x9', 'p1', 'c4']}
1769458690.7206917,SENT,a0e9cb07-2165-4842-b4d2-81fc563e7141,1368262b-a84d-47d4-8621-758c324ce1b0,c4,c3,3397,?,p1,
1769458690.7208416,CREATED,8b589f15-d8dc-4d8c-918d-7f89a774123e,4ffda512-e4db-4b52-bdba-149eba17ff7b,c4,c3,27,?,?,surb={'id': 'bee37ee2-7f90-4f82-be38-1479027ff69e', 'route': ['p3', 'e10', 'i1', 'x1', 'p1', 'c4']}
1769458690.8036706,RECEIVED,0ab49c4c-0284-471f-864c-6f3d970888a6,a668d657-4830-40b3-ac48-18f33c5d1d01,c5,c4,26,p1,?,surb={'id': '42e51ad2-483a-497f-8a78-ff28cbc02603', 'route': ['p1', 'e2', 'i2', 'x1', 'p2', 'c5']}
1769458690.8662663,SENT,46db8f79-096c-4957-a53b-9bfdb58e9caf,14df294c-3a00-42d8-8cfd-499422475d53,c4,c3,3383,?,p1,
1769458690.8664145,CREATED,af5013e0-bb4c-412e-96cb-74e4c6b79244,ef89229f-df2b-4a38-ae6e-555117d573f4,c4,c3,27,?,?,surb={'id': '862f75cc-6eb4-469b-8fed-a19e7c5ad09a', 'route': ['p3', 'e8', 'i11', 'x7', 'p1', 'c4']}
1769458691.3793592,RECEIVED,b6491adc-a494-4cdd-b360-b3af4508e911,374094d1-e5ae-4798-93ad-11af3e9f9a01,c2,c4,27,p1,?,surb={'id': '7821beed-5504-4534-9c81-2eb9a49a61b3', 'route': ['p1', 'e8', 'i12', 'x3', 'p2', 'c2']}
1769458691.4203517,RECEIVED,6d0b04c4-5c4f-4f21-a75b-b012cb0c12a3,e024ee56-e478-4373-8ae0-808a03ea0b5d,c5,c4,26,p1,?,surb={'id': 'e1edef03-4b07-4dc4-84cb-52af177055a7', 'route': ['p1', 'e12', 'i5', 'x2', 'p2', 'c5']}
1769458691.4471943,RECEIVED,00820316-2acb-49c4-b520-0d9b81d848bb,4b1b6227-9ad4-40c4-b340-25c07dbe6bc1,c2,c4,27,p1,?,surb={'id': '7c6b6f5d-ffa5-493e-aae4-4cca92be8bf8', 'route': ['p1', 'e4', 'i11', 'x5', 'p2', 'c2']}
1769458691.891147,RECEIVED,bc65b59d-f965-4abd-9846-ee6862779fa8,8b86c2bb-e63c-4283-95ba-ab1576d545b4,c3,c4,27,p1,?,surb={'id': 'a07ecc29-8668-423b-9e5f-db016c3dbf82', 'route': ['p1', 'e7', 'i6', 'x4', 'p3', 'c3']}
1769458692.0774598,SENT,79acc53e-80bc-44f0-ba1b-36eea1e9478d,a43c89c8-26c8-4f10-9ff3-b1972964d283,c4,c3,3383,?,p1,
1769458692.0776129,CREATED,463466e4-7b59-4123-9655-bf61d1cafe17,4fff5a70-f519-46c6-9aaf-564e795fdc81,c4,c3,27,?,?,surb={'id': '87393eee-2833-4e25-aced-6e7a83863d30', 'route': ['p3', 'e10', 'i3', 'x7', 'p1', 'c4']}
1769458692.0878296,RECEIVED,7f2ae3c4-5e09-4432-a046-493746b6214a,0766022e-c032-46b7-9820-8d11474efdc8,c3,c4,26,p1,?,surb={'id': '31da0585-4207-40b0-a243-bfa575657591', 'route': ['p1', 'e1', 'i3', 'x3', 'p3', 'c3']}
1769458692.1403236,SENT,44289be2-69ff-4024-a50e-84753c4a53c1,25c3971c-7f02-4428-b7a7-5fba469dc185,c4,c3,3369,?,p1,
1769458692.1404707,CREATED,7d73e330-f7a5-4295-afe6-eebd21061e9c,cb9695ed-6627-4c6a-93d0-1c13caed587f,c4,c3,26,?,?,surb={'id': '5a752521-ee2a-4e1e-a624-4ba5e748621c', 'route': ['p3', 'e9', 'i3', 'x12', 'p1', 'c4']}
1769458692.3364944,RECEIVED,11e747a5-2c76-4644-a304-9014018102ae,e4f89bf3-50b3-48f9-83e0-d428a4c3a3e0,c3,c4,26,p1,?,surb={'id': 'd2bab697-404c-45eb-a598-4e26f3810568', 'route': ['p1', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769458692.417799,SENT,b5b03945-deb9-4f82-8cd6-a881d3702a20,46d81d84-fcce-4c8d-a127-66c892198cbc,c4,c3,3375,?,p1,
1769458692.4179487,CREATED,15cd4509-61e5-4201-a8d5-6dde86f90d48,d17ade69-747b-44a6-83ca-15a74543d74c,c4,c3,26,?,?,surb={'id': '871b91ca-031a-4321-b85d-5b950422a5e1', 'route': ['p3', 'e7', 'i10', 'x2', 'p1', 'c4']}
1769458692.4586487,SENT,ab996009-0575-469c-bcff-5d78124d132c,aa7d4460-4d4a-4c56-b070-2adcbad8afdc,c4,c3,3402,?,p1,
1769458692.458797,CREATED,3c3e4cfc-f516-403e-8979-72de1c0212a6,80ea167a-01c0-472a-a1cd-b79990bbc905,c4,c3,27,?,?,surb={'id': '1c7f220c-f7c6-4a89-aacd-b31594486df6', 'route': ['p3', 'e12', 'i12', 'x9', 'p1', 'c4']}
1769458692.7129579,RECEIVED,04c19102-ff95-4070-b594-fa5f3d96d85f,03853e13-136d-4165-8be7-4d7cb1713e8c,c3,c4,27,p1,?,surb={'id': '56fb8258-3c17-4dc0-aef7-dfe97da8760c', 'route': ['p1', 'e4', 'i11', 'x9', 'p3', 'c3']}
1769458692.7968955,SENT,4c1ad6cc-75c9-4d3f-b400-fa452d72c275,3dd924ad-c464-4ddc-a029-a39f2f28c52b,c4,c3,3395,?,p1,
1769458692.7970996,CREATED,3531e48f-eae5-4dc3-816b-27d7a402c850,abc83466-0157-4712-87e2-df9cea1a9d18,c4,c3,27,?,?,surb={'id': '01a48328-9bd1-43dc-a87c-f8c48d9c9c66', 'route': ['p3', 'e11', 'i5', 'x5', 'p1', 'c4']}
1769458692.8796108,RECEIVED,800e076c-8267-469d-8a46-dc3f03ab7f53,6b132367-e421-4b26-acef-a08cc73b383f,c2,c4,27,p1,?,surb={'id': 'cefc61c4-6402-424a-89e6-a424b468f54c', 'route': ['p1', 'e12', 'i2', 'x12', 'p2', 'c2']}
1769458692.9220088,RECEIVED,14ac2a88-d231-45b7-a9e8-87267e17f4e0,5d6b7e35-d0ff-414e-9c6b-72e68f5094c7,c5,c4,27,p1,?,surb={'id': '71a6055e-038d-4142-9046-48bd6e3b7b9e', 'route': ['p1', 'e5', 'i10', 'x10', 'p2', 'c5']}
1769458693.066683,SENT,f25cecb8-03da-4cc6-967c-18b17d633676,5114b6d0-6a20-44ce-81cd-3a90c02556ae,c4,c3,3391,?,p1,
1769458693.067211,CREATED,54dcaa83-536b-469c-aa49-98592e5531ed,69210979-4f53-4ab5-bbb0-f13e8c1066c6,c4,c3,27,?,?,surb={'id': '4cc7701a-40db-4c43-a2a6-f26c0d6c98c0', 'route': ['p3', 'e1', 'i10', 'x11', 'p1', 'c4']}
1769458693.0783463,RECEIVED,7451c2d0-f383-45a3-945c-d67d45d7f70f,fee0c7df-8cd1-496a-bbbb-6eb87940440c,c2,c4,26,p1,?,surb={'id': '314b9459-e7d7-4522-93f6-6097a94bda60', 'route': ['p1', 'e10', 'i1', 'x12', 'p2', 'c2']}
1769458693.200211,RECEIVED,5386210e-fddc-40ed-b5a8-8a2a9913d1cc,be5b58f2-2055-496a-9e86-80a197977946,c3,c4,27,p1,?,surb={'id': 'e9aee83e-be0a-4ccc-8f14-741053ce573e', 'route': ['p1', 'e11', 'i9', 'x6', 'p3', 'c3']}
1769458693.3492382,SENT,24a258e0-6b55-435e-96cb-261a088f1d17,5ee87d8b-5d18-465d-b579-f59012af9ce6,c4,c3,3382,?,p1,
1769458693.3493884,CREATED,2e6d7047-de8a-4384-94fc-98bf3c2aa773,1de66434-01fc-4a46-83d6-2b8020833539,c4,c3,26,?,?,surb={'id': '9030d00d-6de0-4a87-a073-726ca1320bfd', 'route': ['p3', 'e8', 'i11', 'x9', 'p1', 'c4']}
1769458693.359961,SENT,4c98ff82-1a81-4882-aae9-1b4882d7184a,ea60189e-f53a-4460-84f2-307a16100452,c4,c3,3383,?,p1,
1769458693.3601365,CREATED,34494991-b72a-4f11-bf61-df42523f4f86,ccf5cc46-b838-49c4-9f67-1c18f4420cba,c4,c3,27,?,?,surb={'id': 'db5681ec-c22d-454b-a7f7-673960cee66c', 'route': ['p3', 'e6', 'i3', 'x12', 'p1', 'c4']}
1769458693.3796928,RECEIVED,dce7b238-8e26-4ff1-a241-e18c5e73f6a7,ffa9b59f-c640-46ba-94b0-2aa9d05d1d30,c3,c4,27,p1,?,surb={'id': '4985f4d3-7521-4689-97fc-6762cb70c519', 'route': ['p1', 'e8', 'i10', 'x7', 'p3', 'c3']}
1769458693.4030206,RECEIVED,65e41c24-1614-4729-9c96-bd2e5084ab19,3e04b253-bd44-4d06-9eb7-4af2230654d2,c2,c4,27,p1,?,surb={'id': '08549588-be93-465f-b278-350755d75548', 'route': ['p1', 'e1', 'i12', 'x3', 'p2', 'c2']}
1769458693.4506488,RECEIVED,63ea9d33-d358-4e66-930e-e36c491c7c32,c898fa3d-ea4f-476c-9cd6-5104abe667d0,c2,c4,27,p1,?,surb={'id': '8d4714d5-5ef0-499f-9d2f-d82513544c1a', 'route': ['p1', 'e12', 'i6', 'x1', 'p2', 'c2']}
1769458693.5550454,RECEIVED,be21511b-e1a0-4d0e-bbfb-429085e7559a,de5b7bfa-b688-4ca7-85f7-fbfd1525837d,c3,c4,27,p1,?,surb={'id': '0f8233c2-3c47-45f8-b29e-22a37ee94536', 'route': ['p1', 'e7', 'i4', 'x2', 'p3', 'c3']}
1769458693.7275877,RECEIVED,88b2faca-1646-4143-9109-514a8812c359,9e766a30-ded6-4d83-9a75-658fb2a1bcac,c5,c4,27,p1,?,surb={'id': 'f179cb5e-e052-4a09-8fe1-c702f5a97ebe', 'route': ['p1', 'e9', 'i5', 'x7', 'p2', 'c5']}
1769458693.857545,RECEIVED,64651ab3-3aa5-4688-943a-1b1175b81994,0db2acc9-57ea-44e8-8bf4-bb808bc16521,c2,c4,27,p1,?,surb={'id': '08131374-f7d2-4b53-9c14-e234805eda66', 'route': ['p1', 'e7', 'i12', 'x7', 'p2', 'c2']}
1769458693.9230263,RECEIVED,6ce1823d-85c4-44c9-b755-5c51b0ba65c3,4291dfae-24a3-4acf-ab70-41d128e73042,c5,c4,26,p1,?,surb={'id': '87550f9c-8e83-4fd4-83b2-03d2bb521825', 'route': ['p1', 'e5', 'i6', 'x12', 'p2', 'c5']}
1769458694.0699315,SENT,923492cd-acb9-47ad-9127-767cb9e5bf91,ed1978be-b8eb-4273-906f-428714a9acc5,c4,c3,3392,?,p1,
1769458694.070126,CREATED,0db88260-f1cf-43a3-af17-1ff755730c46,d1002e26-67ab-4fbd-b71a-cda1f67c10d5,c4,c3,27,?,?,surb={'id': 'c9ac9f13-5b27-4467-a9da-803efed58494', 'route': ['p3', 'e11', 'i11', 'x9', 'p1', 'c4']}
1769458694.07761,RECEIVED,649747f2-3885-4ccf-b08a-f295a855b7c4,dbb5446e-d12e-4757-9c97-1384349f8cf9,c5,c4,27,p1,?,surb={'id': '82c39beb-a5d3-4cd0-aebc-93fc41ecbf85', 'route': ['p1', 'e4', 'i4', 'x6', 'p2', 'c5']}
