timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731268.0466177,SENT,2ba62f40-d273-48cd-aa58-bdabb4561c04,37f0e91e-80e2-4ba0-8dcd-dbf86700d730,c2,c1,3380,?,p2,
1769731268.0467656,CREATED,25d81c43-c798-42e5-9f53-93f34e61eba1,0957941e-f64a-43ff-bef8-36c4367876c1,c2,c1,26,?,?,surb={'id': '1a2fdbbb-0910-4fc5-aae8-4e1f4e4137d8', 'route': ['p1', 'e9', 'i10', 'x8', 'p2', 'c2']}
1769731268.1776972,SENT,2441c306-735b-4652-b426-eb5b5e4d7be9,672d083b-4f94-481a-a688-cb5a83f25450,c2,c1,3383,?,p2,
1769731268.177832,CREATED,27e30425-af8f-4896-9bdc-bcf071ca9b8a,4768b046-dc3d-4d7c-98ab-34e881cc38c5,c2,c1,26,?,?,surb={'id': 'b222090e-2e55-4665-be32-56bdc7e2265e', 'route': ['p1', 'e6', 'i2', 'x11', 'p2', 'c2']}
1769731268.2277262,SENT,c4e89b73-f258-4e12-b56e-b34b7c888273,0eeaace4-5be5-42d4-8bc9-99a2bbd8442f,c2,c1,3391,?,p2,
1769731268.22788,CREATED,d53e8d4c-b32d-4b0f-a264-afab8b36b627,4c9def3f-ce47-4a00-aa0b-7946dc575d40,c2,c1,27,?,?,surb={'id': 'f76c14ee-344b-4700-b665-b7e11f96f2d8', 'route': ['p1', 'e12', 'i6', 'x6', 'p2', 'c2']}
1769731269.1089325,SENT,dc3eea79-b261-4531-8478-56817d0677ab,3cb6d5c6-3cc3-4de6-ad2b-1e4ff92253b3,c2,c1,3387,?,p2,
1769731269.109087,CREATED,0b97fc80-893d-430b-99c7-620211a8ac11,d18ad0de-7bff-4e9b-a6fe-a56fc46a4c4a,c2,c1,27,?,?,surb={'id': 'e0e2b3be-91de-4405-bf8e-443b593b2c4a', 'route': ['p1', 'e7', 'i4', 'x10', 'p2', 'c2']}
1769731269.1588857,SENT,d189f281-6c42-4a44-9d42-ab7b05819ada,ccf54969-02ec-4483-9aaa-e14741ded312,c2,c1,3387,?,p2,
1769731269.158994,CREATED,c80373df-aa7d-4db2-9399-f91f5436160d,50322f7f-1da7-457c-8a0e-19bad7d45426,c2,c1,27,?,?,surb={'id': 'b084ecea-2bbc-460d-abbb-ee7882328dda', 'route': ['p1', 'e7', 'i7', 'x12', 'p2', 'c2']}
1769731269.2427485,SENT,ccc27cfa-f647-45ee-8936-e158bef14871,1cf9eea2-bd12-457c-a992-f99505fedecb,c2,c1,3361,?,p2,
