timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769738664.8837435,SENT,767a5ee4-623b-4d73-b907-04bf3cb9726b,35c55a75-c74b-4259-b962-e445094be75f,c3,DROP,2027,?,p3,
1769738664.8838725,CREATED,9f444ace-253f-4ca5-bdb3-9b88bcdba277,367f8a6b-66a2-4c0e-af67-e915b0d7bc4b,c3,DROP,27,?,?,
1769738665.3675451,SENT,5ba25b30-e266-4ac2-ab43-b9545139dcdc,2bbd4a76-f445-42b6-8915-a2c90592ecb2,c3,c5,3400,?,p3,
1769738665.3681316,CREATED,40efb148-5b70-4547-94b9-862b48e0c822,f52ff93a-53a7-48ce-910b-207dd7c8aeee,c3,c5,27,?,?,surb={'id': '2d3837a7-aa68-4dcd-b9ed-6a38c31d19e7', 'route': ['p2', 'e2', 'i11', 'x10', 'p3', 'c3']}
1769738668.2153358,RECEIVED,309de139-69da-4899-93ef-07096ef2e2a3,33329064-f166-470a-b658-60631281a512,c4,c3,27,p3,?,surb={'id': 'ad6bcbda-ba9c-4459-ad85-e8bdc251ae56', 'route': ['p3', 'e2', 'i11', 'x7', 'p1', 'c4']}
1769738668.6253378,SENT,131744df-db75-4628-8286-22199cd10db5,df4ae092-fbc4-421a-8fb0-20995e64885e,c3,c5,3380,?,p3,
1769738668.625485,CREATED,185be389-265c-47bb-905a-dd92251b2a5d,c5cd7283-020a-4ca3-ad96-62c1c2af3e13,c3,c5,27,?,?,surb={'id': 'c5b88d40-147f-47d0-b9ce-788bf7bd61ee', 'route': ['p2', 'e11', 'i1', 'x2', 'p3', 'c3']}
1769738668.716698,RECEIVED,f0fdbbc0-589d-411a-9614-c69df723235e,0927ff62-7d30-47ba-88c9-35ff78070559,c4,c3,26,p3,?,surb={'id': '5e9a34ea-7590-4865-bf63-0664f8a46167', 'route': ['p3', 'e2', 'i2', 'x11', 'p1', 'c4']}
1769738668.7627108,RECEIVED,b928a635-1917-4a20-9986-435b34750abf,f377d126-9fcd-41b9-83fc-cbde8b9d0272,c4,c3,27,p3,?,surb={'id': 'b1b45f32-02ee-4e15-be1b-430ec33490e4', 'route': ['p3', 'e6', 'i9', 'x1', 'p1', 'c4']}
1769738668.7784002,SENT,24510208-de3d-48b5-ae7c-b90a636f1479,e868ccb5-d4fa-4e65-bb04-2cb20516aaaa,c3,c5,3400,?,p3,
1769738668.778529,CREATED,3a793125-a5d5-4458-8b3d-27bd04c72096,d851d3c9-0d73-414a-9f67-90656bdcac56,c3,c5,27,?,?,surb={'id': 'c6f78919-301c-4182-bede-dd0123964b65', 'route': ['p2', 'e2', 'i9', 'x4', 'p3', 'c3']}
1769738668.8587184,RECEIVED,df5a778c-b365-479d-8003-e70741054b2b,a994150f-4987-48d5-8597-c9b4d7710853,c4,c3,27,p3,?,surb={'id': '0ab027b0-bdc8-4f0b-af41-42c3e5b2aef7', 'route': ['p3', 'e3', 'i3', 'x10', 'p1', 'c4']}
1769738669.2799795,RECEIVED,ec5ecb0e-1c38-4867-8c0a-b270f9ec66c3,7fb3212a-0069-46b1-a64c-73c580bb9734,c4,c3,27,p3,?,surb={'id': '584b048e-c997-4830-b2ed-ccab14a8e8ca', 'route': ['p3', 'e1', 'i2', 'x1', 'p1', 'c4']}
1769738669.5778112,RECEIVED,c60bfa90-fd4f-47e0-b4cf-e18ebdad04ea,028c1caa-e6d9-4f95-a95c-9a1a6dbefcca,c4,c3,27,p3,?,surb={'id': 'f63dec74-fd4e-46cd-8daa-9b6af45c74e2', 'route': ['p3', 'e4', 'i4', 'x3', 'p1', 'c4']}
1769738669.9180126,SENT,3864b823-4d4b-4872-ab45-f9b190f7dc36,3191b679-1034-4911-8344-f7d2e733bfe4,c3,c5,3372,?,p3,
1769738669.9181943,CREATED,481334c4-8270-43ff-82b7-c2669fc56786,00593cee-fd01-4702-9e50-6992b2469ff9,c3,c5,26,?,?,surb={'id': '792e3354-ad61-44dd-8585-685d67f75f4f', 'route': ['p2', 'e2', 'i8', 'x9', 'p3', 'c3']}
1769738670.211684,RECEIVED,b3e53d93-dff3-466e-af84-16399e3d1316,025195d3-189a-471c-9d4c-3449a529685e,c4,c3,26,p3,?,surb={'id': 'bdd6ca50-0c78-4b31-ae57-a47ce45d7a18', 'route': ['p3', 'e11', 'i6', 'x10', 'p1', 'c4']}
1769738670.8130598,SENT,8a9f9c7a-35cc-4262-8628-feb3043c8be6,9f4b22c8-aa3b-46f6-9c53-bd7b7b4850c7,c3,c5,3384,?,p3,
1769738670.8133135,CREATED,8378cbab-26b8-4749-b976-096f34eac01d,0d67efd3-da4c-492e-b2f1-481811253887,c3,c5,27,?,?,surb={'id': '4f0f7852-9a09-4f79-a171-e4ef6bb482ff', 'route': ['p2', 'e9', 'i9', 'x7', 'p3', 'c3']}
1769738670.8650012,SENT,8ae4009a-abb7-4531-bef9-862515f1321a,32848e15-1ab4-4c0f-a6cc-1a9f7d22744e,c3,c5,3365,?,p3,
1769738670.865175,CREATED,0643e414-59f6-4bd5-827f-7e57e0c222e2,e4dc5bea-5433-4a4e-830d-c64346c380d0,c3,c5,27,?,?,surb={'id': 'ab2557c1-03c4-472b-a697-94e21177a384', 'route': ['p2', 'e1', 'i1', 'x3', 'p3', 'c3']}
1769738671.1651669,SENT,329896e5-4a1f-4687-a85c-483d896ed2ed,9e796675-69b3-4f98-b876-05616f7a1837,c3,c5,3384,?,p3,
1769738671.165326,CREATED,14bd430c-f177-49e8-adb1-26688a63ae3f,97c1b37f-99cd-4d0d-99c4-7ee74d6b157f,c3,c5,27,?,?,surb={'id': '2ade6773-6d0e-4fa6-b163-84dd4a2b69c0', 'route': ['p2', 'e9', 'i7', 'x1', 'p3', 'c3']}
1769738671.1777828,RECEIVED,cd773f81-e000-4dc6-99a5-682415627469,6ec65b32-c0c0-48a0-ba5e-cf3531d0607e,c4,c3,27,p3,?,surb={'id': '5c1435bf-4f3a-4563-a7f5-ce4acc8c1d27', 'route': ['p3', 'e6', 'i11', 'x9', 'p1', 'c4']}
1769738671.378134,SENT,b6357baf-fa54-4ff6-a296-5f7d9254d71f,cf666adf-3ab7-4c67-96e0-fcc1690b6821,c3,c5,3398,?,p3,
1769738671.3782692,CREATED,5170e500-3da7-426e-bc09-cf7cfb61784d,64a37bf4-5d64-4a98-b62a-e8b9296de69d,c3,c5,27,?,?,surb={'id': '5cc60f90-3a37-4c72-9ea7-b2ce345983c1', 'route': ['p2', 'e3', 'i7', 'x11', 'p3', 'c3']}
1769738671.6500137,RECEIVED,87aefc99-3f04-4cb7-8d83-4af47bcae234,14e71e3c-476a-4d6c-9b24-2c1f72dd2743,c4,c3,27,p3,?,surb={'id': '5796d7b0-e249-4fcb-8fb2-a1b16d49e575', 'route': ['p3', 'e1', 'i4', 'x3', 'p1', 'c4']}
1769738672.1948063,RECEIVED,9c9b7657-3e6e-401c-b8fd-c66b11b4a692,a23f4fe7-cb8a-4a62-9f74-482b217e7ec9,c4,c3,26,p3,?,surb={'id': 'b842e79b-1898-4ef4-bc1d-228b0ec30081', 'route': ['p3', 'e6', 'i4', 'x12', 'p1', 'c4']}
1769738672.2020047,SENT,d1f6035f-5dcc-45a5-a7be-7f46976243df,7e0b65ec-5dfc-4a32-bed3-80ee9e7a2b14,c3,c5,3375,?,p3,
1769738672.2021773,CREATED,c4a6dde5-29b1-43ae-a46c-725e8c320576,56e19d5f-b0a7-47a6-85af-c22f3c3aa626,c3,c5,27,?,?,surb={'id': 'f1e53fc1-c74d-456b-9cd7-659d190ab686', 'route': ['p2', 'e9', 'i6', 'x7', 'p3', 'c3']}
1769738672.2115636,RECEIVED,0ddee3e3-6076-428b-afcc-0b568530bd60,6cc486af-b503-489d-862c-8e93e29f23a2,c4,c3,27,p3,?,surb={'id': '458c1158-c74a-40ea-b550-a2598cfdefa3', 'route': ['p3', 'e12', 'i9', 'x9', 'p1', 'c4']}
1769738672.2801945,SENT,f669da1d-c767-406d-ab23-267955db88fe,5c7aab62-af15-4003-8726-b89bb7279e36,c3,c5,3375,?,p3,
1769738672.2803268,CREATED,5fad23a6-8a5d-42d6-bfd2-10a48c6b00e9,89c292df-a1d8-40c6-a20e-1d5d79b031ab,c3,c5,26,?,?,surb={'id': 'b8a80734-59d2-4f2e-8532-5c9cea1af397', 'route': ['p2', 'e2', 'i6', 'x6', 'p3', 'c3']}
1769738672.5437126,SENT,be1bb6b6-0499-4a52-8314-6c19509e91be,0bd6ada9-a4b1-4a75-a82c-bb9441422fad,c3,c5,3392,?,p3,
1769738672.5438418,CREATED,fa1779e1-6074-4906-8d44-df29f7e5a903,7ea8c7e0-1e17-4245-a9d6-254a7e6118a3,c3,c5,27,?,?,surb={'id': '8aeb5aca-d8f8-49f0-97df-9d620d3c20ed', 'route': ['p2', 'e2', 'i6', 'x5', 'p3', 'c3']}
1769738672.6787057,RECEIVED,359e38ea-6267-482d-a324-14ea560cdd47,ae42a325-a994-4e47-9c73-9942d68c89aa,c4,c3,27,p3,?,surb={'id': '4ba73a1d-8c13-45a4-9e12-29d72e01fa80', 'route': ['p3', 'e2', 'i8', 'x2', 'p1', 'c4']}
1769738672.967256,RECEIVED,03b0abb7-e4c7-4c54-8965-6428b6c1ea69,cd7abf8a-2d9e-4878-bb95-9ee263b2214b,c4,c3,27,p3,?,surb={'id': '3a9f0ffd-c652-4a03-8301-d508e00c2bcf', 'route': ['p3', 'e2', 'i6', 'x7', 'p1', 'c4']}
1769738673.013217,SENT,a0c937f9-cfe1-4fd5-9635-e794e749b955,dcf8c624-f748-459c-8f80-89a053034920,c3,c5,3356,?,p3,
1769738673.013403,CREATED,4230982a-164a-408a-b574-509fbe347ec9,1ec87e37-e2a7-4a69-a70b-f9bcc29d7c68,c3,c5,26,?,?,surb={'id': 'ef8699ef-3886-468e-b20c-a0180de5867b', 'route': ['p2', 'e2', 'i1', 'x6', 'p3', 'c3']}
1769738673.1076014,RECEIVED,097978b1-a0fa-408a-a1b9-2779a6b551de,1d3d5e01-7918-441e-90f7-12fc4473c87d,c4,c3,27,p3,?,surb={'id': 'c9d425ab-e0b7-4b92-8fac-e1c948d7a637', 'route': ['p3', 'e9', 'i5', 'x3', 'p1', 'c4']}
1769738673.1720214,SENT,acca6169-f50e-448e-b620-29ce49ae37b4,977fe20b-e30b-4ecb-8f0b-fd89de640a02,c3,c5,3386,?,p3,
1769738673.172203,CREATED,03ad8474-c175-4c0d-b77e-4d4f3f3cc164,8259ffc4-bde5-4304-a96a-1795634c9d8a,c3,c5,27,?,?,surb={'id': 'fa18620b-1d00-4319-9772-20d2b22d4ebd', 'route': ['p2', 'e2', 'i5', 'x5', 'p3', 'c3']}
1769738673.3270118,RECEIVED,7e121814-d108-4c2a-834e-ae7b50513acb,a7c6acc7-d35b-47cb-89ec-b655fcef80c0,c4,c3,27,p3,?,surb={'id': 'ceecbe3b-6245-48a7-b9d2-9ef81405ef27', 'route': ['p3', 'e12', 'i3', 'x6', 'p1', 'c4']}
1769738673.3773468,SENT,072104eb-a51f-49da-b893-f8c7a992022f,af9c7a5c-d10f-43a2-8f77-fa2153139911,c3,c5,3405,?,p3,
1769738673.3775728,CREATED,967eb7a6-1d55-418f-9c99-c04b37a779ae,e98b8492-4835-44c4-93f9-7bc683019e8e,c3,c5,27,?,?,surb={'id': '68a0a351-4ad3-4d3e-938d-1d2d25f8d3ac', 'route': ['p2', 'e5', 'i11', 'x4', 'p3', 'c3']}
1769738673.4454496,RECEIVED,48246554-3aca-4140-bfc6-67f2807d624a,e63c1f34-b2a8-4796-b82b-3adce46b49b2,c4,c3,27,p3,?,surb={'id': 'ac60e8d5-a174-4653-b023-fbdec45c9abc', 'route': ['p3', 'e6', 'i7', 'x7', 'p1', 'c4']}
1769738674.4552796,SENT,f17a1e65-c9d3-41cd-8c98-07eb36e18feb,55562ec1-6e6f-4e5a-97e8-5b99f17b18fd,c3,c5,3375,?,p3,
1769738674.4554281,CREATED,c62a8374-4b2c-46d1-8b64-a70c413cec53,61485adb-a16b-4d96-8e1c-332db46cfe54,c3,c5,26,?,?,surb={'id': 'b606a2dd-2a4d-4b9e-bb15-574ebca0b181', 'route': ['p2', 'e11', 'i9', 'x12', 'p3', 'c3']}
1769738674.8041694,RECEIVED,99344bb2-fb33-4304-b9f7-df9545de34d0,4b797584-44d0-4081-b76c-21958952b064,c4,c3,26,p3,?,surb={'id': 'e7fbd68f-7a06-442e-b649-d21a765b3199', 'route': ['p3', 'e10', 'i6', 'x3', 'p1', 'c4']}
1769738675.0650792,SENT,51bd5268-db35-40a0-a469-ce0cfd6c09c8,9e2cf539-6a2a-4fc7-97e7-7cbd58ce91c4,c3,c5,3380,?,p3,
1769738675.0652177,CREATED,d05d4de6-6081-422e-ae2c-ad74f52460d0,a592f269-916a-44ab-8681-8e64f2ce84e2,c3,c5,26,?,?,surb={'id': 'cdc8709d-71ed-43c4-b290-9d2e1269cdc2', 'route': ['p2', 'e5', 'i7', 'x11', 'p3', 'c3']}
1769738675.1004355,RECEIVED,efe12067-36cd-49d0-84a1-46e799431834,1f13dc20-a312-4083-a9b5-8523b539d545,c4,c3,26,p3,?,surb={'id': 'ead57f5f-8b71-48aa-b5da-e622a020e895', 'route': ['p3', 'e9', 'i8', 'x4', 'p1', 'c4']}
1769738675.210693,RECEIVED,f61b98a1-5adc-4f88-a5ec-14411b4d5070,26d34990-7572-45ff-8e45-0df01b9bfab4,c4,c3,27,p3,?,surb={'id': '1672b2db-31db-4fbd-9c52-3733305bc45f', 'route': ['p3', 'e2', 'i7', 'x2', 'p1', 'c4']}
1769738675.263318,SENT,4a482c73-1e17-4756-9fc9-3d9a7d6157e5,6cdf375d-27a8-4122-8c76-49c209357936,c3,c5,3370,?,p3,
1769738675.2634673,CREATED,c09a45f2-8f02-43d8-90f0-d18ec872258c,163e6d93-0eed-4818-93b5-e6f22a8a8de4,c3,c5,27,?,?,surb={'id': 'a85ce499-d9bd-44f9-9213-8a0ae7b31325', 'route': ['p2', 'e4', 'i11', 'x1', 'p3', 'c3']}
1769738675.3456726,SENT,39b0ec25-e0c7-45ca-a9ea-197714f6c7fa,063cde4b-c348-48cc-b41e-50033f3d87f1,c3,c5,3383,?,p3,
1769738675.3458245,CREATED,0ccf6d4f-c7e2-42b8-99d2-72ff762d7a88,d5ae7b13-7949-4345-be2a-e740c13e5ceb,c3,c5,26,?,?,surb={'id': '0bcb8ee4-4201-4fd9-b06a-cf55f6845250', 'route': ['p2', 'e8', 'i1', 'x12', 'p3', 'c3']}
1769738675.489593,SENT,7235f5d5-f462-43d3-ba73-29a8967c66c4,c8ffd98c-d24b-4848-90ed-23739c445d33,c3,c5,3379,?,p3,
1769738675.4897416,CREATED,30c61af5-91fb-47db-864d-cc6fecc7c730,a8998400-ab42-4b06-9732-a582f1798c45,c3,c5,27,?,?,surb={'id': 'f3c1aa82-2921-481c-ab8f-fbe782d258d3', 'route': ['p2', 'e7', 'i6', 'x7', 'p3', 'c3']}
1769738675.5763404,RECEIVED,cb8156ff-af4b-4ea1-8bae-c87666c1aaff,5e0474aa-0a6d-4693-a4e4-e62b4506ba18,c4,c3,26,p3,?,surb={'id': 'c831b390-7eff-48af-a0bc-c0de0a98b7d5', 'route': ['p3', 'e11', 'i2', 'x11', 'p1', 'c4']}
1769738675.6332297,SENT,7ee5d2a4-f4a0-40b7-be79-64b6c7cccde6,1db993f8-14a7-46fb-9728-62570cfde05a,c3,c5,3400,?,p3,
1769738675.6333776,CREATED,c43cca86-87c4-4173-971a-4a6323d6c8da,b77c608e-db2f-40c1-8e97-22af4dcf8994,c3,c5,27,?,?,surb={'id': '3788a286-d4ad-47a2-8ba0-a5e79f318f47', 'route': ['p2', 'e2', 'i5', 'x11', 'p3', 'c3']}
1769738675.821893,SENT,f5edcb8c-9d19-4d48-be26-9a6f374a5de2,c7c7ee73-de27-4a31-a5cd-2e9ef24146a6,c3,c5,3359,?,p3,
1769738675.8220274,CREATED,b13b67e0-58db-4736-97c7-fd2b83864489,29cac2dd-a87c-4454-80ed-6caef2df3fc2,c3,c5,24,?,?,surb={'id': '4f8e98e0-3793-418d-bc66-b18e447db962', 'route': ['p2', 'e12', 'i11', 'x5', 'p3', 'c3']}
1769738676.3884454,RECEIVED,2508127d-9514-4722-9025-57db6bd660ed,778cfee8-c955-4440-97ab-6eed85f750ed,c4,c3,27,p3,?,surb={'id': '954432cf-93b8-47ea-b8e0-aaabb70a54b8', 'route': ['p3', 'e6', 'i9', 'x8', 'p1', 'c4']}
1769738676.8375049,RECEIVED,2253e9ee-534e-4ea1-8525-3a33483fb77b,02f4cae5-2fbb-454f-b572-af787da0db69,c4,c3,26,p3,?,surb={'id': 'c2c0332b-958b-43ba-94a5-ca241c704b0d', 'route': ['p3', 'e12', 'i6', 'x12', 'p1', 'c4']}
1769738676.8751838,RECEIVED,0c4ccdcc-baba-4f20-842c-a4d625c29577,2aa6121f-5dd9-4f56-8124-4228b4e97f8f,c4,c3,27,p3,?,surb={'id': '82a5d363-1912-4a79-b3a3-c2bec8b054b3', 'route': ['p3', 'e6', 'i7', 'x6', 'p1', 'c4']}
1769738676.9322352,RECEIVED,3a4adc31-1426-482e-88f6-12e68b4398f5,ffdf53eb-c1a9-4ed4-85b6-47159e405eec,c4,c3,27,p3,?,surb={'id': '8794d118-dd4f-4d75-8a88-7ac1720e1baf', 'route': ['p3', 'e8', 'i2', 'x1', 'p1', 'c4']}
1769738677.0168467,RECEIVED,fbdd071f-fe78-4372-b7a6-1da1dce390ba,14a26c44-ede9-4c7d-a576-22890667b73b,c4,c3,27,p3,?,surb={'id': 'bfaff033-981f-4107-baa8-8b1ae292cf41', 'route': ['p3', 'e12', 'i1', 'x7', 'p1', 'c4']}
1769738677.386308,SENT,3f5f35f9-7b4f-4692-97b4-4c112abacd34,f37dae74-e098-4d61-85a7-d0f64dc4f1a1,c3,c5,3364,?,p3,
1769738677.3864589,CREATED,39087f11-a210-4b01-b562-6e2ee430b299,6157114c-e547-4ef7-a96d-49ca1778bdda,c3,c5,27,?,?,surb={'id': '9738d83c-0006-44c4-b3dd-9a01400d3d11', 'route': ['p2', 'e10', 'i3', 'x7', 'p3', 'c3']}
1769738677.7550187,SENT,eb181746-a964-4135-8b39-b09a79f271dd,1df4ec68-3130-4e47-8af1-07722f71b659,c3,c5,3355,?,p3,
1769738677.7551877,CREATED,b67ad663-a3ae-43dc-a359-adcc6d240b11,2040fb94-e9e8-4015-a1c4-839de6f7e02f,c3,c5,25,?,?,surb={'id': 'abd34426-8375-4618-bd8e-a07fbc879267', 'route': ['p2', 'e2', 'i8', 'x1', 'p3', 'c3']}
1769738678.0424893,SENT,2125f1ae-fcdd-4589-abb0-adbc918868a2,3f0a41c5-6987-43c8-be12-2018078183ab,c3,c5,3374,?,p3,
1769738678.0426373,CREATED,16d4a63e-1f07-4f78-ab60-9e96b0c070a4,4eeb0f36-0268-4da0-a00c-5fd807317a5f,c3,c5,27,?,?,surb={'id': '28d8510c-a13e-4983-adfe-dc8a8ff092a9', 'route': ['p2', 'e8', 'i3', 'x4', 'p3', 'c3']}
1769738678.0499783,RECEIVED,37d7311e-4970-4f5b-891a-63b8be971b22,f219089f-78b9-45a0-954e-e31b128c288a,c4,c3,27,p3,?,surb={'id': '84288f53-178e-41e1-8c29-7d243931e5e0', 'route': ['p3', 'e9', 'i7', 'x6', 'p1', 'c4']}
1769738678.292164,RECEIVED,6cd5ddbb-8203-4175-a77a-c3fa1325e14a,3ee97c24-8082-43f8-9035-14c627ec6aa6,c4,c3,27,p3,?,surb={'id': '75a0aa73-de1a-4cc4-9f1f-bf739645d44f', 'route': ['p3', 'e3', 'i6', 'x1', 'p1', 'c4']}
1769738678.3821332,SENT,ca2a1f6f-643a-433e-805b-a031da952b9e,dc5feaa1-1c22-47fa-a928-bb17f158c2ef,c3,c5,3363,?,p3,
1769738678.3823152,CREATED,9b0a6806-9976-4c10-9258-e7783d979dc0,0c2d5928-41bc-4cc2-aac3-2677147d5aa1,c3,c5,27,?,?,surb={'id': '43914fb7-0fda-4c8e-b1ae-dba650ce5a90', 'route': ['p2', 'e1', 'i6', 'x1', 'p3', 'c3']}
1769738678.5550997,RECEIVED,95f0fdd6-739a-4f78-91f3-8cebebdef350,a4eaddf2-9958-40b0-947b-442122578e92,c4,c3,27,p3,?,surb={'id': '891a80a6-3c01-4f9a-b349-c5c77a16e916', 'route': ['p3', 'e10', 'i1', 'x10', 'p1', 'c4']}
1769738678.6729438,SENT,c68a7bfc-03b6-4fc6-a9d0-a3be5ea1ae63,d92e156c-19b1-41f0-8d99-744b3f6e57d7,c3,c5,3387,?,p3,
1769738678.6731215,CREATED,41614b3b-98f7-40c6-879b-3dec2632d3ac,f3afe951-0a2d-47db-b90f-a77da2fbcc8a,c3,c5,27,?,?,surb={'id': '6a1ca587-827a-4cb3-9bd8-9e5488ba01ca', 'route': ['p2', 'e6', 'i8', 'x8', 'p3', 'c3']}
1769738678.8645713,RECEIVED,e856556c-14fe-41ac-ab18-02f4a62e6d41,75725cf2-255f-4aed-b806-717fce6900c3,c4,c3,26,p3,?,surb={'id': 'fdfc6c71-455e-4245-9e51-62a8cc677549', 'route': ['p3', 'e7', 'i12', 'x9', 'p1', 'c4']}
1769738678.9801497,RECEIVED,4a4a1913-2b27-45bc-b634-7c23c5ec4abc,c9b8ad18-279d-4081-9a40-804896198f61,c4,c3,26,p3,?,surb={'id': '62c3e810-cb69-41af-8324-e81aaec6d54f', 'route': ['p3', 'e7', 'i11', 'x7', 'p1', 'c4']}
1769738679.1390307,RECEIVED,4115c56a-3fb9-4eba-8e49-9f079b889691,bdb1c75a-e464-4a1e-a6e1-82fa22dc8651,c4,c3,27,p3,?,surb={'id': 'd925bc29-e00f-4d55-8f9f-5010867a05bd', 'route': ['p3', 'e6', 'i10', 'x9', 'p1', 'c4']}
1769738679.1709876,SENT,8979a4e0-8452-4cb0-afd6-c290f4e262d0,3cc86759-14f8-4985-8e9b-3c6f9039414e,c3,c5,3364,?,p3,
1769738679.1711638,CREATED,d12d1d20-e4d9-44ac-b7a0-96c36049fa1d,d521ae36-3753-476f-8e25-2be17493073f,c3,c5,26,?,?,surb={'id': '3115c4ac-48de-4add-972c-9487801d6ad1', 'route': ['p2', 'e6', 'i8', 'x7', 'p3', 'c3']}
1769738679.2847223,SENT,285960f6-8c53-48ab-baa2-ea40b5838d8d,2043e78c-be81-46a3-ab49-22bef203e3f3,c3,c5,3380,?,p3,
1769738679.2848468,CREATED,6a5d076e-9ac0-4fbb-bd70-1990e6cc3380,980922a2-dca8-4222-83f7-9907538bcdf1,c3,c5,27,?,?,surb={'id': 'aa08839a-7800-4459-9263-6c0445dedae3', 'route': ['p2', 'e4', 'i7', 'x11', 'p3', 'c3']}
1769738679.3197489,SENT,b62e7b71-31d2-4428-97f6-cbe73c790e0e,facd592a-24ce-4c5f-bcb1-0ba6bd7c6e3d,c3,c5,3364,?,p3,
1769738679.319889,CREATED,51e7a74c-5d95-49cf-b81f-649359e1b225,efad5fe7-3095-4d69-bb98-719ea696020c,c3,c5,27,?,?,surb={'id': '3e1f5ab5-21cc-4cd8-aa2b-16d4caf30d1e', 'route': ['p2', 'e3', 'i1', 'x9', 'p3', 'c3']}
1769738679.3589628,RECEIVED,12ec4eb5-5276-4d56-92a8-ce787b7f4a82,dcda8477-cad8-48f6-839b-e676428620c2,c4,c3,27,p3,?,surb={'id': '110508fe-d0b9-400d-a372-5a903f8c8daa', 'route': ['p3', 'e2', 'i3', 'x9', 'p1', 'c4']}
1769738679.6067271,RECEIVED,1f5b9972-f74d-498b-bf62-6b5f44191685,132ed527-a6f6-42cc-b26a-a11da1a6b19a,c4,c3,27,p3,?,surb={'id': 'a785d49f-eea7-4533-8d07-0cb552a56643', 'route': ['p3', 'e8', 'i8', 'x2', 'p1', 'c4']}
1769738679.6375813,RECEIVED,48a780be-a308-489e-a45a-21d9d0eea10d,17efb6ce-b665-472a-82d9-b77264836895,c4,c3,27,p3,?,surb={'id': '80fbb806-c95c-4f40-b514-5c614b478c22', 'route': ['p3', 'e12', 'i8', 'x2', 'p1', 'c4']}
1769738679.6688871,SENT,41a4e03f-4e37-48c0-87b3-61e7953550cf,a5fce2a3-3056-4750-98c8-0e1eeadeb594,c3,c5,3363,?,p3,
1769738679.6690218,CREATED,b8958315-4b81-4ee1-8967-cdcb383cf0e2,63e61be0-dd34-40aa-9ef8-0398f6660252,c3,c5,27,?,?,surb={'id': '72dbd34c-c192-47c3-ac34-f17c02ab2e31', 'route': ['p2', 'e9', 'i10', 'x5', 'p3', 'c3']}
