timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769465475.1757405,SENT,89ed5f04-f5f6-4c76-b545-3c639104366f,4277f1b2-50a0-468e-ac09-d0839675f86d,c2,c3,3360,?,p2,
1769465475.175907,CREATED,c5aaf870-3451-4882-a935-eac6d71b4c18,af61df25-1137-4f0b-8dd8-66ff89083844,c2,c3,27,?,?,surb={'id': 'cc842d6f-28ef-4bdb-b1d4-ea9e79b0f3a8', 'route': ['p3', 'e12', 'i2', 'x3', 'p2', 'c2']}
1769465475.2191617,RECEIVED,1a22353e-c681-4817-b739-99a772ac670c,c002b781-e9a8-4b35-885a-fc4c76555db7,c4,c2,27,p2,?,surb={'id': 'a98dcda0-50c2-416d-8780-cd338df5b022', 'route': ['p2', 'e2', 'i2', 'x2', 'p1', 'c4']}
1769465475.2343812,RECEIVED,dc69e216-6d32-4fd3-9406-fe88b0f95ef2,45328455-0850-41f9-9a75-8a0808ec1caa,c3,c2,27,p2,?,surb={'id': '0d42638c-59f4-42f5-966d-e33fc92369b8', 'route': ['p2', 'e12', 'i4', 'x7', 'p3', 'c3']}
1769465475.242329,RECEIVED,f2f1eb06-0402-46be-802f-62017a99bdb2,9be62e54-3fc7-4b41-b6ae-f16c740c7df3,c4,c2,27,p2,?,surb={'id': '82236310-aadd-49d3-8b10-d1bad3ef7dac', 'route': ['p2', 'e4', 'i2', 'x6', 'p1', 'c4']}
1769465475.3113163,RECEIVED,a42fbb40-6385-4ce2-bbe4-96a4bfe59c50,51ba26cc-ce04-45e7-a69c-99b19fa2161e,c3,c2,27,p2,?,surb={'id': '8c857d9e-16fb-429e-81d8-a2b823e4ee82', 'route': ['p2', 'e2', 'i1', 'x1', 'p3', 'c3']}
1769465475.353808,SENT,b442f833-7446-4e0e-a148-6c1f8151367a,eb1138c8-4dbf-4ad6-bc3a-98998616f2b0,c2,c3,3359,?,p2,
1769465475.353945,CREATED,fc592bfe-37eb-48dd-8889-dd8569b155ed,46c2d6c2-cc1f-4f4a-84e0-ec614f8835cb,c2,c3,27,?,?,surb={'id': '9e1f4ae1-d0ec-4566-8b06-a6d16b7deed0', 'route': ['p3', 'e1', 'i2', 'x2', 'p2', 'c2']}
1769465475.5207634,RECEIVED,b95e9421-31fb-45c4-8b5c-64220fe908a5,64f6f2f5-76a9-4ab0-8800-d610fe6adaa2,c3,c2,26,p2,?,surb={'id': '434f3c39-f883-402a-89f7-e277ca77d0e9', 'route': ['p2', 'e4', 'i4', 'x5', 'p3', 'c3']}
1769465475.591395,SENT,c6ddb9f5-fea3-4c19-8d14-ab753ec115f6,74f17720-9210-42d9-a9e0-51e16e13c72d,c2,c3,3365,?,p2,
1769465475.5915341,CREATED,07c52a66-f914-455f-8921-1f49834a6246,6c65d9dc-41f8-4f1e-9b28-e99fa5e18b22,c2,c3,27,?,?,surb={'id': 'f64d66c5-f014-4e25-8393-1b43f02a2efa', 'route': ['p3', 'e9', 'i4', 'x12', 'p2', 'c2']}
1769465475.6736245,RECEIVED,286450d0-2f44-4ffc-8cd6-fd129494763d,f066f934-a7a2-4e42-b847-5768f6a27d2b,c4,c2,27,p2,?,surb={'id': '0ac5ba4c-3aab-4482-9398-451ed6354fe6', 'route': ['p2', 'e10', 'i2', 'x2', 'p1', 'c4']}
1769465475.8293996,RECEIVED,ca316985-daea-4871-bce9-5f0dba630109,b09410b2-445f-42ed-8c41-5045fa7d999a,c3,c2,27,p2,?,surb={'id': '5ce15d53-2f1e-41ea-8cbf-d2efdca398b2', 'route': ['p2', 'e2', 'i11', 'x3', 'p3', 'c3']}
1769465475.8374832,RECEIVED,403a5310-845b-423b-b4da-d8b7705c89cc,4b2b546a-7550-45b7-a395-1c69ac55b497,c4,c2,27,p2,?,surb={'id': 'ecf2f6b9-2d94-4da3-b2be-5ab4fbc93dd7', 'route': ['p2', 'e2', 'i2', 'x1', 'p1', 'c4']}
1769465475.8777592,RECEIVED,91444a62-6503-49eb-b9af-152c827a28bd,40ccb975-120d-4376-8e53-e4c7eedbd281,c3,c2,27,p2,?,surb={'id': '7d662c43-f287-4734-bfd6-7123eb0bb95a', 'route': ['p2', 'e11', 'i12', 'x4', 'p3', 'c3']}
1769465475.9504292,SENT,21a20eb1-f692-45d4-bb77-d944ffa981bc,6f93049b-217f-446f-8459-56249d0f6df4,c2,c3,3392,?,p2,
1769465475.9505806,CREATED,b2ffe01f-1c9f-4b23-a999-a41a6cfa7bd7,3870eeb6-22e7-469e-9eea-a99ee3ce1cfe,c2,c3,27,?,?,surb={'id': '5ca92f7b-55f1-489d-b85b-0749b731a564', 'route': ['p3', 'e8', 'i9', 'x10', 'p2', 'c2']}
1769465476.14489,RECEIVED,1880447b-c759-4d12-ba48-0dc4749f022c,a80d13b6-ab6d-4860-ad36-717a072ce24a,c3,c2,27,p2,?,surb={'id': 'c12faab5-8976-45b6-ab38-b35935b4eb96', 'route': ['p2', 'e3', 'i5', 'x5', 'p3', 'c3']}
1769465476.2108264,RECEIVED,1fa4ee1c-e011-46a8-9e43-ac7dddf9f4ca,30611868-17cd-4b87-aa00-ee11ff56495f,c4,c2,27,p2,?,surb={'id': '4e083c5b-1f6b-44ab-895c-16623c8a0541', 'route': ['p2', 'e11', 'i2', 'x2', 'p1', 'c4']}
1769465476.2411304,RECEIVED,981d52c2-22d5-43a9-8387-cd7811041bc8,9965a1ee-4dd0-4544-9d48-6e1dfb0c6525,c3,c2,27,p2,?,surb={'id': 'f64f8d49-a86a-4fe1-b536-f49234891a3d', 'route': ['p2', 'e5', 'i3', 'x1', 'p3', 'c3']}
1769465476.2565644,RECEIVED,1a502f04-2ea8-4848-9ef7-a92baac021fd,7d4d4f47-07b2-46c5-bc8b-0236da345eeb,c3,c2,27,p2,?,surb={'id': 'a82e8e4c-1f7d-4996-9244-e3e4d8ac7815', 'route': ['p2', 'e7', 'i10', 'x4', 'p3', 'c3']}
1769465476.3219016,RECEIVED,e5f53f0f-61f4-459f-a71f-d723413e454c,75c669a6-686a-49ea-8afc-c05b4e520aa0,c1,c2,26,p2,?,surb={'id': 'a48acc7f-81e5-4f98-b88c-01207ca9baa1', 'route': ['p2', 'e7', 'i5', 'x2', 'p1', 'c1']}
1769465476.3389928,RECEIVED,9ae83c97-0296-4f12-8843-f01f2da64e01,ea3d0088-fea3-4286-912e-43d6a95ec2e6,c4,c2,27,p2,?,surb={'id': 'f99638d9-e47c-4761-9d91-60aaff22abbb', 'route': ['p2', 'e1', 'i2', 'x3', 'p1', 'c4']}
1769465476.4312038,RECEIVED,6b27b420-bd44-47b8-9a78-82a3eaedf6cd,650cf3a6-64f2-44f9-a580-98e45c206ba3,c1,c2,26,p2,?,surb={'id': '9f11afea-9ff4-48a6-96db-00e091c893e4', 'route': ['p2', 'e11', 'i3', 'x2', 'p1', 'c1']}
1769465476.5691478,RECEIVED,d0f03e7e-ee4e-4ae5-ac3a-6da62b00eb1b,298bfbb3-ccca-4af6-a173-839a949f733b,c1,c2,26,p2,?,surb={'id': '21bda8b0-545f-4259-8817-083959d99085', 'route': ['p2', 'e12', 'i3', 'x8', 'p1', 'c1']}
1769465476.8147073,RECEIVED,7da7e5e2-d5cd-490b-a7fd-e0eb7e03f030,8a6ee5e2-978c-4b23-be21-c99d42e1651e,c1,c2,27,p2,?,surb={'id': 'd7ce147b-fbb2-4b2f-9032-dbd21b616935', 'route': ['p2', 'e4', 'i5', 'x7', 'p1', 'c1']}
1769465476.8725114,RECEIVED,622d4d85-f135-4547-b930-8db1f5499675,5fe3e611-9feb-430d-a238-eda16a644d2c,c1,c2,27,p2,?,surb={'id': '881874f0-90ed-4219-adc9-1cace40862b5', 'route': ['p2', 'e4', 'i4', 'x4', 'p1', 'c1']}
1769465476.9746513,RECEIVED,485138ff-3e5c-4a3c-a9e1-48b928792441,27e0ca09-06d4-491b-9af6-f26f807db476,c1,c2,26,p2,?,surb={'id': '8e64d64b-3762-4e16-ad12-2973caec62fe', 'route': ['p2', 'e6', 'i10', 'x1', 'p1', 'c1']}
1769465476.9896522,SENT,b3e833e6-f69e-4eaa-aec0-08749b9a9368,4555dd8f-0c20-452d-9d0b-6be23834a5a5,c2,c3,3405,?,p2,
1769465476.9897838,CREATED,ade1e923-f429-4020-9cb7-49205aeb8028,f3ebbf23-c355-451d-aa02-ee8acb7546a5,c2,c3,27,?,?,surb={'id': 'a425e849-9cbe-44f1-9e3e-259b9920233e', 'route': ['p3', 'e5', 'i2', 'x7', 'p2', 'c2']}
1769465477.0498562,RECEIVED,483ecaa2-eb48-48c5-bfe2-1d5263b5ed3b,1c0ca0e0-f6ac-4a90-a296-a64808403f65,c4,c2,27,p2,?,surb={'id': '593d9b32-5c97-4d53-96d5-59abae24b5f8', 'route': ['p2', 'e10', 'i11', 'x12', 'p1', 'c4']}
1769465477.1132963,RECEIVED,102d06c6-12d4-43be-a7a5-27b8c759f0c0,e3f1ad92-5447-423c-b667-e953abd497c4,c1,c2,27,p2,?,surb={'id': '8c82e087-62b3-4316-a989-2036d813c0b8', 'route': ['p2', 'e4', 'i1', 'x10', 'p1', 'c1']}
1769465477.1783173,SENT,8767c340-90dc-4ea0-87f4-0e6d19f85d49,caf0757c-b90f-41b1-9e2e-ec91bace7464,c2,c3,3380,?,p2,
1769465477.1784692,CREATED,71c9c9b7-bfbc-4523-b8e9-2c9e1ce2e0d0,d0e7f311-dbc9-4bf4-84bd-0d1a4809ba03,c2,c3,26,?,?,surb={'id': 'f90f1bb1-de5e-4299-bde5-7cbd2f90f168', 'route': ['p3', 'e3', 'i9', 'x5', 'p2', 'c2']}
1769465477.292207,RECEIVED,9836f9a4-c9f1-48d4-b8bf-449bb463339c,4e80a236-b894-41d0-8dca-70e74e19f9ab,c3,c2,27,p2,?,surb={'id': '27d7c037-5daf-4d04-ae79-3d624f23bec7', 'route': ['p2', 'e4', 'i9', 'x6', 'p3', 'c3']}
1769465477.317796,RECEIVED,c4cdfa9b-35f1-4305-a498-b7aabc26b8a8,6082d29e-bbd0-4077-9aa8-7c73f507da8e,c1,c2,26,p2,?,surb={'id': 'a9114c74-443d-4013-bdb1-63104135489a', 'route': ['p2', 'e4', 'i11', 'x11', 'p1', 'c1']}
1769465477.6616957,RECEIVED,dacaa984-cb94-455a-8978-eae072049da2,fb601c9c-78d6-485b-9453-4e2089bac421,c3,c2,27,p2,?,surb={'id': 'a2efe8ac-323d-4950-8fc9-7cc6663bf5df', 'route': ['p2', 'e7', 'i3', 'x10', 'p3', 'c3']}
1769465477.714653,RECEIVED,da73bd42-2a99-44b7-957b-0aec804325c2,be9a2b20-fff2-4a82-9067-21472f6cf656,c4,c2,27,p2,?,surb={'id': '756465b5-2e4d-49c3-bd33-76ba93c5a43c', 'route': ['p2', 'e7', 'i3', 'x12', 'p1', 'c4']}
1769465477.7544549,RECEIVED,8ab5ed36-010c-46c7-a052-8e40abb1df58,67a0772b-3234-4ae8-bf33-e0196132fca9,c4,c2,27,p2,?,surb={'id': '680a6a1e-8ff1-4d33-94d4-cbd063ae594b', 'route': ['p2', 'e11', 'i11', 'x4', 'p1', 'c4']}
1769465477.8536718,SENT,fb056af7-bca9-4f72-85b0-f9062ce354fc,3a21f71d-f9e2-41e5-a033-5c15348f1517,c2,c3,3370,?,p2,
1769465477.8538237,CREATED,0fdc4f20-b626-4bd7-bfbb-bcd4e633eabf,1ff65610-f23b-4a5a-a61f-f8ed232be8e6,c2,c3,27,?,?,surb={'id': '3512f341-f7fe-4953-9bcf-2dd017b59b3a', 'route': ['p3', 'e9', 'i9', 'x5', 'p2', 'c2']}
1769465477.9857187,RECEIVED,087c9f5f-70df-4e67-867a-34780a7a34b9,966fa74f-eb57-49dc-9b0b-f5b25249d397,c3,c2,27,p2,?,surb={'id': 'ed70f352-7487-4da7-b050-fc5eba3e9374', 'route': ['p2', 'e1', 'i4', 'x1', 'p3', 'c3']}
1769465478.1538188,RECEIVED,f3516014-6e87-4679-bd56-50ae1e586401,2a941d75-c0f2-4478-8a81-0a902e9eb98b,c1,c2,27,p2,?,surb={'id': '2c64364d-b3ef-4da0-90e1-0030d4d8fd35', 'route': ['p2', 'e9', 'i6', 'x3', 'p1', 'c1']}
1769465478.206603,SENT,ed3e2e9c-d6ea-4d28-ba18-521bc67c6a7d,d22d1065-9e06-4c3b-b916-ab26d5294ce4,c2,DROP,2019,?,p2,
1769465478.2067325,CREATED,616baa97-ad7f-4362-8952-8f6ff6011948,5c7297f8-db71-4e79-b0f3-465fb0a3e7f3,c2,DROP,27,?,?,
1769465478.3638594,RECEIVED,5c9c4602-7493-4df6-a130-8738ce04ff9b,c1ecb82e-9c20-4f39-a8b7-1b8a98848190,c3,c2,27,p2,?,surb={'id': '07212588-dd62-4aec-bf08-4f2c15ecbb89', 'route': ['p2', 'e7', 'i9', 'x7', 'p3', 'c3']}
1769465478.3771677,RECEIVED,4a450061-c3e9-4a0b-91b9-77de34e18c2e,bbf1ccac-51b7-4031-95cf-cd3f61164c62,c4,c2,26,p2,?,surb={'id': '022404ec-a7e1-45f9-8a10-212ea33b991a', 'route': ['p2', 'e10', 'i10', 'x10', 'p1', 'c4']}
1769465478.3989105,SENT,d8bf00ff-a9e8-48af-8aa2-327f166d8f1f,cb37a395-6251-4f38-8594-f3bb04d5db27,c2,c3,3372,?,p2,
1769465478.399093,CREATED,a4f3505d-b585-40e5-8839-fee21bbc6729,ff82e714-4f7b-4b8b-bc4b-90281a52719e,c2,c3,27,?,?,surb={'id': '8a41e1c6-6a8b-4ad5-bc66-30cb0c2c6cd2', 'route': ['p3', 'e6', 'i7', 'x5', 'p2', 'c2']}
1769465478.4348235,RECEIVED,1cb44b51-62b1-4a2b-82c8-8a2e2ad19d7b,72768f47-7c17-47df-986c-1290011dc64d,c4,c2,27,p2,?,surb={'id': '67e259ba-3154-4db6-a23d-72b3ef006ae7', 'route': ['p2', 'e7', 'i7', 'x3', 'p1', 'c4']}
1769465478.5024965,RECEIVED,2a428b6c-3a25-4cd3-ac86-50ff2b3e0f35,d033abfa-197c-451f-9630-23d1d8cc60a9,c1,c2,27,p2,?,surb={'id': 'c374387f-cda4-4d9e-8792-3f13e12f376f', 'route': ['p2', 'e6', 'i3', 'x11', 'p1', 'c1']}
1769465478.5774152,RECEIVED,a46966f4-15a7-4ee7-b1c7-6b99801fc02c,376f6906-575f-4d0b-9004-a5f7c61e8ae1,c1,c2,26,p2,?,surb={'id': '07f66323-ebb6-4dbb-be38-2726c7f6c248', 'route': ['p2', 'e2', 'i5', 'x2', 'p1', 'c1']}
1769465478.9179747,SENT,05f8c626-9a30-40c1-b826-2c64d4a1b7ed,812ba8fa-8acd-4a51-aa74-23bda4978bde,c2,c3,3387,?,p2,
1769465478.9181635,CREATED,d151c885-ad95-4890-aacd-f6a30bd57c44,8a3eac7a-c661-4864-ab8f-2aa08afbd13d,c2,c3,27,?,?,surb={'id': '06c2e25a-d9c2-4bbb-b737-3ca09430e3c8', 'route': ['p3', 'e10', 'i2', 'x1', 'p2', 'c2']}
1769465479.1334903,SENT,7e05dff8-9cdb-4b6e-8b60-b8624642ea28,ddf63747-19d5-4b42-adf7-e2e77c9c34f3,c2,DROP,2037,?,p2,
1769465479.133615,CREATED,60496128-9364-436f-a27c-c4c10819ac77,adcd8ad2-bef7-4642-b25a-7f812b9a99a1,c2,DROP,26,?,?,
1769465479.3049982,SENT,19114a9f-b27d-4ba7-83c6-63f7f87b5e03,49a1b6d5-6fd4-45ce-9a23-b06750e12b62,c2,c3,3380,?,p2,
1769465479.3051882,CREATED,aba1031a-a854-438d-8f1a-c3db110cd0e6,f5a6fed5-fe8c-4c9a-a01e-aca27d157aee,c2,c3,27,?,?,surb={'id': 'e2913fb8-4c33-4739-ba6f-af359e1b2174', 'route': ['p3', 'e12', 'i11', 'x10', 'p2', 'c2']}
1769465479.5079188,RECEIVED,ce9318a0-4d03-4b7e-9711-0ccd0512d080,e6108bb7-07fd-45c7-ab92-15a17ca83bb5,c4,c2,27,p2,?,surb={'id': '20570625-80a3-4db6-97df-7284649700dc', 'route': ['p2', 'e7', 'i2', 'x10', 'p1', 'c4']}
1769465479.5103335,RECEIVED,01ab4710-132b-4d5f-87a7-caaf0cafdfe5,c0eaf718-4600-4f85-b0a2-7f4f13fcfced,c3,c2,27,p2,?,surb={'id': '2a5116dd-95d6-49f7-926a-f34abb95079b', 'route': ['p2', 'e9', 'i12', 'x4', 'p3', 'c3']}
1769465479.5509949,RECEIVED,ad3648e3-b43f-4261-9279-fc0b2f0c0ef5,8aff6db7-23e0-49e2-aa3e-54c7e19390dd,c3,c2,27,p2,?,surb={'id': '9f075ced-fee6-403c-9936-4e0ebd6e4866', 'route': ['p2', 'e11', 'i10', 'x4', 'p3', 'c3']}
1769465479.5781484,RECEIVED,2273181c-3477-4ce1-9fa4-183bde31894e,1e2687ac-d3cf-410d-a179-5cb0798e0524,c4,c2,27,p2,?,surb={'id': 'e0555204-ca5e-43c0-a9d1-03260d2678dd', 'route': ['p2', 'e11', 'i7', 'x7', 'p1', 'c4']}
1769465479.5926623,RECEIVED,8f0c8748-7918-43be-88bc-435b3493ebde,5aed801e-609a-4561-b0fb-378f5f80d18c,c1,c2,27,p2,?,surb={'id': '5fc19864-36f8-4110-864a-3c1a77dd8799', 'route': ['p2', 'e4', 'i1', 'x7', 'p1', 'c1']}
