packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
100000,126.32924342155457,9.083393547124056e-13,-3.929218836607584,2.109098667398592e-12,2.321928094887362,34.96790470681208,c2,c2,True
102500,129.77046513557434,5.373081816665889e-13,-3.9241013220045664,1.2475909626244954e-12,2.321928094887362,34.44773800292387,c2,c2,True
105000,133.29275393486023,5.75191667118278e-13,-3.923465972530191,1.3355536918270292e-12,2.321928094887362,33.33015974413411,c2,c2,True
107500,136.4089913368225,1.0156258174234757e-12,-3.9250487896209316,2.3582101193685107e-12,2.321928094887362,32.18201828195561,c2,c2,True
110000,139.44802021980286,1.7483405529333087e-14,-3.9240351609125534,4.059521049286755e-14,2.321928094887362,37.982918810148476,c2,c2,True
112500,143.06927514076233,4.3920750055031034e-15,-3.9189859644804894,1.0198082350130222e-14,2.321928094887362,39.53569530584355,c2,c2,True
115000,146.62946677207947,2.4542876075628456e-14,-3.91827006996649,5.69867934893406e-14,2.321928094887362,35.72206337493844,c2,c2,True
117500,150.17468905448914,1.5490654599583095e-15,-3.918406996505027,3.596818612296813e-15,2.321928094887362,39.53413924031338,c2,c2,True
120000,153.54178404808044,1.288865762885241e-14,-3.918994052155685,2.9926536253816745e-14,2.321928094887362,35.78427406390074,c2,c2,True
122500,157.07361769676208,8.143750984540635e-16,-3.9185062406783913,1.8909204208771517e-15,2.321928094887362,40.26677241150901,c2,c2,True
125000,160.88235139846802,7.885166082644245e-15,-3.9109189208572737,1.8308788660144598e-14,2.321928094887362,40.0948251558566,c2,c2,True
127500,163.93003463745117,1.5493730757524356e-13,-3.911583660453941,3.5975328740516255e-13,2.321928094887362,35.95532024776003,c2,c2,True
130000,167.40265440940857,3.4584090752193576e-14,-3.908379147870459,8.030177195365247e-14,2.321928094887362,38.13220560888658,c2,c2,True
132500,170.631422996521,1.0715165051267878e-13,-3.9118351241266147,2.4879842773894067e-13,2.321928094887362,34.64721029173052,c2,c2,True
135000,173.93729424476624,5.643996174240981e-13,-3.913460451829085,1.3104953284406921e-12,2.321928094887362,31.579719418676177,c2,c2,True
137500,177.67979264259338,1.2353102773997027e-15,-3.90457940267709,2.8683016389974708e-15,2.321928094887362,42.43120840926895,c2,c2,True
140000,181.75502157211304,1.4441099834511586e-14,-3.900834533341515,3.3531195426825685e-14,2.321928094887362,35.06136144260563,c2,c2,True
142500,184.65389156341553,3.2642801056167305e-13,-3.9053710466792175,7.579423686813373e-13,2.321928094887362,29.597176563052926,c2,c2,True
145000,187.53388214111328,4.086827522593842e-14,-3.906356006322053,9.489319643669557e-14,2.321928094887362,33.54575326168924,c2,c2,True
147500,191.31722021102905,8.537590670752218e-18,-3.898553186599995,1.9823671641067812e-17,2.321928094887362,42.39462955799718,c2,c2,True
150000,194.64446663856506,7.407402392489482e-18,-3.896744716541143,1.7199455725257193e-17,2.321928094887362,40.54671757784672,c2,c2,True
152500,198.03988575935364,2.5569506927988284e-17,-3.897995975785459,5.937055650851305e-17,2.321928094887362,38.08874976599873,c2,c2,True
155000,201.34303188323975,2.7802503582894795e-17,-3.899661749238825,6.455541417732998e-17,2.321928094887362,37.66239260608927,c2,c2,True
157500,204.57842540740967,1.004080102033605e-17,-3.8978357553105702,2.331401798429197e-17,2.321928094887362,38.43956141894523,c2,c2,True
160000,208.09911131858826,1.3580921433311527e-18,-3.895754246280312,3.1533923030463977e-18,2.321928094887362,41.78994058560238,c2,c2,True
162500,211.01001405715942,2.7615169108732692e-19,-3.893478875784332,6.412043699863204e-19,2.321928094887362,45.24659178014008,c2,c2,True
165000,214.33809065818787,1.1354094104496706e-17,-3.89603580137724,2.636339009322587e-17,2.321928094887362,38.04008066037204,c2,c2,True
167500,218.0267448425293,5.05318036686748e-19,-3.891776966835237,1.1733121462362831e-18,2.321928094887362,43.41048937638334,c2,c2,True
170000,221.3331446647644,1.4179701053020282e-18,-3.894880506753951,3.292424625211171e-18,2.321928094887362,40.886104431845524,c2,c2,True
172500,224.76460576057434,1.7783038723471608e-18,-3.89339186244669,4.129093722449862e-18,2.321928094887362,41.214371639585806,c2,c2,True
175000,228.72235798835754,1.0230561341306739e-19,-3.889642212754098,2.375462780484865e-19,2.321928094887362,46.822859776546466,c2,c2,True
177500,232.4014823436737,2.315882992013475e-17,-3.8905566023722256,5.377313783627892e-17,2.321928094887362,37.80285704184098,c2,c2,True
180000,235.77203798294067,8.908521722766643e-18,-3.888981341374291,2.0684946872006234e-17,2.321928094887362,40.56030035749245,c2,c2,True
182500,239.19229364395142,2.6763563464395044e-19,-3.884440484225912,6.21430699272798e-19,2.321928094887362,46.77133329147182,c2,c2,True
185000,242.292866230011,5.726821873298276e-17,-3.886863975317489,1.3297268602026741e-16,2.321928094887362,38.494600788266325,c2,c2,True
187500,245.34704732894897,4.943064910411822e-17,-3.8880487994251864,1.1477441290337092e-16,2.321928094887362,39.17536207899684,c2,c2,True
190000,248.55402040481567,1.4889869397695055e-16,-3.887692167145821,3.4573206083711713e-16,2.321928094887362,37.91360231069484,c2,c2,True
192500,252.28631114959717,6.221645929096459e-18,-3.8865872393050873,1.4446214479210655e-17,2.321928094887362,42.40633190265726,c2,c2,True
195000,256.0630433559418,3.281272263793564e-17,-3.885339786146922,7.618878256276933e-17,2.321928094887362,40.1808217395519,c2,c2,True
