timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749776.4545233,SENT,dfbf323e-f684-4062-b5ab-e6c5a1a58be9,86bea767-06f7-4ec0-961f-1249bc69c4a5,c4,c5,3371,?,p1,
1769749776.4546566,CREATED,1de657e6-69b5-4c43-8d82-b30605e426ef,845eb215-dbcf-4a3c-bdad-9f8d759e578f,c4,c5,26,?,?,surb={'id': 'ef1659d1-75e7-4c13-9075-0cb013350346', 'route': ['p2', 'e12', 'i9', 'x1', 'p1', 'c4']}
1769749776.4772751,SENT,cac6a540-1ec7-48f0-a2b6-c4a6fa3f007c,7b842cf2-4e35-4906-b8ea-ef9c2d22c5d5,c4,c5,3396,?,p1,
1769749776.4774148,CREATED,9ac3b11d-b55b-4db6-a8d5-faad83d073e4,7b793aef-b8b2-46ef-8c0d-f7e5fe33f5a9,c4,c5,27,?,?,surb={'id': 'feb0c8d6-9549-4601-8126-947b7d6cd925', 'route': ['p2', 'e12', 'i12', 'x4', 'p1', 'c4']}
1769749776.5349221,SENT,87d7ab22-0c32-4893-b232-28d6381088c7,2e68f472-9a5b-4009-97b4-5986b9afdbeb,c4,c5,3379,?,p1,
1769749776.5350885,CREATED,e26df08f-6e6f-46a8-8cad-150c0df3b1ef,33405181-c214-413f-aaab-1a95d25946ce,c4,c5,27,?,?,surb={'id': '9e579c29-6f8b-4355-bc5f-9e0b989c54ea', 'route': ['p2', 'e10', 'i1', 'x2', 'p1', 'c4']}
1769749776.5785265,RECEIVED,fb36780b-9889-44f7-aa1d-5ad2e68da1c5,0ece6ea4-4e15-4341-85b8-774028b60b38,c2,c4,26,p1,?,surb={'id': '7ee98d02-0024-40f7-8954-496dcb771c90', 'route': ['p1', 'e12', 'i10', 'x12', 'p2', 'c2']}
1769749776.711009,SENT,c8620f5d-57a6-4369-ab6e-c2e3445c2ed8,fc01629d-f2e3-4283-8b83-71463664fb15,c4,c5,3396,?,p1,
1769749776.7111921,CREATED,b7376746-2f48-44cd-b672-30947c92ee5a,f800debc-fddd-4524-be9e-1cf3ea4a3428,c4,c5,26,?,?,surb={'id': 'd7e6a3f5-f2cc-4618-8f67-727209ede8a1', 'route': ['p2', 'e11', 'i11', 'x1', 'p1', 'c4']}
1769749777.0945315,SENT,3ea4a7a7-a5f9-4815-be9a-06fca88504ba,ac0f019f-7e99-42f7-8f24-58aedcde3437,c4,c5,3375,?,p1,
1769749777.0946813,CREATED,5601bf0b-09e8-4dea-a43f-96436d7ac029,fe697bb8-b554-4e09-9564-2d2786d4cd5b,c4,c5,27,?,?,surb={'id': '7bd69480-5ba0-4675-a403-64831fa44c04', 'route': ['p2', 'e9', 'i3', 'x6', 'p1', 'c4']}
1769749778.1181872,RECEIVED,57bc8856-1d0d-43ea-bf86-e1b1d4b0c89c,7b4e63a7-1dd2-4a10-8d28-e208d4eb2e82,c2,c4,27,p1,?,surb={'id': 'f7817cf6-fbe8-483e-8f7e-a446ecdc3195', 'route': ['p1', 'e1', 'i8', 'x10', 'p2', 'c2']}
1769749778.194694,SENT,dc930e0d-a268-43b7-b12f-d9d6100dc606,3a26707e-0eed-4080-add8-7007bef6c889,c4,c5,3368,?,p1,
1769749778.1948273,CREATED,84a14986-17cd-4cf6-bcc9-1a997860f8a4,28228e0c-6076-498d-b542-914ff2fb397b,c4,c5,27,?,?,surb={'id': '9fa10b8e-82cd-4ffc-9402-9444559fcf65', 'route': ['p2', 'e5', 'i5', 'x8', 'p1', 'c4']}
1769749778.6138768,RECEIVED,e99b149a-9504-4690-83c8-0770c2871df4,5a1346da-143d-4f9d-b9b9-7b7bc0330b85,c2,c4,27,p1,?,surb={'id': '3945c19b-d71e-4047-ac63-f5454a4b064c', 'route': ['p1', 'e10', 'i4', 'x8', 'p2', 'c2']}
1769749778.8759422,SENT,981b4497-bbf5-4674-adaf-d198f543e461,63288630-b9e0-442e-9115-39682bb70b37,c4,c5,3379,?,p1,
1769749778.8760953,CREATED,d2cd74fc-2bd1-433b-a664-e422f611a15c,ed500c4c-d797-428e-ba93-e73f0d1fcf9d,c4,c5,27,?,?,surb={'id': 'b979caef-89aa-4114-8bf7-cdea04f40cb9', 'route': ['p2', 'e4', 'i3', 'x12', 'p1', 'c4']}
