timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769749773.836766,RECEIVED,1984cdf4-8992-4561-9e47-c72be3122983,e36a24a1-93e2-450e-ad88-22f5e748d99a,c4,c5,27,p2,?,surb={'id': 'f832d798-f5c1-4ae7-8b82-c58531813d0c', 'route': ['p2', 'e8', 'i8', 'x4', 'p1', 'c4']}
1769749773.8997765,SENT,b358c17f-9405-480b-b42e-e3ba09920a0b,1d906668-bea8-488e-9bff-96110fa17dde,c5,c2,3383,?,p2,
1769749773.899925,CREATED,b59abbe3-11a7-4e99-8956-ae150adeafdc,b7397663-158f-48a0-93bb-6eb5347fd345,c5,c2,27,?,?,surb={'id': 'b29d288a-992e-46e7-b811-0396ba811129', 'route': ['p2', 'e4', 'i8', 'x4', 'p2', 'c5']}
1769749774.0076277,SENT,0d98b292-4d6a-4e93-87a6-d336226c7343,f7370c66-9512-4c3b-bddf-0ca905f5d9c2,c5,c2,3371,?,p2,
1769749774.007775,CREATED,16613f6a-0e7b-41bc-84e6-b27382052c9d,71d161c9-4cd7-4b0a-a885-7cc2c3a7cafb,c5,c2,27,?,?,surb={'id': '2fb21940-7a49-4d55-8c84-05442eac0ee2', 'route': ['p2', 'e7', 'i8', 'x6', 'p2', 'c5']}
1769749774.086837,RECEIVED,5e7c747d-7c5b-4b54-9c6f-515a849630af,37b0f5d8-3667-451f-a117-db05e174705f,c4,c5,27,p2,?,surb={'id': '9e50b1a3-1d68-46c2-8e3d-25b7ff4ef1a1', 'route': ['p2', 'e12', 'i4', 'x7', 'p1', 'c4']}
1769749774.134825,RECEIVED,fe7bd15b-caa9-4460-ad04-ec95f24e155a,4a9e66fd-0c2f-4121-8d7a-a4f6af5958a1,c4,c5,27,p2,?,surb={'id': '56e7535c-79d2-400e-8315-d26dca73ae77', 'route': ['p2', 'e12', 'i2', 'x10', 'p1', 'c4']}
1769749774.2977998,RECEIVED,bcf03266-957f-4867-8d8e-23fa06729993,7614f6dc-9fac-4f68-8316-99f35c14616d,c4,c5,27,p2,?,surb={'id': '5d7c3bd3-04e1-492f-967d-06fd91ea67b9', 'route': ['p2', 'e6', 'i11', 'x1', 'p1', 'c4']}
1769749774.3038607,SENT,fc6a2896-5b55-4a06-b4a1-c22e1641b28a,7a7c328c-0c16-4632-a610-8913817c9d7b,c5,c2,3377,?,p2,
1769749774.3039918,CREATED,7c805175-4744-4fab-b273-f862cccdea3e,fb095cff-a4f9-46a3-ba9f-34fa6eb1d378,c5,c2,27,?,?,surb={'id': 'd4d3f2d8-4930-47ec-911a-96e54330bb1e', 'route': ['p2', 'e8', 'i1', 'x9', 'p2', 'c5']}
