timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755326.1721463,CREATED,5daedbf4-cdf7-4317-a21b-807849b6dabc,4533d0ce-e625-402d-90f7-93bfffb0351a,c5,c3,25,?,?,surb={'id': '99625012-0b2c-460a-9f34-e36a6fdfe3a5', 'route': ['p3', 'e12', 'i1', 'x5', 'p2', 'c5']}
1769755326.244509,RECEIVED,304ce99f-e3d2-4913-91a4-67933385698c,f4fe6b94-d6b2-4121-8ec0-33514e3dd379,c3,c5,27,p2,?,surb={'id': '96aab894-7897-4ec7-9dd0-b0a64121e89c', 'route': ['p2', 'e8', 'i1', 'x6', 'p3', 'c3']}
1769755326.303427,RECEIVED,531ef512-6944-44d1-951f-100aa32f3185,f4fe6b94-d6b2-4121-8ec0-33514e3dd379,c3,c5,27,p2,?,surb={'id': '96aab894-7897-4ec7-9dd0-b0a64121e89c', 'route': ['p2', 'e8', 'i1', 'x6', 'p3', 'c3']}
1769755326.886506,SENT,cd0d7a0a-c128-43e0-a852-a9afb918628c,6acf1973-8360-4542-88dd-b0fc5337f8a8,c5,c3,3383,?,p2,
1769755326.88664,CREATED,df11e0fd-8581-451a-8904-9739193f39a6,ccf40588-c55a-42dc-9e8b-a9e2e232f50c,c5,c3,27,?,?,surb={'id': '55c90872-bbc4-49d6-bf73-b28d87a24bbf', 'route': ['p3', 'e3', 'i6', 'x12', 'p2', 'c5']}
1769755326.9327345,RECEIVED,dce531a1-3272-4143-855f-b846f4d10718,36954638-d78a-417c-b55a-8dbea28b0c95,c3,c5,26,p2,?,surb={'id': '3e11e688-6776-46ac-9f0a-fa7408f7205f', 'route': ['p2', 'e10', 'i3', 'x1', 'p3', 'c3']}
1769755326.954202,RECEIVED,dc486f4c-1a0c-421c-ae4f-af7936e2cc9d,712f7919-37ac-45a4-bf82-056461f32607,c3,c5,26,p2,?,surb={'id': '00fb3ec8-ff70-4f2e-850f-16416b2e0c53', 'route': ['p2', 'e6', 'i1', 'x8', 'p3', 'c3']}
1769755327.2388072,SENT,62433d6a-7887-45b3-886b-b9dbece54365,274fe024-b818-4fad-ab6d-96b23786d998,c5,c3,3375,?,p2,
1769755327.2389421,CREATED,1c32d384-02a2-4d48-b385-ab31e70f4a92,ccf40588-c55a-42dc-9e8b-a9e2e232f50c,c5,c3,27,?,?,surb={'id': '55c90872-bbc4-49d6-bf73-b28d87a24bbf', 'route': ['p3', 'e3', 'i6', 'x12', 'p2', 'c5']}
1769755327.3717015,RECEIVED,c0669c27-3388-47fe-90ba-169e71d1d195,2456f3eb-2687-4750-8804-a7f490b13599,c3,c5,27,p2,?,surb={'id': '43bab00e-6e45-4ac6-95d9-f3dedeb716d9', 'route': ['p2', 'e4', 'i8', 'x12', 'p3', 'c3']}
